player,player_id,team_name,team_id,mins_played,goals,total_shots,assists,chances_created,total_pass,accurate_pass,expected_goals
Aaron Cresswell,55459,West Ham United,21,3071,1,21,7,34,1299,1002,0.78
Aaron Lennon,17349,Burnley,90,1916,0,14,2,11,468,328,0.83
Aaron Mooy,74471,Huddersfield Town,38,3071,4,29,3,50,1902,1513,2.97
Aaron Ramsdale,225321,Bournemouth,91,0,0,0,0,0,0,0,0.0
Aaron Ramsey,41792,Arsenal,3,1846,7,56,8,28,1239,1052,6.14
Aaron Wan-Bissaka,214590,Crystal Palace,31,628,0,0,0,3,203,148,0.0
Abdelhamid Sabiri,246878,Huddersfield Town,38,219,0,5,1,3,98,66,0.26
Abdoulaye Doucouré,121599,Watford,57,3325,7,47,3,40,2244,1877,3.54
Adam Lallana,39155,Liverpool,14,235,0,11,0,7,220,189,1.48
Adam Legzdins,28609,Burnley,90,0,0,0,0,0,0,0,0.0
Adam Smith,54469,Bournemouth,91,2069,1,13,3,22,912,751,0.53
Ademola Lookman,219352,Everton,11,153,0,3,1,2,45,38,0.1
Adrian Mariappa,20145,Watford,57,2208,0,10,0,4,961,740,0.66
Adrien Silva,46483,Leicester City,13,761,0,11,1,7,433,353,0.33
Adrián,60706,West Ham United,21,1710,0,0,0,0,520,221,0.0
Ahmed Hegazi,77777,West Bromwich Albion,35,3387,2,14,0,7,1186,867,1.65
Ahmed Musa,90714,Leicester City,13,0,0,0,0,0,0,0,0.0
Aiden O'Neill,234483,Burnley,90,0,0,0,0,0,0,0,0.0
Ainsley Maitland-Niles,154043,Arsenal,3,908,0,5,0,8,536,457,0.24
Alberto Moreno,100059,Liverpool,14,1264,0,12,0,15,783,660,0.5
Aleksandar Dragovic,60598,Leicester City,13,767,0,1,0,0,337,287,0.07
Aleksandar Mitrovic,128389,Newcastle United,4,89,1,4,0,3,54,39,1.19
Alex Iwobi,153133,Arsenal,3,1843,3,45,5,36,1137,985,3.86
Alex McCarthy,58376,Southampton,20,1620,0,0,0,0,406,156,0.0
Alex Oxlade-Chamberlain,81880,Liverpool,14,1726,3,47,7,39,836,688,2.45
Alex Palmer,112520,West Bromwich Albion,35,0,0,0,0,0,0,0,0.0
Alex Pritchard,106450,Huddersfield Town,38,1002,1,20,1,21,344,246,1.19
Alexander Sørloth,143877,Crystal Palace,31,360,0,7,0,6,107,65,0.52
Alexandre Lacazette,59966,Arsenal,3,2211,14,68,4,36,723,554,13.69
Alexis Sánchez,37265,Manchester United,1,2553,9,88,6,77,1454,1075,10.97
Alfie Mawson,149266,Swansea City,80,3420,2,20,1,5,1744,1415,1.88
Alfie Whiteman,175941,Tottenham Hotspur,6,0,0,0,0,0,0,0,0.0
Ali Gabr,185431,West Bromwich Albion,35,0,0,0,0,0,0,0,0.0
Allan-Roméo Nyom,67527,West Bromwich Albion,35,2308,0,3,1,14,753,574,0.06
Ander Herrera,59846,Manchester United,1,1260,0,12,2,11,1042,913,0.37
Anders Lindegaard,39725,Burnley,90,0,0,0,0,0,0,0,0.0
Andre Gray,73426,Watford,57,1496,5,34,2,18,299,215,6.9
Andreas Christensen,135363,Chelsea,8,2070,0,12,0,4,1349,1260,0.89
Andrew Robertson,122798,Liverpool,14,1943,1,12,5,24,1421,1237,0.54
Andrew Surman,15237,Bournemouth,91,1852,2,18,5,16,1177,993,1.18
Andros Townsend,60252,Crystal Palace,31,3129,2,62,7,66,1023,804,2.99
André Ayew,45124,Swansea City,80,1843,3,26,4,16,582,458,5.17
André Carrillo,100412,Watford,57,1536,1,24,2,20,709,543,2.31
Andy Carroll,40142,West Ham United,21,746,3,28,0,7,248,152,1.82
Andy King,13152,Swansea City,80,1253,3,14,0,6,560,459,1.49
Angel Rangel,42996,Swansea City,80,155,0,0,0,1,95,83,0.0
Angelo Ogbonna,40669,West Ham United,21,2880,1,8,0,7,1013,808,0.68
Anthony Knockaert,83543,Brighton and Hove Albion,36,2426,3,46,1,32,984,820,4.13
Anthony Martial,148225,Manchester United,1,1581,9,49,5,33,731,599,6.38
Antonio Rüdiger,102380,Chelsea,8,2336,2,15,1,3,1709,1529,1.76
Arthur Masuaku,105717,West Ham United,21,1871,0,9,3,17,683,550,0.25
Artur Boruc,18726,Bournemouth,91,0,0,0,0,0,0,0,0.0
Ashley Barnes,44699,Burnley,90,2157,9,60,0,17,510,310,6.69
Ashley Westwood,60551,Burnley,90,1107,0,8,1,8,599,489,0.64
Ashley Williams,19159,Everton,11,1832,1,13,0,3,732,591,0.86
Ashley Young,18892,Manchester United,1,2445,2,18,4,26,1285,1022,0.78
Asmir Begovic,40349,Bournemouth,91,3420,0,0,0,1,945,485,0.0
Axel Tuanzebe,180804,Manchester United,1,1,0,0,0,0,0,0,0.0
Aymeric Laporte,146941,Manchester City,43,807,0,3,0,2,811,750,0.09
Ayoze Pérez,168580,Newcastle United,4,2494,8,60,5,36,718,512,6.21
Badou Ndiaye,163463,Stoke City,110,1140,2,19,1,7,337,278,1.59
Bakary Sako,44343,Crystal Palace,31,468,3,17,0,6,131,87,1.98
Ben Chilwell,172850,Leicester City,13,1852,0,6,2,21,901,666,0.2
Ben Davies,115556,Tottenham Hotspur,6,2325,2,18,6,47,1304,1045,1.07
Ben Foster,9089,West Bromwich Albion,35,3330,0,0,0,2,1079,497,0.0
Ben Hamer,38038,Leicester City,13,274,0,0,0,0,71,40,0.0
Ben Johnson,222018,West Ham United,21,0,0,0,0,0,0,0,0.0
Ben Mee,51927,Burnley,90,2610,0,25,0,6,1071,818,1.85
Ben Watson,16045,Watford,57,458,0,1,0,3,236,194,0.05
Ben Woodburn,182436,Liverpool,14,6,0,0,0,0,8,7,0.0
Beni Baningime,195855,Everton,11,193,0,0,0,0,82,67,0.0
Benik Afobe,88498,Bournemouth,91,533,0,8,0,2,152,112,1.75
Benjamin Mendy,102826,Manchester City,43,361,0,5,1,9,188,161,0.13
Beram Kayal,38490,Brighton and Hove Albion,36,740,0,4,0,12,227,179,0.23
Bernardo Silva,165809,Manchester City,43,1520,6,25,4,31,935,813,3.77
Boaz Myhill,12086,West Bromwich Albion,35,90,0,0,0,0,19,10,0.0
Bojan,40276,Stoke City,110,72,0,1,0,1,25,22,0.03
Brad Smith,120447,Bournemouth,91,0,0,0,0,0,0,0,0.0
Brahim Díaz,216183,Manchester City,43,50,0,3,0,0,28,25,0.48
Bruno,11352,Brighton and Hove Albion,36,2017,0,2,0,10,973,798,0.09
Bruno Martins Indi,85352,Stoke City,110,1246,0,4,0,3,351,281,1.01
Callum Hudson-Odoi,209046,Chelsea,8,27,0,2,0,0,16,12,0.08
Callum Wilson,75115,Bournemouth,91,1987,8,53,2,19,393,277,7.6
Calum Chambers,101184,Arsenal,3,869,0,10,0,2,600,500,1.4
Cameron Carter-Vickers,168763,Tottenham Hotspur,6,0,0,0,0,0,0,0,0.0
Carl Stewart,179725,Watford,57,0,0,0,0,0,0,0,0.0
Cenk Tosun,66838,Everton,11,991,5,19,0,15,263,185,2.94
Cesc Fàbregas,17878,Chelsea,8,2308,2,38,4,90,2190,1826,2.38
Chancel Mbemba,149736,Newcastle United,4,672,0,0,0,4,213,153,0.0
Charlie Adam,20208,Stoke City,110,408,0,10,0,6,246,156,1.64
Charlie Austin,78356,Southampton,20,1030,7,48,0,4,244,167,7.1
Charlie Daniels,41320,Bournemouth,91,3004,1,20,3,30,1568,1234,0.65
Charlie Taylor,103914,Burnley,90,949,0,0,0,4,326,218,0.0
Charly Musonda,171162,Chelsea,8,35,0,2,1,1,18,15,0.17
Cheikhou Kouyaté,55037,West Ham United,21,2801,2,23,3,16,955,725,2.66
Chicharito,43020,West Ham United,21,1543,8,29,0,21,373,274,4.96
Chris Brunt,19151,West Bromwich Albion,35,1921,0,25,7,37,882,649,1.83
Chris Löwe,54284,Huddersfield Town,38,1594,0,8,0,5,619,449,0.36
Chris Smalling,55909,Manchester United,1,2535,4,13,0,2,1137,996,1.71
Chris Wood,60689,Burnley,90,1633,10,39,1,11,415,250,7.27
Christian Atsu,104953,Newcastle United,4,1781,2,35,2,25,448,346,4.04
Christian Benteke,54861,Crystal Palace,31,2236,3,60,5,28,672,379,10.2
Christian Eriksen,80607,Tottenham Hotspur,6,3226,10,97,10,95,2258,1860,7.05
Christian Fuchs,37402,Leicester City,13,1918,0,11,1,18,896,664,0.54
Christian Kabasele,85624,Watford,57,2332,2,10,0,3,903,675,0.71
Christopher Schindler,85368,Huddersfield Town,38,3266,0,10,1,9,1389,1130,1.1
Ciaran Clark,58845,Newcastle United,4,1745,2,11,1,4,699,501,1.73
Claudio Bravo,33148,Manchester City,43,225,0,0,0,0,55,50,0.0
Claudio Yacob,55829,West Bromwich Albion,35,900,0,8,0,1,374,312,0.48
Collin Quaner,84112,Huddersfield Town,38,1272,0,16,4,17,422,313,1.42
Connor Goldson,85128,Brighton and Hove Albion,36,199,0,3,0,0,83,61,0.23
Connor Mahoney,169743,Bournemouth,91,0,0,0,0,0,0,0,0.0
Connor Roberts,192290,Swansea City,80,268,0,0,0,0,135,108,0.0
Conor Masterson,153477,Liverpool,14,0,0,0,0,0,0,0,0.0
Costel Pantilimon,56827,Watford,57,0,0,0,0,0,0,0,0.0
Craig Cathcart,41338,Watford,57,495,0,2,0,0,185,143,0.14
Craig Dawson,60232,West Bromwich Albion,35,2509,2,16,0,10,906,630,2.32
Cuco Martina,56192,Everton,11,1831,0,2,2,13,780,608,0.1
Curtis Jones,206915,Liverpool,14,0,0,0,0,0,0,0,0.0
Cédric Soares,58822,Southampton,20,2797,0,23,3,24,1275,935,0.73
César Azpilicueta,41328,Chelsea,8,3330,2,13,6,31,2760,2394,1.25
Dale Stephens,40845,Brighton and Hove Albion,36,3240,0,19,3,17,1757,1472,1.2
Daley Blind,58877,Manchester United,1,361,0,3,0,4,224,191,0.09
Damien Delaney,7906,Crystal Palace,31,95,0,0,0,0,38,30,0.0
Dan Gosling,40387,Bournemouth,91,1943,2,22,1,17,1062,820,2.06
Daniel Amartey,155569,Leicester City,13,488,0,0,0,0,250,199,0.0
Daniel Bachmann,154506,Watford,57,0,0,0,0,0,0,0,0.0
Daniel Drinkwater,61603,Chelsea,8,522,1,6,0,5,385,331,0.18
Daniel Sturridge,40755,West Bromwich Albion,35,547,2,24,1,16,158,125,2.48
Danilo,100180,Manchester City,43,1341,3,19,2,6,1111,999,1.12
Danny Ings,84939,Liverpool,14,265,1,8,0,3,76,47,1.12
Danny Rose,38290,Tottenham Hotspur,6,801,0,7,1,10,378,308,0.68
Danny Simpson,40725,Leicester City,13,2313,0,3,0,4,904,673,0.17
Danny Ward,95463,Liverpool,14,0,0,0,0,0,0,0,0.0
Danny Welbeck,50175,Arsenal,3,1185,5,32,2,13,392,313,5.6
Danny Williams,80755,Huddersfield Town,38,1116,0,12,0,4,414,319,0.41
Darren Fletcher,14295,Stoke City,110,2222,1,11,1,23,1048,823,0.36
Daryl Janmaat,52940,Watford,57,1822,3,24,0,12,768,583,1.84
David Luiz,41270,Chelsea,8,839,1,11,0,1,492,420,0.93
David Ospina,48844,Arsenal,3,380,0,0,0,0,117,81,0.0
David Silva,20664,Manchester City,43,2435,9,54,11,61,2429,2160,7.22
David de Gea,51940,Manchester United,1,3330,0,0,0,1,942,542,0.0
Davide Zappacosta,105700,Chelsea,8,1095,1,25,1,13,445,378,1.4
Davinson Sánchez,173904,Tottenham Hotspur,6,2535,0,9,0,4,1867,1670,0.52
Davy Klaassen,109065,Everton,11,250,0,2,0,2,99,79,0.07
Davy Pröpper,66242,Brighton and Hove Albion,36,3120,0,36,4,19,1387,1085,1.93
DeAndre Yedlin,151119,Newcastle United,4,2842,0,6,2,19,1000,750,0.15
Dean Marney,15982,Burnley,90,0,0,0,0,0,0,0,0.0
Dean Whitehead,5589,Huddersfield Town,38,68,0,0,0,0,50,42,0.0
Declan Rice,204480,West Ham United,21,1423,0,5,0,2,573,451,0.2
Dejan Lovren,38454,Liverpool,14,2125,2,14,1,6,1803,1595,1.36
Dele Alli,108823,Tottenham Hotspur,6,2970,9,69,10,64,1251,966,9.3
Demarai Gray,172632,Leicester City,13,1690,3,36,1,27,557,442,2.53
Diafra Sakho,73889,West Ham United,21,294,2,9,0,1,64,39,1.42
Didier Ndong,144660,Watford,57,0,0,0,0,0,0,0,0.0
Diego Cavalieri,51917,Crystal Palace,31,0,0,0,0,0,0,0,0.0
Dion Henry,199806,Crystal Palace,31,0,0,0,0,0,0,0,0.0
Divock Origi,152760,Liverpool,14,9,0,0,0,0,2,1,0.0
Dodi Lukébakio,219002,Watford,57,15,0,1,0,2,6,6,0.03
Domingos Quina,216058,West Ham United,21,0,0,0,0,0,0,0,0.0
Dominic Calvert-Lewin,177815,Everton,11,1875,4,43,6,20,493,300,4.9
Dominic Solanke,154566,Liverpool,14,583,1,22,1,15,197,148,3.49
Dujon Sterling,199583,Chelsea,8,0,0,0,0,0,0,0,0.0
Dusan Tadic,62399,Southampton,20,2810,6,40,3,59,1111,831,5.82
Dwight Gayle,104547,Newcastle United,4,1961,6,57,3,21,433,313,8.93
Dwight McNeil,433154,Burnley,90,1,0,0,0,0,1,1,0.0
Eddie Nketiah,205533,Arsenal,3,17,0,1,0,0,7,6,0.06
Eden Hazard,42786,Chelsea,8,2432,12,71,4,84,1369,1145,7.76
Ederson,121160,Manchester City,43,3195,0,0,0,1,928,792,0.0
Edimilson Fernandes,163526,West Ham United,21,845,0,7,1,7,268,210,0.3
Eduardo,41251,Chelsea,8,0,0,0,0,0,0,0,0.0
Eldin Jakupovic,11974,Leicester City,13,180,0,0,0,0,43,23,0.0
Eliaquim Mangala,57112,Everton,11,618,0,2,0,1,413,373,0.21
Elias Kachunga,87428,Huddersfield Town,38,1338,1,12,1,10,339,225,1.93
Emerson,109533,Chelsea,8,279,0,2,1,1,131,105,0.12
Emerson Hyndman,122342,Bournemouth,91,59,0,0,0,1,24,21,0.0
Emre Can,112338,Liverpool,14,2094,3,27,4,25,1543,1320,1.84
Erdal Rakip,163776,Crystal Palace,31,0,0,0,0,0,0,0,0.0
Eric Bailly,197365,Manchester United,1,1000,1,3,0,2,426,367,1.1
Eric Dier,93264,Tottenham Hotspur,6,2827,0,32,2,15,2248,1939,1.96
Eric Maxim Choupo-Moting,42564,Stoke City,110,2247,5,60,5,20,641,468,6.03
Erik Lamela,62974,Tottenham Hotspur,6,832,2,20,2,16,446,369,3.43
Erik Pieters,39487,Stoke City,110,2720,0,3,1,13,1000,716,0.09
Erwin Mulder,40346,Swansea City,80,0,0,0,0,0,0,0,0.0
Ethan Ampadu,199598,Chelsea,8,10,0,0,0,0,19,19,0.0
Etienne Capoue,38439,Watford,57,1541,1,23,0,8,875,721,0.83
Ezequiel Schelotto,74375,Brighton and Hove Albion,36,1315,0,6,0,5,455,344,0.24
Fabian Delph,41823,Manchester City,43,1746,1,10,2,11,1614,1501,0.25
Federico Fernández,57145,Swansea City,80,2677,1,8,1,6,1210,996,0.68
Fernandinho,27789,Manchester City,43,2885,5,47,3,21,2975,2679,2.08
Fernando Llorente,19760,Tottenham Hotspur,6,225,1,6,0,4,88,60,1.0
Fikayo Tomori,194794,Chelsea,8,0,0,0,0,0,0,0,0.0
Florent Hadergjonaj,172246,Huddersfield Town,38,1672,0,8,1,26,618,413,0.25
Florian Lejeune,77359,Newcastle United,4,2104,0,13,2,7,1071,823,0.62
Fousseni Diabaté,210207,Leicester City,13,583,0,6,1,7,227,179,0.53
Francis Coquelin,56864,Arsenal,3,156,0,1,0,1,96,79,0.06
Fraser Forster,40383,Southampton,20,1800,0,0,0,0,444,191,0.0
Freddie Ladapo,94926,Crystal Palace,31,16,0,0,0,0,7,5,0.0
Freddy Woodman,155503,Newcastle United,4,0,0,0,0,0,0,0,0.0
Fredrik Ulvestad,95508,Burnley,90,0,0,0,0,0,0,0,0.0
Gabriel Jesus,205651,Manchester City,43,1671,13,56,3,19,591,471,14.18
Gareth Barry,1632,West Bromwich Albion,35,1927,1,16,1,17,927,709,1.56
Gareth McAuley,19272,West Bromwich Albion,35,456,0,0,0,0,125,81,0.0
Gary Cahill,19419,Chelsea,8,2084,0,10,0,3,1330,1184,0.5
Gaëtan Bong,42748,Brighton and Hove Albion,36,2238,0,4,0,9,772,544,0.08
Geoff Cameron,50089,Stoke City,110,1524,0,5,0,6,506,366,0.31
George Thomas,174248,Leicester City,13,0,0,0,0,0,0,0,0.0
Georges-Kévin Nkoudou,168566,Burnley,90,225,0,4,0,1,83,66,0.15
Georginio Wijnaldum,41733,Liverpool,14,2387,1,38,2,22,1266,1138,2.8
Gerard Deulofeu,94924,Watford,57,438,1,8,0,11,142,106,0.53
Glen Johnson,9047,Stoke City,110,550,0,2,0,4,188,125,0.08
Glenn Murray,20529,Brighton and Hove Albion,36,2196,12,53,0,17,664,366,12.27
Grady Diangana,179830,West Ham United,21,0,0,0,0,0,0,0,0.0
Granit Xhaka,84450,Arsenal,3,3266,1,66,7,39,3116,2708,2.44
Grzegorz Krychowiak,73494,West Bromwich Albion,35,1642,0,17,2,13,812,637,0.8
Guido Carrillo,98914,Southampton,20,452,0,11,1,4,123,81,0.66
Gylfi Sigurdsson,55422,Everton,11,2262,4,39,3,38,700,524,3.02
Hal Robson-Kanu,49440,West Bromwich Albion,35,822,2,19,0,8,184,123,2.42
Hamza Choudhury,197469,Leicester City,13,376,0,2,1,1,164,138,0.04
Harry Arter,48615,Bournemouth,91,961,1,11,0,3,586,512,0.33
Harry Kane,78830,Tottenham Hotspur,6,3083,30,184,2,33,657,468,24.79
