player_id,position,player,age,team_id,team,foot,total_scoring_att,ontarget_scoring_att,blocked_scoring_att,goals,own_goals,post_scoring_att,total_pass,accurate_pass,total_cross,accurate_cross,total_fwd_zone_pass,accurate_fwd_zone_pass,total_through_ball,accurate_through_ball,goal_assist,ontarget_att_assist,total_att_assist,total_tackle,won_tackle,won_corners,lost_corners,total_offside,fouls,hand_ball,dangerous_play,was_fouled,total_contest,won_contest,saves,interception,total_clearance,effective_clearance,total_claim,good_claim,punches,six_second_violation,back_pass,total_long_balls,accurate_long_balls,passes_right,passes_left,total_high_claim,good_high_claim,total_one_on_one,good_one_on_one,stand_save,dive_save,stand_catch,dive_catch,mins_played,att_sbx_centre,att_sbx_right,att_sbx_left,att_bx_centre,att_bx_right,att_bx_left,att_obx_centre,att_obx_right,att_obx_left,att_lg_centre,att_lg_right,att_lg_left,att_bxd_right,att_bxd_left,att_obxd_right,att_obxd_left,att_sv_high_centre,att_sv_high_right,att_sv_high_left,att_sv_low_centre,att_sv_low_right,att_sv_low_left,att_goal_high_centre,att_goal_high_right,att_goal_high_left,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_post_high,att_post_left,att_post_right,att_miss_high_right,att_miss_high_left,att_miss_high,att_miss_right,att_miss_left,att_cmiss_high_right,att_cmiss_high_left,att_cmiss_high,att_cmiss_right,att_cmiss_left,att_rf_goal,att_lf_goal,att_hd_goal,att_rf_miss,att_lf_miss,att_hd_miss,att_rf_target,att_lf_target,att_hd_target,att_rf_post,att_lf_post,att_hd_post,att_corner,att_setpiece,att_fastbreak,att_freekick_goal,att_freekick_miss,att_freekick_target,att_freekick_post,att_pen_goal,att_pen_miss,att_pen_target,att_pen_post,att_rf_total,att_lf_total,att_hd_total,att_freekick_total,yellow_card,red_card,penalty_conceded,goals_conceded,clean_sheet,_perm_user,_perm_group,_perm_access,att_ibox_goal,att_ibox_target,att_ibox_miss,att_ibox_post,att_ibox_blocked,att_obox_goal,att_obox_target,att_obox_miss,att_obox_post,att_obox_blocked,att_obp_total,att_obp_goal,att_obp_target,att_obp_miss,att_obp_post,att_obp_blocked,offtarget_att_assist,total_back_zone_pass,accurate_back_zone_pass,last_man_contest,last_man_tackle,outfielder_block,total_sub_on,total_sub_off,total_cross_nocorner,accurate_cross_nocorner,total_corners_intobox,accurate_corners_intobox,clearance_off_line,goals_conceded_ibox,goals_conceded_obox,saved_ibox,saved_obox,saved_setpiece,attempts_conceded_ibox,attempts_conceded_obox,six_yard_block,total_throws,accurate_throws,total_attacking_pass,penalty_save,second_yellow,game_started,head_pass,challenge_lost,aerial_won,aerial_lost,goal_kicks,pen_goals_conceded,accurate_goal_kicks,keeper_throws,accurate_keeper_throws,duel_won,duel_lost,head_clearance,effective_head_clearance,crosses_18yard,crosses_18yardplus,interceptions_in_box,long_pass_own_to_opp,long_pass_own_to_opp_success,ball_recovery,keeper_pick_up,cross_not_claimed,gk_smother,offside_provoked,error_lead_to_shot,error_lead_to_goal,turnover,dispossessed,shot_off_target,touches,final_third_entries,corner_taken,total_launches,accurate_launches,total_layoffs,accurate_layoffs,goal_assist_intentional,penalty_won,total_chipped_pass,accurate_chipped_pass,total_flick_on,accurate_flick_on,shield_ball_oop,foul_throw_in,blocked_cross,effective_blocked_cross,penalty_faced,total_pull_back,accurate_pull_back,total_keeper_sweeper,accurate_keeper_sweeper,goal_assist_openplay,goal_assist_setplay,att_assist_openplay,att_assist_setplay,overrun,interception_won,big_chance_created,big_chance_missed,big_chance_scored,unsuccessful_touch,fwd_pass,backward_pass,leftside_pass,rightside_pass,total_final_third_passes,successful_final_third_passes,rescinded_red_card,second_goal_assist,hit_woodwork,diving_save,goal_fastbreak,shot_fastbreak,poss_won_def_3rd,poss_won_mid_3rd,poss_won_att_3rd,poss_lost_all,poss_lost_ctrl,pen_area_entries,goal_assist_deadball,goals_conc_onfield,shots_conc_onfield,total_fastbreak,att_one_on_one,fouled_final_third,goals_openplay,att_openplay,freekick_cross,accurate_freekick_cross,assist_pass_lost,assist_blocked_shot,assist_attempt_saved,assist_post,assist_free_kick_won,assist_handball_won,assist_own_goal,assist_penalty_won,open_play_pass,successful_open_play_pass,attempted_tackle_foul,fifty_fifty,successful_fifty_fifty,put_through,successful_put_through,blocked_pass,failed_to_block,touches_in_opp_box,att_corner_goal,att_ifreekick_goal,att_throw_goal,att_throw,attempts_ibox,attempts_obox,expected_goals,expected_goals_nonpenalty,expected_goals_openplay,expected_goals_setplay,expected_goals_hd,expected_goals_lf,expected_goals_rf,expected_goals_freekick,expected_goals_conceded,expected_goals_nonpenalty_conceded,expected_goalsontarget,expected_goalsontarget_nonpenalty,expected_goalsontarget_freekick,expected_goalsontarget_conceded,expected_goalsontarget_nonpenalty_conceded,expected_assists,expected_assists_setplay,expected_assists_openplay
198869,Defender,Ben White,22.7,2,Leeds United,,16,3,2,0,0,0,2133,1819,3,0,584,402,3,3,2,7,9,67,42,6,23,1,34,0,0,30,31,25,0,88,111,111,0,0,0,0,0,247,109,241,81,0,0,0,0,0,0,0,0,3420,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,0,0,1,2,0,0,0,0,0,0,4,2,0,1,0,0,0,8,4,0,0,0,0,0,0,0,0,0,7,3,5,0,5,0,1,32,17,0,0,0,0,3,9,0,1,0,0,2,0,1,0,0,0,0,0,0,2,1552,1417,0,0,25,0,0,3,0,0,0,0,30,2,0,0,0,191,154,0,12,12,0,0,0,38,179,19,107,104,0,3,0,0,0,227,168,52,52,2,1,5,340,218,244,0,0,0,11,0,0,22,9,11,2657,190,0,79,12,2,2,1,0,158,77,7,2,5,0,6,6,0,0,0,0,0,2,0,7,0,1,88,1,3,0,22,758,120,673,582,247,139,0,0,0,0,0,0,158,84,2,365,365,28,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,2087,1777,19,0,0,35,22,35,0,29,0,0,0,0,13,3,2.103299947,2.103299947,0.791299976,1.31199998,0.548999991,0.110900002,1.335399967,0,34.537636,32.17243604,0.563799992,0.563799992,0,30.59240034,27.61420038,1.076175274,0.00209654,1.074078358
87873,Midfielder,Stuart Dallas,29.2,2,Leeds United,,62,18,14,3,0,1,1827,1442,113,17,1169,783,9,3,1,15,34,85,54,31,15,4,47,6,0,62,53,23,0,39,38,38,0,0,0,0,0,191,79,465,234,0,0,0,0,0,0,0,0,3363,0,0,0,16,6,2,35,1,0,0,0,0,0,0,0,0,2,0,1,8,2,2,0,2,0,0,0,1,1,0,0,4,4,9,3,9,0,0,1,1,1,2,1,0,0,0,1,8,7,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,42,19,1,0,6,0,0,32,16,0,0,0,2,7,10,0,7,1,8,19,1,7,0,0,0,0,0,0,19,771,676,0,1,13,0,2,113,17,0,0,0,30,2,0,0,0,188,153,1,341,320,0,0,0,38,114,30,35,53,0,3,0,0,0,203,183,17,17,74,39,0,249,153,223,0,0,0,0,0,0,59,31,30,2845,294,0,65,14,23,22,1,0,169,65,10,5,5,0,8,8,0,2,0,0,0,1,0,33,0,5,39,10,6,2,59,817,290,376,344,653,447,0,0,2,0,0,1,106,95,22,635,635,161,0,0,0,1,0,8,3,55,0,0,0,0,0,0,0,0,1,0,1814,1430,21,0,0,82,24,82,0,79,0,0,0,1,26,36,5.059600001,5.059600001,4.793200007,0.266399996,0.0546,2.168600012,2.836400013,0,34.20583604,31.84063609,4.455800008,4.455800008,0,30.59240034,27.61420038,4.584465668,0.02948288,4.554983317
72222,Midfielder,Mateusz Klich,30.1,2,Leeds United,Right,65,21,25,4,0,1,1874,1516,83,21,1410,1035,8,2,4,37,69,75,49,34,2,6,58,0,0,25,38,28,0,18,16,16,0,0,0,0,0,135,73,473,296,0,0,0,0,0,0,0,0,3255,0,0,0,21,3,4,35,0,0,0,0,0,0,0,0,0,1,1,1,4,5,5,0,1,0,1,2,0,0,0,1,2,1,5,7,3,0,1,1,1,2,4,0,0,0,0,0,15,2,0,0,0,0,13,3,1,0,0,0,0,1,1,0,0,52,13,0,0,6,0,0,27,9,0,0,0,3,9,7,1,10,1,8,11,0,15,0,0,0,0,0,0,32,547,502,0,0,2,0,15,83,21,0,0,0,25,2,0,0,0,174,138,1,29,27,0,0,0,38,94,46,27,22,0,3,0,0,0,155,176,6,6,67,16,1,190,123,219,0,0,0,1,0,0,62,41,19,2438,203,4,35,9,93,88,3,0,159,85,45,21,2,0,1,1,0,10,4,0,0,4,0,65,0,2,18,10,4,1,62,599,415,403,457,893,673,0,0,3,0,0,1,65,123,31,552,552,178,0,0,0,1,0,3,2,47,0,0,0,1,0,0,0,0,0,0,1845,1488,29,0,0,82,29,82,0,122,1,0,0,0,30,35,5.511899944,3.935099971,3.397800006,0.537300002,0,1.208100004,4.303799974,0,31.87413594,29.50893599,5.583299974,4.608199993,0,27.60340029,24.62520033,6.011921048,0.01206264,5.999857975
221399,Midfielder,Jack Harrison,23.6,2,Leeds United,,65,20,17,5,0,5,1174,867,182,39,942,581,2,2,7,47,76,39,20,61,4,14,31,2,0,46,120,70,0,20,19,19,0,0,0,0,0,106,56,44,362,0,0,0,0,0,0,0,0,3228,0,0,0,20,0,18,14,0,0,0,0,0,0,0,0,0,2,0,1,7,3,2,0,0,0,1,2,2,0,4,1,1,3,4,7,8,0,1,0,2,4,2,2,1,0,0,6,6,8,1,0,0,0,7,2,5,0,0,0,0,0,0,0,0,17,39,8,0,0,0,0,28,10,0,0,0,5,10,20,3,13,0,5,3,2,4,0,0,0,0,0,0,29,414,325,0,0,2,0,13,163,34,19,5,0,26,2,0,0,0,171,145,5,39,35,0,0,0,38,51,33,23,50,0,3,0,0,0,178,243,6,6,141,16,1,95,56,181,0,0,0,0,2,1,99,82,28,2045,108,33,36,8,23,19,7,0,107,57,10,5,1,0,4,4,0,15,4,0,0,6,1,64,5,11,20,14,12,4,99,333,282,87,472,555,392,0,0,5,0,2,5,73,78,30,705,705,217,0,0,0,7,0,18,5,56,6,3,0,0,1,0,0,0,0,0,1155,848,15,0,0,86,33,86,0,218,0,0,0,0,51,14,10.25829995,10.25829995,8.687999982,1.570299987,1.929900002,5.314199954,3.014200024,0,30.12053587,27.75533592,6.64949999,6.64949999,0,27.52760028,24.54940033,7.132129426,0.55492471,6.577205194
39790,Goalkeeper,Kiko Casilla,33.8,2,Leeds United,Right,0,0,0,0,0,0,1020,821,0,0,189,57,0,0,0,0,1,0,0,0,25,0,0,0,0,5,3,3,70,2,36,36,0,0,19,0,0,343,154,66,41,29,29,0,0,1,32,1,0,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,831,764,0,0,0,0,0,0,0,0,0,0,29,1,33,37,0,181,143,0,0,0,0,0,0,35,0,0,15,1,251,3,194,180,173,22,1,0,0,0,0,1,190,58,295,207,5,3,0,1,5,2,0,0,1357,32,0,100,23,0,0,0,0,156,95,0,0,0,0,0,0,3,0,0,13,13,0,0,1,0,0,2,0,0,0,2,471,0,314,235,32,6,0,0,0,48,0,0,58,1,0,212,212,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.518636,31.15343605,0,0,0,29.64370034,26.66550038,0.01476617,0.00562898,0.00913719
106617,Forward,Patrick Bamford,26.8,2,Leeds United,,125,47,15,13,0,4,499,375,8,2,369,250,1,0,2,15,23,17,11,17,8,42,51,3,1,37,25,12,0,1,27,27,0,0,0,0,0,6,3,111,44,0,0,0,0,0,0,0,0,2912,0,0,0,63,9,10,13,0,0,1,0,0,0,0,0,0,2,0,1,13,9,9,3,0,0,4,5,1,1,0,3,7,4,13,16,19,1,0,0,4,3,0,10,3,0,0,27,12,13,9,0,0,0,16,3,5,0,1,0,0,2,0,1,0,27,56,39,1,4,0,0,22,8,0,0,0,13,32,50,4,12,0,2,9,0,3,0,0,0,0,0,0,8,138,127,0,0,4,1,18,8,2,0,0,0,20,2,0,0,0,145,121,2,2,1,0,0,0,36,42,15,36,78,0,3,0,0,0,102,189,24,24,8,0,0,12,7,57,0,0,0,0,0,0,88,42,63,952,35,1,0,0,26,20,2,3,5,3,14,2,1,0,0,0,0,3,1,0,0,2,0,21,0,2,1,5,28,10,88,95,165,148,91,237,157,0,0,5,0,0,5,10,33,14,277,277,27,0,0,0,5,0,11,8,102,0,0,0,0,0,1,0,0,1,0,443,319,12,0,0,28,7,28,0,201,2,1,0,0,111,14,24.75780018,22.39260016,18.13329992,4.259299997,7.052499942,13.76729993,3.764699969,0.065700002,25.66948383,23.30428381,18.35040014,15.37690007,0,22.41740015,19.43920007,2.564708173,0.00047994,2.564228225
155405,Midfielder,Kalvin Phillips,24.6,2,Leeds United,,15,4,5,1,0,0,1750,1427,228,63,1030,652,2,2,2,24,62,87,52,18,18,0,43,0,0,39,24,17,0,43,44,44,0,0,0,0,0,301,169,252,231,0,0,0,0,0,0,0,0,2804,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,14,1,0,6,8,1,0,27,12,0,0,0,1,0,0,0,0,0,3,6,0,5,0,0,0,0,0,0,38,948,838,0,0,11,0,3,60,16,174,53,0,26,1,0,0,0,150,123,2,10,10,0,0,0,32,143,48,62,49,0,2,0,0,0,205,168,25,25,13,7,4,271,154,234,0,0,0,0,0,1,35,21,6,2424,222,202,55,11,12,11,1,0,216,110,8,2,2,0,8,8,0,0,0,0,0,0,2,19,41,0,43,6,0,1,35,515,259,441,535,427,299,0,0,0,0,0,0,85,141,8,558,558,270,1,0,0,0,0,2,1,6,40,10,0,0,0,0,0,0,0,0,1647,1332,34,0,0,52,29,52,0,4,0,0,0,0,1,14,0.929399993,0.929399993,0.488899993,0.440499997,0,0.041099999,0.888299994,0.359200001,26.38019992,24.80339984,0.97020001,0.97020001,0.399500012,24.81890034,22.83460033,5.760864637,3.538631772,2.222231834
165808,Forward,Hélder Costa,26.5,2,Leeds United,,58,18,17,3,0,0,835,667,93,9,725,506,2,1,2,21,39,58,36,50,6,9,36,1,0,42,111,52,0,12,19,19,0,0,0,0,0,27,12,313,41,0,0,0,0,0,0,0,0,2591,0,0,0,19,17,5,14,0,0,0,0,0,0,0,0,0,0,1,2,7,2,3,1,0,0,0,0,2,0,0,0,4,2,7,5,5,0,1,1,2,1,0,3,0,0,0,2,2,13,0,0,0,0,8,3,3,0,0,0,0,0,0,0,0,6,49,2,0,3,0,0,27,6,0,0,0,3,11,18,0,12,0,4,5,0,5,0,0,0,0,0,0,17,203,170,0,0,1,10,11,91,9,2,0,0,25,2,0,0,0,160,117,3,11,11,0,0,0,28,39,46,19,46,0,3,0,0,0,169,235,9,9,79,12,0,37,20,133,0,0,0,0,0,0,95,51,23,1491,45,3,12,1,26,23,2,0,23,11,25,6,2,0,3,3,0,21,9,0,0,2,0,36,0,14,12,5,5,2,95,248,227,279,81,491,383,0,0,1,0,2,3,52,69,12,477,477,126,0,0,0,3,2,12,3,44,0,0,1,0,0,0,0,0,1,0,834,666,19,0,0,64,24,64,0,172,0,0,0,2,44,14,5.962299995,5.962299995,4.910000023,1.052300029,0.073900003,4.926999986,0.397100013,0,28.28213591,25.91693598,5.464799944,5.464799944,0,24.43870042,21.46050034,3.972377017,0.0046086,3.967768412
55914,Defender,Liam Cooper,28.8,2,Leeds United,,19,3,4,1,0,0,1978,1626,2,1,565,349,1,0,0,2,6,41,20,5,8,1,24,0,0,36,15,15,0,58,103,103,0,0,0,0,0,305,132,83,230,0,0,0,0,0,0,0,0,2581,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,2,5,2,1,1,0,1,0,1,0,0,0,0,9,0,0,2,0,0,0,15,3,0,0,0,0,0,0,0,0,0,1,3,11,0,2,0,0,25,11,0,0,0,1,2,11,0,4,0,0,1,0,0,0,0,0,0,0,0,4,1415,1278,0,0,13,2,2,2,1,0,0,0,23,2,0,0,0,129,112,0,18,18,0,0,0,29,253,16,143,99,0,2,0,0,0,231,142,57,57,2,0,2,352,183,202,0,0,0,7,1,1,12,4,12,2358,207,0,83,19,0,0,0,0,192,84,3,0,1,0,1,1,0,0,0,0,0,0,0,5,1,0,58,2,1,0,12,730,113,402,733,252,128,0,0,1,0,0,0,111,88,3,373,373,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1911,1564,12,0,0,21,9,21,0,41,1,0,0,0,18,1,1.508100007,1.508100007,0.0272,1.480900008,1.1785,0.1984,0.131200001,0,24.25343578,22.67663582,0.585800007,0.585800007,0,20.56520027,18.58020026,0.38384316,0.01132993,0.372513229
66588,Defender,Luke Ayling,28.9,2,Leeds United,,27,9,7,4,0,0,1690,1350,81,19,956,642,2,1,3,13,26,59,38,17,20,1,19,1,0,60,35,27,0,51,49,49,0,0,0,0,0,222,106,480,55,0,0,0,0,0,0,0,0,2489,0,0,0,7,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,2,1,0,0,0,0,0,6,3,2,0,0,2,1,1,3,1,0,0,0,3,1,2,2,0,0,0,4,3,0,0,0,0,0,0,0,0,0,13,9,5,0,8,0,0,26,12,0,0,0,2,2,8,0,3,2,3,3,0,4,0,0,0,0,0,0,13,815,727,0,0,12,1,2,81,19,0,0,0,24,2,0,0,0,150,115,2,285,268,0,0,0,28,103,26,65,57,0,3,0,0,0,208,124,28,28,43,38,1,309,198,195,0,0,0,6,0,0,34,18,11,2486,261,1,40,10,1,1,3,1,207,90,3,1,5,0,10,10,0,7,3,0,0,3,0,22,1,2,51,8,0,1,34,760,180,629,121,507,337,0,0,0,0,0,0,106,79,10,485,485,131,0,0,0,0,0,7,4,20,0,0,1,0,0,0,0,0,0,1,1637,1302,9,0,0,60,18,60,0,58,0,0,0,0,15,12,1.733900022,1.733900022,1.300000016,0.433900002,0.305200003,0.748300023,0.680399992,0,26.56988835,24.2046884,2.425999988,2.425999988,0,23.09360028,20.11540033,4.03401661,0.03324467,4.000772891
