Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Jens Lehmann,de GER,GK,36.0,36,36,3240.0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,Matches,2006/2007,36.0
Kolo Touré,ci CIV,DF,25.0,35,35,3150.0,3,2,0,0,6,0,0.09,0.06,0.14,0.09,0.14,Matches,2006/2007,35.0
Cesc Fàbregas,es ESP,"FW,MF",19.0,38,34,3180.0,2,10,0,0,7,0,0.06,0.28,0.34,0.06,0.34,Matches,2006/2007,35.333333333333336
Gilberto Silva,br BRA,"DF,MF",29.0,34,34,2937.0,10,1,5,6,2,1,0.31,0.03,0.34,0.15,0.18,Matches,2006/2007,32.63333333333333
Alexander Hleb,by BLR,MF,25.0,33,27,2362.0,2,5,0,0,1,0,0.08,0.19,0.27,0.08,0.27,Matches,2006/2007,26.244444444444444
Gaël Clichy,fr FRA,DF,21.0,27,26,2349.0,0,1,0,0,2,0,0.0,0.04,0.04,0.0,0.04,Matches,2006/2007,26.1
Emmanuel Eboué,ci CIV,"DF,MF",23.0,24,23,2061.0,0,4,0,0,2,0,0.0,0.17,0.17,0.0,0.17,Matches,2006/2007,22.9
Tomáš Rosický,cz CZE,MF,25.0,26,22,1836.0,3,2,0,0,3,0,0.15,0.1,0.25,0.15,0.25,Matches,2006/2007,20.4
Emmanuel Adebayor,tg TOG,FW,22.0,29,21,1985.0,8,4,1,1,2,0,0.36,0.18,0.54,0.32,0.5,Matches,2006/2007,22.055555555555557
William Gallas,fr FRA,DF,28.0,21,21,1881.0,3,0,0,0,4,0,0.14,0.0,0.14,0.14,0.14,Matches,2006/2007,20.9
Johan Djourou,ch SUI,DF,19.0,21,18,1541.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2006/2007,17.122222222222224
Justin Hoyte,tt TRI,DF,21.0,22,18,1506.0,1,0,0,0,1,0,0.06,0.0,0.06,0.06,0.06,Matches,2006/2007,16.733333333333334
Robin van Persie,nl NED,FW,22.0,22,17,1461.0,11,6,1,1,8,0,0.68,0.37,1.05,0.62,0.99,Matches,2006/2007,16.233333333333334
Thierry Henry,fr FRA,FW,28.0,17,16,1474.0,10,4,3,3,1,0,0.61,0.24,0.85,0.43,0.67,Matches,2006/2007,16.377777777777776
Freddie Ljungberg,se SWE,"FW,MF",29.0,18,16,1205.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,2006/2007,13.38888888888889
Júlio Baptista,br BRA,"FW,MF",24.0,24,11,1131.0,3,3,0,0,0,0,0.24,0.24,0.48,0.24,0.48,Matches,2006/2007,12.566666666666666
