Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season,nineties
Granit Xhaka,ch SUI,MF,24.0,38,37,3260.0,1.0,7.0,0.0,0.0,10.0,0.0,0.03,0.19,0.22,0.03,0.22,2.0,2.0,3.9,0.06,0.11,0.16,0.06,0.16,Matches,2017/2018,36.22222222222222
Héctor Bellerín,es ESP,"DF,MF",22.0,35,34,3051.0,2.0,3.0,0.0,0.0,5.0,0.0,0.06,0.09,0.15,0.06,0.15,2.2,2.2,3.6,0.06,0.11,0.17,0.06,0.17,Matches,2017/2018,33.9
Petr Čech,cz CZE,GK,35.0,34,34,3039.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017/2018,33.766666666666666
Nacho Monreal,es ESP,DF,31.0,28,26,2243.0,5.0,2.0,0.0,0.0,3.0,0.0,0.2,0.08,0.28,0.2,0.28,1.8,1.8,1.3,0.07,0.05,0.12,0.07,0.12,Matches,2017/2018,24.92222222222222
Alexandre Lacazette,fr FRA,FW,26.0,32,26,2202.0,14.0,4.0,2.0,2.0,1.0,0.0,0.57,0.16,0.74,0.49,0.65,11.8,10.3,3.3,0.48,0.14,0.62,0.42,0.55,Matches,2017/2018,24.466666666666665
Shkodran Mustafi,de GER,DF,25.0,27,25,2273.0,3.0,1.0,0.0,0.0,6.0,0.0,0.12,0.04,0.16,0.12,0.16,1.0,1.0,0.5,0.04,0.02,0.06,0.04,0.06,Matches,2017/2018,25.255555555555556
Laurent Koscielny,fr FRA,DF,31.0,25,25,2225.0,2.0,0.0,0.0,0.0,4.0,0.0,0.08,0.0,0.08,0.08,0.08,1.9,1.9,0.4,0.08,0.02,0.09,0.08,0.09,Matches,2017/2018,24.72222222222222
Sead Kolašinac,ba BIH,"DF,MF",24.0,27,25,2147.0,2.0,4.0,0.0,0.0,3.0,0.0,0.08,0.17,0.25,0.08,0.25,2.5,2.5,2.4,0.11,0.1,0.21,0.11,0.21,Matches,2017/2018,23.855555555555554
Mesut Özil,de GER,"MF,FW",28.0,26,24,2163.0,4.0,8.0,0.0,0.0,4.0,0.0,0.17,0.33,0.5,0.17,0.5,4.2,4.2,7.0,0.17,0.29,0.47,0.17,0.47,Matches,2017/2018,24.033333333333335
Alex Iwobi,ng NGA,"FW,MF",21.0,26,22,1830.0,3.0,5.0,0.0,0.0,1.0,0.0,0.15,0.25,0.39,0.15,0.39,3.0,3.0,3.6,0.15,0.18,0.32,0.15,0.32,Matches,2017/2018,20.333333333333332
Aaron Ramsey,wal WAL,MF,26.0,24,21,1846.0,7.0,8.0,0.0,0.0,0.0,0.0,0.34,0.39,0.73,0.34,0.73,5.1,5.1,4.7,0.25,0.23,0.47,0.25,0.47,Matches,2017/2018,20.511111111111113
Alexis Sánchez,cl CHI,"FW,MF",28.0,19,17,1503.0,7.0,3.0,1.0,1.0,4.0,0.0,0.42,0.18,0.6,0.36,0.54,7.3,6.5,5.3,0.44,0.32,0.75,0.39,0.71,Matches,2017/2018,16.7
Danny Welbeck,eng ENG,"FW,MF",26.0,28,12,1194.0,5.0,2.0,0.0,0.0,1.0,0.0,0.38,0.15,0.53,0.38,0.53,4.4,4.4,1.1,0.34,0.08,0.42,0.34,0.42,Matches,2017/2018,13.266666666666667
Jack Wilshere,eng ENG,MF,25.0,20,12,1193.0,1.0,3.0,0.0,0.0,6.0,0.0,0.08,0.23,0.3,0.08,0.3,1.1,1.1,2.3,0.08,0.17,0.26,0.08,0.26,Matches,2017/2018,13.255555555555556
Pierre-Emerick Aubameyang,ga GAB,FW,28.0,13,12,1057.0,10.0,4.0,1.0,2.0,0.0,0.0,0.85,0.34,1.19,0.77,1.11,8.3,6.8,1.1,0.71,0.09,0.8,0.58,0.67,Matches,2017/2018,11.744444444444444
Squad Total,,,,38,418,3420.0,73.0,61.0,4.0,5.0,,,1.92,1.61,3.53,1.82,3.42,63.1,59.3,45.8,1.66,1.21,2.87,1.56,2.77,,2017/2018,38.0
