Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
Pierre-Emerick Aubameyang,ga GAB,FW,31,6,6,540.0,1.0,1.0,0.0,0.0,1.0,0.0,0.17,0.17,0.33,0.17,0.33,0.8,0.8,1.1,0.13,0.18,0.32,0.13,0.32,Matches,2020/2021
Héctor Bellerín,es ESP,DF,25,6,6,540.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.33,0.33,0.0,0.33,0.1,0.1,0.4,0.01,0.07,0.08,0.01,0.08,Matches,2020/2021
Bernd Leno,de GER,GK,28,6,6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020/2021
Gabriel Dos Santos,br BRA,DF,22,5,5,450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.3,0.3,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2020/2021
Kieran Tierney,sco SCO,DF,23,5,5,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.01,0.09,0.09,0.01,0.09,Matches,2020/2021
Granit Xhaka,ch SUI,"MF,DF",28,6,5,409.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.06,0.03,0.09,0.06,0.09,Matches,2020/2021
Willian,br BRA,FW,32,5,5,363.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.6,0.6,0.7,0.15,0.18,0.33,0.15,0.33,Matches,2020/2021
Dani Ceballos,es ESP,MF,24,6,4,393.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.23,0.23,0.0,0.23,0.0,0.0,1.6,0.0,0.36,0.36,0.0,0.36,Matches,2020/2021
Alexandre Lacazette,fr FRA,FW,29,5,4,346.0,3.0,0.0,0.0,0.0,1.0,0.0,0.78,0.0,0.78,0.78,0.78,2.1,2.1,0.3,0.54,0.08,0.62,0.54,0.62,Matches,2020/2021
Bukayo Saka,eng ENG,"DF,FW",19,4,4,328.0,1.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,1.0,1.0,0.1,0.28,0.02,0.3,0.28,0.3,Matches,2020/2021
David Luiz,br BRA,DF,33,5,4,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2020/2021
Mohamed Elneny,eg EGY,MF,28,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.08,0.01,0.09,0.08,0.09,Matches,2020/2021
Rob Holding,eng ENG,DF,25,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020/2021
Ainsley Maitland-Niles,eng ENG,DF,23,3,2,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2020/2021
Nicolas Pépé,ci CIV,FW,25,6,1,206.0,1.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,0.4,0.4,0.1,0.18,0.03,0.21,0.18,0.21,Matches,2020/2021
Eddie Nketiah,eng ENG,FW,21,6,1,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.81,0.81,0.81,0.9,0.9,0.0,0.73,0.0,0.73,0.73,0.73,Matches,2020/2021
Thomas Partey,gh GHA,MF,27,2,1,98.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.06,0.06,0.0,0.06,Matches,2020/2021
Sead Kolašinac,ba BIH,DF,27,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020/2021
Shkodran Mustafi,de GER,DF,28,1,0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020/2021
Rúnar Alex Rúnarsson,is ISL,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,Matches,2020/2021
Matt Macey,eng ENG,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,Matches,2020/2021
Joe Willock,eng ENG,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,Matches,2020/2021
Squad Total,,,,6,66,540.0,8.0,6.0,0.0,0.0,8.0,0.0,1.33,1.0,2.33,1.33,2.33,6.5,6.5,4.9,1.09,0.81,1.9,1.09,1.9,,2020/2021
