player,sign_from
Bernd Leno,Bayer 04 Leverkusen
Emiliano Martínez,Arsenal FC U21
Matt Macey,Arsenal FC U21
William Saliba,AS Saint-Étienne
Sokratis,Borussia Dortmund
Calum Chambers,Southampton FC
Shkodran Mustafi,Valencia CF
David Luiz,Chelsea FC
Rob Holding,Bolton Wanderers
Pablo Marí,Clube de Regatas do Flamengo
Kieran Tierney,Celtic FC
Sead Kolasinac,FC Schalke 04
Héctor Bellerín,Arsenal FC U21
Ainsley Maitland-Niles,Arsenal FC U23
Cédric Soares,Southampton FC
Lucas Torreira,UC Sampdoria
Granit Xhaka,Borussia Mönchengladbach
Mattéo Guendouzi,FC Lorient
Dani Ceballos,Real Madrid
Joe Willock,Arsenal FC U23
Mesut Özil,Real Madrid
Gabriel Martinelli,Ituano Futebol Clube (SP)
Bukayo Saka,Arsenal FC U23
Nicolas Pépé,LOSC Lille
Reiss Nelson,Arsenal FC U23
Pierre-Emerick Aubameyang,Borussia Dortmund
Alexandre Lacazette,Olympique Lyon
Eddie Nketiah,Arsenal FC U23
