player,sign_from,Min
Tom Heaton,Burnley FC,1794.0
Jed Steer,Norwich City,7.0
Pepe Reina,AC Milan,810.0
Tyrone Mings,AFC Bournemouth,2632.0
Björn Engels,Stade Reims,1447.0
Ezri Konsa,Brentford FC,1769.0
Kortney Hause,Wolverhampton Wanderers,1530.0
Matt Targett,Southampton FC,2021.0
Neil Taylor,Swansea City,1091.0
Ahmed Elmohamady,Hull City,917.0
Marvelous Nakamba,Club Brugge KV,1803.0
Douglas Luiz,Manchester City,2342.0
John McGinn,Hibernian FC,2043.0
Conor Hourihane,Barnsley FC,1297.0
Henri Lansbury,Nottingham Forest,194.0
Jack Grealish,Aston Villa U23,2963.0
Anwar El Ghazi,LOSC Lille,2023.0
Jota,Birmingham City,335.0
Mbwana Samatta,KRC Genk,742.0
Keinan Davis,Aston Villa U23,479.0
