id,playerId,teamId,matchId,matchPeriod,eventSec,eventId,subEventId,StartX,StartY,EndX,EndY,accurate,recipientId,carryStartX,carryStartY,isCarry,carryStart,carryEnd,carryId,carryXGain,Position,Formation,lost,not_accurate,won,Right,blocked,interception,high,neutral,take_on_r,take_on_l,sliding_tackle,yellow_card,keypass,free_space_l,free_space_r,Left,counter_attack,anticipation,anticipated,Goal,opportunity,gr,through,or,olb,direct,glb,gtl,head_body,ot,missed_ball,assist,gt,gl,gc,gb,red_card,otr,otl,eventOrder,Feint,gbr,obr,dangerous_ball_lost,gtr,pbr,ol,pl,fairplay,pt,plb,ptr,ptl,second_yellow_card,own_goal,indirect,pr,seasonId,leagueId,recipientPosition,id,xG,seasonId
455229203,448597,10531,2830859,2,163.60886299999993,10,100,71,79,100,100,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,0,NULL,NULL,0,0,827,NULL,0,0,0,NULL,0,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,185728,346,0,455229203,0.03419054249117899,185728
455229527,448597,10531,2830859,2,995.227574,10,100,82,52,100,100,0,0,81,56,0,0,1,90,1,cf,4-2-3-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NULL,0,0,0,0,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,0,NULL,NULL,0,0,1087,NULL,0,1,0,NULL,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,185728,346,0,455229527,0.0017749299159986684,185728
455229676,448597,10531,2830859,2,1366.5352650000004,10,100,82,63,100,100,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,1,0,NULL,NULL,0,0,0,NULL,NULL,NULL,0,NULL,NULL,0,0,1216,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,185728,346,0,455229676,0.04495640750143185,185728
460634084,448597,10531,2830900,2,883.2080150000002,10,100,91,56,100,100,0,0,0,0,0,0,0,-1,0,cf,4-3-3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,0,NULL,NULL,0,0,NULL,0,0,1120,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,185728,346,0,460634084,0.01128704701005525,185728
460634097,448597,10531,2830900,2,949.599451,10,100,92,74,100,100,1,0,86,72,0,0,1,120,6,cf,4-3-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NULL,0,0,0,NULL,0,0,0,0,NULL,NULL,0,1,NULL,0,0,1143,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,185728,346,0,460634097,0.13196851916221164,185728
460634206,448597,10531,2830900,2,1484.3793560000004,10,100,90,39,100,100,0,0,0,0,0,0,0,-1,0,cf,4-3-3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,0,NULL,NULL,0,0,NULL,0,0,1290,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,185728,346,0,460634206,0.01150131609134103,185728
464176670,448597,10531,2830920,1,1975.135792,10,100,96,47,100,100,1,0,0,0,0,0,0,-1,0,cf,4-1-4-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,1,1,NULL,0,NULL,0,0,1,NULL,0,0,0,0,0,0,NULL,NULL,NULL,0,NULL,537,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,464176670,0.4432095092535569,185728
467232661,448597,10531,2830944,2,1682.2941959999998,10,100,91,67,0,0,0,0,49,63,0,0,1,94,42,cf,4-2-3-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,1,0,0,0,NULL,0,NULL,0,NULL,NULL,NULL,0,0,NULL,0,0,1258,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,467232661,0.12770372858873708,185728
467233021,448597,10531,2830944,2,2452.117134,10,100,92,34,0,0,0,0,0,0,0,0,0,-1,0,lamf,4-2-3-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,0,NULL,1,NULL,0,NULL,NULL,NULL,0,0,NULL,0,1,1493,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,467233021,0.07844558273357795,185728
469850637,448597,10531,2830973,2,2325.5529509999997,10,100,90,64,100,100,1,0,0,0,0,0,0,-1,0,cf,4-3-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,NULL,0,NULL,0,0,0,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,NULL,1511,0,1,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,469850637,0.2387836904715542,185728
