Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,668,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,38190,668,Successful,50.0,49.9,30.9,38.6,OpenPlay
Pass,0,3,24814,668,Unsuccessful,33.8,40.0,63.2,79,OpenPlay
Aerial,0,5,125476,668,Unsuccessful,66.1,83.4,,,OpenPlay
Aerial,0,5,88112,63,Successful,33.9,16.6,,,OpenPlay
Pass,0,6,88112,63,Unsuccessful,31.0,12.2,29.6,6.1,OpenPlay
Pass,0,9,38190,668,Unsuccessful,69.2,96.4,69.1,70.3,OpenPlay
Pass,0,9,238940,63,Unsuccessful,27.1,24.8,35.2,38.4,OpenPlay
BallTouch,0,11,278156,668,Unsuccessful,64.1,50.1,,,OpenPlay
BallRecovery,0,12,80764,63,Successful,32.0,37.3,,,OpenPlay
Foul,0,13,80764,63,Successful,33.0,49.0,,,OpenPlay
Foul,0,13,278156,668,Unsuccessful,67.0,51.0,,,OpenPlay
Pass,0,23,238940,63,Successful,31.0,40.7,35.9,59.9,OpenPlay
Pass,0,26,80764,63,Successful,43.8,65.8,37.1,38.8,OpenPlay
Pass,0,31,135914,63,Successful,37.7,36.4,61.2,63.6,OpenPlay
Pass,0,32,112161,63,Unsuccessful,61.2,63.6,76.2,60.2,OpenPlay
Pass,0,34,24814,668,Unsuccessful,21.7,31.3,31.7,33.6,OpenPlay
Pass,0,35,112161,63,Unsuccessful,66.8,62.3,68.8,62.3,OpenPlay
BallTouch,0,36,278156,668,Successful,30.8,36.1,,,OpenPlay
Pass,0,37,112161,63,Successful,70.0,59.0,71.4,49.4,OpenPlay
Pass,0,39,24248,63,Successful,71.4,49.4,68.2,57,OpenPlay
Pass,0,39,80764,63,Unsuccessful,68.2,57.0,78.2,62.9,OpenPlay
Pass,0,42,24814,668,Unsuccessful,23.0,35.1,45,94.2,OpenPlay
Aerial,0,47,125476,668,Unsuccessful,44.4,87.4,,,OpenPlay
Aerial,0,47,88112,63,Successful,55.6,12.6,,,OpenPlay
Pass,0,48,88112,63,Unsuccessful,54.5,20.0,62.3,25.2,OpenPlay
BallRecovery,0,50,339173,668,Successful,33.6,76.0,,,OpenPlay
Pass,0,52,339173,668,Successful,30.6,66.0,24.7,45.8,OpenPlay
Pass,0,54,24814,668,Successful,24.7,45.8,26.9,24.6,OpenPlay
Pass,0,57,31299,668,Unsuccessful,28.0,23.0,65.3,22.8,OpenPlay
BallRecovery,0,59,102173,63,Successful,36.1,68.2,,,OpenPlay
Pass,1,1,102173,63,Successful,31.4,65.2,39,60.6,OpenPlay
Pass,1,2,238940,63,Successful,39.0,60.6,31.5,43,OpenPlay
