Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,53,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24248,63,Successful,50.0,50.0,33.7,55.8,OpenPlay
Pass,0,3,135914,63,Successful,32.0,53.4,68.5,53.3,OpenPlay
Aerial,0,6,279839,53,Unsuccessful,28.0,41.2,,,OpenPlay
Aerial,0,6,112161,63,Successful,72.0,58.8,,,OpenPlay
Pass,0,8,112161,63,Unsuccessful,68.9,52.8,87,51.8,OpenPlay
Clearance,0,9,106885,53,Successful,13.5,46.3,4.5,0,OpenPlay
Pass,0,23,326646,63,Successful,96.3,100.0,93.1,91.4,ThrowIn
Pass,0,24,115472,63,Successful,92.7,91.2,93.4,96,OpenPlay
Pass,0,25,326646,63,Unsuccessful,93.3,96.0,86.1,92.3,OpenPlay
Pass,0,25,236575,53,Unsuccessful,20.5,5.3,44.9,0,OpenPlay
Pass,0,37,326646,63,Successful,82.3,100.0,88.5,85,ThrowIn
Dispossessed,0,38,115472,63,Successful,87.6,83.0,,,OpenPlay
Tackle,0,38,11386,53,Successful,12.4,17.0,,,OpenPlay
BallRecovery,0,39,11386,53,Successful,11.7,12.8,,,OpenPlay
Pass,0,41,11386,53,Successful,7.9,12.0,3.1,6.7,OpenPlay
Pass,0,43,130377,53,Unsuccessful,3.0,6.7,46.8,5.6,OpenPlay
Pass,0,45,135914,63,Successful,61.1,95.1,67.2,90.5,OpenPlay
Aerial,0,47,238940,63,Successful,63.3,93.8,,,OpenPlay
Aerial,0,47,236575,53,Unsuccessful,36.7,6.2,,,OpenPlay
Pass,0,48,238940,63,Unsuccessful,66.8,91.4,70,90.5,OpenPlay
Pass,0,50,11386,53,Unsuccessful,35.6,3.7,62.4,15.2,OpenPlay
Pass,0,51,77564,63,Successful,38.2,80.2,47.8,83.8,OpenPlay
Aerial,0,53,77922,53,Unsuccessful,53.0,15.7,,,OpenPlay
Aerial,0,53,112161,63,Successful,47.0,84.3,,,OpenPlay
Pass,0,54,112161,63,Unsuccessful,47.5,83.5,55.9,65.8,OpenPlay
Pass,0,56,127392,53,Successful,44.7,33.6,52,72.7,OpenPlay
Pass,1,1,56057,53,Successful,59.5,84.5,68.2,76.7,OpenPlay
Pass,1,3,344201,53,Successful,68.2,76.7,85.8,96.9,OpenPlay
TakeOn,1,7,56057,53,Unsuccessful,88.3,96.6,,,OpenPlay
Tackle,1,7,80764,63,Successful,11.7,3.4,,,OpenPlay
Pass,1,23,56057,53,Successful,90.6,100.0,80.8,85.1,ThrowIn
Pass,1,26,344201,53,Successful,78.6,89.9,56.5,93.2,OpenPlay
Pass,1,28,106885,53,Successful,55.5,92.3,46,50.3,OpenPlay
Pass,1,32,279839,53,Successful,46.4,42.1,55.1,5.6,OpenPlay
Pass,1,35,130377,53,Successful,55.1,5.6,65.4,4.9,OpenPlay
Pass,1,37,11386,53,Unsuccessful,65.4,4.9,66.5,4.7,OpenPlay
BlockedPass,1,37,326646,63,Successful,38.2,96.3,,,OpenPlay
Pass,1,52,130377,53,Unsuccessful,68.1,0.0,92.4,4.4,ThrowIn
Pass,1,56,135914,63,Unsuccessful,6.8,92.6,13,94.5,OpenPlay
Foul,1,58,326646,63,Unsuccessful,8.6,94.4,,,OpenPlay
Foul,1,58,11386,53,Successful,91.4,5.6,,,OpenPlay
Pass,2,57,236575,53,Unsuccessful,91.9,3.8,86.5,65.2,OpenPlay
Clearance,3,0,80764,63,Successful,13.0,34.2,19.7,0,OpenPlay
Pass,3,8,56057,53,Successful,78.4,100.0,55.1,75.7,ThrowIn
Pass,3,12,127392,53,Successful,55.1,75.7,78.2,13.5,OpenPlay
Pass,3,15,130377,53,Unsuccessful,78.2,13.5,82.7,35.2,OpenPlay
Clearance,3,16,135914,63,Successful,17.6,65.8,20.8,100,OpenPlay
Pass,3,29,130377,53,Successful,80.6,0.0,56.2,4.3,ThrowIn
Pass,3,32,236575,53,Successful,56.3,6.1,52.7,35.1,OpenPlay
Pass,3,34,127392,53,Successful,52.7,36.1,53,81.5,OpenPlay
Pass,3,37,106885,53,Successful,53.1,82.6,60.5,96.6,OpenPlay
Pass,3,39,56057,53,Unsuccessful,60.5,96.6,57.7,85.3,OpenPlay
BallRecovery,3,41,238940,63,Successful,44.0,11.4,,,OpenPlay
Pass,3,43,238940,63,Unsuccessful,55.2,21.0,64.1,39.4,OpenPlay
Pass,3,45,279839,53,Successful,32.6,47.8,37.3,40.7,OpenPlay
Pass,3,47,11386,53,Unsuccessful,37.3,40.7,42.6,4.3,OpenPlay
Pass,3,50,326646,63,Successful,69.1,94.1,76.2,76.6,OpenPlay
Pass,3,55,115472,63,Successful,84.2,92.4,77.2,89.6,OpenPlay
Pass,3,57,112161,63,Successful,77.2,89.6,53.4,58.4,OpenPlay
Pass,4,0,77564,63,Successful,53.3,58.2,57.1,89.4,OpenPlay
Pass,4,3,135914,63,Successful,57.5,89.4,65.6,97.2,OpenPlay
Pass,4,4,326646,63,Successful,65.6,97.8,55.2,95.9,OpenPlay
Pass,4,7,135914,63,Successful,53.1,95.6,39.2,64.5,OpenPlay
Pass,4,11,77564,63,Successful,38.0,61.8,45.8,96.5,OpenPlay
Pass,4,14,135914,63,Successful,45.9,96.5,54.2,97.5,OpenPlay
Foul,4,17,326646,63,Successful,53.5,97.4,,,OpenPlay
Foul,4,17,11386,53,Unsuccessful,46.5,2.6,,,OpenPlay
Pass,4,54,135914,63,Successful,55.1,96.2,78,72,OpenPlay
Aerial,4,56,279839,53,Unsuccessful,21.2,30.0,,,OpenPlay
Aerial,4,56,24248,63,Successful,78.8,70.0,,,OpenPlay
Pass,4,57,24248,63,Successful,78.2,71.5,75.1,78.4,OpenPlay
OffsideGiven,5,,135914,63,Unsuccessful,89.3,56.4,,,OpenPlay
Pass,5,0,115472,63,Successful,76.5,73.2,81.9,26.1,OpenPlay
Pass,5,3,83078,63,Unsuccessful,86.5,24.4,86.8,38.6,OpenPlay
Clearance,5,5,127392,53,Successful,12.7,61.5,28.6,94.7,OpenPlay
Pass,5,9,77922,53,Unsuccessful,29.3,95.2,30.8,95.2,OpenPlay
Foul,5,11,77922,53,Unsuccessful,29.1,94.4,,,OpenPlay
Foul,5,11,238940,63,Successful,70.9,5.6,,,OpenPlay
Card,5,27,77922,53,Successful,0.0,0.0,,,OpenPlay
OffsidePass,5,53,80764,63,Successful,66.4,8.8,89.3,56.4,OpenPlay
OffsideProvoked,5,53,11386,53,Successful,18.1,45.8,,,OpenPlay
Pass,6,15,332823,53,Successful,4.5,41.8,19.8,24.7,OpenPlay
Pass,6,16,279839,53,Successful,19.8,24.7,9.6,51.9,OpenPlay
Pass,6,18,332823,53,Successful,10.2,47.3,18.8,20,OpenPlay
Pass,6,21,279839,53,Successful,19.9,16.7,68.7,46.4,OpenPlay
Aerial,6,24,135914,63,Unsuccessful,34.0,55.0,,,OpenPlay
Aerial,6,24,255182,53,Successful,66.0,45.0,,,OpenPlay
Pass,6,24,255182,53,Unsuccessful,68.7,46.4,77.7,59.3,OpenPlay
Pass,6,26,83078,63,Successful,24.4,42.1,10,51,OpenPlay
KeeperPickup,6,28,76662,63,Successful,9.6,51.8,,,OpenPlay
Pass,6,32,76662,63,Successful,12.8,50.3,18.3,38.5,OpenPlay
Pass,6,35,77564,63,Successful,21.8,34.3,31.7,3.4,OpenPlay
Pass,6,38,83078,63,Successful,32.3,3.7,22.3,18.8,OpenPlay
Pass,6,42,77564,63,Unsuccessful,22.9,12.0,42.5,12.6,OpenPlay
BallTouch,6,44,127392,53,Unsuccessful,56.8,91.1,,,OpenPlay
Pass,6,50,83078,63,Successful,43.2,0.0,44.7,5.2,ThrowIn
Pass,6,52,80764,63,Successful,44.7,5.3,41.3,1.9,OpenPlay
Pass,6,53,83078,63,Successful,40.7,1.7,32,39.4,OpenPlay
Pass,6,55,135914,63,Unsuccessful,32.0,39.4,53.9,43.6,OpenPlay
BallRecovery,6,58,279839,53,Successful,46.5,58.1,,,OpenPlay
Pass,7,0,279839,53,Successful,51.6,59.1,60.4,96.9,OpenPlay
Dispossessed,7,4,344201,53,Successful,61.0,97.2,,,OpenPlay
Tackle,7,4,83078,63,Successful,39.0,2.8,,,OpenPlay
Pass,7,13,56057,53,Successful,54.9,100.0,36,91.5,ThrowIn
Pass,7,16,106885,53,Unsuccessful,36.1,91.5,56.1,91.7,OpenPlay
Pass,7,19,238940,63,Unsuccessful,41.2,6.7,58.2,17.1,OpenPlay
Pass,7,22,236575,53,Successful,41.2,73.8,43,82.6,OpenPlay
Aerial,7,24,254582,63,Unsuccessful,57.6,16.9,,,OpenPlay
Aerial,7,24,127392,53,Successful,42.4,83.1,,,OpenPlay
Pass,7,25,127392,53,Unsuccessful,43.0,82.6,47.4,67.9,OpenPlay
BallRecovery,7,27,112161,63,Successful,54.2,35.1,,,OpenPlay
Pass,7,27,112161,63,Successful,54.2,35.1,49.2,83.2,OpenPlay
Pass,7,32,326646,63,Successful,59.6,90.8,45.1,74.2,OpenPlay
Pass,7,35,135914,63,Successful,42.2,71.7,42.5,34.9,OpenPlay
Pass,7,37,77564,63,Successful,42.3,34.3,52.1,2.6,OpenPlay
Pass,7,40,83078,63,Unsuccessful,53.2,2.6,91.7,43.1,OpenPlay
KeeperPickup,7,43,332823,53,Successful,9.9,57.5,,,OpenPlay
Pass,7,45,332823,53,Successful,12.5,53.0,17.2,33.4,OpenPlay
Pass,7,52,279839,53,Successful,23.3,32.7,22.9,74.1,OpenPlay
Pass,7,56,106885,53,Successful,23.7,76.0,8.5,53.7,OpenPlay
Pass,7,59,332823,53,Successful,8.5,53.7,23.8,66.1,OpenPlay
Pass,8,1,127392,53,Successful,23.8,66.1,22.5,78.4,OpenPlay
Pass,8,6,106885,53,Unsuccessful,43.7,93.3,73,46.9,OpenPlay
Pass,8,9,135914,63,Unsuccessful,30.8,62.7,33.8,82.9,OpenPlay
BallTouch,8,12,130377,53,Unsuccessful,71.6,17.9,,,OpenPlay
BallRecovery,8,13,326646,63,Successful,24.5,75.4,,,OpenPlay
Pass,8,13,326646,63,Successful,24.5,75.4,28.1,70.9,OpenPlay
Pass,8,15,112161,63,Successful,26.6,73.6,21.9,89.3,OpenPlay
Pass,8,18,326646,63,Unsuccessful,21.8,89.7,62.5,54.8,OpenPlay
Pass,8,20,106885,53,Successful,38.4,40.9,29.9,28.9,OpenPlay
BallRecovery,8,22,279839,53,Successful,27.9,27.4,,,OpenPlay
Pass,8,24,279839,53,Successful,24.5,25.8,12.7,43,OpenPlay
Pass,8,27,332823,53,Successful,15.0,46.0,35.2,93.9,OpenPlay
Pass,8,33,56057,53,Successful,30.5,88.6,24.8,70.2,OpenPlay
Pass,8,35,106885,53,Successful,24.8,68.5,27.6,21,OpenPlay
Pass,8,39,279839,53,Unsuccessful,32.9,10.3,79.6,0,OpenPlay
Pass,9,0,326646,63,Successful,43.4,100.0,57.8,94.8,ThrowIn
Aerial,9,1,130377,53,Unsuccessful,41.6,4.6,,,OpenPlay
Aerial,9,1,24248,63,Successful,58.4,95.4,,,OpenPlay
Pass,9,2,24248,63,Unsuccessful,57.8,94.8,66.2,91.8,OpenPlay
Pass,9,3,279839,53,Unsuccessful,33.5,9.4,57.6,32.7,OpenPlay
Pass,9,4,77564,63,Unsuccessful,43.6,70.9,64.1,100,OpenPlay
Pass,9,18,130377,53,Successful,38.2,0.0,61.4,10.9,ThrowIn
Pass,9,22,11386,53,Unsuccessful,61.4,10.9,91.7,24,OpenPlay
Pass,9,24,77564,63,Successful,9.0,81.7,6.4,75.3,OpenPlay
KeeperPickup,9,26,76662,63,Successful,6.4,75.0,,,OpenPlay
Pass,9,37,76662,63,Successful,15.4,54.3,58.4,71.1,OpenPlay
Pass,9,41,24248,63,Unsuccessful,58.9,71.2,65.4,75.4,OpenPlay
Aerial,9,43,115472,63,Unsuccessful,69.2,77.3,,,OpenPlay
Aerial,9,43,130377,53,Successful,30.8,22.7,,,OpenPlay
Pass,9,44,130377,53,Successful,27.4,22.4,19.2,15,OpenPlay
Pass,9,45,279839,53,Unsuccessful,19.2,14.7,22.5,13.4,OpenPlay
BallTouch,9,47,115472,63,Successful,78.1,90.3,,,OpenPlay
Pass,9,58,130377,53,Successful,27.7,0.0,24.4,9.1,ThrowIn
Pass,9,59,279839,53,Unsuccessful,24.4,9.1,58.5,24.7,OpenPlay
Pass,10,0,135914,63,Unsuccessful,42.5,74.4,55.9,47,OpenPlay
Pass,10,4,56057,53,Successful,45.6,56.1,53.8,57.9,OpenPlay
Pass,10,5,77922,53,Unsuccessful,53.8,57.9,51.9,57.2,OpenPlay
BallRecovery,10,6,80764,63,Successful,49.1,40.0,,,OpenPlay
Pass,10,6,80764,63,Successful,49.1,40.0,46.1,43.3,OpenPlay
Pass,10,7,238940,63,Unsuccessful,47.1,43.0,76.4,35.8,OpenPlay
Clearance,10,11,279839,53,Successful,21.3,66.9,0,96.9,OpenPlay
CornerAwarded,10,13,238940,63,Successful,88.6,19.4,,,OpenPlay
CornerAwarded,10,13,279839,53,Unsuccessful,11.4,80.6,,,OpenPlay
Pass,10,44,83078,63,Unsuccessful,99.5,0.5,96.6,37.9,CornerTaken
Aerial,10,46,112161,63,Unsuccessful,96.2,36.4,,,OpenPlay
Aerial,10,46,279839,53,Successful,3.8,63.6,,,OpenPlay
Clearance,10,48,279839,53,Successful,4.1,65.1,0,79.4,OpenPlay
