Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,53,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,236575,53,Successful,49.8,49.7,30.4,55.5,OpenPlay
Pass,0,2,106885,53,Successful,30.4,55.5,44,80.8,OpenPlay
Pass,0,8,56057,53,Successful,55.8,81.5,45.7,54.6,OpenPlay
Pass,0,11,127392,53,Successful,44.7,49.1,48.1,22.2,OpenPlay
Pass,0,14,344200,53,Successful,46.4,17.1,55.9,3.7,OpenPlay
Pass,0,16,130377,53,Successful,53.1,8.0,40,18.3,OpenPlay
Pass,0,18,344200,53,Successful,40.0,18.3,32.9,41.2,OpenPlay
Pass,0,23,127392,53,Successful,34.4,42.1,45.3,17.3,OpenPlay
Pass,0,26,344200,53,Successful,43.4,19.2,40.2,81.2,OpenPlay
Pass,0,31,106885,53,Successful,42.0,83.9,69,74.7,OpenPlay
Pass,0,33,11386,53,Successful,70.1,73.6,65.4,82.9,OpenPlay
Pass,0,36,344201,53,Successful,74.4,83.0,86.7,95.1,OpenPlay
Pass,0,37,56057,53,Unsuccessful,86.7,94.8,90.5,64.9,OpenPlay
Clearance,0,39,102173,63,Successful,7.6,29.4,0,31.5,OpenPlay
CornerAwarded,0,40,102173,63,Unsuccessful,4.2,33.3,,,OpenPlay
CornerAwarded,0,40,56057,53,Successful,95.8,66.7,,,OpenPlay
Pass,1,9,236575,53,Successful,99.5,99.5,90.8,41.3,CornerTaken
Aerial,1,11,112161,63,Unsuccessful,8.2,59.6,,,OpenPlay
Aerial,1,11,106885,53,Successful,91.8,40.4,,,OpenPlay
SavedShot,1,12,106885,53,Successful,90.8,41.5,,,OpenPlay
Save,1,12,76662,63,Successful,0.7,51.3,,,OpenPlay
CornerAwarded,1,13,76662,63,Unsuccessful,5.0,54.9,,,OpenPlay
CornerAwarded,1,13,106885,53,Successful,95.0,45.1,,,OpenPlay
Pass,1,33,236575,53,Successful,99.5,99.5,91,55.7,CornerTaken
Pass,1,36,344200,53,Unsuccessful,90.3,55.5,91.4,41.3,OpenPlay
Clearance,1,37,127604,63,Successful,7.4,60.2,12.7,73.6,OpenPlay
Challenge,1,40,130377,53,Unsuccessful,85.7,18.6,,,OpenPlay
TakeOn,1,40,83078,63,Successful,14.3,81.4,,,OpenPlay
Aerial,1,40,130377,53,Unsuccessful,85.7,17.8,,,OpenPlay
Aerial,1,40,83078,63,Successful,14.3,82.2,,,OpenPlay
BallRecovery,1,41,83078,63,Successful,19.7,90.8,,,OpenPlay
Dispossessed,1,42,83078,63,Successful,23.4,92.6,,,OpenPlay
Tackle,1,42,11386,53,Successful,76.6,7.4,,,OpenPlay
Pass,1,57,326646,63,Successful,22.5,100.0,39.8,95.3,ThrowIn
BallTouch,1,59,91213,63,Unsuccessful,46.0,94.4,,,OpenPlay
OffsideGiven,2,,91213,63,Unsuccessful,70.9,74.0,,,OpenPlay
Pass,2,7,130377,53,Successful,53.9,0.0,35.6,10.4,ThrowIn
Pass,2,9,344200,53,Successful,35.2,10.9,30.3,67.2,OpenPlay
Pass,2,14,106885,53,Successful,32.0,79.7,38.2,95,OpenPlay
Challenge,2,16,80764,63,Unsuccessful,58.2,10.0,,,OpenPlay
TakeOn,2,16,56057,53,Successful,41.8,90.0,,,OpenPlay
Pass,2,18,56057,53,Unsuccessful,43.0,82.1,58.1,56.9,OpenPlay
Interception,2,20,132962,63,Successful,54.2,10.4,,,OpenPlay
BallRecovery,2,21,132962,63,Successful,41.7,39.4,,,OpenPlay
Foul,2,24,132962,63,Successful,46.4,45.0,,,OpenPlay
Foul,2,24,11386,53,Unsuccessful,53.6,55.0,,,OpenPlay
Pass,2,49,238940,63,Successful,44.2,42.1,40.4,74.8,OpenPlay
Pass,2,51,344156,63,Successful,40.4,74.8,52.6,94.1,OpenPlay
Pass,2,54,326646,63,Successful,52.7,94.4,44.5,87.1,OpenPlay
OffsidePass,2,57,344156,63,Successful,41.0,87.2,70.9,74,OpenPlay
OffsideProvoked,2,57,344200,53,Successful,26.6,31.6,,,OpenPlay
Pass,3,17,344200,53,Successful,30.2,34.0,45.8,95.4,OpenPlay
Pass,3,21,56057,53,Successful,44.0,95.3,56.7,93.6,OpenPlay
Pass,3,22,344201,53,Successful,56.6,93.3,45.9,79.3,OpenPlay
Foul,3,26,127604,63,Unsuccessful,48.4,22.4,,,OpenPlay
Foul,3,26,56057,53,Successful,51.6,77.6,,,OpenPlay
Pass,3,43,106885,53,Successful,52.0,78.1,80.4,89.1,OpenPlay
BallTouch,3,46,56057,53,Unsuccessful,79.6,85.1,,,OpenPlay
BallRecovery,3,48,102173,63,Successful,9.7,23.1,,,OpenPlay
Pass,3,49,102173,63,Unsuccessful,16.1,3.4,31.6,0,OpenPlay
Pass,4,16,83078,63,Unsuccessful,31.4,0.0,53.1,7.6,ThrowIn
Aerial,4,18,91213,63,Unsuccessful,56.9,8.0,,,OpenPlay
Aerial,4,18,106885,53,Successful,43.1,92.0,,,OpenPlay
Pass,4,19,106885,53,Successful,38.9,89.4,55.3,92.3,OpenPlay
BallRecovery,4,20,11386,53,Successful,55.3,92.0,,,OpenPlay
Pass,4,20,11386,53,Successful,55.2,92.0,42.3,93.6,OpenPlay
Pass,4,23,56057,53,Successful,43.2,95.9,53.1,96.6,OpenPlay
Pass,4,24,344201,53,Successful,53.1,96.6,43.5,90.2,OpenPlay
Pass,4,25,127392,53,Successful,43.2,89.7,28.6,50.3,OpenPlay
Pass,4,28,344200,53,Successful,28.6,50.3,45.8,6.5,OpenPlay
Pass,4,31,130377,53,Successful,45.8,6.5,58.2,27.4,OpenPlay
Dispossessed,4,33,77922,53,Successful,57.8,29.8,,,OpenPlay
Tackle,4,33,112161,63,Successful,42.2,70.2,,,OpenPlay
BallRecovery,4,34,112161,63,Successful,40.0,69.9,,,OpenPlay
Pass,4,35,112161,63,Successful,40.0,69.9,31.3,79,OpenPlay
Pass,4,36,326646,63,Successful,31.4,79.1,33.6,73.2,OpenPlay
Pass,4,37,238940,63,Successful,33.6,73.2,9.9,52.5,OpenPlay
Pass,4,43,76662,63,Successful,12.6,41.8,16.2,29.4,OpenPlay
Pass,4,48,102173,63,Unsuccessful,24.8,24.9,52.3,60.2,OpenPlay
Aerial,4,50,127604,63,Unsuccessful,53.7,59.7,,,OpenPlay
Aerial,4,50,344200,53,Successful,46.3,40.3,,,OpenPlay
Pass,4,51,344200,53,Successful,45.5,41.3,63.2,53.1,OpenPlay
BallTouch,4,53,11386,53,Unsuccessful,61.8,48.5,,,OpenPlay
Pass,4,55,112161,63,Successful,39.7,59.1,46.9,42.2,OpenPlay
Pass,4,56,80764,63,Successful,45.9,42.1,86.9,81.6,OpenPlay
TakeOn,5,2,91213,63,Unsuccessful,92.2,80.4,,,OpenPlay
Tackle,5,2,106885,53,Successful,7.8,19.6,,,OpenPlay
CornerAwarded,5,3,91213,63,Successful,92.1,80.4,,,OpenPlay
CornerAwarded,5,3,106885,53,Unsuccessful,7.9,19.6,,,OpenPlay
Pass,5,16,80764,63,Successful,99.5,99.5,95.6,78.8,CornerTaken
Pass,5,17,127604,63,Unsuccessful,96.4,80.6,93.5,57.9,OpenPlay
Clearance,5,18,127392,53,Successful,6.7,41.2,2,54.8,OpenPlay
KeeperPickup,5,21,332823,53,Successful,4.6,61.2,,,OpenPlay
Pass,5,25,332823,53,Successful,10.4,60.6,22.4,79,OpenPlay
Pass,5,30,106885,53,Successful,27.4,86.3,21.4,77.2,OpenPlay
Pass,5,35,56057,53,Successful,23.8,73.0,22.9,32.8,OpenPlay
Pass,5,39,344200,53,Successful,27.7,38.9,33.2,76.9,OpenPlay
Pass,5,44,106885,53,Unsuccessful,42.2,77.9,75.7,46.6,OpenPlay
Clearance,5,47,344156,63,Successful,24.1,59.0,28.9,30.7,OpenPlay
Pass,5,50,11386,53,Unsuccessful,67.2,71.2,70.3,76.6,OpenPlay
BallRecovery,5,51,83078,63,Successful,24.5,24.9,,,OpenPlay
Pass,5,52,83078,63,Successful,24.5,24.9,30.8,22.5,OpenPlay
Pass,5,54,80764,63,Unsuccessful,35.2,12.6,77.6,77.5,OpenPlay
BallRecovery,6,0,344200,53,Successful,17.4,18.6,,,OpenPlay
Pass,6,1,344200,53,Successful,20.2,17.6,7,35.5,OpenPlay
Pass,6,3,332823,53,Unsuccessful,8.7,34.6,36.9,26.2,OpenPlay
BallRecovery,6,5,132962,63,Successful,65.8,75.3,,,OpenPlay
Pass,6,9,132962,63,Successful,65.5,55.2,71.2,57,OpenPlay
Pass,6,10,91213,63,Successful,76.9,54.8,73.1,57.9,OpenPlay
Pass,6,11,80764,63,Successful,73.9,58.8,82.6,48.9,OpenPlay
Challenge,6,12,106885,53,Unsuccessful,13.5,49.6,,,OpenPlay
TakeOn,6,12,132962,63,Successful,86.5,50.4,,,OpenPlay
Dispossessed,6,13,132962,63,Successful,86.8,54.4,,,OpenPlay
Tackle,6,13,344200,53,Successful,13.2,45.6,,,OpenPlay
KeeperPickup,6,14,332823,53,Successful,7.8,53.9,,,OpenPlay
Pass,6,17,332823,53,Successful,12.5,47.0,21.9,25.6,OpenPlay
Pass,6,23,130377,53,Successful,34.6,6.1,34.6,21.9,OpenPlay
Pass,6,27,236575,53,Successful,39.6,35.3,39.5,91.5,OpenPlay
BallTouch,6,34,56057,53,Successful,45.4,91.4,,,OpenPlay
Pass,7,24,83078,63,Successful,38.9,0.0,34.5,7.5,ThrowIn
BallTouch,7,25,102173,63,Successful,52.1,4.6,,,OpenPlay
Foul,7,28,,63,Successful,73.0,54.0,,,OpenPlay
Foul,7,28,344200,53,Unsuccessful,27.0,46.0,,,OpenPlay
Save,9,0,344200,53,Successful,18.2,48.2,,,OpenPlay
SavedShot,9,0,83078,63,Successful,71.5,50.7,,,OpenPlay
Pass,9,4,102173,63,Successful,63.9,39.7,65,34,OpenPlay
BallTouch,9,10,238940,63,Unsuccessful,79.7,2.9,,,OpenPlay
Pass,9,28,56057,53,Successful,20.6,100.0,27.1,75.7,ThrowIn
Pass,9,29,236575,53,Successful,27.1,75.7,11.4,53,OpenPlay
Pass,9,34,344200,53,Successful,18.3,45.1,35.2,41.8,OpenPlay
Pass,9,35,77922,53,Unsuccessful,35.4,41.3,35.4,56.6,OpenPlay
BallRecovery,9,36,80764,63,Successful,62.2,41.9,,,OpenPlay
Pass,9,36,80764,63,Successful,62.2,41.9,53.3,47.9,OpenPlay
Pass,9,37,238940,63,Unsuccessful,53.3,47.9,52.5,48.1,OpenPlay
BallTouch,9,40,255182,53,Successful,45.5,54.6,,,OpenPlay
Pass,9,40,102173,63,Successful,40.8,38.6,34.2,61.4,OpenPlay
Pass,9,43,344156,63,Successful,34.8,66.9,55.8,94.8,OpenPlay
Pass,9,46,326646,63,Successful,51.8,95.0,36.8,84.7,OpenPlay
Pass,9,50,344156,63,Successful,32.8,67.0,33.9,41.2,OpenPlay
Pass,9,54,102173,63,Successful,37.2,37.0,35.3,59.6,OpenPlay
Pass,9,57,344156,63,Successful,34.9,62.3,67.8,48.9,OpenPlay
Pass,10,0,91213,63,Successful,68.1,47.0,67.8,59,OpenPlay
Pass,10,1,132962,63,Successful,67.6,62.9,80.6,87.4,OpenPlay
Pass,10,4,326646,63,Unsuccessful,84.8,87.6,92.3,48.2,OpenPlay
Foul,10,5,91213,63,Unsuccessful,92.2,42.2,,,OpenPlay
Foul,10,5,56057,53,Successful,7.8,57.8,,,OpenPlay
Pass,10,39,332823,53,Unsuccessful,8.2,57.8,77.4,12,OpenPlay
BallRecovery,10,46,326646,63,Successful,20.4,86.9,,,OpenPlay
Pass,10,46,326646,63,Successful,19.7,87.2,15.4,75.7,OpenPlay
Pass,10,48,344156,63,Unsuccessful,14.0,72.6,48.4,91.3,OpenPlay
Pass,10,52,130377,53,Unsuccessful,50.6,8.9,62.3,15.3,OpenPlay
Foul,10,53,112161,63,Successful,39.6,88.0,,,OpenPlay
Foul,10,53,236575,53,Unsuccessful,60.4,12.0,,,OpenPlay
OffsideGiven,11,,91213,63,Unsuccessful,75.7,74.7,,,OpenPlay
OffsidePass,11,32,344156,63,Successful,39.5,76.3,75.7,74.7,OpenPlay
OffsideProvoked,11,32,56057,53,Successful,24.9,71.3,,,OpenPlay
Pass,11,40,344200,53,Successful,16.4,13.0,24.2,29.9,OpenPlay
Pass,11,51,106885,53,Successful,20.1,76.6,59.3,64.3,OpenPlay
Pass,11,53,11386,53,Successful,59.3,64.3,64.9,56.6,OpenPlay
Foul,11,55,344156,63,Unsuccessful,36.0,46.5,,,OpenPlay
Foul,11,55,255182,53,Successful,64.0,53.5,,,OpenPlay
Pass,12,39,236575,53,Successful,64.4,50.9,93.3,72,OpenPlay
Aerial,12,41,80764,63,Unsuccessful,21.8,36.8,,,OpenPlay
Aerial,12,41,106885,53,Successful,78.2,63.2,,,OpenPlay
Pass,12,41,106885,53,Unsuccessful,93.3,72.0,92.7,54.6,OpenPlay
Clearance,12,43,238940,63,Successful,5.2,47.8,46.4,41.9,OpenPlay
Pass,12,47,56057,53,Successful,52.5,58.8,55.7,88.9,OpenPlay
Pass,12,50,236575,53,Successful,59.3,87.4,71.4,17.2,OpenPlay
Pass,12,53,11386,53,Successful,71.9,6.4,66.6,16.4,OpenPlay
Pass,12,55,130377,53,Successful,66.6,16.4,72.7,5,OpenPlay
Pass,12,56,11386,53,Unsuccessful,72.7,5.0,76.7,4.1,OpenPlay
