Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,65,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,103476,63,Successful,49.9,50.0,35,50.6,OpenPlay
Pass,0,2,238940,63,Unsuccessful,35.0,50.6,77.8,97.5,OpenPlay
Aerial,0,5,112161,63,Unsuccessful,77.2,95.2,,,OpenPlay
Aerial,0,5,90782,65,Successful,22.8,4.8,,,OpenPlay
Pass,0,7,90782,65,Successful,23.3,7.1,29.6,15.6,OpenPlay
Pass,0,8,284114,65,Unsuccessful,29.7,15.9,35.7,23.1,OpenPlay
Pass,0,10,103476,63,Successful,66.4,86.8,68,97.1,OpenPlay
Pass,0,11,112161,63,Successful,65.0,95.4,64.7,90.9,OpenPlay
Pass,0,12,80764,63,Unsuccessful,66.0,94.8,86.3,94.4,OpenPlay
Interception,0,14,12712,65,Successful,12.3,8.2,,,OpenPlay
Pass,0,24,112161,63,Successful,84.0,100.0,96.9,80.9,ThrowIn
Pass,0,26,127604,63,Successful,96.4,83.0,96.1,87.2,OpenPlay
Pass,0,27,112161,63,Successful,96.1,87.2,96.1,81.8,OpenPlay
BallTouch,0,28,127604,63,Successful,96.1,81.8,,,OpenPlay
BallRecovery,0,29,90782,65,Successful,5.0,20.1,,,OpenPlay
Pass,0,30,90782,65,Successful,3.1,12.4,4.6,19,OpenPlay
Pass,0,31,12712,65,Unsuccessful,4.8,17.0,26.4,21,OpenPlay
Pass,0,33,238940,63,Successful,75.5,78.4,75.7,85,OpenPlay
Pass,0,35,80764,63,Successful,76.2,86.2,79.6,98.7,OpenPlay
Pass,0,37,362431,63,Successful,79.6,97.8,76,88.9,OpenPlay
Pass,0,39,80764,63,Unsuccessful,76.0,88.9,91,57,OpenPlay
Clearance,0,40,236511,65,Successful,11.0,41.9,11.4,0,OpenPlay
Pass,0,59,112161,63,Successful,88.9,100.0,93.4,81.8,ThrowIn
Pass,1,1,91213,63,Successful,93.4,81.8,84,98.7,OpenPlay
Pass,1,4,112161,63,Successful,80.4,95.1,73.7,82.1,OpenPlay
Pass,1,6,238940,63,Successful,73.8,86.5,77,80.3,OpenPlay
MissedShots,1,8,91213,63,Successful,74.9,71.3,,,OpenPlay
Pass,1,18,80774,65,Successful,4.5,45.8,10.6,75.9,OpenPlay
Pass,1,19,236511,65,Successful,10.6,75.9,3.1,56.7,OpenPlay
Pass,1,20,80774,65,Successful,3.1,56.7,16.2,52.1,OpenPlay
Pass,1,23,22732,65,Successful,22.8,58.2,26,96,OpenPlay
Pass,1,26,351252,65,Successful,26.0,96.0,14.8,78.4,OpenPlay
Pass,1,29,236511,65,Successful,14.5,72.0,9.5,47,OpenPlay
Pass,1,32,80774,65,Successful,9.8,47.6,14.2,28.1,OpenPlay
Pass,1,39,12712,65,Successful,27.9,26.0,30.5,71.3,OpenPlay
Pass,1,43,236511,65,Successful,34.3,78.5,37.9,68.6,OpenPlay
Pass,1,44,22732,65,Successful,38.6,66.4,32.9,75.6,OpenPlay
Pass,1,46,236511,65,Successful,33.0,77.6,32.5,36.9,OpenPlay
Pass,1,52,12712,65,Successful,44.1,23.7,59.6,34.6,OpenPlay
Pass,1,54,22221,65,Successful,59.8,34.5,61.8,28.1,OpenPlay
Dispossessed,1,56,284114,65,Successful,66.7,31.0,,,OpenPlay
Tackle,1,56,238940,63,Successful,33.3,69.0,,,OpenPlay
BallRecovery,1,59,344156,63,Successful,29.9,60.0,,,OpenPlay
Pass,2,0,344156,63,Successful,29.9,60.0,30.6,37.9,OpenPlay
Pass,2,1,127604,63,Successful,30.6,37.9,21.6,43.1,OpenPlay
Pass,2,3,102173,63,Unsuccessful,24.3,38.5,55.9,34.6,OpenPlay
Aerial,2,5,236511,65,Unsuccessful,44.0,66.2,,,OpenPlay
Aerial,2,5,91213,63,Successful,56.0,33.8,,,OpenPlay
BallTouch,2,6,91213,63,Successful,56.0,34.6,,,OpenPlay
Pass,2,7,236511,65,Unsuccessful,39.7,69.9,45.3,68.8,OpenPlay
Foul,2,8,,65,Successful,43.6,72.8,,,OpenPlay
Foul,2,8,91213,63,Unsuccessful,56.4,27.2,,,OpenPlay
Pass,2,17,236511,65,Successful,41.3,71.4,44.4,31.2,OpenPlay
Pass,2,22,12712,65,Successful,44.4,31.2,64.1,4.9,OpenPlay
Pass,2,26,90782,65,Successful,64.1,4.9,56.7,14.9,OpenPlay
Pass,2,28,284114,65,Successful,57.8,17.0,61.8,29.7,OpenPlay
Pass,2,30,11119,65,Successful,61.2,36.4,48.1,36.3,OpenPlay
Pass,2,32,22732,65,Successful,48.3,38.3,47.5,61.1,OpenPlay
Pass,2,33,236511,65,Successful,47.5,63.1,62.3,94.7,OpenPlay
Pass,2,36,80241,65,Successful,59.9,93.6,65.4,87.1,OpenPlay
Pass,2,41,279423,65,Successful,63.9,93.3,54.7,93.2,OpenPlay
Pass,2,42,351252,65,Successful,54.7,93.2,39.8,74.4,OpenPlay
Pass,2,43,236511,65,Successful,42.1,75.3,42.2,27,OpenPlay
Pass,2,46,12712,65,Successful,42.5,28.3,55.2,26.8,OpenPlay
Challenge,2,50,362431,63,Unsuccessful,39.8,79.2,,,OpenPlay
TakeOn,2,50,284114,65,Successful,60.2,20.8,,,OpenPlay
Pass,2,51,284114,65,Successful,69.0,25.5,69,33.9,OpenPlay
Pass,2,52,11119,65,Unsuccessful,70.4,30.0,72.4,28.5,OpenPlay
BlockedPass,2,52,80764,63,Successful,34.3,71.7,,,OpenPlay
BallTouch,2,53,11119,65,Successful,70.8,29.4,,,OpenPlay
BallTouch,2,54,80764,63,Successful,32.9,70.3,,,OpenPlay
BallRecovery,2,54,103476,63,Successful,34.2,70.0,,,OpenPlay
Pass,2,55,103476,63,Successful,34.2,70.0,29.7,71.1,OpenPlay
Pass,2,56,238940,63,Unsuccessful,29.8,70.1,31.9,71.9,OpenPlay
BallTouch,2,57,284114,65,Successful,73.7,32.5,,,OpenPlay
BallRecovery,2,58,11119,65,Successful,74.9,39.2,,,OpenPlay
Pass,2,59,11119,65,Unsuccessful,73.2,47.5,78.6,60.8,OpenPlay
Interception,2,59,102173,63,Successful,20.9,42.4,,,OpenPlay
BallRecovery,3,0,127604,63,Successful,24.8,43.5,,,OpenPlay
Pass,3,1,127604,63,Unsuccessful,25.5,43.9,27.3,43.9,OpenPlay
BallTouch,3,2,279423,65,Successful,73.8,57.0,,,OpenPlay
Pass,3,3,102173,63,Successful,25.7,42.5,40.2,51.9,OpenPlay
Pass,3,4,91213,63,Unsuccessful,40.2,51.9,38.9,54.9,OpenPlay
Interception,3,5,22732,65,Successful,60.6,43.1,,,OpenPlay
Pass,3,6,236511,65,Successful,54.3,51.5,57.4,75.4,OpenPlay
Pass,3,8,351252,65,Successful,58.3,82.7,64.1,96.6,OpenPlay
Pass,3,10,80241,65,Successful,64.1,96.6,55.6,88.1,OpenPlay
Pass,3,13,351252,65,Successful,55.6,88.1,41.9,72.1,OpenPlay
Pass,3,16,236511,65,Successful,43.2,69.7,40.9,22.1,OpenPlay
Pass,3,20,12712,65,Successful,43.3,20.0,62.5,35.7,OpenPlay
Pass,3,23,11119,65,Successful,56.8,40.1,38.7,50.1,OpenPlay
Pass,3,26,236511,65,Successful,39.7,51.9,55,90,OpenPlay
Pass,3,31,351252,65,Successful,46.6,88.7,35.6,71.8,OpenPlay
Pass,3,34,236511,65,Successful,33.9,71.4,32.2,20.7,OpenPlay
Pass,3,37,12712,65,Successful,31.1,16.5,36,3.5,OpenPlay
Pass,3,39,90782,65,Successful,35.0,6.2,18.2,20.7,OpenPlay
Pass,3,42,12712,65,Successful,14.7,23.9,8,53.6,OpenPlay
Pass,3,45,80774,65,Successful,9.9,55.2,15,71.8,OpenPlay
Pass,3,48,236511,65,Successful,14.4,71.8,23.8,57.5,OpenPlay
Pass,3,51,22732,65,Successful,25.1,48.8,28.3,23,OpenPlay
Pass,3,54,12712,65,Successful,37.2,19.8,47.3,4.3,OpenPlay
Pass,3,57,11119,65,Successful,46.3,4.9,39.5,11.7,OpenPlay
Pass,3,58,90782,65,Successful,39.5,11.7,44.1,18.5,OpenPlay
Pass,3,59,284114,65,Successful,43.9,22.2,33.7,23.4,OpenPlay
Pass,4,3,12712,65,Successful,40.1,24.0,52.6,36.3,OpenPlay
Pass,4,4,22221,65,Successful,52.8,36.7,54.3,3.8,OpenPlay
Pass,4,8,11119,65,Successful,63.6,2.9,76,5.2,OpenPlay
Pass,4,10,90782,65,Unsuccessful,75.3,12.5,75.7,31.3,OpenPlay
Pass,4,15,103476,63,Successful,27.4,72.3,16.5,81.4,OpenPlay
Pass,4,18,112161,63,Successful,14.6,90.6,44,97.8,OpenPlay
Dispossessed,4,21,362431,63,Successful,38.3,97.0,,,OpenPlay
Tackle,4,21,12712,65,Successful,61.7,3.0,,,OpenPlay
Pass,4,36,112161,63,Successful,42.5,100.0,53.9,97.2,ThrowIn
Pass,4,37,80764,63,Unsuccessful,53.9,97.2,58.4,95.6,OpenPlay
Pass,4,38,22732,65,Unsuccessful,42.2,6.2,56.3,7.1,OpenPlay
Aerial,4,39,284114,65,Unsuccessful,54.2,7.2,,,OpenPlay
Aerial,4,39,112161,63,Successful,45.8,92.8,,,OpenPlay
Pass,4,40,112161,63,Unsuccessful,46.1,95.0,53,100,OpenPlay
Pass,4,46,90782,65,Successful,45.5,0.0,34.6,13.1,ThrowIn
Pass,4,47,12712,65,Successful,34.6,13.1,38.9,72.6,OpenPlay
Pass,4,52,351252,65,Successful,39.6,80.0,34.8,63.6,OpenPlay
Pass,4,56,236511,65,Successful,40.5,77.9,43.1,90.9,OpenPlay
Pass,4,59,351252,65,Successful,43.1,90.9,31.4,68.4,OpenPlay
Pass,5,1,236511,65,Successful,31.4,68.4,34.3,23.3,OpenPlay
Pass,5,9,12712,65,Unsuccessful,40.5,21.8,89.9,57.6,OpenPlay
KeeperPickup,5,13,76662,63,Successful,11.0,45.1,,,OpenPlay
Pass,5,18,76662,63,Successful,12.2,49.7,24.1,31.3,OpenPlay
Pass,5,21,102173,63,Successful,24.3,35.2,28.4,24.1,OpenPlay
Pass,5,23,103476,63,Successful,32.9,17.7,47.9,1.4,OpenPlay
Pass,5,25,83078,63,Successful,58.4,1.7,89,12.8,OpenPlay
