Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,62,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,91242,62,Successful,49.9,49.9,35.6,48.2,OpenPlay
Pass,0,3,93805,62,Successful,33.3,43.6,29.3,11.9,OpenPlay
Pass,0,5,79929,62,Successful,29.3,11.9,20.3,33,OpenPlay
Pass,0,8,320713,62,Successful,20.3,41.5,7,56.1,OpenPlay
Pass,0,10,120335,62,Successful,6.9,58.1,10,84.4,OpenPlay
Pass,0,14,88191,62,Successful,9.9,82.9,3.6,50.7,OpenPlay
Pass,0,16,120335,62,Successful,3.6,50.7,9.3,27.4,OpenPlay
Pass,0,18,320713,62,Successful,18.3,18.5,23.7,4,OpenPlay
Pass,0,20,79929,62,Successful,23.7,4.0,33.2,5.3,OpenPlay
Dispossessed,0,23,125838,62,Successful,36.7,5.6,,,OpenPlay
Tackle,0,23,326646,63,Unsuccessful,63.3,94.4,,,OpenPlay
Pass,0,24,79929,62,Unsuccessful,22.9,8.3,29.9,11.3,OpenPlay
BallTouch,0,25,362431,63,Successful,64.4,88.4,,,OpenPlay
Pass,0,27,111892,62,Successful,43.4,50.7,32.9,90.8,OpenPlay
Pass,0,32,146763,62,Successful,34.7,93.3,41.1,96.8,OpenPlay
Pass,0,38,106525,62,Successful,73.7,85.9,87.2,88,OpenPlay
Pass,0,40,146763,62,Unsuccessful,89.8,88.0,90.5,49.3,OpenPlay
Clearance,0,41,135914,63,Successful,7.6,47.0,37,3.4,OpenPlay
Aerial,0,45,127604,63,Unsuccessful,40.3,4.0,,,OpenPlay
Aerial,0,45,88191,62,Successful,59.7,96.0,,,OpenPlay
Pass,0,45,88191,62,Unsuccessful,56.4,95.4,59.6,100,OpenPlay
Pass,0,58,83078,63,Successful,36.1,0.0,17.3,10,ThrowIn
Pass,1,4,102173,63,Unsuccessful,17.5,8.2,43.3,20.3,OpenPlay
Pass,1,6,93805,62,Successful,52.5,69.4,41,58.2,OpenPlay
BallRecovery,1,9,320713,62,Successful,35.3,52.7,,,OpenPlay
Pass,1,9,320713,62,Successful,35.3,52.7,3.2,42.7,OpenPlay
Pass,1,16,120335,62,Successful,3.2,42.2,18.5,5.3,OpenPlay
Pass,1,18,320713,62,Successful,19.9,2.8,24.9,3.2,OpenPlay
BallRecovery,1,20,127604,63,Successful,74.8,95.7,,,OpenPlay
BallTouch,1,20,79929,62,Unsuccessful,24.9,3.2,,,OpenPlay
Challenge,1,21,79929,62,Unsuccessful,25.4,3.1,,,OpenPlay
TakeOn,1,21,127604,63,Successful,74.6,96.9,,,OpenPlay
Challenge,1,23,320713,62,Unsuccessful,26.2,5.7,,,OpenPlay
TakeOn,1,23,127604,63,Successful,73.8,94.3,,,OpenPlay
Pass,1,24,127604,63,Successful,73.7,98.0,77.6,97.7,OpenPlay
Foul,1,27,362431,63,Successful,79.5,97.0,,,OpenPlay
Foul,1,27,79929,62,Unsuccessful,20.5,3.0,,,OpenPlay
Pass,2,18,83078,63,Successful,79.7,98.3,95.5,48.7,OpenPlay
SavedShot,2,23,102173,63,Successful,95.5,48.7,,,OpenPlay
Save,2,23,120335,62,Successful,1.4,49.9,,,OpenPlay
CornerAwarded,2,24,102173,63,Successful,97.0,49.4,,,OpenPlay
CornerAwarded,2,24,120335,62,Unsuccessful,3.0,50.6,,,OpenPlay
Pass,2,51,83078,63,Unsuccessful,99.5,0.5,89.4,47.5,CornerTaken
Clearance,2,54,125838,62,Successful,7.3,53.9,28.7,40.1,OpenPlay
Aerial,2,57,326646,63,Unsuccessful,66.9,57.7,,,OpenPlay
Aerial,2,57,91242,62,Successful,33.1,42.3,,,OpenPlay
Pass,2,59,91242,62,Unsuccessful,32.1,39.5,38.8,37.3,OpenPlay
Pass,2,59,80764,63,Successful,52.1,65.7,15.8,47,OpenPlay
Pass,3,5,76662,63,Successful,14.8,45.5,22.1,30,OpenPlay
Pass,3,9,102173,63,Successful,23.8,26.4,27.5,57.2,OpenPlay
Pass,3,11,135914,63,Successful,27.8,57.9,33.2,68.7,OpenPlay
Pass,3,14,103476,63,Successful,38.1,72.0,56.4,96.5,OpenPlay
Foul,3,20,326646,63,Successful,70.6,92.9,,,OpenPlay
Foul,3,20,125838,62,Unsuccessful,29.4,7.1,,,OpenPlay
Pass,3,58,83078,63,Unsuccessful,70.6,87.1,86.9,45.5,OpenPlay
Clearance,4,1,79929,62,Successful,11.1,53.4,0.6,49.3,OpenPlay
Save,4,2,120335,62,Successful,0.8,49.6,,,OpenPlay
CornerAwarded,4,3,83078,63,Successful,94.2,49.7,,,OpenPlay
CornerAwarded,4,3,120335,62,Unsuccessful,5.8,50.3,,,OpenPlay
Pass,4,27,83078,63,Unsuccessful,99.5,99.5,93.1,50.6,CornerTaken
Aerial,4,31,135914,63,Unsuccessful,93.6,48.8,,,OpenPlay
Aerial,4,31,120335,62,Successful,6.4,51.2,,,OpenPlay
Punch,4,32,120335,62,Successful,5.6,50.1,6.5,59.4,OpenPlay
Foul,4,34,24248,63,Unsuccessful,92.7,45.4,,,OpenPlay
Foul,4,34,79929,62,Successful,7.3,54.6,,,OpenPlay
Pass,5,9,120335,62,Successful,4.6,49.4,8.4,66.4,OpenPlay
Pass,5,12,88191,62,Successful,9.8,69.6,20.7,64.9,OpenPlay
Pass,5,13,93805,62,Successful,20.7,64.9,10.2,82.4,OpenPlay
Pass,5,14,88191,62,Successful,10.0,86.0,19.5,97.4,OpenPlay
Pass,5,16,146763,62,Successful,19.5,97.4,10.9,92.9,OpenPlay
Pass,5,18,88191,62,Unsuccessful,10.3,92.9,12.1,92.3,OpenPlay
BlockedPass,5,18,127604,63,Successful,86.9,8.9,,,OpenPlay
Pass,5,30,146763,62,Unsuccessful,17.3,100.0,30.4,83.6,ThrowIn
Pass,5,33,102173,63,Unsuccessful,64.1,23.9,80.3,56.7,OpenPlay
Pass,5,34,79929,62,Successful,18.1,42.2,1.8,40,OpenPlay
KeeperPickup,5,37,120335,62,Successful,2.7,38.6,,,OpenPlay
Pass,5,40,120335,62,Successful,9.6,40.7,19.7,91.4,OpenPlay
Pass,5,44,146763,62,Unsuccessful,24.8,96.4,63,95.8,OpenPlay
Clearance,5,49,103476,63,Successful,28.3,8.0,26.9,0,OpenPlay
Pass,5,56,106525,62,Successful,69.0,100.0,41.7,94.8,ThrowIn
Pass,6,1,88191,62,Successful,41.8,91.2,38.6,54.3,OpenPlay
Pass,6,2,320713,62,Successful,37.3,50.6,42.1,11,OpenPlay
Pass,6,5,79929,62,Successful,42.1,11.0,69.8,5.3,OpenPlay
Pass,6,8,125838,62,Successful,69.5,4.0,61.1,12.3,OpenPlay
Pass,6,13,106590,62,Successful,60.9,10.9,45.7,67.8,OpenPlay
Pass,6,17,88191,62,Successful,46.0,69.9,54.2,85.7,OpenPlay
Pass,6,19,146763,62,Successful,54.2,86.3,62,94.4,OpenPlay
Pass,6,20,106525,62,Successful,62.0,94.4,53.7,88.1,OpenPlay
Pass,6,23,146763,62,Successful,52.7,84.4,41.8,69.3,OpenPlay
Pass,6,25,88191,62,Successful,41.8,69.3,43,39.8,OpenPlay
Pass,6,27,320713,62,Successful,44.7,35.2,47.1,12.8,OpenPlay
Pass,6,29,79929,62,Successful,47.1,12.8,57.2,18,OpenPlay
Pass,6,31,125838,62,Successful,57.8,21.6,54.5,29.2,OpenPlay
Pass,6,34,106590,62,Successful,58.0,26.5,59.8,34.2,OpenPlay
Pass,6,35,125838,62,Successful,59.6,34.2,52.3,41.8,OpenPlay
Pass,6,36,93805,62,Successful,52.3,41.8,59.4,85.9,OpenPlay
SavedShot,6,43,106525,62,Successful,70.9,54.8,,,OpenPlay
BallTouch,6,44,91242,62,Successful,81.9,53.6,,,OpenPlay
SavedShot,6,45,91242,62,Successful,81.9,56.0,,,OpenPlay
Save,6,45,76662,63,Successful,3.2,48.5,,,OpenPlay
KeeperPickup,6,46,76662,63,Successful,3.1,49.7,,,OpenPlay
Pass,6,55,76662,63,Successful,12.7,51.5,20.2,67.5,OpenPlay
Pass,6,59,135914,63,Successful,22.2,67.8,24.2,37.7,OpenPlay
Pass,7,4,102173,63,Successful,30.9,26.2,27.7,59.4,OpenPlay
Pass,7,9,135914,63,Successful,33.7,63.7,38.4,72,OpenPlay
Pass,7,11,112161,63,Successful,38.3,71.8,44.3,63.7,OpenPlay
Pass,7,13,103476,63,Successful,46.8,65.8,56,92.7,OpenPlay
Pass,7,19,326646,63,Successful,72.2,84.1,65.1,63,OpenPlay
Dispossessed,7,22,103476,63,Successful,68.6,62.6,,,OpenPlay
Tackle,7,22,111892,62,Successful,31.4,37.4,,,OpenPlay
BallTouch,7,22,103476,63,Successful,65.1,63.0,,,OpenPlay
Pass,7,23,93805,62,Unsuccessful,25.2,33.6,31.2,43.6,OpenPlay
Interception,7,25,80764,63,Successful,64.9,57.8,,,OpenPlay
BallRecovery,7,26,106525,62,Successful,35.7,57.3,,,OpenPlay
Pass,7,26,106525,62,Successful,35.7,57.3,86.8,6.4,OpenPlay
Pass,7,37,91242,62,Unsuccessful,89.7,25.2,89.7,56.9,OpenPlay
Clearance,7,37,83078,63,Successful,8.6,42.4,32.3,35.4,OpenPlay
Pass,7,41,93805,62,Successful,65.4,74.4,61.5,93.6,OpenPlay
Pass,7,47,146763,62,Successful,63.7,97.3,88,73.8,OpenPlay
BallTouch,7,48,106525,62,Unsuccessful,88.5,73.0,,,OpenPlay
BallRecovery,7,48,103476,63,Successful,14.4,34.8,,,OpenPlay
Pass,7,48,103476,63,Successful,14.4,34.8,16.2,41,OpenPlay
Pass,7,49,112161,63,Successful,16.2,41.0,11.1,35.2,OpenPlay
Pass,7,51,102173,63,Successful,9.9,33.6,19,7.3,OpenPlay
Pass,7,54,80764,63,Successful,20.4,5.8,19.3,26.5,OpenPlay
Pass,7,56,102173,63,Successful,19.3,26.5,23.6,24.9,OpenPlay
Pass,7,59,103476,63,Successful,22.7,28.6,28.6,37.3,OpenPlay
Pass,8,1,112161,63,Successful,31.9,34.8,31,27.1,OpenPlay
Pass,8,3,80764,63,Successful,31.7,30.9,31.9,68.1,OpenPlay
Pass,8,6,135914,63,Successful,33.2,69.4,55.7,93.9,OpenPlay
Pass,8,10,326646,63,Successful,59.9,92.3,64,74.7,OpenPlay
Pass,8,12,362431,63,Successful,64.2,74.2,73.1,88,OpenPlay
Pass,8,17,326646,63,Successful,79.4,97.1,73,80.9,OpenPlay
Pass,8,18,112161,63,Unsuccessful,72.8,77.6,74.6,76.7,OpenPlay
BallTouch,8,19,93805,62,Successful,24.9,22.2,,,OpenPlay
Pass,8,23,106590,62,Successful,25.2,19.1,24.1,21.8,OpenPlay
BallRecovery,8,24,93805,62,Successful,19.1,9.1,,,OpenPlay
Pass,8,26,93805,62,Unsuccessful,16.4,6.5,18.1,6.2,OpenPlay
BlockedPass,8,26,112161,63,Successful,80.9,88.3,,,OpenPlay
