Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,60,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,362431,63,Successful,50.0,50.0,29.7,47.8,OpenPlay
Pass,0,3,135914,63,Unsuccessful,29.6,47.6,70.1,63,OpenPlay
Pass,0,6,395235,60,Successful,24.7,37.4,17.4,52.1,OpenPlay
Aerial,0,6,395235,60,Successful,27.0,37.3,,,OpenPlay
Aerial,0,6,91213,63,Unsuccessful,73.0,62.7,,,OpenPlay
Pass,0,7,243271,60,Successful,17.5,53.0,31.9,50.3,OpenPlay
Pass,0,9,140929,60,Unsuccessful,29.9,53.4,38.5,51.5,OpenPlay
Pass,0,10,238940,63,Successful,64.2,48.1,61.3,58.2,OpenPlay
Pass,0,13,80764,63,Successful,55.5,63.7,42.8,53.1,OpenPlay
Pass,0,15,135914,63,Successful,42.6,52.1,46.6,66.4,OpenPlay
Pass,0,19,80764,63,Unsuccessful,56.1,73.0,59.8,75.6,OpenPlay
Interception,0,20,395235,60,Successful,31.0,22.8,,,OpenPlay
TakeOn,0,20,395235,60,Successful,36.8,18.0,,,OpenPlay
Challenge,0,20,362431,63,Unsuccessful,63.2,82.0,,,OpenPlay
BallRecovery,0,21,395235,60,Successful,33.1,23.4,,,OpenPlay
Foul,0,22,395235,60,Successful,37.6,14.1,,,OpenPlay
Foul,0,22,80764,63,Unsuccessful,62.4,85.9,,,OpenPlay
Pass,0,45,336836,60,Successful,35.0,9.5,75,47.5,OpenPlay
Pass,0,48,244303,60,Successful,75.2,48.1,74,24.6,OpenPlay
Foul,0,50,141068,60,Successful,77.7,28.5,,,OpenPlay
Foul,0,50,326646,63,Unsuccessful,22.3,71.5,,,OpenPlay
MissedShots,1,47,82630,60,Successful,77.4,32.0,,,OpenPlay
Pass,1,56,76662,63,Successful,4.8,55.8,12,30.7,OpenPlay
Pass,1,58,77564,63,Successful,13.1,28.8,23.9,33.1,OpenPlay
Pass,2,1,238940,63,Successful,27.6,35.2,29.6,63.4,OpenPlay
Pass,2,7,112161,63,Successful,40.5,76.7,45.4,68,OpenPlay
Pass,2,7,362431,63,Successful,46.7,67.9,44.2,75.4,OpenPlay
Pass,2,8,112161,63,Successful,44.2,75.4,38.3,63,OpenPlay
Pass,2,10,135914,63,Successful,38.3,62.0,42,32.2,OpenPlay
Pass,2,13,77564,63,Successful,46.7,29.7,67.4,38.2,OpenPlay
BallTouch,2,15,80764,63,Unsuccessful,71.4,33.6,,,OpenPlay
BallRecovery,2,16,97262,60,Successful,28.6,66.4,,,OpenPlay
BallTouch,2,18,97262,60,Unsuccessful,28.8,58.3,,,OpenPlay
BallRecovery,2,19,127604,63,Successful,68.9,48.4,,,OpenPlay
Pass,2,19,127604,63,Successful,68.6,45.1,69.8,48.4,OpenPlay
Pass,2,20,362431,63,Successful,70.0,51.6,65.3,50.1,OpenPlay
Pass,2,22,112161,63,Successful,65.9,51.9,78.3,75.1,OpenPlay
BallTouch,2,23,326646,63,Unsuccessful,78.6,74.7,,,OpenPlay
Pass,2,25,336836,60,Unsuccessful,24.4,34.8,56.3,0,OpenPlay
Pass,2,33,112161,63,Successful,46.5,100.0,38.4,95.1,ThrowIn
Pass,2,35,135914,63,Successful,38.5,94.1,44.4,93,OpenPlay
Pass,2,39,112161,63,Successful,47.2,90.2,48.1,76,OpenPlay
Pass,2,40,238940,63,Successful,48.1,76.0,52.9,89.1,OpenPlay
Pass,2,42,112161,63,Successful,54.5,90.5,84.4,86.9,OpenPlay
Pass,2,48,362431,63,Unsuccessful,90.2,97.7,85.1,94.5,OpenPlay
BallRecovery,2,49,141068,60,Successful,29.9,1.9,,,OpenPlay
Pass,2,50,141068,60,Unsuccessful,29.9,1.9,33.8,2,OpenPlay
BlockedPass,2,50,326646,63,Successful,84.5,95.0,,,OpenPlay
Pass,3,13,333111,60,Successful,21.8,0.0,41.6,7.7,ThrowIn
Pass,3,16,141068,60,Unsuccessful,43.6,10.4,29.5,38.4,OpenPlay
BallRecovery,3,18,91213,63,Successful,71.2,67.6,,,OpenPlay
Pass,3,20,91213,63,Successful,71.5,59.3,67.1,46.1,OpenPlay
Pass,3,22,127604,63,Unsuccessful,69.5,38.8,77.5,22.7,OpenPlay
Interception,3,23,82630,60,Successful,24.5,76.6,,,OpenPlay
BallRecovery,3,23,82630,60,Successful,21.3,78.7,,,OpenPlay
Pass,3,24,82630,60,Successful,16.2,80.0,12.4,75.4,OpenPlay
Pass,3,25,243271,60,Unsuccessful,12.7,74.0,38.2,97.3,OpenPlay
BallRecovery,3,29,238940,63,Successful,61.7,2.3,,,OpenPlay
Pass,3,30,238940,63,Unsuccessful,62.7,1.4,64.1,1.4,OpenPlay
BlockedPass,3,30,82630,60,Successful,35.3,95.4,,,OpenPlay
Pass,3,37,83078,63,Successful,67.1,0.0,59.1,4.3,ThrowIn
Pass,3,40,238940,63,Successful,54.4,6.4,18,9.1,OpenPlay
Pass,3,44,77564,63,Successful,18.0,9.1,3.9,44.5,OpenPlay
Pass,3,49,76662,63,Successful,3.8,44.5,11,72.4,OpenPlay
Pass,3,54,135914,63,Successful,20.7,75.0,25.7,60.2,OpenPlay
Foul,4,2,112161,63,Successful,45.5,73.4,,,OpenPlay
Foul,4,2,244303,60,Unsuccessful,54.5,26.6,,,OpenPlay
Pass,4,6,135914,63,Successful,37.8,70.9,43.6,56.3,OpenPlay
Pass,4,8,238940,63,Unsuccessful,45.4,54.0,94,50.7,OpenPlay
KeeperPickup,4,11,95915,60,Successful,6.9,49.9,,,OpenPlay
Pass,4,26,95915,60,Unsuccessful,24.9,48.8,65.8,14.3,OpenPlay
Aerial,4,29,80764,63,Successful,33.9,88.6,,,OpenPlay
Aerial,4,29,141068,60,Unsuccessful,66.1,11.4,,,OpenPlay
BallTouch,4,29,80764,63,Successful,34.0,91.5,,,OpenPlay
Pass,4,46,333111,60,Successful,68.3,0.0,68.4,11.1,ThrowIn
Pass,4,48,140929,60,Unsuccessful,69.5,3.2,65,3.2,OpenPlay
TakeOn,4,49,80764,63,Unsuccessful,32.2,96.4,,,OpenPlay
Tackle,4,49,333111,60,Unsuccessful,67.8,3.6,,,OpenPlay
BallTouch,4,50,80764,63,Successful,29.9,96.3,,,OpenPlay
Pass,4,53,333111,60,Unsuccessful,71.0,3.2,78.4,6.7,OpenPlay
Interception,4,53,326646,63,Successful,24.6,94.1,,,OpenPlay
Pass,4,54,112161,63,Successful,25.4,96.3,25.9,88.7,OpenPlay
BallRecovery,4,55,127604,63,Successful,25.7,86.2,,,OpenPlay
Pass,4,55,127604,63,Successful,27.8,84.5,23.6,73,OpenPlay
Pass,4,57,238940,63,Successful,23.4,73.2,15.1,45.4,OpenPlay
Pass,5,4,77564,63,Successful,25.3,36.1,35.1,68.1,OpenPlay
Pass,5,7,112161,63,Successful,41.7,69.6,52.3,65.2,OpenPlay
