Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,824,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,102157,824,Successful,49.3,50.0,44.5,44.5,OpenPlay
Pass,0,2,25714,824,Successful,44.4,44.3,52.9,7.7,OpenPlay
Pass,0,5,23634,824,Successful,52.9,7.7,21.9,10.7,OpenPlay
Pass,0,8,86826,824,Unsuccessful,22.4,8.9,54.6,3.7,OpenPlay
Aerial,0,10,23634,824,Unsuccessful,57.0,6.6,,,OpenPlay
Aerial,0,10,326646,63,Successful,43.0,93.4,,,OpenPlay
Pass,0,11,326646,63,Unsuccessful,39.7,93.1,46.7,100,OpenPlay
Pass,0,19,312851,824,Successful,48.4,0.0,48.1,7.4,ThrowIn
Pass,0,21,27384,824,Unsuccessful,48.1,7.0,67.6,1.9,OpenPlay
Pass,0,21,326646,63,Unsuccessful,30.0,95.4,48.4,100,OpenPlay
Pass,0,34,312851,824,Successful,53.1,0.0,64,8.7,ThrowIn
Pass,0,35,102157,824,Successful,65.5,11.6,68.4,7.3,OpenPlay
Pass,0,36,23634,824,Successful,67.9,5.0,71.3,20.1,OpenPlay
Pass,0,37,25714,824,Successful,73.4,19.2,67.8,26.6,OpenPlay
Pass,0,38,102157,824,Successful,68.8,25.6,69.7,63.1,OpenPlay
MissedShots,0,41,38820,824,Successful,73.2,60.8,,,OpenPlay
Pass,0,54,76662,63,Successful,4.4,44.2,11.7,25.5,OpenPlay
Pass,0,57,135914,63,Successful,11.7,25.5,9.4,74.8,OpenPlay
Pass,1,0,344156,63,Successful,9.6,74.7,22.7,64.6,OpenPlay
Pass,1,2,80764,63,Successful,22.7,64.6,11.6,82.1,OpenPlay
Pass,1,4,344156,63,Successful,11.4,83.2,25.2,73.6,OpenPlay
Pass,1,5,112161,63,Successful,25.2,73.6,22.8,64.6,OpenPlay
Pass,1,5,80764,63,Successful,22.8,64.6,14.3,51.6,OpenPlay
Pass,1,11,135914,63,Successful,11.7,45.2,28.8,5.9,OpenPlay
Pass,1,14,83078,63,Successful,29.0,2.3,23.3,5.3,OpenPlay
Pass,1,16,254582,63,Successful,25.3,6.7,12.8,29.2,OpenPlay
Pass,1,20,135914,63,Successful,13.3,34.2,20.2,12.2,OpenPlay
Pass,1,22,254582,63,Successful,20.9,14.4,26.9,2.5,OpenPlay
Pass,1,25,83078,63,Successful,27.0,2.5,51.5,24.9,OpenPlay
Pass,1,30,132962,63,Successful,68.8,23.6,75.4,5.8,OpenPlay
Pass,1,35,362431,63,Unsuccessful,89.0,23.3,98.3,39.2,OpenPlay
KeeperPickup,1,38,259393,824,Successful,8.8,55.2,,,OpenPlay
Pass,1,54,259393,824,Unsuccessful,12.5,53.9,59.9,76.7,OpenPlay
Pass,1,56,83078,63,Unsuccessful,33.5,24.4,46,25.9,OpenPlay
Pass,1,59,335696,824,Successful,51.2,79.0,46.9,96.2,OpenPlay
Pass,2,2,91438,824,Successful,46.2,95.3,55.6,98.4,OpenPlay
Pass,2,4,38820,824,Successful,55.6,98.4,42.6,97.4,OpenPlay
Pass,2,7,91438,824,Successful,40.5,95.1,18.7,46.7,OpenPlay
Pass,2,10,259393,824,Successful,18.7,46.7,39.1,4.1,OpenPlay
Pass,2,15,312851,824,Successful,28.8,4.6,21.8,13.4,OpenPlay
BallTouch,2,16,86826,824,Successful,21.8,13.4,,,OpenPlay
Pass,2,22,24248,63,Successful,86.9,100.0,79.8,93.2,ThrowIn
Pass,2,26,132962,63,Successful,78.6,93.0,58.6,88.1,OpenPlay
Pass,2,29,344156,63,Successful,58.6,88.1,64.6,93.8,OpenPlay
Pass,2,31,326646,63,Successful,64.6,93.8,41.4,90.3,OpenPlay
Pass,2,36,344156,63,Successful,31.9,79.4,29.5,45.4,OpenPlay
Pass,2,39,135914,63,Successful,29.6,36.6,45.9,2.8,OpenPlay
Pass,2,42,83078,63,Successful,50.8,2.2,44.8,3.8,OpenPlay
Pass,2,45,254582,63,Successful,44.8,6.5,33.7,27.3,OpenPlay
Pass,2,49,135914,63,Successful,32.9,30.4,35,15.6,OpenPlay
Pass,2,52,254582,63,Successful,34.4,14.1,39.7,1.3,OpenPlay
Foul,2,55,38820,824,Unsuccessful,59.4,94.6,,,OpenPlay
Foul,2,55,83078,63,Successful,40.6,5.4,,,OpenPlay
Card,3,6,38820,824,Successful,0.0,0.0,,,OpenPlay
Pass,4,29,135914,63,Successful,38.6,10.7,37.4,14.1,OpenPlay
Pass,4,32,80764,63,Successful,37.1,16.2,32.1,11.6,OpenPlay
Pass,4,35,135914,63,Unsuccessful,30.1,9.7,55.5,15.3,OpenPlay
Pass,4,37,335696,824,Successful,41.5,78.5,58.3,66.4,OpenPlay
Foul,4,39,25714,824,Successful,57.5,64.4,,,OpenPlay
Foul,4,39,112161,63,Unsuccessful,42.5,35.6,,,OpenPlay
Pass,4,48,27384,824,Successful,54.2,58.5,53.5,95.1,OpenPlay
Pass,4,50,91438,824,Successful,54.6,96.4,42,70.9,OpenPlay
Pass,4,53,10058,824,Successful,39.4,62.0,51.5,7.4,OpenPlay
Pass,4,55,312851,824,Successful,52.7,6.5,59.1,2.6,OpenPlay
Pass,4,57,23634,824,Unsuccessful,59.1,2.6,61.4,17.3,OpenPlay
Pass,4,58,80764,63,Successful,30.3,80.8,38.4,83.9,OpenPlay
BallRecovery,4,59,112161,63,Successful,39.9,83.6,,,OpenPlay
Pass,5,0,112161,63,Unsuccessful,41.9,82.9,70.9,46.4,OpenPlay
KeeperSweeper,5,3,259393,824,Successful,0.0,0.0,,,OpenPlay
Clearance,5,4,259393,824,Successful,27.0,49.0,44.9,0,OpenPlay
Pass,5,20,326646,63,Unsuccessful,52.8,100.0,61.2,94.2,ThrowIn
BallTouch,5,22,312851,824,Successful,36.9,6.0,,,OpenPlay
Pass,5,25,344156,63,Unsuccessful,40.5,94.2,61.5,59.3,OpenPlay
Pass,5,28,10058,824,Successful,35.8,47.3,42.4,61.8,OpenPlay
BallRecovery,5,32,38820,824,Successful,42.4,61.8,,,OpenPlay
Pass,5,32,38820,824,Successful,44.0,60.3,33.5,96.5,OpenPlay
Pass,5,35,91438,824,Unsuccessful,33.2,96.8,39.1,96.9,OpenPlay
Interception,5,35,83078,63,Successful,58.0,3.8,,,OpenPlay
BallRecovery,5,36,83078,63,Successful,59.9,5.6,,,OpenPlay
Pass,5,37,83078,63,Successful,59.9,5.6,55.9,19.1,OpenPlay
Pass,5,38,80764,63,Unsuccessful,56.0,19.1,66.4,23.7,OpenPlay
Pass,5,39,10058,824,Unsuccessful,30.6,71.7,32,71.7,OpenPlay
BallTouch,5,40,362431,63,Successful,65.5,24.1,,,OpenPlay
