Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,70,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,125293,70,Successful,49.7,49.9,33.7,33.7,OpenPlay
Pass,0,3,101659,70,Successful,33.7,33.7,61.8,63.3,OpenPlay
Pass,0,9,323148,70,Successful,63.0,71.1,59.8,85.7,OpenPlay
Pass,0,10,80957,70,Successful,57.9,85.3,38.6,79.1,OpenPlay
Pass,0,13,92691,70,Successful,37.6,76.5,29.9,49.9,OpenPlay
Pass,0,15,67327,70,Successful,28.1,49.5,31.3,18.8,OpenPlay
Pass,0,18,101659,70,Unsuccessful,34.9,13.5,68.1,10.7,OpenPlay
Clearance,0,20,344156,63,Successful,27.0,90.9,29.7,100,OpenPlay
Pass,0,28,384566,70,Successful,60.7,0.0,44.6,5.5,ThrowIn
Pass,0,32,101659,70,Successful,40.3,13.4,27.3,64.5,OpenPlay
Pass,0,40,92691,70,Successful,34.5,71.8,28.6,51.2,OpenPlay
Pass,0,42,67327,70,Successful,28.6,50.0,30.3,27.3,OpenPlay
Pass,0,45,101659,70,Successful,28.7,23.9,27.2,51,OpenPlay
Pass,0,54,67327,70,Successful,28.2,58.5,28.9,83.9,OpenPlay
Pass,0,56,92691,70,Successful,29.5,86.8,41,94.8,OpenPlay
Pass,1,0,80957,70,Successful,35.7,86.0,30.3,66.6,OpenPlay
Pass,1,2,67327,70,Unsuccessful,31.9,64.9,56.3,16.1,OpenPlay
BallRecovery,1,3,80764,63,Successful,45.6,85.7,,,OpenPlay
Pass,1,6,80764,63,Successful,54.7,88.0,41,94.4,OpenPlay
Pass,1,7,112161,63,Successful,40.8,94.8,42.1,78.2,OpenPlay
Pass,1,10,238940,63,Successful,39.9,75.4,33.9,39.2,OpenPlay
Pass,1,13,102173,63,Successful,40.2,31.5,58,27.9,OpenPlay
BallTouch,1,15,127604,63,Unsuccessful,58.0,27.7,,,OpenPlay
BallRecovery,1,16,323148,70,Successful,39.0,75.6,,,OpenPlay
Pass,1,16,323148,70,Successful,43.2,74.4,36.9,77.9,OpenPlay
Pass,1,20,92691,70,Successful,32.5,73.8,27.5,33.4,OpenPlay
Pass,1,24,101659,70,Successful,27.2,36.9,32.5,4.1,OpenPlay
Pass,1,26,384566,70,Successful,31.8,2.9,36.2,16.9,OpenPlay
Pass,1,28,127220,70,Successful,34.7,13.4,38.4,4.4,OpenPlay
Pass,1,30,384566,70,Successful,51.7,2.7,64,10.6,OpenPlay
Pass,1,31,125293,70,Successful,64.9,8.0,67.7,3.4,OpenPlay
Foul,1,38,112161,63,Unsuccessful,23.9,87.4,,,OpenPlay
Foul,1,38,384566,70,Successful,76.1,12.6,,,OpenPlay
Pass,2,35,33556,70,Unsuccessful,78.3,10.7,92.8,49.4,OpenPlay
Clearance,2,38,344156,63,Successful,8.0,48.2,19.2,68.7,OpenPlay
Pass,2,40,127604,63,Unsuccessful,19.3,70.2,33,73.6,OpenPlay
Pass,2,45,384566,70,Unsuccessful,62.0,34.2,100,17,OpenPlay
Pass,3,4,76662,63,Successful,4.2,58.8,52.1,89,OpenPlay
Aerial,3,6,384566,70,Unsuccessful,44.2,10.4,,,OpenPlay
Aerial,3,6,112161,63,Successful,55.8,89.6,,,OpenPlay
Pass,3,7,112161,63,Unsuccessful,50.7,89.6,66.8,80.4,OpenPlay
Clearance,3,10,101659,70,Successful,29.9,20.0,32.5,0,OpenPlay
Pass,3,19,112161,63,Successful,62.0,100.0,96.8,87.4,ThrowIn
Pass,3,23,91213,63,Successful,95.7,91.5,87.9,75.3,OpenPlay
Challenge,3,26,323148,70,Unsuccessful,4.5,27.5,,,OpenPlay
TakeOn,3,26,91430,63,Successful,95.5,72.5,,,OpenPlay
Pass,3,27,91430,63,Successful,95.9,74.1,89,5.8,OpenPlay
Pass,3,31,83078,63,Unsuccessful,88.4,5.6,93,46.6,OpenPlay
Clearance,3,34,67327,70,Successful,6.1,55.9,30.1,74.2,OpenPlay
Pass,3,36,238940,63,Successful,71.9,17.3,73.2,5.9,OpenPlay
Pass,3,38,103476,63,Successful,73.2,5.9,68,20.7,OpenPlay
