Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,819,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,31151,819,Successful,50.2,49.9,51.7,52.7,OpenPlay
Pass,0,2,105026,819,Unsuccessful,53.2,54.2,87.4,100,OpenPlay
Pass,0,7,83078,63,Successful,20.7,0.0,22.2,8.8,ThrowIn
Pass,0,8,238940,63,Successful,22.2,8.8,19.9,2,OpenPlay
Pass,0,10,83078,63,Successful,19.9,2.0,36.3,11.4,OpenPlay
Pass,0,12,362431,63,Unsuccessful,36.3,11.4,45,18.5,OpenPlay
Pass,0,14,294192,819,Successful,54.5,71.4,66.3,59.9,OpenPlay
Dispossessed,0,14,31151,819,Successful,68.9,65.8,,,OpenPlay
Tackle,0,14,238940,63,Successful,31.1,34.2,,,OpenPlay
Pass,0,16,112161,63,Successful,31.4,34.8,48,49.4,OpenPlay
Pass,0,17,91213,63,Unsuccessful,48.0,49.4,44.4,51.6,OpenPlay
Pass,0,20,303016,819,Successful,57.8,35.5,73.3,12.5,OpenPlay
BallRecovery,0,20,303016,819,Successful,54.4,43.5,,,OpenPlay
Pass,0,22,140771,819,Successful,73.8,12.2,58.4,7.1,OpenPlay
Pass,0,25,91434,819,Successful,59.3,7.1,37.4,26.2,OpenPlay
Pass,0,28,332990,819,Successful,37.4,27.4,54.3,5.8,OpenPlay
Pass,0,34,91434,819,Successful,57.1,4.8,69.9,4.4,OpenPlay
BallTouch,0,37,83705,819,Unsuccessful,69.8,3.7,,,OpenPlay
BallRecovery,0,39,135914,63,Successful,7.7,92.6,,,OpenPlay
Pass,0,41,135914,63,Unsuccessful,8.5,88.9,9.8,89.9,OpenPlay
BlockedPass,0,41,140771,819,Successful,93.0,6.8,,,OpenPlay
Pass,0,53,326646,63,Unsuccessful,11.7,100.0,38,93.8,ThrowIn
Pass,0,57,332990,819,Unsuccessful,58.8,8.9,68.8,8.5,OpenPlay
Pass,0,58,112161,63,Successful,30.6,90.0,41.1,90.8,OpenPlay
Pass,0,59,362431,63,Unsuccessful,41.1,90.8,52.9,92.6,OpenPlay
Aerial,1,1,91213,63,Unsuccessful,55.8,90.6,,,OpenPlay
Aerial,1,1,294192,819,Successful,44.2,9.4,,,OpenPlay
BallTouch,1,3,294192,819,Successful,46.0,10.4,,,OpenPlay
BallRecovery,1,5,332990,819,Successful,33.0,5.8,,,OpenPlay
Pass,1,6,332990,819,Successful,33.0,5.8,10.3,39.7,OpenPlay
Pass,1,10,243262,819,Successful,11.4,41.0,27.3,7.1,OpenPlay
Pass,1,15,332990,819,Unsuccessful,37.5,5.0,91.7,30.3,OpenPlay
BallRecovery,1,19,76662,63,Successful,8.0,73.8,,,OpenPlay
Pass,1,31,76662,63,Successful,14.5,50.4,62.5,58.8,OpenPlay
Aerial,1,35,294192,819,Unsuccessful,36.4,44.0,,,OpenPlay
Aerial,1,35,362431,63,Successful,63.6,56.0,,,OpenPlay
Pass,1,36,362431,63,Successful,62.5,58.8,69.7,57.3,OpenPlay
Dispossessed,1,38,91213,63,Successful,69.9,57.2,,,OpenPlay
Tackle,1,38,294192,819,Unsuccessful,30.1,42.8,,,OpenPlay
BallTouch,1,39,91213,63,Successful,69.4,60.8,,,OpenPlay
Pass,1,40,362431,63,Successful,68.4,60.8,70.2,63.1,OpenPlay
Pass,1,42,80764,63,Unsuccessful,71.0,64.2,97.6,24.6,OpenPlay
KeeperPickup,1,45,243262,819,Successful,3.6,72.3,,,OpenPlay
Pass,2,4,243262,819,Successful,14.3,56.6,67.1,42.4,OpenPlay
BallTouch,2,11,31151,819,Successful,67.4,43.0,,,OpenPlay
Foul,2,14,363496,819,Successful,66.8,65.9,,,OpenPlay
Foul,2,14,80764,63,Unsuccessful,33.2,34.1,,,OpenPlay
Pass,2,47,363496,819,Successful,67.0,70.5,94,28.2,OpenPlay
Pass,2,50,31151,819,Successful,94.1,28.0,87.1,6.1,OpenPlay
Clearance,2,53,238940,63,Successful,5.8,92.9,5.8,92.9,OpenPlay
Pass,2,53,83705,819,Unsuccessful,90.0,6.4,90.1,9.5,OpenPlay
BallRecovery,2,56,326646,63,Successful,11.4,87.5,,,OpenPlay
Foul,2,58,83705,819,Unsuccessful,79.9,9.6,,,OpenPlay
Foul,2,58,326646,63,Successful,20.1,90.4,,,OpenPlay
Pass,3,21,135914,63,Successful,24.2,91.5,61,76.6,OpenPlay
Pass,3,23,91213,63,Unsuccessful,61.0,76.6,49,66.4,OpenPlay
Pass,3,25,31151,819,Unsuccessful,52.3,34.0,44.4,28.8,OpenPlay
Pass,3,27,112161,63,Successful,53.8,70.6,35.9,63.7,OpenPlay
Pass,3,33,135914,63,Successful,23.1,59.7,28.7,58.1,OpenPlay
Pass,3,36,238940,63,Successful,29.9,56.6,54.1,31.9,OpenPlay
Pass,3,38,362431,63,Successful,53.7,25.5,56,2.9,OpenPlay
Pass,3,41,83078,63,Successful,58.0,3.2,55,10.4,OpenPlay
Pass,3,42,80764,63,Successful,55.0,10.4,59.4,18.2,OpenPlay
BallTouch,3,43,132962,63,Unsuccessful,60.0,18.8,,,OpenPlay
Foul,3,47,105026,819,Successful,33.5,74.9,,,OpenPlay
Foul,3,47,132962,63,Unsuccessful,66.5,25.1,,,OpenPlay
Pass,4,22,243262,819,Unsuccessful,32.3,73.8,74.1,88.2,OpenPlay
