Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,925,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,18275,925,Successful,49.9,50.1,36.3,50,OpenPlay
Pass,0,4,381671,925,Successful,37.2,41.8,31.9,7.3,OpenPlay
Pass,0,6,101084,925,Unsuccessful,34.1,2.9,37.5,2.3,OpenPlay
BlockedPass,0,6,112161,63,Successful,58.6,97.4,,,OpenPlay
Pass,0,13,101084,925,Successful,46.5,0.0,25.9,19.7,ThrowIn
Pass,0,16,322772,925,Successful,27.0,20.0,23.8,65.1,OpenPlay
Pass,0,19,313121,925,Successful,23.6,72.0,28.8,93.9,OpenPlay
Pass,0,22,34525,925,Unsuccessful,26.7,92.4,38.7,75,OpenPlay
BallRecovery,0,23,80764,63,Successful,61.0,16.9,,,OpenPlay
Pass,0,24,80764,63,Successful,61.5,14.0,72.9,19.3,OpenPlay
Pass,0,25,127604,63,Successful,72.9,19.3,78.3,5.6,OpenPlay
BallTouch,0,30,254582,63,Unsuccessful,98.9,20.0,,,OpenPlay
BallRecovery,0,31,34525,925,Successful,1.0,73.2,,,OpenPlay
Pass,0,32,34525,925,Unsuccessful,1.0,73.2,44.8,93,OpenPlay
Pass,0,35,77564,63,Successful,56.4,4.8,63.7,11.2,OpenPlay
Pass,0,36,77059,63,Unsuccessful,60.6,11.6,72.5,13,OpenPlay
Pass,0,41,34525,925,Unsuccessful,24.7,93.3,44.4,100,OpenPlay
Pass,0,50,77059,63,Successful,53.7,0.0,64.9,7.7,ThrowIn
Pass,0,52,91430,63,Successful,62.5,4.1,59.3,0.5,OpenPlay
Pass,0,53,77059,63,Successful,60.2,0.5,60.8,2.5,OpenPlay
Pass,0,59,254582,63,Successful,59.7,3.8,61.8,84.3,OpenPlay
Pass,1,3,326646,63,Successful,59.4,82.8,67.5,91.4,OpenPlay
Pass,1,5,127604,63,Successful,67.5,91.4,58,83.7,OpenPlay
Pass,1,7,112161,63,Successful,60.4,85.1,66.9,80.4,OpenPlay
Pass,1,8,80764,63,Successful,66.9,80.4,72.5,96.6,OpenPlay
TakeOn,1,14,127604,63,Unsuccessful,91.2,73.0,,,OpenPlay
Tackle,1,14,322772,925,Unsuccessful,8.8,27.0,,,OpenPlay
BallRecovery,1,16,101084,925,Successful,9.7,22.4,,,OpenPlay
BallTouch,1,16,127604,63,Successful,91.4,74.3,,,OpenPlay
Pass,1,17,101084,925,Unsuccessful,9.5,22.7,26.9,7.1,OpenPlay
Challenge,1,19,106591,925,Unsuccessful,19.0,4.8,,,OpenPlay
TakeOn,1,19,112161,63,Successful,81.0,95.2,,,OpenPlay
BallRecovery,1,20,112161,63,Successful,83.4,94.7,,,OpenPlay
Pass,1,23,112161,63,Unsuccessful,94.6,95.0,100,57.2,OpenPlay
Pass,1,51,141073,925,Unsuccessful,4.3,47.6,72,61.7,OpenPlay
Pass,1,54,77564,63,Unsuccessful,25.7,43.4,36.6,47,OpenPlay
Aerial,1,56,80764,63,Unsuccessful,36.0,45.9,,,OpenPlay
Aerial,1,56,118266,925,Successful,64.0,54.1,,,OpenPlay
BallTouch,1,57,118266,925,Successful,60.7,51.3,,,OpenPlay
Pass,2,0,381671,925,Successful,59.9,42.1,53.7,13.4,OpenPlay
