Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,825,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,112161,63,Successful,50.0,50.0,30.1,40.1,OpenPlay
Pass,0,5,77564,63,Unsuccessful,32.5,36.1,84.9,52.2,OpenPlay
KeeperPickup,0,10,11188,825,Successful,13.8,48.1,,,OpenPlay
Pass,0,11,11188,825,Successful,14.5,49.6,23,90.6,OpenPlay
Pass,0,15,125376,825,Successful,25.9,91.4,29.6,85,OpenPlay
Pass,0,16,108176,825,Successful,29.6,85.0,33.9,96.9,OpenPlay
Challenge,0,19,238940,63,Unsuccessful,58.8,4.9,,,OpenPlay
TakeOn,0,19,125376,825,Successful,41.2,95.1,,,OpenPlay
Pass,0,20,125376,825,Successful,46.1,95.7,48.2,76.6,OpenPlay
Pass,0,24,108176,825,Successful,47.3,76.0,37.5,82.9,OpenPlay
Pass,0,25,248088,825,Successful,37.5,82.9,66.3,87.5,OpenPlay
Pass,0,30,114170,825,Unsuccessful,66.3,87.5,79.1,75.7,OpenPlay
Pass,0,30,77564,63,Successful,25.8,22.7,19.7,37.3,OpenPlay
BallRecovery,0,32,102173,63,Successful,19.7,37.7,,,OpenPlay
Pass,0,33,102173,63,Unsuccessful,2.3,42.1,0,17.4,OpenPlay
CornerAwarded,0,35,102173,63,Unsuccessful,9.6,20.8,,,OpenPlay
CornerAwarded,0,35,114170,825,Successful,90.4,79.2,,,OpenPlay
Pass,0,55,114170,825,Unsuccessful,99.5,99.5,95,65.5,CornerTaken
Foul,1,0,127604,63,Successful,6.3,34.5,,,OpenPlay
Foul,1,0,248088,825,Unsuccessful,93.7,65.5,,,OpenPlay
Pass,1,22,76662,63,Unsuccessful,12.4,25.3,52.3,6.2,OpenPlay
Foul,1,24,77059,63,Unsuccessful,52.2,6.0,,,OpenPlay
Foul,1,24,114170,825,Successful,47.8,94.0,,,OpenPlay
Pass,3,15,125376,825,Unsuccessful,47.2,95.6,65.8,33.9,OpenPlay
Pass,3,19,112161,63,Unsuccessful,32.1,62.7,48.9,69,OpenPlay
Pass,3,22,290842,825,Successful,47.9,13.1,56.2,2,OpenPlay
Challenge,3,23,112161,63,Unsuccessful,42.2,95.0,,,OpenPlay
TakeOn,3,23,40346,825,Successful,57.8,5.0,,,OpenPlay
Pass,3,24,40346,825,Successful,55.0,4.6,55,12.9,OpenPlay
Pass,3,25,93820,825,Successful,57.8,11.6,57.6,4,OpenPlay
Pass,3,27,40346,825,Unsuccessful,56.3,3.1,61.4,6,OpenPlay
BallTouch,3,30,254582,63,Successful,35.6,96.9,,,OpenPlay
Pass,3,57,40346,825,Successful,60.5,0.0,44.7,6.9,ThrowIn
