Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,832,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,91273,832,Successful,50.2,49.7,43,49.3,OpenPlay
Pass,0,4,91214,832,Successful,44.7,46.4,51.9,10,OpenPlay
Pass,0,6,278721,832,Successful,50.4,9.7,36.2,10.4,OpenPlay
Pass,0,8,44486,832,Successful,36.9,11.8,24.4,35.3,OpenPlay
Pass,0,12,326461,832,Successful,25.2,35.7,30.3,88.7,OpenPlay
Pass,0,16,109896,832,Unsuccessful,31.6,95.3,67.6,100,OpenPlay
Pass,0,30,83078,63,Unsuccessful,36.2,0.0,56.7,4.3,ThrowIn
Aerial,0,34,91213,63,Unsuccessful,61.4,5.1,,,OpenPlay
Aerial,0,34,243187,832,Successful,38.6,94.9,,,OpenPlay
Pass,0,34,243187,832,Unsuccessful,35.6,93.6,30.2,87.6,OpenPlay
Pass,0,35,127604,63,Successful,69.1,18.0,59.4,28.9,OpenPlay
Aerial,0,37,91273,832,Unsuccessful,39.6,74.6,,,OpenPlay
Aerial,0,37,112161,63,Successful,60.4,25.4,,,OpenPlay
Pass,0,38,112161,63,Successful,56.7,31.2,82.8,24.4,OpenPlay
SavedShot,0,41,127604,63,Successful,90.9,28.7,,,OpenPlay
Save,0,41,91194,832,Successful,2.1,52.4,,,OpenPlay
SavedShot,0,44,362431,63,Successful,88.8,56.0,,,OpenPlay
Save,0,44,91214,832,Successful,2.6,50.4,,,OpenPlay
MissedShots,0,46,112161,63,Successful,90.7,52.4,,,OpenPlay
Pass,1,30,91194,832,Successful,5.0,47.4,19.5,93.4,OpenPlay
Pass,1,35,243187,832,Unsuccessful,24.4,95.4,63.6,92.9,OpenPlay
Pass,1,36,102173,63,Successful,34.7,11.0,46.4,9.8,OpenPlay
BallRecovery,1,37,103476,63,Successful,46.2,11.5,,,OpenPlay
Pass,1,38,103476,63,Successful,46.4,9.8,43.7,7.7,OpenPlay
Pass,1,39,83078,63,Unsuccessful,38.8,5.9,40.1,5.9,OpenPlay
BallTouch,1,41,275687,832,Successful,55.7,95.9,,,OpenPlay
Pass,1,54,83078,63,Unsuccessful,46.6,0.0,69.9,5.5,ThrowIn
Pass,1,56,243187,832,Successful,26.6,94.2,28.6,83.9,OpenPlay
BallRecovery,1,58,91214,832,Successful,27.5,84.7,,,OpenPlay
Pass,1,58,91214,832,Successful,27.5,84.7,12.3,82,OpenPlay
Pass,2,3,109896,832,Successful,11.6,75.0,36.4,91.1,OpenPlay
BallTouch,2,5,275687,832,Unsuccessful,31.9,86.8,,,OpenPlay
BallRecovery,2,6,238940,63,Successful,58.9,28.6,,,OpenPlay
Pass,2,7,238940,63,Successful,60.4,29.1,54.7,70.8,OpenPlay
Pass,2,12,326646,63,Successful,45.8,84.1,33.4,43.6,OpenPlay
