Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,36,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,92812,36,Successful,50.1,50.1,47,46.1,OpenPlay
Pass,0,2,326413,36,Successful,47.7,46.2,38.3,56.5,OpenPlay
Pass,0,3,115166,36,Successful,40.0,55.7,38.4,47.2,OpenPlay
Pass,0,4,27124,36,Successful,38.4,47.2,33,86.3,OpenPlay
Pass,0,5,29940,36,Successful,34.3,88.1,21.8,69.1,OpenPlay
Pass,0,7,22589,36,Successful,24.2,69.0,23.1,24.4,OpenPlay
Pass,0,10,134946,36,Successful,23.3,23.9,25.9,2.8,OpenPlay
Pass,0,12,108914,36,Successful,25.7,3.7,39.4,3.2,OpenPlay
Pass,0,14,326413,36,Successful,38.7,3.1,42.8,2.6,OpenPlay
Pass,0,16,91060,36,Successful,43.0,2.1,42,10.8,OpenPlay
Pass,0,17,326413,36,Unsuccessful,41.0,10.0,73.9,2,OpenPlay
Clearance,0,19,102173,63,Successful,25.4,96.4,26.2,96.9,OpenPlay
BallTouch,0,20,92812,36,Successful,75.0,2.8,,,OpenPlay
Pass,0,29,326646,63,Successful,18.9,100.0,7.6,85.9,ThrowIn
Pass,0,31,102173,63,Unsuccessful,7.4,85.9,61.4,0,OpenPlay
Pass,0,42,29940,36,Successful,33.2,100.0,16.7,78.7,ThrowIn
Pass,0,45,22589,36,Successful,13.4,71.4,12.8,14.7,OpenPlay
Pass,0,49,134946,36,Successful,12.8,14.7,19.3,3.1,OpenPlay
Pass,0,51,108914,36,Successful,19.3,3.1,20.3,11,OpenPlay
Pass,0,53,27124,36,Unsuccessful,21.9,9.8,25.6,4,OpenPlay
BallRecovery,0,54,112161,63,Successful,73.2,89.3,,,OpenPlay
Pass,0,54,112161,63,Successful,73.2,89.3,78.4,94.8,OpenPlay
Pass,0,55,80764,63,Successful,79.2,95.0,79.2,76.4,OpenPlay
Pass,0,57,24248,63,Successful,79.9,76.3,71.7,78.3,OpenPlay
Pass,1,0,112161,63,Successful,77.7,72.7,79.1,70,OpenPlay
Pass,1,1,24248,63,Unsuccessful,79.1,70.0,74.6,74.5,OpenPlay
BallRecovery,1,2,326413,36,Successful,27.7,25.3,,,OpenPlay
Pass,1,3,326413,36,Successful,27.9,21.2,32.5,4,OpenPlay
Pass,1,4,91060,36,Unsuccessful,32.7,3.7,32.8,15.5,OpenPlay
BallTouch,1,6,238940,63,Successful,68.9,66.7,,,OpenPlay
Dispossessed,1,7,115166,36,Successful,34.9,31.2,,,OpenPlay
Tackle,1,7,127604,63,Unsuccessful,65.1,68.8,,,OpenPlay
BallTouch,1,8,115166,36,Successful,31.7,31.7,,,OpenPlay
