Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,51,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,362501,51,Successful,50.2,49.3,52.9,44.5,OpenPlay
Pass,0,2,377285,51,Successful,58.4,37.7,59.2,9.7,OpenPlay
Pass,0,4,338365,51,Unsuccessful,58.9,9.7,79.3,35.7,OpenPlay
BallRecovery,0,6,77564,63,Successful,20.1,59.6,,,OpenPlay
Pass,0,6,77564,63,Unsuccessful,20.1,59.6,44.2,100,OpenPlay
Pass,0,18,338365,51,Successful,52.8,0.0,30.2,11,ThrowIn
Pass,0,21,294019,51,Successful,24.5,15.8,7.6,43.7,OpenPlay
Pass,0,26,36262,51,Unsuccessful,7.3,44.1,66,26.6,OpenPlay
BallRecovery,0,31,374813,63,Successful,27.9,71.5,,,OpenPlay
Pass,0,33,374813,63,Successful,27.0,69.4,23.8,47.9,OpenPlay
Pass,0,37,77564,63,Unsuccessful,24.5,39.8,42.4,30.9,OpenPlay
Interception,0,38,6227,51,Successful,56.4,64.9,,,OpenPlay
Pass,0,42,294006,51,Successful,26.0,67.5,13.2,50.4,OpenPlay
BallRecovery,0,42,294006,51,Successful,26.2,67.5,,,OpenPlay
Pass,0,48,36262,51,Successful,13.1,50.7,54.7,79.7,OpenPlay
Aerial,0,51,362501,51,Successful,59.1,78.0,,,OpenPlay
Aerial,0,51,77564,63,Unsuccessful,40.9,22.0,,,OpenPlay
Pass,0,51,362501,51,Unsuccessful,54.7,79.7,57.6,79.4,OpenPlay
BallTouch,0,51,77564,63,Successful,36.4,23.7,,,OpenPlay
BallRecovery,0,53,80764,63,Successful,42.4,31.8,,,OpenPlay
Foul,0,54,80764,63,Successful,43.5,27.6,,,OpenPlay
Foul,0,54,381643,51,Unsuccessful,56.5,72.4,,,OpenPlay
Pass,1,1,77564,63,Successful,32.0,37.0,37,70.6,OpenPlay
Pass,1,2,112161,63,Successful,37.0,70.6,49.8,91.5,OpenPlay
Pass,1,6,374813,63,Successful,47.2,89.1,35.6,73.6,OpenPlay
Pass,1,8,135914,63,Successful,36.1,70.2,36.3,34.6,OpenPlay
Pass,1,11,77564,63,Successful,36.8,32.1,41,10.4,OpenPlay
