Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,131,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,32860,131,Successful,49.7,49.9,34.6,59.2,OpenPlay
Pass,0,4,240874,131,Successful,35.0,57.5,57.7,11.6,OpenPlay
Aerial,0,6,132962,63,Unsuccessful,40.7,87.0,,,OpenPlay
Aerial,0,6,109349,131,Successful,59.3,13.0,,,OpenPlay
BallTouch,0,7,109349,131,Successful,59.0,11.2,,,OpenPlay
BallRecovery,0,8,112161,63,Successful,46.0,96.3,,,OpenPlay
Pass,0,9,112161,63,Unsuccessful,46.0,96.3,51.3,86.5,OpenPlay
BallTouch,0,10,25932,131,Successful,46.3,11.0,,,OpenPlay
Foul,0,11,112161,63,Unsuccessful,41.7,87.2,,,OpenPlay
Foul,0,11,303707,131,Successful,58.3,12.8,,,OpenPlay
Pass,0,39,38277,131,Successful,53.4,11.7,41.9,35.5,OpenPlay
Pass,0,42,75499,131,Successful,43.2,41.2,42.8,77.9,OpenPlay
Pass,0,46,240874,131,Successful,42.6,71.4,36,46.6,OpenPlay
Pass,0,51,75499,131,Successful,36.1,47.5,42.4,9.8,OpenPlay
Pass,0,57,38277,131,Unsuccessful,52.0,14.3,78.8,77.3,OpenPlay
Pass,1,0,83078,63,Successful,22.2,22.5,11.7,44.7,OpenPlay
KeeperPickup,1,2,76662,63,Successful,10.0,44.6,,,OpenPlay
Pass,1,14,76662,63,Unsuccessful,18.8,51.3,63.7,76.6,OpenPlay
Aerial,1,17,91213,63,Unsuccessful,65.5,75.8,,,OpenPlay
Aerial,1,17,38277,131,Successful,34.5,24.2,,,OpenPlay
Pass,1,18,38277,131,Successful,33.5,26.6,46.4,18.6,OpenPlay
Aerial,1,19,112161,63,Unsuccessful,53.7,81.8,,,OpenPlay
Aerial,1,19,32860,131,Successful,46.3,18.2,,,OpenPlay
Pass,1,20,32860,131,Unsuccessful,46.4,16.9,47.3,18.2,OpenPlay
BallTouch,1,21,112161,63,Successful,53.1,82.2,,,OpenPlay
BallTouch,1,22,32860,131,Successful,46.7,5.9,,,OpenPlay
BallTouch,1,23,109349,131,Unsuccessful,55.0,12.3,,,OpenPlay
BallRecovery,1,24,238940,63,Successful,37.7,73.9,,,OpenPlay
Pass,1,25,238940,63,Successful,35.9,74.8,39,66,OpenPlay
Pass,1,26,80764,63,Successful,40.6,68.8,30.2,54,OpenPlay
Pass,1,29,102173,63,Successful,33.3,40.9,29.6,67.6,OpenPlay
Pass,1,36,135914,63,Successful,37.2,63.6,40.2,44.5,OpenPlay
Pass,1,37,238940,63,Successful,40.2,44.5,29.1,39.2,OpenPlay
Pass,1,41,102173,63,Successful,28.9,35.8,28,64.2,OpenPlay
Pass,1,45,135914,63,Successful,27.5,59.9,55.5,53.3,OpenPlay
Pass,1,47,91213,63,Successful,55.5,53.3,53.6,60.2,OpenPlay
TakeOn,1,51,132962,63,Unsuccessful,59.6,39.8,,,OpenPlay
Tackle,1,51,84880,131,Unsuccessful,40.4,60.2,,,OpenPlay
Pass,1,54,132962,63,Successful,53.3,27.4,53.9,3.4,OpenPlay
Pass,1,56,83078,63,Unsuccessful,53.9,3.4,90.5,24.9,OpenPlay
KeeperPickup,1,59,381674,131,Successful,12.0,71.2,,,OpenPlay
Pass,2,2,381674,131,Successful,14.0,75.0,25.5,10.4,OpenPlay
Pass,2,9,38277,131,Successful,50.1,3.8,52.3,18.8,OpenPlay
Pass,2,12,32860,131,Successful,52.7,13.0,46.3,18.4,OpenPlay
Pass,2,13,25932,131,Successful,45.4,15.7,59.5,31,OpenPlay
Pass,2,16,109349,131,Successful,55.8,35.3,40.6,66,OpenPlay
Pass,2,18,240874,131,Successful,42.5,73.2,51.1,96,OpenPlay
Pass,2,21,298694,131,Unsuccessful,54.6,96.0,68.8,86.2,OpenPlay
Interception,2,22,80764,63,Successful,33.0,13.0,,,OpenPlay
BallRecovery,2,23,83078,63,Successful,25.6,7.0,,,OpenPlay
Pass,2,24,83078,63,Successful,25.6,7.0,24,13.7,OpenPlay
Pass,2,25,102173,63,Successful,25.5,15.5,38.5,14.7,OpenPlay
Pass,2,26,362431,63,Successful,32.9,12.8,22.7,13.8,OpenPlay
Pass,2,29,102173,63,Successful,22.7,13.1,47,33.9,OpenPlay
Pass,2,30,91213,63,Successful,47.0,33.9,32,39.2,OpenPlay
Pass,2,32,238940,63,Successful,32.9,39.4,35.6,33,OpenPlay
Pass,2,33,80764,63,Successful,35.6,33.0,26.1,31.8,OpenPlay
Pass,2,36,102173,63,Successful,30.3,32.2,32.5,24.6,OpenPlay
Pass,2,38,80764,63,Successful,32.8,25.2,42.7,22.7,OpenPlay
Pass,2,40,362431,63,Successful,38.3,23.9,28.1,35.8,OpenPlay
Pass,2,42,102173,63,Successful,29.2,43.7,33.6,53.6,OpenPlay
Pass,2,44,238940,63,Unsuccessful,33.9,53.1,43.9,37.4,OpenPlay
BallRecovery,2,46,84880,131,Successful,57.8,60.3,,,OpenPlay
Pass,2,48,84880,131,Successful,60.6,64.5,74.3,89.9,OpenPlay
Pass,2,54,119189,131,Unsuccessful,98.6,91.1,100,32.8,OpenPlay
Pass,3,21,76662,63,Unsuccessful,4.7,56.1,54,74.8,OpenPlay
Aerial,3,24,112161,63,Unsuccessful,54.1,76.0,,,OpenPlay
Aerial,3,24,25932,131,Successful,45.9,24.0,,,OpenPlay
Pass,3,25,25932,131,Unsuccessful,45.8,22.8,59.2,25.6,OpenPlay
Interception,3,26,135914,63,Successful,35.8,70.7,,,OpenPlay
BallRecovery,3,27,303707,131,Successful,65.7,29.7,,,OpenPlay
Pass,3,28,303707,131,Successful,68.0,31.8,57.1,43.5,OpenPlay
Pass,3,30,84880,131,Successful,56.7,42.5,62.7,66.8,OpenPlay
SavedShot,3,34,119189,131,Successful,70.4,66.6,,,OpenPlay
Save,3,34,76662,63,Successful,4.0,47.3,,,OpenPlay
CornerAwarded,3,36,119189,131,Successful,91.6,37.9,,,OpenPlay
CornerAwarded,3,36,76662,63,Unsuccessful,8.4,62.1,,,OpenPlay
