Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,54,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,351684,54,Successful,49.9,49.7,40.3,51.3,OpenPlay
Pass,0,1,303876,54,Successful,38.6,51.3,39.4,56.2,OpenPlay
Pass,0,2,99911,54,Successful,39.8,61.4,35.9,92.7,OpenPlay
Pass,0,5,135374,54,Successful,32.0,89.2,22.1,61.4,OpenPlay
Pass,0,9,40731,54,Successful,16.2,52.4,10.4,13.2,OpenPlay
Pass,0,12,83686,54,Unsuccessful,11.9,10.9,60.6,10.3,OpenPlay
Pass,0,15,344156,63,Unsuccessful,41.0,86.8,49.3,80.9,OpenPlay
Foul,0,18,134893,54,Successful,53.2,21.5,,,OpenPlay
Foul,0,18,112161,63,Unsuccessful,46.8,78.5,,,OpenPlay
Pass,0,25,303876,54,Successful,46.4,26.4,37.2,32.5,OpenPlay
Pass,0,28,83686,54,Successful,35.3,38.6,32.3,74.2,OpenPlay
Pass,0,31,40731,54,Successful,31.8,76.7,35.4,92.4,OpenPlay
Pass,0,32,135374,54,Unsuccessful,30.5,97.9,39.9,100,OpenPlay
Pass,1,0,83078,63,Unsuccessful,51.6,0.0,71.3,3.2,ThrowIn
Pass,1,2,135374,54,Unsuccessful,27.5,94.8,35.6,83.8,OpenPlay
Aerial,1,4,238940,63,Successful,63.4,16.8,,,OpenPlay
Aerial,1,4,99911,54,Unsuccessful,36.6,83.2,,,OpenPlay
Pass,1,4,238940,63,Unsuccessful,61.8,14.3,60.9,28.5,OpenPlay
BallRecovery,1,5,44189,54,Successful,40.2,58.4,,,OpenPlay
Pass,1,6,44189,54,Successful,37.7,50.9,31.6,19.8,OpenPlay
Pass,1,10,14085,54,Successful,32.8,13.5,39,13.1,OpenPlay
Pass,1,11,44189,54,Successful,39.2,13.2,34.1,27.6,OpenPlay
Pass,1,11,303876,54,Unsuccessful,34.4,28.3,40.5,25.9,OpenPlay
BallRecovery,1,12,238940,63,Successful,60.5,74.4,,,OpenPlay
Pass,1,12,238940,63,Successful,60.3,74.6,47.3,76.3,OpenPlay
Pass,1,14,112161,63,Successful,53.6,81.1,59.5,94.1,OpenPlay
Pass,1,17,326646,63,Successful,66.7,92.7,69.9,75.6,OpenPlay
Pass,1,19,91213,63,Successful,70.2,75.7,62.3,66.6,OpenPlay
Pass,1,20,238940,63,Successful,62.5,65.5,53.1,41.2,OpenPlay
Pass,1,25,77564,63,Successful,54.7,37.3,63.2,1.6,OpenPlay
Pass,1,30,83078,63,Unsuccessful,76.4,9.3,92.6,100,OpenPlay
Pass,1,52,14085,54,Unsuccessful,14.5,0.0,46.6,8.1,ThrowIn
BallRecovery,1,55,344156,63,Successful,52.8,90.8,,,OpenPlay
Pass,1,55,344156,63,Successful,52.8,90.8,38.8,70.5,OpenPlay
Pass,2,0,77564,63,Successful,36.3,62.6,38.2,88.9,OpenPlay
Pass,2,3,344156,63,Successful,39.9,91.1,43.9,98,OpenPlay
Pass,2,5,326646,63,Successful,44.9,90.9,27.4,54.5,OpenPlay
Pass,2,11,77564,63,Successful,39.2,29.5,43.3,21.9,OpenPlay
Pass,2,13,238940,63,Successful,43.9,12.6,54.6,2.9,OpenPlay
Pass,2,15,83078,63,Successful,52.3,5.3,42.9,5,OpenPlay
Pass,2,18,238940,63,Successful,43.1,5.2,34.5,55.5,OpenPlay
Pass,2,25,344156,63,Successful,53.8,65.2,63.7,57.2,OpenPlay
Pass,2,27,127604,63,Successful,66.3,56.9,75.8,80.9,OpenPlay
Pass,2,30,326646,63,Unsuccessful,85.2,84.8,96.1,50.1,OpenPlay
Claim,2,31,377205,54,Unsuccessful,6.8,50.3,,,OpenPlay
KeeperPickup,2,32,377205,54,Successful,4.1,49.0,,,OpenPlay
Pass,2,34,377205,54,Successful,7.5,49.1,22.7,75.1,OpenPlay
Pass,2,39,21019,54,Successful,26.1,81.7,29.7,95.4,OpenPlay
Pass,2,41,135374,54,Successful,33.7,97.1,55.4,97.2,OpenPlay
Tackle,2,44,77564,63,Successful,43.6,2.8,,,OpenPlay
TakeOn,2,44,134893,54,Unsuccessful,56.4,97.2,,,OpenPlay
Pass,3,2,135374,54,Successful,54.9,100.0,36.3,94.7,ThrowIn
Pass,3,6,40731,54,Successful,28.3,83.2,14.9,55.7,OpenPlay
Pass,3,12,377205,54,Successful,14.7,52.2,31.4,93.3,OpenPlay
Pass,3,14,135374,54,Unsuccessful,33.8,95.4,44.1,86.9,OpenPlay
Interception,3,16,77564,63,Successful,55.8,12.9,,,OpenPlay
Pass,3,30,135374,54,Successful,38.6,100.0,16.4,83.3,ThrowIn
Pass,3,34,40731,54,Successful,15.2,81.2,8.1,53.9,OpenPlay
Pass,3,37,377205,54,Successful,8.1,53.9,19.5,60.8,OpenPlay
Pass,3,38,303876,54,Successful,20.1,60.9,12.3,83.5,OpenPlay
Pass,3,41,40731,54,Successful,13.4,83.5,21.5,98.4,OpenPlay
Pass,3,43,135374,54,Successful,23.0,96.9,25.6,91.4,OpenPlay
BallTouch,3,43,99911,54,Successful,29.6,91.1,,,OpenPlay
Pass,3,48,21019,54,Successful,28.8,95.6,20.9,77.1,OpenPlay
Pass,3,51,40731,54,Successful,20.8,74.2,19.4,58.5,OpenPlay
Pass,3,53,303876,54,Successful,18.8,51.3,25.4,13.1,OpenPlay
Pass,3,57,44189,54,Successful,26.8,16.7,21.3,41.9,OpenPlay
Pass,4,1,303876,54,Successful,28.9,55.5,35.6,94.1,OpenPlay
Pass,4,7,135374,54,Successful,36.4,94.7,29.8,83.6,OpenPlay
Pass,4,9,40731,54,Successful,29.0,74.4,27,55.7,OpenPlay
