Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,52,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,80764,63,Successful,50.0,50.0,40.8,56.3,OpenPlay
Pass,0,2,238940,63,Successful,40.9,57.5,43.9,80.2,OpenPlay
Pass,0,4,112161,63,Successful,47.0,81.2,57.2,96.9,OpenPlay
Pass,0,8,326646,63,Successful,56.5,95.9,52.3,92.4,OpenPlay
Pass,0,10,112161,63,Successful,52.3,92.4,42.1,68.4,OpenPlay
Pass,0,13,135914,63,Successful,41.6,66.9,40.9,34.9,OpenPlay
Pass,0,15,77564,63,Successful,41.7,31.5,60.8,4.6,OpenPlay
Pass,0,17,83078,63,Unsuccessful,62.5,3.8,95.3,24.6,OpenPlay
KeeperPickup,0,20,73798,52,Successful,5.0,72.6,,,OpenPlay
Pass,0,25,73798,52,Successful,7.9,55.2,16.4,15.3,OpenPlay
Pass,0,30,93206,52,Successful,22.5,10.7,43.6,4.7,OpenPlay
Pass,0,32,13812,52,Unsuccessful,43.6,4.7,47.8,8.2,OpenPlay
BallTouch,0,33,326646,63,Successful,56.9,95.6,,,OpenPlay
BallRecovery,0,35,91430,63,Successful,59.3,70.3,,,OpenPlay
Pass,0,36,91430,63,Successful,59.2,67.6,56.5,63.3,OpenPlay
Pass,0,37,238940,63,Successful,58.3,65.4,71.3,69.9,OpenPlay
Pass,0,39,24248,63,Successful,71.4,69.9,70.7,66.3,OpenPlay
Pass,0,43,80764,63,Successful,71.2,76.0,71.3,94.2,OpenPlay
Pass,0,45,326646,63,Successful,72.0,92.9,59.8,85.9,OpenPlay
Pass,0,47,112161,63,Successful,59.8,85.9,61,72.9,OpenPlay
Pass,0,49,238940,63,Successful,60.4,70.2,66.3,59.3,OpenPlay
Pass,0,51,91430,63,Unsuccessful,66.3,59.3,73,62.4,OpenPlay
BallRecovery,0,52,93206,52,Successful,23.2,36.9,,,OpenPlay
Pass,0,52,93206,52,Successful,24.3,36.0,21.5,18.2,OpenPlay
Pass,0,55,106883,52,Unsuccessful,22.2,10.9,56,32.2,OpenPlay
BallRecovery,0,57,135914,63,Successful,45.1,71.7,,,OpenPlay
Pass,1,1,135914,63,Successful,35.3,54.0,10.7,48.4,OpenPlay
Pass,1,5,76662,63,Unsuccessful,10.7,48.4,57.1,46.3,OpenPlay
Pass,1,9,9909,52,Unsuccessful,40.8,53.9,47.7,40.7,OpenPlay
Challenge,1,17,344644,52,Unsuccessful,36.1,27.4,,,OpenPlay
TakeOn,1,17,91430,63,Successful,63.9,72.6,,,OpenPlay
Pass,1,19,91430,63,Successful,70.0,52.7,73,55.4,OpenPlay
Pass,1,21,80764,63,Successful,73.1,55.2,66.1,42.8,OpenPlay
Pass,1,23,238940,63,Successful,67.2,42.2,85,13.1,OpenPlay
