Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
OffsideGiven,0,,91213,63,Unsuccessful,82.2,75.0,,,OpenPlay
Start,0,0,,58,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,323135,58,Successful,50.1,49.7,35.9,47.4,OpenPlay
Pass,0,2,141641,58,Successful,37.6,48.9,36,8.3,OpenPlay
Pass,0,5,140822,58,Successful,32.1,5.0,24,29,OpenPlay
Pass,0,6,72286,58,Unsuccessful,24.0,29.0,72,12.1,OpenPlay
Pass,0,9,344156,63,Successful,34.8,89.3,40.6,82.6,OpenPlay
BallRecovery,0,10,374813,63,Successful,40.6,82.6,,,OpenPlay
Pass,0,11,374813,63,Successful,34.4,75.6,22.6,61.4,OpenPlay
Pass,0,20,135914,63,Successful,36.4,43.4,48.3,32.5,OpenPlay
Pass,0,21,362431,63,Successful,48.3,32.5,41.2,12.2,OpenPlay
Pass,0,25,103476,63,Successful,39.5,20.6,28.7,37.9,OpenPlay
Pass,0,27,135914,63,Successful,29.8,43.3,34.6,73.5,OpenPlay
Pass,0,33,344156,63,Successful,39.2,83.5,35,48.7,OpenPlay
Pass,0,40,135914,63,Unsuccessful,44.0,42.2,53.9,54.2,OpenPlay
Interception,0,41,349707,58,Successful,44.9,50.1,,,OpenPlay
Pass,0,43,135914,63,Successful,44.8,45.7,44.4,66.3,OpenPlay
Pass,0,45,344156,63,Successful,44.7,70.8,62.3,73.8,OpenPlay
OffsideProvoked,0,49,72286,58,Successful,21.9,35.9,,,OpenPlay
OffsidePass,0,49,132962,63,Successful,71.9,72.3,82.2,75,OpenPlay
Pass,1,22,322794,58,Unsuccessful,21.5,32.9,70.3,27.1,OpenPlay
Pass,1,25,344156,63,Unsuccessful,32.4,82.1,36.2,59.3,OpenPlay
Pass,1,26,106868,58,Successful,64.2,37.0,55.9,56.3,OpenPlay
Pass,1,29,83784,58,Successful,56.0,64.1,62.6,94.4,OpenPlay
Pass,1,32,372423,58,Unsuccessful,64.7,95.6,92.4,86.6,OpenPlay
BallRecovery,1,36,254582,63,Successful,6.2,10.4,,,OpenPlay
Pass,1,36,254582,63,Successful,6.2,10.4,5.8,30.6,OpenPlay
Pass,1,37,135914,63,Successful,5.8,30.6,13.2,4.6,OpenPlay
