Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,55,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,362431,63,Successful,50.2,50.3,39.5,66.7,OpenPlay
Pass,0,3,344156,63,Successful,39.5,66.7,71.4,7.6,OpenPlay
Aerial,0,6,110297,55,Unsuccessful,26.6,94.1,,,OpenPlay
Aerial,0,6,112161,63,Successful,73.4,5.9,,,OpenPlay
Pass,0,7,112161,63,Successful,69.4,8.7,77.6,22.9,OpenPlay
Pass,0,8,91213,63,Successful,80.0,22.4,67.6,22.7,OpenPlay
Pass,0,9,362431,63,Unsuccessful,69.4,20.7,70.2,19.2,OpenPlay
BlockedPass,0,9,110297,55,Successful,30.4,78.7,,,OpenPlay
Pass,0,15,88112,63,Successful,45.8,4.3,38.9,11.3,OpenPlay
Pass,0,18,135914,63,Successful,38.9,11.3,35.9,46,OpenPlay
Pass,0,22,102173,63,Successful,44.8,54.2,51.9,53.7,OpenPlay
Pass,0,25,238940,63,Successful,53.9,58.5,56.9,91.8,OpenPlay
Pass,0,27,344156,63,Successful,56.9,91.8,57.8,73.3,OpenPlay
Foul,0,31,69738,55,Unsuccessful,40.0,32.7,,,OpenPlay
Foul,0,31,238940,63,Successful,60.0,67.3,,,OpenPlay
Pass,0,36,238940,63,Successful,59.0,66.6,55.8,77.3,OpenPlay
Pass,0,39,344156,63,Successful,60.0,82.0,69.1,97.9,OpenPlay
Pass,0,40,112161,63,Unsuccessful,64.7,98.1,69.5,97.2,OpenPlay
BlockedPass,0,40,27254,55,Successful,30.3,1.9,,,OpenPlay
Pass,0,47,112161,63,Successful,70.6,100.0,53.2,95.4,ThrowIn
Pass,0,50,344156,63,Successful,54.3,90.5,37.4,60,OpenPlay
Pass,0,53,102173,63,Successful,37.4,60.0,38,31.5,OpenPlay
Pass,0,56,135914,63,Successful,37.2,34.0,45,43.9,OpenPlay
Pass,0,58,238940,63,Successful,45.0,43.9,66.8,51.2,OpenPlay
Pass,1,0,24248,63,Successful,66.8,51.2,66.3,55.4,OpenPlay
Pass,1,3,80764,63,Successful,72.0,62.1,79.6,87.2,OpenPlay
Pass,1,6,112161,63,Unsuccessful,96.7,72.7,97.2,51.2,OpenPlay
Clearance,1,7,90811,55,Successful,2.4,49.3,6.5,61.4,OpenPlay
Pass,1,9,88112,63,Unsuccessful,94.4,34.0,93.7,35.9,OpenPlay
BlockedPass,1,9,110297,55,Successful,6.8,64.0,,,OpenPlay
BallTouch,1,10,110297,55,Unsuccessful,3.8,74.1,,,OpenPlay
Pass,1,16,24248,63,Successful,77.3,17.1,71.7,25.3,OpenPlay
Pass,1,18,238940,63,Successful,71.7,25.3,77.6,7.9,OpenPlay
Pass,1,21,362431,63,Unsuccessful,79.9,11.1,87,32.4,OpenPlay
Clearance,1,22,76810,55,Successful,10.9,63.7,28.4,78.1,OpenPlay
Pass,1,25,238940,63,Unsuccessful,71.5,21.8,77.2,16.8,OpenPlay
Pass,1,26,28186,55,Successful,24.2,81.1,35.8,64.2,OpenPlay
Foul,1,32,344119,55,Successful,35.6,71.8,,,OpenPlay
Foul,1,32,135914,63,Unsuccessful,64.4,28.2,,,OpenPlay
Pass,2,3,28186,55,Successful,40.0,59.0,73.4,11.4,OpenPlay
BallTouch,2,4,349760,55,Unsuccessful,74.4,13.4,,,OpenPlay
Clearance,2,5,102173,63,Successful,22.4,76.7,22.7,100,OpenPlay
