Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,839,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,95953,839,Successful,50.0,50.0,44.6,50.3,OpenPlay
Pass,0,2,4522,839,Successful,44.9,48.8,43.4,32,OpenPlay
Pass,0,4,102234,839,Successful,43.9,30.7,45.6,6.4,OpenPlay
Pass,0,6,118479,839,Successful,45.6,6.5,24.7,27.1,OpenPlay
Pass,0,8,12575,839,Successful,24.7,27.1,7.6,47.9,OpenPlay
Pass,0,12,32258,839,Successful,9.1,48.5,24.7,48.1,OpenPlay
Pass,0,15,34052,839,Successful,22.8,44.0,11.3,11.8,OpenPlay
Pass,0,18,12575,839,Successful,11.3,11.8,4.5,36.1,OpenPlay
Pass,0,20,32258,839,Successful,4.5,36.1,48.8,17,OpenPlay
BallTouch,0,25,97659,839,Successful,48.8,17.0,,,OpenPlay
Pass,0,26,95953,839,Successful,57.5,26.3,55.4,17.9,OpenPlay
Dispossessed,0,27,97659,839,Successful,55.2,15.4,,,OpenPlay
Tackle,0,27,112161,63,Successful,44.8,84.6,,,OpenPlay
BallRecovery,0,28,112161,63,Successful,36.4,83.1,,,OpenPlay
Pass,0,29,112161,63,Successful,36.4,83.1,6.5,51.5,OpenPlay
Pass,0,35,76662,63,Successful,8.6,49.7,16.1,26.3,OpenPlay
Pass,0,40,77564,63,Unsuccessful,21.6,20.3,54,39.1,OpenPlay
Pass,0,42,34052,839,Successful,45.6,58.4,54.1,44.9,OpenPlay
Pass,0,43,97659,839,Successful,54.1,44.9,54,66.8,OpenPlay
Pass,0,45,4522,839,Unsuccessful,54.0,66.8,62.7,71.7,OpenPlay
Pass,0,47,77564,63,Successful,35.6,26.9,43.7,39.7,OpenPlay
Pass,0,48,91213,63,Unsuccessful,43.7,39.7,41.7,34.6,OpenPlay
Interception,0,49,4522,839,Successful,58.6,68.7,,,OpenPlay
Pass,0,50,77564,63,Successful,30.8,39.4,12.2,62.4,OpenPlay
KeeperPickup,0,54,76662,63,Successful,12.2,62.4,,,OpenPlay
Pass,1,11,76662,63,Successful,22.2,59.2,63.1,94.2,OpenPlay
Pass,1,15,112161,63,Unsuccessful,62.8,93.8,66,69,OpenPlay
Interception,1,16,4522,839,Successful,31.8,32.4,,,OpenPlay
BallRecovery,1,17,34052,839,Successful,27.3,29.8,,,OpenPlay
Pass,1,18,34052,839,Successful,27.3,29.8,0.8,72.2,OpenPlay
Pass,1,23,32258,839,Unsuccessful,1.6,83.9,41,96.9,OpenPlay
Pass,1,27,77059,63,Successful,57.3,2.1,65.4,21.7,OpenPlay
BallRecovery,1,29,127604,63,Successful,64.2,24.1,,,OpenPlay
Dispossessed,1,30,127604,63,Successful,66.7,28.7,,,OpenPlay
Tackle,1,30,34052,839,Successful,33.3,71.3,,,OpenPlay
TakeOn,1,32,34052,839,Unsuccessful,34.0,70.8,,,OpenPlay
Tackle,1,32,80764,63,Unsuccessful,66.0,29.2,,,OpenPlay
BallTouch,1,39,326646,63,Unsuccessful,90.2,78.2,,,OpenPlay
BallRecovery,1,39,118479,839,Successful,9.8,21.8,,,OpenPlay
Pass,1,40,118479,839,Unsuccessful,1.6,13.0,7.5,10.2,OpenPlay
BallTouch,1,42,326646,63,Unsuccessful,92.0,88.2,,,OpenPlay
Pass,1,58,118479,839,Successful,20.8,0.0,24.5,21.1,ThrowIn
Pass,2,0,34052,839,Successful,26.1,25.4,38.3,39.2,OpenPlay
Pass,2,2,4522,839,Successful,46.9,46.1,59,83.3,OpenPlay
Pass,2,8,101238,839,Unsuccessful,75.9,75.6,87.9,54.2,OpenPlay
Clearance,2,9,77564,63,Successful,13.4,45.8,19.8,64.5,OpenPlay
BallRecovery,2,10,112161,63,Successful,20.2,64.5,,,OpenPlay
Pass,2,11,112161,63,Successful,20.2,64.5,7.5,72.8,OpenPlay
Pass,2,13,326646,63,Successful,7.0,76.9,11.5,90.5,OpenPlay
Pass,2,16,112161,63,Successful,8.2,90.2,1.7,92.7,OpenPlay
Pass,2,19,326646,63,Unsuccessful,2.3,93.4,23.6,81,OpenPlay
Interception,2,20,118479,839,Successful,72.1,19.0,,,OpenPlay
BallRecovery,2,21,118479,839,Successful,76.2,31.9,,,OpenPlay
Pass,2,22,118479,839,Unsuccessful,76.2,31.9,76.7,32.8,OpenPlay
