Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,65,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24248,63,Successful,50.0,50.0,29.3,54,OpenPlay
Pass,0,3,135914,63,Successful,29.6,54.6,32.9,75.7,OpenPlay
Pass,0,6,102173,63,Successful,32.9,79.6,41.6,97.1,OpenPlay
Pass,0,9,326646,63,Successful,44.9,94.7,35.1,87.5,OpenPlay
Pass,0,13,102173,63,Successful,30.4,75.3,9.3,54.5,OpenPlay
Pass,0,15,76662,63,Unsuccessful,9.3,54.9,53,57.8,OpenPlay
Pass,0,19,44721,65,Unsuccessful,45.9,42.9,56.8,27.7,OpenPlay
Aerial,0,21,112161,63,Successful,41.0,69.4,,,OpenPlay
Aerial,0,21,25008,65,Unsuccessful,59.0,30.6,,,OpenPlay
Pass,0,21,112161,63,Successful,40.7,68.6,42.9,81.2,OpenPlay
Pass,0,23,326646,63,Successful,40.4,85.0,74.6,86.2,OpenPlay
Dispossessed,0,28,115472,63,Successful,74.5,90.2,,,OpenPlay
Tackle,0,28,296363,65,Successful,25.5,9.8,,,OpenPlay
Pass,0,29,296363,65,Successful,27.9,5.2,30.9,5.2,OpenPlay
BallTouch,0,30,25008,65,Successful,32.6,3.2,,,OpenPlay
Pass,0,42,326646,63,Successful,77.7,100.0,93.3,89.4,ThrowIn
Pass,0,44,24248,63,Unsuccessful,93.3,89.4,92.2,67.3,OpenPlay
Clearance,0,48,236511,65,Successful,8.1,31.6,12.7,14.7,OpenPlay
Pass,0,48,24248,63,Unsuccessful,80.7,76.0,80.3,58.5,OpenPlay
BallRecovery,0,52,22732,65,Successful,20.3,37.4,,,OpenPlay
Pass,0,53,22732,65,Successful,20.3,37.4,44.8,52.7,OpenPlay
Pass,0,54,22221,65,Successful,52.6,55.9,52.2,26.8,OpenPlay
Pass,0,56,11119,65,Successful,53.8,24.6,58.4,20.9,OpenPlay
Pass,0,58,372827,65,Successful,75.8,22.7,79.3,62.5,OpenPlay
SavedShot,0,59,22221,65,Successful,79.3,62.0,,,OpenPlay
Save,0,59,76662,63,Successful,3.9,49.0,,,OpenPlay
KeeperPickup,1,2,76662,63,Successful,3.9,49.0,,,OpenPlay
Pass,1,17,76662,63,Successful,14.8,47.6,21.2,83.3,OpenPlay
Pass,1,19,102173,63,Successful,22.2,87.6,28.6,97.1,OpenPlay
Foul,1,22,326646,63,Successful,30.8,88.8,,,OpenPlay
Foul,1,22,25008,65,Unsuccessful,69.2,11.2,,,OpenPlay
Pass,1,40,102173,63,Unsuccessful,25.1,85.6,64.1,84.1,OpenPlay
Aerial,1,42,296363,65,Successful,34.3,14.7,,,OpenPlay
Aerial,1,42,24248,63,Unsuccessful,65.7,85.3,,,OpenPlay
Pass,1,45,296363,65,Successful,33.3,11.6,21.8,9.5,OpenPlay
BallRecovery,1,47,12712,65,Successful,25.6,12.9,,,OpenPlay
Pass,1,47,12712,65,Successful,21.2,9.5,43.3,30.7,OpenPlay
BallTouch,1,48,372827,65,Successful,41.5,27.1,,,OpenPlay
Pass,1,49,112161,63,Unsuccessful,54.3,73.6,54.5,76,OpenPlay
BlockedPass,1,49,25008,65,Successful,42.6,23.3,,,OpenPlay
