Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,87,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,19729,87,Successful,49.9,49.9,33.7,49,OpenPlay
Pass,0,2,320374,87,Successful,33.7,49.0,33,51.5,OpenPlay
Pass,0,3,20664,87,Unsuccessful,33.0,51.5,73.6,85.3,OpenPlay
Aerial,0,6,100995,87,Unsuccessful,78.7,86.4,,,OpenPlay
Aerial,0,6,77564,63,Successful,21.3,13.6,,,OpenPlay
Clearance,0,7,77564,63,Successful,18.3,12.0,15.5,0,OpenPlay
Pass,0,13,100995,87,Successful,87.2,100.0,70.7,95.1,ThrowIn
Pass,0,15,5583,87,Successful,69.2,95.4,50.9,84.4,OpenPlay
Pass,0,19,320374,87,Successful,51.3,83.7,53,52.2,OpenPlay
Pass,0,23,30226,87,Successful,52.5,47.2,45.1,47,OpenPlay
Pass,0,25,20664,87,Successful,45.1,47.0,53.6,80.8,OpenPlay
Pass,0,27,100995,87,Successful,53.8,80.8,61.6,92.6,OpenPlay
Pass,0,30,5583,87,Successful,61.6,92.6,75,97.1,OpenPlay
BallTouch,0,32,17778,87,Successful,80.3,93.5,,,OpenPlay
Challenge,0,33,77564,63,Unsuccessful,14.9,17.9,,,OpenPlay
TakeOn,0,33,19729,87,Successful,85.1,82.1,,,OpenPlay
Pass,0,35,19729,87,Unsuccessful,94.7,82.7,93.7,75.1,OpenPlay
Interception,0,36,77564,63,Successful,5.8,24.1,,,OpenPlay
CornerAwarded,0,37,77564,63,Unsuccessful,6.0,24.5,,,OpenPlay
CornerAwarded,0,37,19729,87,Successful,94.0,75.5,,,OpenPlay
Pass,1,0,30226,87,Unsuccessful,99.8,99.2,96.2,57.6,CornerTaken
Clearance,1,1,24248,63,Successful,3.2,41.5,26.6,38.3,OpenPlay
Aerial,1,7,100995,87,Unsuccessful,68.6,61.0,,,OpenPlay
Aerial,1,7,362431,63,Successful,31.4,39.0,,,OpenPlay
Pass,1,8,362431,63,Unsuccessful,27.6,39.1,36.4,38.8,OpenPlay
Pass,1,9,44868,87,Successful,59.9,60.2,52.5,39.5,OpenPlay
BallRecovery,1,12,88300,87,Successful,52.5,39.5,,,OpenPlay
Pass,1,13,88300,87,Successful,55.2,36.4,58.8,40.3,OpenPlay
Pass,1,15,13764,87,Successful,60.0,38.0,61,8.8,OpenPlay
Pass,1,19,44868,87,Successful,59.8,10.1,43.3,29.2,OpenPlay
Pass,1,23,20664,87,Successful,43.3,29.2,42.6,54.9,OpenPlay
Pass,1,24,320374,87,Successful,42.6,54.9,46.7,86.8,OpenPlay
Pass,1,27,100995,87,Successful,42.9,75.9,33.3,63.3,OpenPlay
Pass,1,30,320374,87,Successful,31.5,56.7,24.9,29.1,OpenPlay
Pass,1,32,20664,87,Successful,24.8,29.1,29.7,4.6,OpenPlay
Pass,1,35,88300,87,Unsuccessful,29.6,3.7,49.1,4.9,OpenPlay
BallRecovery,1,36,326646,63,Successful,52.0,95.7,,,OpenPlay
BallTouch,1,37,326646,63,Successful,53.6,96.5,,,OpenPlay
Foul,1,38,,63,Successful,55.4,94.6,,,OpenPlay
Foul,1,38,13764,87,Unsuccessful,44.6,5.4,,,OpenPlay
Pass,1,46,112161,63,Successful,56.2,94.4,52.6,82.3,OpenPlay
Pass,1,49,238940,63,Successful,52.3,77.2,55.8,1.7,OpenPlay
Pass,1,52,83078,63,Successful,55.8,1.7,54.5,14.1,OpenPlay
Pass,1,54,80764,63,Successful,55.5,10.0,51.8,1.9,OpenPlay
Pass,1,55,83078,63,Successful,51.8,1.9,34.4,15,OpenPlay
Pass,1,58,77564,63,Successful,32.9,19.5,37,79.3,OpenPlay
Pass,2,3,112161,63,Successful,40.0,84.4,54.5,98,OpenPlay
Pass,2,5,326646,63,Successful,54.5,98.0,43.4,91.5,OpenPlay
Pass,2,6,112161,63,Successful,44.1,91.7,48.4,78.4,OpenPlay
