Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,26,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,68659,26,Successful,49.9,49.9,36.5,53.7,OpenPlay
Pass,0,3,136451,26,Successful,37.3,56.4,69.8,96.8,OpenPlay
BallTouch,0,7,109915,26,Unsuccessful,68.0,96.5,,,OpenPlay
BallTouch,0,8,80764,63,Successful,22.4,6.4,,,OpenPlay
BallRecovery,0,9,127604,63,Successful,23.9,5.3,,,OpenPlay
Pass,0,10,127604,63,Unsuccessful,24.4,4.6,25.7,4.4,OpenPlay
BlockedPass,0,10,115726,26,Successful,63.5,97.8,,,OpenPlay
Dispossessed,0,11,127604,63,Successful,33.4,3.6,,,OpenPlay
BallTouch,0,11,109915,26,Successful,73.4,97.9,,,OpenPlay
Tackle,0,11,115726,26,Successful,66.6,96.4,,,OpenPlay
Pass,0,12,127604,63,Unsuccessful,31.9,2.5,32.8,2.5,OpenPlay
BlockedPass,0,12,115726,26,Successful,67.8,96.9,,,OpenPlay
Pass,0,22,77059,63,Unsuccessful,41.4,0.0,58,3.8,ThrowIn
Pass,0,23,115726,26,Unsuccessful,34.7,96.0,43,83.8,OpenPlay
Pass,0,24,238940,63,Unsuccessful,52.6,12.0,56.9,18.3,OpenPlay
Pass,0,26,68659,26,Unsuccessful,39.1,73.0,44,74.2,OpenPlay
Pass,0,27,238940,63,Successful,53.8,24.1,43.2,69.1,OpenPlay
Pass,0,31,326646,63,Successful,43.7,72.1,53.9,94.2,OpenPlay
TakeOn,0,33,132962,63,Unsuccessful,56.5,96.0,,,OpenPlay
Tackle,0,33,318871,26,Successful,43.5,4.0,,,OpenPlay
Pass,0,46,326646,63,Unsuccessful,54.5,100.0,70.7,94.8,ThrowIn
Interception,0,48,318871,26,Successful,32.7,4.6,,,OpenPlay
BallRecovery,0,49,115916,26,Successful,30.0,11.6,,,OpenPlay
