Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,668,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,362431,63,Successful,50.0,50.0,39,34.6,OpenPlay
Pass,0,2,238940,63,Successful,39.2,34.0,41.5,11.4,OpenPlay
Pass,0,4,80764,63,Successful,42.1,10.3,53.4,1.7,OpenPlay
Pass,0,8,83078,63,Successful,58.4,1.7,77.2,34.2,OpenPlay
Pass,0,12,91213,63,Unsuccessful,89.7,29.1,91.4,47.6,OpenPlay
Clearance,0,13,24814,668,Successful,7.7,53.4,9.3,70.9,OpenPlay
BallRecovery,0,15,33661,668,Successful,14.7,75.6,,,OpenPlay
Pass,0,16,33661,668,Unsuccessful,14.7,75.6,28.4,53.1,OpenPlay
BallRecovery,0,17,238940,63,Successful,67.6,47.3,,,OpenPlay
Pass,0,17,238940,63,Successful,67.6,47.3,69.4,58.4,OpenPlay
Pass,0,19,326646,63,Successful,70.3,74.1,65.4,68.5,OpenPlay
Pass,0,22,238940,63,Successful,63.2,68.2,67.8,5.6,OpenPlay
Pass,0,26,83078,63,Unsuccessful,67.8,5.6,69.9,15,OpenPlay
Interception,0,28,22040,668,Successful,31.0,75.4,,,OpenPlay
BallRecovery,0,29,67424,668,Successful,30.5,69.1,,,OpenPlay
Dispossessed,0,30,67424,668,Successful,33.6,66.2,,,OpenPlay
Tackle,0,30,127604,63,Unsuccessful,66.4,33.8,,,OpenPlay
BallTouch,0,31,67424,668,Successful,31.9,65.5,,,OpenPlay
BallRecovery,0,32,238940,63,Successful,59.3,36.9,,,OpenPlay
Pass,0,33,238940,63,Successful,59.3,36.9,58.5,30.6,OpenPlay
Pass,0,33,80764,63,Successful,58.5,30.6,63.8,30.6,OpenPlay
Pass,0,35,127604,63,Successful,64.3,28.3,68.5,27.3,OpenPlay
Pass,0,40,91213,63,Successful,79.2,23.3,92,34.3,OpenPlay
Foul,0,45,130983,668,Unsuccessful,6.4,66.6,,,OpenPlay
Foul,0,45,362431,63,Successful,93.6,33.4,,,OpenPlay
SavedShot,1,54,83078,63,Successful,88.5,50.0,,,OpenPlay
PenaltyFaced,1,54,130983,668,Unsuccessful,0.0,0.0,,,OpenPlay
Save,1,54,130983,668,Successful,1.0,50.6,,,OpenPlay
Clearance,1,58,129354,668,Successful,15.7,24.6,25.6,0,OpenPlay
Pass,2,11,326646,63,Successful,75.7,100.0,91,95,ThrowIn
BallTouch,2,12,112161,63,Unsuccessful,93.0,94.7,,,OpenPlay
Pass,2,42,130983,668,Unsuccessful,5.1,45.5,53,20.1,OpenPlay
Pass,2,47,112161,63,Successful,45.3,76.6,59.2,64.5,OpenPlay
