Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,87,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,114863,87,Successful,50.1,49.9,32.9,47.8,OpenPlay
Pass,0,2,320374,87,Successful,32.9,47.8,31.3,51.5,OpenPlay
Pass,0,3,20664,87,Unsuccessful,31.3,51.5,67.3,100,OpenPlay
Pass,0,12,83078,63,Successful,29.2,0.0,31.9,8.6,ThrowIn
Pass,0,14,103476,63,Successful,32.1,8.5,27.4,4,OpenPlay
Pass,0,16,83078,63,Unsuccessful,27.4,4.0,58,23.4,OpenPlay
Pass,0,17,320374,87,Unsuccessful,38.4,78.5,52.3,53,OpenPlay
Aerial,0,19,303657,87,Unsuccessful,53.3,52.8,,,OpenPlay
Aerial,0,19,80764,63,Successful,46.7,47.2,,,OpenPlay
Pass,0,20,80764,63,Unsuccessful,45.2,49.3,46.9,51.5,OpenPlay
BallTouch,0,21,303657,87,Successful,51.8,56.0,,,OpenPlay
BallRecovery,0,22,114863,87,Successful,55.6,35.2,,,OpenPlay
Pass,0,23,114863,87,Successful,55.4,30.7,41.1,11.7,OpenPlay
Pass,0,25,88300,87,Successful,41.1,11.7,28.1,26.5,OpenPlay
Pass,0,32,20664,87,Successful,35.4,33.0,41,9.1,OpenPlay
Pass,0,34,88300,87,Successful,41.0,9.1,32.5,30.1,OpenPlay
Pass,0,38,20664,87,Successful,37.5,30.3,54.7,41.2,OpenPlay
BallTouch,0,40,26820,87,Unsuccessful,54.7,41.2,,,OpenPlay
BallRecovery,0,41,103476,63,Successful,38.1,57.5,,,OpenPlay
Pass,0,41,103476,63,Successful,38.1,57.8,27.2,62.7,OpenPlay
Pass,0,43,344156,63,Successful,27.1,62.6,47.8,66.4,OpenPlay
Pass,0,45,91430,63,Successful,47.9,66.6,54.1,82.4,OpenPlay
Pass,0,48,80764,63,Successful,57.7,82.0,54.6,92.3,OpenPlay
Pass,0,50,326646,63,Unsuccessful,55.2,92.4,64.2,92.9,OpenPlay
Interception,0,52,88300,87,Successful,40.2,4.7,,,OpenPlay
BallRecovery,0,52,88300,87,Successful,43.5,5.3,,,OpenPlay
Pass,0,54,88300,87,Unsuccessful,57.5,7.6,58,12,OpenPlay
Interception,0,54,238940,63,Successful,41.3,82.6,,,OpenPlay
BallRecovery,0,55,238940,63,Successful,42.4,82.7,,,OpenPlay
Pass,0,56,238940,63,Successful,43.7,79.6,45,67.2,OpenPlay
Pass,0,59,91430,63,Unsuccessful,42.2,68.4,43,80.8,OpenPlay
BallRecovery,1,0,114863,87,Successful,56.8,17.9,,,OpenPlay
Pass,1,2,114863,87,Successful,45.9,25.6,38.6,30.6,OpenPlay
Pass,1,5,20664,87,Successful,38.3,33.9,45.3,43,OpenPlay
Pass,1,6,17778,87,Successful,45.3,43.0,39.8,34.5,OpenPlay
Pass,1,8,20664,87,Successful,39.8,34.5,38.4,44.2,OpenPlay
Pass,1,10,320374,87,Successful,40.1,38.2,42,24.9,OpenPlay
Pass,1,13,20664,87,Successful,43.6,23.4,40.7,11.7,OpenPlay
Pass,1,15,88300,87,Successful,40.7,9.5,58,4.7,OpenPlay
Pass,1,16,303657,87,Successful,60.4,4.0,63.8,10.6,OpenPlay
Pass,1,17,5583,87,Successful,62.0,11.0,65,3.4,OpenPlay
Pass,1,18,303657,87,Successful,70.1,5.5,76.9,14.6,OpenPlay
Pass,1,19,26820,87,Successful,76.9,14.6,72.4,19.5,OpenPlay
Pass,1,21,303657,87,Unsuccessful,72.5,18.5,77.1,17.3,OpenPlay
Interception,1,22,102173,63,Successful,25.3,84.1,,,OpenPlay
BallTouch,1,23,326646,63,Successful,25.3,85.1,,,OpenPlay
Pass,1,25,102173,63,Unsuccessful,22.9,78.4,42.9,59.3,OpenPlay
Pass,1,26,320374,87,Unsuccessful,62.8,45.2,73.1,49.5,OpenPlay
Pass,1,28,103476,63,Unsuccessful,26.7,50.9,29.5,50.6,OpenPlay
