Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,26,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,362431,63,Successful,50.0,50.0,34.3,43,OpenPlay
Pass,0,2,238940,63,Successful,34.7,41.8,35.4,26.2,OpenPlay
Pass,0,4,80764,63,Successful,36.6,17.0,42,5.5,OpenPlay
Pass,0,6,83078,63,Successful,42.2,5.5,55.1,11.9,OpenPlay
Pass,0,10,362431,63,Successful,55.7,24.9,71.6,38.5,OpenPlay
MissedShots,0,13,24248,63,Successful,84.6,34.0,,,OpenPlay
Pass,0,31,73399,26,Unsuccessful,4.5,56.3,58.6,24.9,OpenPlay
BallTouch,0,33,326646,63,Successful,29.3,86.9,,,OpenPlay
Pass,0,37,318871,26,Successful,63.1,0.0,45,12.2,ThrowIn
Pass,0,41,136451,26,Successful,45.7,15.5,51.3,12.6,OpenPlay
Pass,0,43,68659,26,Successful,49.6,15.0,44.5,32.2,OpenPlay
Pass,0,45,136451,26,Successful,43.8,34.9,41.8,69.1,OpenPlay
Pass,0,49,95408,26,Successful,41.5,65.7,39,39.5,OpenPlay
Pass,0,51,136451,26,Successful,39.8,37.0,45.4,8.6,OpenPlay
Pass,0,53,318871,26,Unsuccessful,46.0,9.7,52.5,10.9,OpenPlay
BallTouch,0,54,112161,63,Successful,49.1,84.1,,,OpenPlay
Pass,0,57,318871,26,Successful,43.3,21.5,35.6,39.8,OpenPlay
Pass,0,59,136451,26,Successful,34.8,43.0,37.2,67.9,OpenPlay
Pass,1,2,95408,26,Unsuccessful,42.8,77.9,76.9,57.5,OpenPlay
BallRecovery,1,6,77564,63,Successful,21.2,37.3,,,OpenPlay
Pass,1,7,77564,63,Unsuccessful,21.6,37.4,65.8,65.4,OpenPlay
BallRecovery,1,11,136451,26,Successful,32.6,33.3,,,OpenPlay
