Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,62,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,38190,62,Successful,50.1,49.7,36.9,50.6,OpenPlay
Pass,0,2,93805,62,Successful,36.6,49.9,28.4,31.3,OpenPlay
Pass,0,3,320713,62,Successful,28.1,30.1,25.3,47.3,OpenPlay
Pass,0,5,109565,62,Successful,24.9,49.9,30.4,96.8,OpenPlay
Pass,0,8,146763,62,Successful,29.3,93.5,20.5,81.2,OpenPlay
Pass,0,10,381584,62,Successful,20.5,81.1,57.1,80.6,OpenPlay
Aerial,0,12,38190,62,Successful,55.2,83.4,,,OpenPlay
Aerial,0,12,88112,63,Unsuccessful,44.8,16.6,,,OpenPlay
Pass,0,12,38190,62,Unsuccessful,57.1,80.6,44.8,100,OpenPlay
Pass,0,27,88112,63,Unsuccessful,56.5,0.0,85.8,13.2,ThrowIn
Aerial,0,30,146763,62,Successful,12.6,85.4,,,OpenPlay
Aerial,0,30,127604,63,Unsuccessful,87.4,14.6,,,OpenPlay
Pass,0,30,146763,62,Successful,11.4,84.1,13.1,95.1,OpenPlay
BallRecovery,0,32,93805,62,Successful,12.7,95.7,,,OpenPlay
Pass,0,35,93805,62,Successful,8.3,94.2,5.1,88.1,OpenPlay
Pass,0,35,146763,62,Unsuccessful,5.1,88.1,36.1,87.7,OpenPlay
Pass,0,37,88112,63,Unsuccessful,76.3,7.4,77,12.8,OpenPlay
Interception,0,38,91242,62,Successful,31.4,81.5,,,OpenPlay
Pass,0,40,238940,63,Successful,75.5,17.3,74.6,12.2,OpenPlay
Aerial,0,40,238940,63,Successful,71.9,17.6,,,OpenPlay
Aerial,0,40,91242,62,Unsuccessful,28.1,82.4,,,OpenPlay
Pass,0,41,88112,63,Unsuccessful,71.1,12.6,76.8,20.2,OpenPlay
Pass,0,42,93805,62,Successful,24.1,79.4,34.7,79.4,OpenPlay
Pass,0,43,91242,62,Unsuccessful,34.7,79.4,30.1,89.4,OpenPlay
BallRecovery,0,44,88112,63,Successful,73.3,16.7,,,OpenPlay
Pass,0,44,88112,63,Successful,73.3,16.7,78.9,18.6,OpenPlay
Pass,0,45,254582,63,Successful,79.1,18.6,80.3,7.9,OpenPlay
Pass,0,48,88112,63,Successful,94.8,8.3,92.3,27.7,OpenPlay
Pass,0,50,127604,63,Unsuccessful,92.0,28.0,91.8,44.5,OpenPlay
BallTouch,0,50,362421,62,Successful,9.1,58.8,,,OpenPlay
Goal,0,52,91213,63,Successful,95.2,51.1,,,OpenPlay
Pass,1,54,38190,62,Successful,50.1,50.0,37.1,70,OpenPlay
Pass,1,55,381584,62,Successful,37.1,70.0,33.2,25.6,OpenPlay
Pass,1,58,320713,62,Successful,37.5,24.3,47.9,24.7,OpenPlay
Pass,2,2,362421,62,Successful,43.4,35.4,37.5,67,OpenPlay
Pass,2,6,381584,62,Unsuccessful,46.5,74.2,62.4,100,OpenPlay
Pass,2,25,88112,63,Unsuccessful,41.4,0.0,58,6.1,ThrowIn
Pass,2,27,93805,62,Unsuccessful,37.7,89.0,46.4,91.1,OpenPlay
Pass,2,28,254582,63,Unsuccessful,55.6,3.7,80.4,25.3,OpenPlay
BallRecovery,2,32,109565,62,Successful,19.7,74.5,,,OpenPlay
Pass,2,32,109565,62,Successful,19.7,74.5,3.3,61.5,OpenPlay
Pass,2,35,120335,62,Successful,4.9,61.5,6.8,88.3,OpenPlay
Pass,2,38,381584,62,Successful,10.0,94.2,19.1,84.7,OpenPlay
Pass,2,40,93805,62,Successful,19.1,84.4,7.3,84.2,OpenPlay
Pass,2,42,381584,62,Unsuccessful,4.3,72.9,39.6,40,OpenPlay
BallTouch,2,45,135914,63,Successful,59.4,58.1,,,OpenPlay
Aerial,2,45,135914,63,Successful,59.9,59.0,,,OpenPlay
Aerial,2,45,91242,62,Unsuccessful,40.1,41.0,,,OpenPlay
Pass,2,47,112161,63,Successful,59.5,53.7,61.4,45.1,OpenPlay
BallRecovery,2,47,238940,63,Successful,62.3,42.5,,,OpenPlay
Pass,2,49,238940,63,Successful,62.3,41.8,63.4,18.6,OpenPlay
Pass,2,52,88112,63,Successful,73.7,21.0,78,28.2,OpenPlay
Pass,2,53,127604,63,Successful,78.3,27.9,91,22.5,OpenPlay
Pass,2,55,88112,63,Unsuccessful,91.2,24.8,89,42.3,OpenPlay
Clearance,2,56,109565,62,Successful,10.4,55.8,24.2,75.6,OpenPlay
SavedShot,2,58,238940,63,Successful,73.6,32.4,,,OpenPlay
Save,2,58,93805,62,Successful,19.3,62.7,,,OpenPlay
Pass,3,1,77564,63,Successful,59.4,32.8,70.4,21.6,OpenPlay
Pass,3,2,127604,63,Successful,70.8,21.6,65.4,23.6,OpenPlay
Pass,3,4,238940,63,Unsuccessful,64.2,21.9,65.5,23.1,OpenPlay
BallTouch,3,4,344542,62,Successful,32.1,82.1,,,OpenPlay
BallRecovery,3,5,93805,62,Successful,23.5,63.7,,,OpenPlay
Pass,3,6,93805,62,Successful,23.5,63.7,36.9,47.2,OpenPlay
Pass,3,8,91242,62,Successful,36.9,47.2,34.1,52.7,OpenPlay
Pass,3,10,362421,62,Successful,38.6,56.9,66.4,82.3,OpenPlay
Pass,3,14,38190,62,Unsuccessful,76.4,72.9,83.3,50.1,OpenPlay
Clearance,3,15,135914,63,Successful,17.8,41.9,25,0,OpenPlay
Pass,3,25,146763,62,Successful,70.8,100.0,49.6,87.8,ThrowIn
Pass,3,27,381584,62,Successful,49.6,87.8,44.2,55.8,OpenPlay
Pass,3,30,109565,62,Successful,44.4,55.2,70.1,4.7,OpenPlay
Interception,3,34,326646,63,Successful,31.1,97.2,,,OpenPlay
Pass,3,34,79929,62,Unsuccessful,69.9,3.7,73.1,3.2,OpenPlay
Pass,3,41,79929,62,Successful,70.0,0.0,57,6.2,ThrowIn
Pass,3,44,320713,62,Successful,58.9,11.4,52.6,34.2,OpenPlay
Pass,3,46,109565,62,Successful,53.0,39.7,52,71.8,OpenPlay
Pass,3,50,381584,62,Successful,53.0,69.4,77,1.6,OpenPlay
Pass,3,54,79929,62,Unsuccessful,77.0,1.6,83.2,12.2,OpenPlay
Pass,3,55,80764,63,Unsuccessful,17.8,81.8,21.9,100,OpenPlay
Pass,4,2,79929,62,Successful,78.3,0.0,77,7,ThrowIn
Pass,4,4,91242,62,Successful,77.0,7.0,77.8,2.3,OpenPlay
Pass,4,4,79929,62,Successful,77.8,2.3,81.9,7.7,OpenPlay
Pass,4,6,362421,62,Successful,81.9,7.7,73.5,3.7,OpenPlay
Pass,4,9,91242,62,Unsuccessful,71.3,3.5,72,6.2,OpenPlay
BallTouch,4,9,80764,63,Successful,20.4,94.1,,,OpenPlay
Pass,4,11,93805,62,Successful,74.0,20.9,91.6,23.7,OpenPlay
SavedShot,4,12,79929,62,Successful,89.9,25.6,,,OpenPlay
Save,4,13,76662,63,Successful,1.1,55.4,,,OpenPlay
KeeperPickup,4,14,76662,63,Successful,1.1,55.4,,,OpenPlay
Pass,4,23,76662,63,Successful,11.5,47.8,19.8,30.6,OpenPlay
Pass,4,28,77564,63,Successful,20.5,29.8,38.8,15.6,OpenPlay
Pass,4,32,254582,63,Unsuccessful,39.5,14.6,45.5,9.8,OpenPlay
Interception,4,32,146763,62,Successful,59.6,91.5,,,OpenPlay
Dispossessed,4,34,254582,63,Successful,34.6,7.0,,,OpenPlay
Tackle,4,34,38190,62,Successful,65.4,93.0,,,OpenPlay
BallRecovery,4,36,146763,62,Successful,64.0,84.4,,,OpenPlay
Pass,4,36,146763,62,Successful,64.0,84.4,71.6,84.4,OpenPlay
Dispossessed,4,37,344542,62,Successful,68.7,87.6,,,OpenPlay
Tackle,4,38,254582,63,Successful,31.3,12.4,,,OpenPlay
Pass,4,51,146763,62,Successful,68.4,100.0,42.3,91.7,ThrowIn
Pass,4,53,381584,62,Successful,42.3,91.7,30.2,59.3,OpenPlay
Pass,4,57,109565,62,Successful,31.1,53.1,3.6,49,OpenPlay
Pass,5,1,120335,62,Unsuccessful,4.1,48.8,34.3,3.4,OpenPlay
Foul,5,4,79929,62,Successful,36.8,3.0,,,OpenPlay
Foul,5,4,326646,63,Unsuccessful,63.2,97.0,,,OpenPlay
Pass,5,27,79929,62,Successful,36.3,2.9,38.6,9.5,OpenPlay
Pass,5,30,362421,62,Successful,38.6,9.5,36.8,3.5,OpenPlay
Pass,5,34,79929,62,Successful,36.8,3.5,23.2,32.5,OpenPlay
Pass,5,36,109565,62,Successful,22.8,34.0,25,71.4,OpenPlay
Pass,5,41,381584,62,Successful,24.5,71.1,29.3,24.3,OpenPlay
Pass,5,48,320713,62,Successful,48.5,11.1,69.5,20.1,OpenPlay
Pass,5,49,91242,62,Successful,69.5,20.1,68.4,14.1,OpenPlay
Pass,5,50,362421,62,Successful,68.4,14.1,74.4,3.4,OpenPlay
Pass,5,55,79929,62,Successful,66.5,14.9,54.2,48.8,OpenPlay
Pass,5,58,381584,62,Successful,55.6,52.8,69.2,96.8,OpenPlay
Pass,6,1,146763,62,Successful,65.4,96.5,47.7,77,OpenPlay
Pass,6,3,381584,62,Successful,47.7,77.0,55.6,58.5,OpenPlay
Pass,6,5,93805,62,Successful,55.6,58.5,44.7,67.5,OpenPlay
Pass,6,6,381584,62,Successful,44.7,67.5,43,39.8,OpenPlay
Pass,6,9,109565,62,Successful,44.5,42.4,47.3,79,OpenPlay
Pass,6,12,344542,62,Successful,49.6,79.3,53.1,66,OpenPlay
Pass,6,13,93805,62,Successful,53.1,66.0,48.9,71.5,OpenPlay
Pass,6,15,344542,62,Successful,47.2,67.0,47.1,18.9,OpenPlay
Pass,6,19,320713,62,Successful,60.3,18.6,64.8,3.4,OpenPlay
Pass,6,22,79929,62,Successful,67.3,2.8,75.9,8.9,OpenPlay
Pass,6,23,38190,62,Successful,75.9,8.9,69.8,9.2,OpenPlay
Pass,6,25,79929,62,Successful,69.8,9.2,73.2,2.3,OpenPlay
Dispossessed,6,27,38190,62,Successful,68.8,3.1,,,OpenPlay
Tackle,6,28,80764,63,Successful,31.2,96.9,,,OpenPlay
BallRecovery,6,29,326646,63,Successful,31.8,94.5,,,OpenPlay
Pass,6,30,326646,63,Successful,31.8,94.5,21.4,87.8,OpenPlay
Pass,6,33,135914,63,Successful,20.8,86.5,9.1,23.1,OpenPlay
Pass,6,38,88112,63,Successful,9.0,22.2,22.8,8.9,OpenPlay
Pass,6,40,238940,63,Successful,22.9,8.9,51.9,17.6,OpenPlay
Pass,6,42,254582,63,Unsuccessful,54.7,14.5,53,17.8,OpenPlay
BallRecovery,6,43,146763,62,Successful,46.5,74.2,,,OpenPlay
Pass,6,43,146763,62,Successful,46.5,74.2,36.2,59.4,OpenPlay
Pass,6,44,109565,62,Successful,36.2,59.4,44.3,76.7,OpenPlay
Pass,6,47,146763,62,Successful,44.3,76.7,47.1,69.9,OpenPlay
Pass,6,51,93805,62,Successful,61.8,57.5,73.9,56.7,OpenPlay
