Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,60,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,132962,63,Successful,50.0,50.0,33.8,58.7,OpenPlay
Pass,0,5,344156,63,Unsuccessful,34.1,58.5,86.6,0,OpenPlay
Pass,0,18,261286,60,Successful,16.8,100.0,34.9,90.8,ThrowIn
Aerial,0,20,254582,63,Unsuccessful,60.3,6.1,,,OpenPlay
Aerial,0,20,74603,60,Successful,39.7,93.9,,,OpenPlay
Pass,0,21,74603,60,Successful,34.8,92.5,43.7,88.8,OpenPlay
BallTouch,0,22,135663,60,Unsuccessful,45.3,88.7,,,OpenPlay
Pass,0,23,112161,63,Successful,54.3,5.5,42.3,7.9,OpenPlay
Pass,0,24,88112,63,Successful,42.2,8.0,44.6,5,OpenPlay
BallRecovery,0,25,112161,63,Successful,44.7,4.9,,,OpenPlay
Pass,0,26,112161,63,Successful,43.9,4.8,28.3,10.4,OpenPlay
Pass,0,27,88112,63,Successful,28.3,9.9,21.6,54,OpenPlay
Pass,0,30,344156,63,Successful,21.6,53.9,6.1,56.1,OpenPlay
Pass,0,33,76662,63,Unsuccessful,6.1,56.1,56.9,53.6,OpenPlay
Aerial,0,36,24248,63,Unsuccessful,56.4,54.2,,,OpenPlay
Aerial,0,36,79708,60,Successful,43.6,45.8,,,OpenPlay
Pass,0,37,79708,60,Successful,41.4,46.6,45.3,69.1,OpenPlay
Pass,0,38,381713,60,Successful,45.5,69.1,30.8,75,OpenPlay
BallRecovery,0,40,261286,60,Successful,30.8,75.0,,,OpenPlay
Pass,0,41,261286,60,Unsuccessful,30.3,78.1,100,89.7,OpenPlay
ShieldBallOpp,0,46,102173,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,59,76662,63,Successful,4.5,43.3,10.5,76.1,OpenPlay
Pass,1,2,344156,63,Unsuccessful,13.2,80.9,65.3,67.5,OpenPlay
Pass,1,5,79708,60,Successful,38.1,23.7,41.8,5.2,OpenPlay
BallRecovery,1,7,333111,60,Successful,41.8,5.2,,,OpenPlay
Pass,1,8,333111,60,Unsuccessful,37.0,2.3,39.8,2.8,OpenPlay
BlockedPass,1,8,132962,63,Successful,59.8,95.7,,,OpenPlay
Pass,1,21,333111,60,Successful,31.9,0.0,44.8,2.8,ThrowIn
Dispossessed,1,22,74603,60,Successful,45.0,2.8,,,OpenPlay
Tackle,1,22,326646,63,Unsuccessful,55.0,97.2,,,OpenPlay
BallTouch,1,23,74603,60,Successful,44.2,3.8,,,OpenPlay
BallRecovery,1,25,103476,63,Successful,53.6,95.1,,,OpenPlay
Pass,1,26,103476,63,Successful,53.6,95.1,53.3,67.5,OpenPlay
Pass,1,27,112161,63,Successful,53.0,66.4,42.4,30.4,OpenPlay
Pass,1,32,88112,63,Successful,42.6,28.3,45.7,47.2,OpenPlay
Pass,1,34,254582,63,Successful,46.5,47.2,61.7,41.8,OpenPlay
Pass,1,35,112161,63,Successful,61.7,41.8,63.3,57.8,OpenPlay
Pass,1,37,103476,63,Successful,72.1,67.8,86.3,97.5,OpenPlay
Pass,1,41,326646,63,Successful,85.8,96.6,79.4,91.1,OpenPlay
Pass,1,43,132962,63,Unsuccessful,80.1,91.7,92.3,47.6,OpenPlay
Aerial,1,45,112161,63,Unsuccessful,91.4,43.8,,,OpenPlay
Aerial,1,45,261286,60,Successful,8.6,56.2,,,OpenPlay
Clearance,1,46,261286,60,Successful,5.7,53.0,7,52,OpenPlay
MissedShots,1,47,112161,63,Successful,92.7,47.4,,,OpenPlay
OffsideGiven,2,,74603,60,Unsuccessful,89.5,92.3,,,OpenPlay
Pass,2,12,95915,60,Unsuccessful,4.6,42.7,56.4,29.5,OpenPlay
Aerial,2,16,67443,60,Unsuccessful,54.6,26.4,,,OpenPlay
Aerial,2,16,103476,63,Successful,45.4,73.6,,,OpenPlay
Interception,2,17,103476,63,Successful,43.1,69.1,,,OpenPlay
BallRecovery,2,18,326646,63,Successful,37.3,88.7,,,OpenPlay
Pass,2,19,326646,63,Successful,37.3,88.7,40.7,96.8,OpenPlay
Pass,2,20,132962,63,Successful,40.7,96.8,20.1,92,OpenPlay
Pass,2,23,344156,63,Successful,19.9,77.2,14.2,43.7,OpenPlay
Pass,2,26,102173,63,Unsuccessful,14.7,27.4,45.4,0,OpenPlay
Pass,2,43,261286,60,Unsuccessful,62.0,100.0,78,89.1,ThrowIn
Interception,2,44,254582,63,Successful,21.6,10.2,,,OpenPlay
BallTouch,2,46,112161,63,Unsuccessful,29.7,10.9,,,OpenPlay
Pass,2,47,74603,60,Successful,77.4,87.7,81.8,95.7,OpenPlay
OffsidePass,2,49,381713,60,Successful,80.4,97.1,89.5,92.3,OpenPlay
OffsideProvoked,2,49,102173,63,Successful,16.0,19.0,,,OpenPlay
Pass,3,14,76662,63,Unsuccessful,16.7,18.0,66.4,27.1,OpenPlay
Aerial,3,17,112161,63,Unsuccessful,68.4,25.0,,,OpenPlay
Aerial,3,17,67443,60,Successful,31.6,75.0,,,OpenPlay
Pass,3,18,67443,60,Unsuccessful,29.6,77.2,31.9,81.8,OpenPlay
BallTouch,3,18,112161,63,Successful,66.4,27.1,,,OpenPlay
Pass,3,19,261286,60,Successful,23.0,77.5,30.5,69.4,OpenPlay
Pass,3,20,67443,60,Successful,28.9,69.1,35.9,86.9,OpenPlay
Pass,3,22,381713,60,Successful,35.9,86.9,43,87.1,OpenPlay
BallRecovery,3,24,74603,60,Successful,44.3,90.0,,,OpenPlay
Pass,3,25,74603,60,Successful,44.8,91.8,58.9,96.8,OpenPlay
Dispossessed,3,27,381713,60,Successful,58.4,96.2,,,OpenPlay
Tackle,3,27,254582,63,Successful,41.6,3.8,,,OpenPlay
BallRecovery,3,28,254582,63,Successful,40.7,4.6,,,OpenPlay
Pass,3,29,254582,63,Successful,40.7,4.6,40.1,23.7,OpenPlay
Pass,3,30,103476,63,Successful,35.0,28.2,22.3,64.6,OpenPlay
Pass,3,35,344156,63,Successful,21.1,67.9,7,54,OpenPlay
Pass,3,41,76662,63,Successful,11.6,46.7,59.3,86.5,OpenPlay
Aerial,3,44,333111,60,Unsuccessful,35.0,12.9,,,OpenPlay
Aerial,3,44,24248,63,Successful,65.0,87.1,,,OpenPlay
Pass,3,45,24248,63,Unsuccessful,60.2,86.9,63.7,67.2,OpenPlay
Pass,3,46,90365,60,Unsuccessful,29.5,26.8,38.1,0,OpenPlay
Pass,3,59,326646,63,Successful,55.9,100.0,43.5,88.4,ThrowIn
Pass,4,0,344156,63,Successful,43.5,88.4,60.8,8.8,OpenPlay
Pass,4,6,88112,63,Successful,52.8,22.9,67.1,18.6,OpenPlay
Dispossessed,4,10,112161,63,Successful,60.7,4.1,,,OpenPlay
Tackle,4,10,44425,60,Successful,39.3,95.9,,,OpenPlay
Pass,4,16,112161,63,Successful,61.1,0.0,41.5,19.4,ThrowIn
