Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,824,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,362431,63,Successful,50.0,50.0,33.9,40.7,OpenPlay
Pass,0,3,238940,63,Unsuccessful,33.9,34.5,73.4,34.7,OpenPlay
Pass,0,8,108100,824,Unsuccessful,24.1,66.2,34.8,66.6,OpenPlay
Pass,0,9,103476,63,Successful,65.1,30.0,74.1,25.5,OpenPlay
Pass,0,10,362431,63,Successful,74.9,25.5,70.8,15.6,OpenPlay
Dispossessed,0,14,88112,63,Successful,76.0,5.2,,,OpenPlay
Tackle,0,14,83358,824,Unsuccessful,24.0,94.8,,,OpenPlay
BallTouch,0,15,88112,63,Unsuccessful,77.6,2.6,,,OpenPlay
Pass,0,25,70216,824,Unsuccessful,31.6,100.0,78.2,82.7,ThrowIn
Clearance,0,28,77564,63,Successful,18.4,6.5,24.1,0,OpenPlay
Pass,0,37,70216,824,Successful,62.5,100.0,34.8,63.5,ThrowIn
Pass,0,42,239815,824,Successful,33.8,62.0,35.6,18.3,OpenPlay
Pass,0,46,312851,824,Unsuccessful,37.7,6.5,75.4,7.1,OpenPlay
Aerial,0,47,23634,824,Unsuccessful,76.6,12.2,,,OpenPlay
Aerial,0,47,102173,63,Successful,23.4,87.8,,,OpenPlay
Pass,0,48,102173,63,Unsuccessful,22.1,82.7,33.3,100,OpenPlay
Pass,0,56,312851,824,Successful,58.1,0.0,45.4,7.7,ThrowIn
Pass,0,58,239815,824,Successful,46.5,11.4,37.3,50.6,OpenPlay
Pass,1,2,108100,824,Successful,33.7,58.2,42.4,91.8,OpenPlay
Pass,1,4,70216,824,Unsuccessful,44.5,95.1,100,82.9,OpenPlay
Pass,1,26,76662,63,Successful,4.8,44.8,9.8,25.9,OpenPlay
Pass,1,30,77564,63,Successful,16.8,16.5,58.8,28.7,OpenPlay
Aerial,1,33,108100,824,Unsuccessful,40.3,70.5,,,OpenPlay
Aerial,1,33,91213,63,Successful,59.7,29.5,,,OpenPlay
Pass,1,34,91213,63,Unsuccessful,57.6,27.9,62.4,41.5,OpenPlay
Pass,1,36,86826,824,Unsuccessful,35.9,58.5,56,67.5,OpenPlay
Aerial,1,38,83358,824,Unsuccessful,55.2,68.7,,,OpenPlay
Aerial,1,38,77564,63,Successful,44.8,31.3,,,OpenPlay
Pass,1,39,77564,63,Successful,45.7,30.1,52,47.6,OpenPlay
Pass,1,40,362431,63,Successful,52.0,47.6,38.8,52.7,OpenPlay
BallTouch,1,42,238940,63,Successful,38.6,52.8,,,OpenPlay
Pass,1,44,102173,63,Successful,32.4,60.9,47,89.1,OpenPlay
Pass,1,48,91430,63,Successful,63.3,95.6,65,92,OpenPlay
BallTouch,1,51,91213,63,Unsuccessful,65.0,92.0,,,OpenPlay
BallTouch,1,52,23634,824,Unsuccessful,37.8,8.9,,,OpenPlay
Pass,1,54,362431,63,Successful,56.0,88.7,43.7,84.7,OpenPlay
Pass,1,57,102173,63,Unsuccessful,40.7,77.1,73.2,47.4,OpenPlay
Pass,2,1,108100,824,Unsuccessful,25.1,53.6,45.8,53.6,OpenPlay
Pass,2,2,238940,63,Unsuccessful,53.7,46.7,68.5,44.6,OpenPlay
Pass,2,4,108100,824,Unsuccessful,27.5,56.5,59,57.3,OpenPlay
Pass,2,6,77564,63,Successful,41.0,43.6,37.5,55.2,OpenPlay
Pass,2,10,102173,63,Successful,35.4,59.6,37.1,73.2,OpenPlay
Pass,2,11,112161,63,Unsuccessful,37.1,73.2,46,65.5,OpenPlay
BallRecovery,2,12,335696,824,Successful,53.8,36.1,,,OpenPlay
Pass,2,13,335696,824,Successful,53.8,36.1,42.6,34.8,OpenPlay
Pass,2,15,239815,824,Successful,42.6,35.8,37.6,59.7,OpenPlay
