Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,70,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,149121,70,Successful,49.9,49.9,29.5,57,OpenPlay
Pass,0,3,73265,70,Successful,29.7,56.9,71.1,23.3,OpenPlay
Aerial,0,5,326646,63,Unsuccessful,31.9,77.3,,,OpenPlay
Aerial,0,5,127220,70,Successful,68.1,22.7,,,OpenPlay
Pass,0,6,127220,70,Unsuccessful,69.4,22.1,76,24.9,OpenPlay
BallRecovery,0,7,102173,63,Successful,22.2,77.0,,,OpenPlay
Pass,0,7,102173,63,Unsuccessful,22.2,77.0,48.1,96.8,OpenPlay
Pass,0,11,80957,70,Unsuccessful,54.1,5.2,68.3,11.1,OpenPlay
Foul,0,13,112161,63,Successful,33.3,90.6,,,OpenPlay
Foul,0,13,149121,70,Unsuccessful,66.7,9.4,,,OpenPlay
Pass,0,51,102173,63,Unsuccessful,34.0,82.7,70.1,68.2,OpenPlay
Pass,0,55,67327,70,Unsuccessful,23.3,37.7,51.8,60,OpenPlay
Pass,0,57,83078,63,Successful,47.3,39.1,36.7,46.3,OpenPlay
Pass,1,0,77564,63,Unsuccessful,35.4,44.8,69.1,63,OpenPlay
Aerial,1,3,91213,63,Unsuccessful,74.3,65.2,,,OpenPlay
Aerial,1,3,67327,70,Successful,25.7,34.8,,,OpenPlay
Pass,1,4,67327,70,Unsuccessful,27.5,33.8,28.6,34.2,OpenPlay
BallTouch,1,4,91213,63,Successful,69.1,63.0,,,OpenPlay
Challenge,1,5,73265,70,Unsuccessful,21.6,30.7,,,OpenPlay
TakeOn,1,5,127604,63,Successful,78.4,69.3,,,OpenPlay
Pass,1,6,127604,63,Successful,80.8,79.1,79.1,98,OpenPlay
Pass,1,9,326646,63,Successful,77.7,97.8,72.1,90,OpenPlay
Pass,1,12,112161,63,Successful,72.1,82.3,77.4,76.3,OpenPlay
Pass,1,14,127604,63,Successful,78.5,85.0,84.9,97.2,OpenPlay
Pass,1,16,326646,63,Successful,84.9,97.2,78.1,93.6,OpenPlay
Pass,1,19,127604,63,Successful,68.7,81.6,64.1,64.7,OpenPlay
Pass,1,21,238940,63,Unsuccessful,66.0,62.0,89.5,21.9,OpenPlay
Clearance,1,25,135572,70,Successful,9.4,76.9,15.8,86.3,OpenPlay
Pass,1,26,83078,63,Unsuccessful,84.5,11.7,85.7,14.6,OpenPlay
Clearance,1,26,135572,70,Successful,14.7,76.9,14.7,76.9,OpenPlay
Pass,1,29,83078,63,Successful,92.1,2.6,94.5,25.6,OpenPlay
Challenge,1,32,73265,70,Unsuccessful,7.8,73.9,,,OpenPlay
TakeOn,1,32,127604,63,Successful,92.2,26.1,,,OpenPlay
Pass,1,34,127604,63,Unsuccessful,95.0,25.2,95.5,27.7,OpenPlay
Clearance,1,34,70699,70,Successful,2.9,73.5,2.9,73.5,OpenPlay
