Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Pass,0,0,296367,819,Successful,49.7,49.9,51.3,48.2,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,819,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,140771,819,Successful,52.5,47.0,63.9,5.8,OpenPlay
Pass,0,6,91434,819,Successful,73.3,4.7,55.9,6.8,OpenPlay
Pass,0,7,326461,819,Unsuccessful,56.3,7.1,92.3,43.9,OpenPlay
BallRecovery,0,11,76662,63,Successful,11.2,59.7,,,OpenPlay
Pass,0,18,76662,63,Successful,15.6,46.6,58.5,4,OpenPlay
Pass,0,21,127604,63,Unsuccessful,58.5,4.0,58,11.6,OpenPlay
BallRecovery,0,23,363496,819,Successful,43.9,79.6,,,OpenPlay
Pass,0,23,363496,819,Successful,43.3,84.1,32.5,81.8,OpenPlay
Pass,0,23,96448,819,Unsuccessful,35.6,85.1,60.7,75.6,OpenPlay
Aerial,0,25,135914,63,Successful,36.6,23.8,,,OpenPlay
Aerial,0,25,140771,819,Unsuccessful,63.4,76.2,,,OpenPlay
Pass,0,25,135914,63,Unsuccessful,40.4,20.8,67.8,33.8,OpenPlay
Pass,0,27,332990,819,Successful,28.8,49.6,41.5,84.4,OpenPlay
Pass,0,30,347178,819,Unsuccessful,41.7,84.7,59.9,65.5,OpenPlay
Pass,0,31,102173,63,Unsuccessful,45.7,33.8,62.8,62,OpenPlay
Pass,0,33,326461,819,Successful,34.1,36.3,53.6,3.5,OpenPlay
Pass,0,39,91434,819,Successful,57.6,4.7,44.2,11.1,OpenPlay
Pass,0,41,326461,819,Unsuccessful,43.3,11.3,74.8,13.1,OpenPlay
Pass,0,44,374813,63,Successful,26.4,87.3,32,90.5,OpenPlay
Pass,0,45,115472,63,Unsuccessful,33.6,93.6,28.1,89.4,OpenPlay
Pass,0,46,354526,819,Unsuccessful,73.4,17.0,77.1,12.8,OpenPlay
Pass,0,47,374813,63,Unsuccessful,24.4,91.5,31.9,93.2,OpenPlay
Pass,0,48,91434,819,Successful,70.0,12.0,75.5,19.1,OpenPlay
Aerial,0,49,354526,819,Successful,75.2,13.7,,,OpenPlay
Aerial,0,49,374813,63,Unsuccessful,24.8,86.3,,,OpenPlay
Pass,0,49,354526,819,Unsuccessful,75.5,19.1,88.4,16.2,OpenPlay
BallRecovery,0,51,102173,63,Successful,14.8,86.1,,,OpenPlay
Pass,0,52,102173,63,Unsuccessful,14.8,86.1,17.9,87.3,OpenPlay
Foul,0,52,,63,Successful,15.6,88.9,,,OpenPlay
Foul,0,52,296367,819,Unsuccessful,84.4,11.1,,,OpenPlay
Pass,1,14,76662,63,Successful,11.5,88.1,71.3,71,OpenPlay
Foul,1,17,24248,63,Successful,69.4,69.8,,,OpenPlay
Foul,1,17,326461,819,Unsuccessful,30.6,30.2,,,OpenPlay
SavedShot,3,41,115472,63,Successful,74.1,68.1,,,OpenPlay
Save,3,41,363496,819,Successful,21.3,36.4,,,OpenPlay
Pass,3,48,88112,63,Successful,56.7,2.7,50.4,17.8,OpenPlay
Pass,3,52,80764,63,Successful,58.5,16.1,67.9,2.6,OpenPlay
Pass,3,54,88112,63,Unsuccessful,68.7,2.9,71.3,4.9,OpenPlay
BallRecovery,3,54,347178,819,Successful,29.9,94.7,,,OpenPlay
Pass,3,56,347178,819,Unsuccessful,28.2,94.4,61.1,100,OpenPlay
Pass,4,7,88112,63,Successful,45.9,0.0,40.4,4,ThrowIn
Pass,4,9,80764,63,Successful,39.9,7.1,32.5,43.5,OpenPlay
Pass,4,15,102173,63,Successful,36.3,55.9,42,25,OpenPlay
Pass,4,17,80764,63,Successful,43.6,24.8,35.4,30.4,OpenPlay
Pass,4,20,135914,63,Successful,36.2,28.6,51.8,3.8,OpenPlay
Pass,4,22,88112,63,Successful,52.4,3.8,60.3,11.2,OpenPlay
Pass,4,24,127604,63,Successful,63.3,12.5,75.1,16.1,OpenPlay
Pass,4,28,254582,63,Unsuccessful,99.2,26.8,95.8,43,OpenPlay
Clearance,4,29,332990,819,Successful,5.6,58.4,0,65.8,OpenPlay
CornerAwarded,4,30,332990,819,Unsuccessful,0.8,68.6,,,OpenPlay
CornerAwarded,4,30,254582,63,Successful,99.2,31.4,,,OpenPlay
Pass,5,6,127604,63,Successful,99.5,0.5,92.2,3.5,CornerTaken
Pass,5,8,88112,63,Successful,90.8,3.7,80.2,7.9,OpenPlay
Pass,5,9,80764,63,Unsuccessful,80.2,7.9,88,0,OpenPlay
Pass,5,28,347178,819,Successful,20.5,100.0,53.4,90.9,ThrowIn
Aerial,5,30,354526,819,Successful,57.8,88.1,,,OpenPlay
Aerial,5,30,88112,63,Unsuccessful,42.2,11.9,,,OpenPlay
Pass,5,30,354526,819,Unsuccessful,61.2,84.2,71.6,84.4,OpenPlay
