Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
OffsideGiven,0,,127604,63,Unsuccessful,91.7,23.9,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,925,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,80764,63,Successful,50.0,50.0,38.7,45.7,OpenPlay
Pass,0,2,254582,63,Successful,39.3,44.5,42.4,24.9,OpenPlay
Pass,0,6,103476,63,Successful,45.6,19.0,56.3,4.6,OpenPlay
Pass,0,7,83078,63,Successful,60.8,8.1,91.3,27,OpenPlay
TakeOn,0,10,127604,63,Unsuccessful,88.2,29.6,,,OpenPlay
Tackle,0,10,381670,925,Successful,11.8,70.4,,,OpenPlay
Clearance,0,12,381670,925,Successful,4.2,74.5,14.2,75.4,OpenPlay
OffsideProvoked,0,13,381670,925,Successful,8.8,72.0,,,OpenPlay
OffsidePass,0,13,80764,63,Successful,85.5,25.4,91.7,23.9,OpenPlay
Pass,0,36,141833,925,Successful,9.5,55.1,26.3,17.4,OpenPlay
Pass,0,39,322772,925,Successful,28.6,18.9,26.2,61.7,OpenPlay
Pass,0,43,381670,925,Successful,25.5,62.4,26,33,OpenPlay
Pass,0,45,322772,925,Successful,24.9,29.1,8.6,56.1,OpenPlay
Pass,0,49,141833,925,Successful,7.7,50.9,15.6,24.6,OpenPlay
Pass,0,54,322772,925,Successful,28.9,25.8,29.1,48.7,OpenPlay
Pass,0,59,79560,925,Successful,32.7,64.9,39.1,84.8,OpenPlay
Pass,1,2,381670,925,Successful,38.4,82.4,36.2,64.8,OpenPlay
Pass,1,3,79560,925,Successful,34.9,57.0,35.7,28.8,OpenPlay
Pass,1,8,322772,925,Successful,38.5,26.1,42.3,6.5,OpenPlay
Pass,1,12,34525,925,Successful,32.9,5.3,23.9,9.7,OpenPlay
Pass,1,15,322772,925,Successful,19.2,11.4,8.5,32.5,OpenPlay
Pass,1,17,141833,925,Successful,7.9,33.3,44.2,5.8,OpenPlay
Aerial,1,19,326646,63,Unsuccessful,55.1,93.4,,,OpenPlay
Aerial,1,19,127802,925,Successful,44.9,6.6,,,OpenPlay
Pass,1,20,127802,925,Unsuccessful,43.2,5.9,39.4,4,OpenPlay
Interception,1,21,80764,63,Successful,62.9,94.4,,,OpenPlay
Pass,1,22,80764,63,Successful,66.3,96.9,60.8,94.4,OpenPlay
BallRecovery,1,22,80764,63,Successful,66.3,96.9,,,OpenPlay
Pass,1,23,326646,63,Unsuccessful,60.8,94.4,71.2,89.1,OpenPlay
Pass,1,25,322772,925,Successful,31.1,13.7,37.5,13.8,OpenPlay
BallRecovery,1,26,79560,925,Successful,36.7,17.0,,,OpenPlay
Pass,1,27,79560,925,Successful,34.8,28.3,27.3,61.4,OpenPlay
Pass,1,30,381670,925,Successful,21.6,56.4,7.6,43.1,OpenPlay
Pass,1,33,141833,925,Unsuccessful,9.5,31.9,46,27,OpenPlay
Foul,1,38,344156,63,Unsuccessful,52.2,70.0,,,OpenPlay
Foul,1,38,18275,925,Successful,47.8,30.0,,,OpenPlay
Pass,1,51,32857,925,Successful,52.1,27.4,46.9,40,OpenPlay
Pass,1,54,79560,925,Successful,53.6,45.5,47.1,96.9,OpenPlay
Pass,1,57,115995,925,Successful,47.2,95.9,37.2,88.1,OpenPlay
Pass,2,0,381670,925,Successful,34.1,73.3,31.5,43.3,OpenPlay
Pass,2,3,322772,925,Successful,32.6,35.5,43.5,9.1,OpenPlay
Pass,2,8,32857,925,Unsuccessful,46.3,6.5,68.2,28.9,OpenPlay
Pass,2,9,344156,63,Unsuccessful,35.2,77.8,46.8,90.5,OpenPlay
Interception,2,10,32857,925,Successful,56.5,11.0,,,OpenPlay
BallRecovery,2,11,80764,63,Successful,46.6,85.9,,,OpenPlay
Pass,2,12,80764,63,Successful,44.0,87.4,53.5,88.4,OpenPlay
SavedShot,2,18,91430,63,Successful,86.2,61.2,,,OpenPlay
Save,2,18,34525,925,Successful,11.6,43.0,,,OpenPlay
