Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,825,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,291684,825,Successful,49.8,49.7,32.1,29.2,OpenPlay
Pass,0,3,363816,825,Unsuccessful,34.2,28.3,75.4,58.2,OpenPlay
Pass,0,6,77564,63,Unsuccessful,22.6,37.3,35.8,47,OpenPlay
Pass,0,7,67480,825,Unsuccessful,62.8,51.3,66.1,57.1,OpenPlay
Aerial,0,8,80764,63,Unsuccessful,33.7,46.2,,,OpenPlay
Aerial,0,8,108176,825,Successful,66.3,53.8,,,OpenPlay
Pass,0,9,108176,825,Unsuccessful,64.0,56.7,64.5,56.5,OpenPlay
BallTouch,0,10,80764,63,Successful,33.0,40.8,,,OpenPlay
Foul,0,12,91213,63,Successful,38.0,43.8,,,OpenPlay
Foul,0,12,67480,825,Unsuccessful,62.0,56.2,,,OpenPlay
Pass,0,53,135914,63,Successful,42.0,47.3,38.5,88,OpenPlay
Pass,0,57,344156,63,Unsuccessful,39.2,90.3,100,98.4,OpenPlay
Pass,1,24,243554,825,Unsuccessful,4.9,48.4,66.6,62.9,OpenPlay
Pass,1,28,238940,63,Successful,39.7,35.2,53.9,26.7,OpenPlay
BallRecovery,1,30,91213,63,Successful,55.4,22.5,,,OpenPlay
Pass,1,31,91213,63,Unsuccessful,56.3,17.9,54.1,23.6,OpenPlay
Interception,1,32,67480,825,Successful,42.9,64.1,,,OpenPlay
Pass,1,33,80764,63,Successful,54.4,23.4,60.5,36.6,OpenPlay
Pass,1,34,362431,63,Successful,60.5,36.6,47.9,35.4,OpenPlay
Pass,1,35,238940,63,Successful,47.9,35.4,52,56.3,OpenPlay
Pass,1,39,132962,63,Successful,59.8,63.1,63.7,45.5,OpenPlay
Pass,1,40,80764,63,Successful,63.8,45.8,58.3,53.6,OpenPlay
Pass,1,41,238940,63,Successful,58.0,52.2,58.1,21.1,OpenPlay
Pass,1,45,77564,63,Successful,58.0,18.8,63.1,5.6,OpenPlay
Pass,1,47,83078,63,Successful,63.3,4.9,46.6,9.8,OpenPlay
Pass,1,48,77564,63,Successful,43.8,10.6,35,42.7,OpenPlay
Pass,1,51,135914,63,Successful,35.0,42.7,39.1,81.7,OpenPlay
Pass,1,53,344156,63,Successful,39.5,81.8,34.8,52.4,OpenPlay
Pass,1,55,135914,63,Successful,35.6,51.5,41.6,25.6,OpenPlay
Pass,1,58,77564,63,Successful,44.5,25.0,62.4,51.2,OpenPlay
OffsideGiven,2,,91213,63,Unsuccessful,80.8,49.7,,,OpenPlay
Pass,2,0,362431,63,Successful,62.0,50.6,60.3,40.4,OpenPlay
Pass,2,2,238940,63,Successful,60.3,40.4,57,63.7,OpenPlay
