Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,832,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,112161,63,Successful,50.0,50.0,33.2,46,OpenPlay
Pass,0,3,238940,63,Successful,34.2,44.5,33.5,24.4,OpenPlay
Pass,0,5,77564,63,Successful,33.9,23.1,51.6,2.6,OpenPlay
Pass,0,7,88112,63,Successful,52.0,2.6,56.6,8,OpenPlay
Pass,0,10,80764,63,Successful,53.9,8.5,35.8,11.7,OpenPlay
Pass,0,11,77564,63,Successful,35.3,12.9,30.8,45.5,OpenPlay
Pass,0,14,344156,63,Successful,30.1,46.7,28.1,26.5,OpenPlay
Pass,0,17,77564,63,Successful,27.7,27.6,42.9,20.9,OpenPlay
Pass,0,18,80764,63,Successful,42.9,20.9,51.6,1.9,OpenPlay
Pass,0,21,88112,63,Successful,54.9,2.3,67.1,25.2,OpenPlay
Pass,0,22,24248,63,Successful,67.1,25.2,78.7,18.3,OpenPlay
Pass,0,27,254582,63,Unsuccessful,96.0,25.2,98,46.4,OpenPlay
Clearance,0,27,91194,832,Successful,1.9,55.1,25.1,73.9,OpenPlay
MissedShots,0,30,88112,63,Successful,78.6,26.8,,,OpenPlay
Pass,0,57,91194,832,Successful,4.1,41.5,21.2,93.6,OpenPlay
Pass,1,0,243187,832,Successful,20.8,94.8,7.9,74.5,OpenPlay
Pass,1,3,130356,832,Unsuccessful,10.3,81.1,43.1,89.4,OpenPlay
Pass,1,5,77564,63,Successful,54.9,11.0,62.9,5.8,OpenPlay
Pass,1,7,80764,63,Successful,63.1,5.8,60.2,10.4,OpenPlay
BallRecovery,1,8,238940,63,Successful,60.3,10.7,,,OpenPlay
Pass,1,9,238940,63,Successful,60.3,10.7,55.3,3.5,OpenPlay
Pass,1,11,88112,63,Successful,55.1,3.8,63.3,11.7,OpenPlay
Pass,1,13,254582,63,Successful,63.5,11.3,66.7,2.6,OpenPlay
Pass,1,16,80764,63,Successful,67.9,2.6,61.1,3.5,OpenPlay
Pass,1,19,88112,63,Successful,61.3,4.3,62.9,10.3,OpenPlay
Pass,1,20,238940,63,Successful,62.9,10.3,60.7,3.4,OpenPlay
Pass,1,22,88112,63,Successful,61.2,3.5,45.4,18.6,OpenPlay
Pass,1,24,77564,63,Successful,44.6,21.6,44.3,69.6,OpenPlay
Pass,1,28,344156,63,Successful,51.8,76.9,59.8,74.8,OpenPlay
Pass,1,29,115472,63,Successful,59.8,74.8,53.3,67.8,OpenPlay
Pass,1,31,112161,63,Successful,55.7,67.5,62.3,40,OpenPlay
Pass,1,34,80764,63,Unsuccessful,62.2,37.3,62.8,36.6,OpenPlay
BlockedPass,1,34,239053,832,Successful,34.4,72.4,,,OpenPlay
BallRecovery,1,37,275687,832,Successful,34.0,97.5,,,OpenPlay
Pass,1,39,275687,832,Successful,37.0,96.8,41.1,82.4,OpenPlay
Pass,1,41,239053,832,Successful,40.8,85.0,27.7,91.4,OpenPlay
Pass,1,45,243187,832,Successful,27.7,89.9,22.9,73.2,OpenPlay
Pass,1,48,130356,832,Successful,20.6,62.0,19.4,29.5,OpenPlay
Pass,1,51,294192,832,Successful,19.2,27.9,24.2,5.3,OpenPlay
Pass,1,54,44486,832,Successful,21.8,4.7,42.5,7.1,OpenPlay
Foul,1,58,135610,832,Successful,41.8,5.8,,,OpenPlay
Foul,1,58,344156,63,Unsuccessful,58.2,94.2,,,OpenPlay
Pass,2,10,44486,832,Successful,42.1,7.1,33.2,16.1,OpenPlay
Pass,2,14,294192,832,Successful,32.0,11.1,36.7,2.8,OpenPlay
Pass,2,17,44486,832,Successful,37.3,8.6,26.7,18.2,OpenPlay
Pass,2,20,294192,832,Successful,26.3,20.4,7.8,44.5,OpenPlay
Pass,2,27,91194,832,Successful,10.1,42.7,12.1,14.3,OpenPlay
Pass,2,31,294192,832,Successful,21.2,8.6,23.8,30.7,OpenPlay
Pass,2,32,50069,832,Successful,23.3,30.7,4.4,41.5,OpenPlay
Pass,2,34,91194,832,Successful,4.3,41.6,19.5,76.3,OpenPlay
Pass,2,41,130356,832,Successful,33.0,75.6,39.5,62.7,OpenPlay
