Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,51,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,362431,63,Successful,50.0,50.0,34.9,61.8,OpenPlay
Pass,0,3,80764,63,Successful,35.2,56.1,35.7,30.1,OpenPlay
Pass,0,6,77564,63,Successful,38.7,23.5,72.7,18.8,OpenPlay
Pass,0,9,112161,63,Successful,73.0,20.7,62.6,24.4,OpenPlay
Pass,0,11,88112,63,Successful,62.6,24.4,62.8,33.4,OpenPlay
Pass,0,12,80764,63,Successful,62.8,33.4,70.6,23.3,OpenPlay
Pass,0,13,362431,63,Successful,72.2,18.8,75.4,2.2,OpenPlay
Pass,0,16,112161,63,Successful,73.0,5.8,71.2,12.5,OpenPlay
Pass,0,16,362431,63,Successful,71.2,12.5,73.9,2.6,OpenPlay
Pass,0,18,88112,63,Successful,74.4,2.5,66,17.3,OpenPlay
Pass,0,21,238940,63,Successful,66.0,17.3,68.4,5.9,OpenPlay
Pass,0,22,112161,63,Successful,68.4,5.9,72.7,15,OpenPlay
Pass,0,23,91430,63,Successful,72.7,15.0,74.7,3.7,OpenPlay
Pass,0,24,88112,63,Successful,74.8,4.6,77.3,25,OpenPlay
Pass,0,28,112161,63,Successful,95.7,29.1,95.9,42.8,OpenPlay
MissedShots,0,29,24248,63,Successful,95.9,42.8,,,OpenPlay
Pass,0,56,36262,51,Successful,4.7,48.1,6.9,35.8,OpenPlay
Pass,0,58,142387,51,Successful,8.7,36.6,5.4,65.7,OpenPlay
Pass,1,1,141031,51,Successful,5.5,69.7,8,92.9,OpenPlay
Pass,1,3,333333,51,Successful,8.0,92.9,24,94.4,OpenPlay
Pass,1,4,33222,51,Successful,24.1,94.4,32.7,95.4,OpenPlay
BallTouch,1,6,141036,51,Unsuccessful,32.9,95.4,,,OpenPlay
BallRecovery,1,7,88112,63,Successful,55.9,4.7,,,OpenPlay
Pass,1,8,88112,63,Unsuccessful,55.2,3.5,58.6,5.2,OpenPlay
BallTouch,1,9,141036,51,Successful,33.2,93.9,,,OpenPlay
BallRecovery,1,12,381644,51,Successful,31.9,73.3,,,OpenPlay
Pass,1,15,381644,51,Successful,34.5,68.8,42,57.7,OpenPlay
Pass,1,16,377285,51,Successful,46.8,46.9,53.3,29.2,OpenPlay
Pass,1,21,381642,51,Successful,75.5,24.1,87.1,17.6,OpenPlay
Pass,1,24,377285,51,Unsuccessful,87.1,17.6,90.1,34.5,OpenPlay
Clearance,1,24,102173,63,Successful,9.7,59.7,23.9,59.1,OpenPlay
Pass,1,26,33222,51,Unsuccessful,77.3,33.4,78.5,21.3,OpenPlay
BallRecovery,1,27,91430,63,Successful,23.6,86.5,,,OpenPlay
TakeOn,1,28,91430,63,Unsuccessful,27.8,87.8,,,OpenPlay
Tackle,1,28,381642,51,Successful,72.2,12.2,,,OpenPlay
BallTouch,1,29,381642,51,Unsuccessful,67.3,10.7,,,OpenPlay
Pass,1,48,326646,63,Unsuccessful,31.6,100.0,53.7,93,ThrowIn
Interception,1,51,381644,51,Successful,45.9,4.3,,,OpenPlay
BallRecovery,1,52,141031,51,Successful,37.1,9.7,,,OpenPlay
Pass,1,53,141031,51,Successful,37.1,9.7,57.6,40.4,OpenPlay
Pass,1,56,141036,51,Unsuccessful,57.6,40.4,75.8,30.1,OpenPlay
BallRecovery,1,57,77564,63,Successful,24.3,67.6,,,OpenPlay
Pass,1,58,77564,63,Successful,24.3,67.6,26.2,82.7,OpenPlay
Pass,2,2,326646,63,Successful,26.2,82.7,4.7,47.9,OpenPlay
Pass,2,4,76662,63,Unsuccessful,4.7,47.9,53.1,31.6,OpenPlay
Aerial,2,7,112161,63,Unsuccessful,53.5,31.6,,,OpenPlay
Aerial,2,7,141031,51,Successful,46.5,68.4,,,OpenPlay
Interception,2,8,141031,51,Successful,46.1,68.5,,,OpenPlay
Pass,2,16,112161,63,Successful,67.5,0.0,48.4,11.4,ThrowIn
Pass,2,20,238940,63,Successful,53.1,11.7,61.6,38.2,OpenPlay
Dispossessed,2,21,91430,63,Successful,64.2,48.6,,,OpenPlay
