Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,131,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,369089,131,Successful,50.1,50.1,34.4,49.4,OpenPlay
Pass,0,1,381673,131,Successful,34.6,46.2,32.2,11.6,OpenPlay
Pass,0,4,131037,131,Unsuccessful,31.2,3.7,33.2,3.7,OpenPlay
BlockedPass,0,5,80764,63,Successful,65.5,93.8,,,OpenPlay
Pass,0,13,131037,131,Successful,33.4,0.0,20.3,14,ThrowIn
Pass,0,15,93492,131,Successful,19.3,16.1,3.7,37,OpenPlay
Pass,0,18,9907,131,Unsuccessful,3.7,37.0,39.2,0,OpenPlay
Pass,0,38,326646,63,Unsuccessful,63.5,100.0,88.2,88.8,ThrowIn
BallRecovery,0,43,93492,131,Successful,8.3,12.7,,,OpenPlay
Pass,0,43,93492,131,Successful,6.9,11.2,27.1,5.8,OpenPlay
Pass,0,44,109349,131,Successful,27.1,5.8,22.4,7,OpenPlay
Foul,0,45,131037,131,Successful,20.9,4.8,,,OpenPlay
Foul,0,45,326646,63,Unsuccessful,79.1,95.2,,,OpenPlay
OffsideGiven,1,,24248,63,Unsuccessful,67.3,57.9,,,OpenPlay
Pass,1,3,131037,131,Successful,25.8,3.4,54,59.8,OpenPlay
Pass,1,6,312580,131,Unsuccessful,53.1,60.2,62.5,51.5,OpenPlay
Aerial,1,9,103476,63,Successful,36.0,48.2,,,OpenPlay
Aerial,1,9,369089,131,Unsuccessful,64.0,51.8,,,OpenPlay
Pass,1,9,103476,63,Successful,37.1,46.0,42.1,61.8,OpenPlay
BallRecovery,1,10,80764,63,Successful,46.4,68.1,,,OpenPlay
OffsidePass,1,11,80764,63,Successful,46.8,68.4,67.3,57.9,OpenPlay
OffsideProvoked,1,11,93492,131,Successful,39.5,36.7,,,OpenPlay
Pass,1,51,9907,131,Successful,24.3,33.2,79,4.6,OpenPlay
Pass,1,55,109349,131,Successful,79.0,4.6,87.4,12.1,OpenPlay
BallTouch,2,0,84880,131,Unsuccessful,98.7,8.9,,,OpenPlay
Pass,2,31,76662,63,Unsuccessful,4.6,52.8,45.6,100,OpenPlay
Pass,2,44,131037,131,Unsuccessful,58.4,0.0,100,9.7,ThrowIn
ShieldBallOpp,2,49,326646,63,Successful,0.0,0.0,,,OpenPlay
Pass,3,8,76662,63,Successful,4.5,59.6,4.5,77.9,OpenPlay
Pass,3,11,135914,63,Unsuccessful,4.4,77.9,52.4,66.8,OpenPlay
Aerial,3,14,131037,131,Successful,45.0,30.9,,,OpenPlay
Aerial,3,14,362431,63,Unsuccessful,55.0,69.1,,,OpenPlay
Pass,3,14,131037,131,Successful,42.5,28.6,54.4,46.6,OpenPlay
BallRecovery,3,17,82279,131,Successful,54.4,46.6,,,OpenPlay
Pass,3,17,82279,131,Successful,54.4,46.6,45,45.1,OpenPlay
Pass,3,18,381673,131,Successful,47.9,45.4,44.6,77.9,OpenPlay
Pass,3,23,312580,131,Successful,42.3,84.5,28.5,70.1,OpenPlay
Pass,3,25,240874,131,Successful,28.2,68.4,36.3,8.8,OpenPlay
Pass,3,29,131037,131,Successful,35.6,12.1,35,30.4,OpenPlay
Pass,3,30,381673,131,Successful,35.0,30.4,23.6,30.1,OpenPlay
Pass,3,33,93492,131,Successful,21.2,32.2,31.3,87.2,OpenPlay
Pass,3,37,240874,131,Unsuccessful,31.1,89.1,67.1,73.8,OpenPlay
Aerial,3,40,77564,63,Successful,34.8,27.4,,,OpenPlay
Aerial,3,40,279698,131,Unsuccessful,65.2,72.6,,,OpenPlay
Pass,3,40,77564,63,Unsuccessful,36.7,28.7,44.2,32.8,OpenPlay
BallTouch,3,40,82279,131,Successful,56.6,70.3,,,OpenPlay
BallRecovery,3,42,80764,63,Successful,47.1,38.6,,,OpenPlay
Pass,3,42,80764,63,Successful,47.1,38.6,55.1,35.8,OpenPlay
Pass,3,43,127604,63,Successful,55.1,35.8,47,40.4,OpenPlay
Pass,3,44,112161,63,Successful,47.0,40.4,78.2,18.5,OpenPlay
Pass,3,48,103476,63,Unsuccessful,79.0,18.5,89.4,48.7,OpenPlay
Clearance,3,50,93492,131,Successful,7.6,46.3,2.6,96.3,OpenPlay
BallTouch,3,53,312580,131,Unsuccessful,3.2,97.4,,,OpenPlay
Pass,4,6,88112,63,Successful,90.9,0.0,76.4,4.6,ThrowIn
Pass,4,11,103476,63,Successful,78.2,5.2,78,23.2,OpenPlay
Pass,4,12,80764,63,Unsuccessful,75.8,25.2,90,30.5,OpenPlay
Clearance,4,14,312580,131,Successful,6.5,71.9,4,100,OpenPlay
Pass,4,32,88112,63,Successful,95.6,0.0,96.1,24.1,ThrowIn
Pass,4,34,127604,63,Unsuccessful,96.1,24.1,96,25.6,OpenPlay
Clearance,4,34,312580,131,Successful,3.4,75.8,3.4,75.8,OpenPlay
BallTouch,4,34,127604,63,Successful,95.7,21.8,,,OpenPlay
Clearance,4,35,279698,131,Successful,6.6,84.8,42.6,93.2,OpenPlay
Pass,4,39,77564,63,Successful,58.2,10.0,42,23.8,OpenPlay
Pass,4,41,135914,63,Successful,41.8,24.4,11.1,41.5,OpenPlay
Pass,4,47,76662,63,Unsuccessful,11.2,42.7,47.1,8.9,OpenPlay
BallRecovery,4,50,279698,131,Successful,52.7,92.1,,,OpenPlay
TakeOn,4,52,279698,131,Unsuccessful,53.8,92.0,,,OpenPlay
Tackle,4,52,103476,63,Successful,46.2,8.0,,,OpenPlay
BallRecovery,4,52,88112,63,Successful,47.4,2.8,,,OpenPlay
Pass,4,54,88112,63,Successful,47.4,2.8,53.6,6.5,OpenPlay
BlockedPass,4,55,312580,131,Successful,42.2,91.9,,,OpenPlay
Pass,4,55,103476,63,Unsuccessful,53.6,6.5,56.1,5.9,OpenPlay
BallRecovery,4,57,381673,131,Successful,42.4,77.3,,,OpenPlay
Pass,4,57,381673,131,Successful,40.6,75.6,30.5,83.5,OpenPlay
Pass,4,59,240874,131,Successful,32.0,81.2,10.4,60.4,OpenPlay
Pass,5,2,9907,131,Successful,10.0,55.4,61,93.2,OpenPlay
Foul,5,5,279698,131,Successful,62.5,93.1,,,OpenPlay
Foul,5,5,88112,63,Unsuccessful,37.5,6.9,,,OpenPlay
Card,5,12,88112,63,Successful,0.0,0.0,,,OpenPlay
Pass,5,54,82279,131,Unsuccessful,60.4,91.8,91.9,51.6,OpenPlay
Clearance,5,56,135914,63,Successful,14.2,54.3,27,58.1,OpenPlay
Dispossessed,6,3,279698,131,Successful,76.3,91.9,,,OpenPlay
Tackle,6,4,88112,63,Successful,23.7,8.1,,,OpenPlay
Dispossessed,6,5,279698,131,Successful,76.0,91.0,,,OpenPlay
Tackle,6,5,127604,63,Unsuccessful,24.0,9.0,,,OpenPlay
BallTouch,6,6,279698,131,Successful,77.3,91.6,,,OpenPlay
BallRecovery,6,6,24248,63,Successful,25.0,11.2,,,OpenPlay
Pass,6,7,24248,63,Unsuccessful,25.0,11.2,49.4,29.9,OpenPlay
BallRecovery,6,10,240874,131,Successful,51.1,66.6,,,OpenPlay
Pass,6,10,240874,131,Successful,51.1,66.6,46.1,40.3,OpenPlay
Pass,6,14,93492,131,Successful,46.2,40.6,56.2,6.4,OpenPlay
BallTouch,6,17,109349,131,Unsuccessful,55.4,7.3,,,OpenPlay
Pass,6,37,326646,63,Successful,52.7,100.0,60.2,95.3,ThrowIn
Pass,6,37,80764,63,Successful,60.2,95.3,59.1,89.9,OpenPlay
BallTouch,6,38,362431,63,Unsuccessful,59.0,88.7,,,OpenPlay
BallRecovery,6,40,381673,131,Successful,35.9,25.9,,,OpenPlay
Pass,6,40,381673,131,Unsuccessful,35.7,26.0,69.5,40.4,OpenPlay
Aerial,6,42,77564,63,Successful,32.2,61.3,,,OpenPlay
Aerial,6,42,369089,131,Unsuccessful,67.8,38.7,,,OpenPlay
Pass,6,42,77564,63,Successful,33.9,63.0,42.6,60.5,OpenPlay
Pass,6,44,103476,63,Successful,42.7,60.3,39.9,61.7,OpenPlay
BallRecovery,6,44,112161,63,Successful,41.2,58.8,,,OpenPlay
Pass,6,44,112161,63,Unsuccessful,41.2,58.8,37.2,36.1,OpenPlay
BallRecovery,6,45,279698,131,Successful,68.2,77.0,,,OpenPlay
Pass,6,48,279698,131,Successful,68.3,78.2,84.5,96,OpenPlay
Clearance,6,51,88112,63,Successful,10.8,2.9,10.8,2.9,OpenPlay
Pass,6,51,312580,131,Unsuccessful,84.5,96.0,85.3,93.6,OpenPlay
Pass,6,57,312580,131,Successful,85.2,100.0,69.4,93.1,ThrowIn
Pass,7,1,381673,131,Successful,61.3,90.0,51.8,53.4,OpenPlay
Pass,7,4,93492,131,Successful,47.3,56.6,46.9,89.1,OpenPlay
Pass,7,7,240874,131,Successful,46.9,89.1,68.2,71.7,OpenPlay
Foul,7,9,77564,63,Successful,29.7,29.8,,,OpenPlay
Foul,7,9,369089,131,Unsuccessful,70.3,70.2,,,OpenPlay
Pass,7,33,77564,63,Successful,25.2,26.0,30.9,21.5,OpenPlay
Pass,7,35,103476,63,Successful,30.9,21.5,22.9,28.4,OpenPlay
Pass,7,38,77564,63,Successful,22.9,34.4,26.1,67.4,OpenPlay
Pass,7,42,135914,63,Successful,27.2,69.8,36.7,75.6,OpenPlay
Pass,7,42,80764,63,Successful,36.7,75.6,24,71.1,OpenPlay
Pass,7,44,135914,63,Successful,22.9,70.5,25.3,33.5,OpenPlay
Pass,7,49,77564,63,Successful,35.6,29.5,39.7,13.3,OpenPlay
Pass,7,53,112161,63,Successful,45.5,25.3,58.7,21.5,OpenPlay
Pass,7,53,103476,63,Successful,44.9,11.8,45.5,25.3,OpenPlay
Pass,7,55,127604,63,Unsuccessful,58.9,21.5,63.7,36.5,OpenPlay
Pass,7,57,93492,131,Successful,27.2,53.9,47.8,54.6,OpenPlay
Pass,7,58,84880,131,Unsuccessful,47.8,54.6,35.8,59.1,OpenPlay
Interception,7,59,127604,63,Successful,58.2,36.5,,,OpenPlay
Pass,8,1,24248,63,Successful,66.6,37.3,64.1,47.9,OpenPlay
TakeOn,8,3,80764,63,Successful,67.6,53.8,,,OpenPlay
Challenge,8,3,381673,131,Unsuccessful,32.4,46.2,,,OpenPlay
Pass,8,5,80764,63,Successful,67.9,46.9,81.5,75.5,OpenPlay
Pass,8,8,326646,63,Unsuccessful,85.7,83.7,95.7,50.1,OpenPlay
KeeperPickup,8,9,9907,131,Successful,2.2,50.4,,,OpenPlay
Pass,8,29,9907,131,Unsuccessful,14.6,45.5,75.5,37.9,OpenPlay
Pass,8,32,135914,63,Successful,23.9,63.3,3.2,66.2,OpenPlay
KeeperPickup,8,35,76662,63,Successful,3.3,66.5,,,OpenPlay
Pass,8,38,76662,63,Successful,7.5,59.6,13.9,42.7,OpenPlay
Pass,8,43,77564,63,Successful,30.9,24.5,35.4,32.8,OpenPlay
Pass,8,45,103476,63,Successful,41.4,37.0,35.9,51.2,OpenPlay
Pass,8,48,112161,63,Successful,40.5,58.5,61,94.2,OpenPlay
Pass,8,51,326646,63,Successful,62.3,90.9,60.7,81.6,OpenPlay
Pass,8,53,362431,63,Successful,65.5,84.6,76.9,91.4,OpenPlay
Pass,8,56,326646,63,Successful,79.7,91.5,76.7,85.4,OpenPlay
Pass,8,57,80764,63,Successful,76.7,85.4,78.8,93.9,OpenPlay
Foul,8,59,362431,63,Successful,76.6,95.4,,,OpenPlay
Foul,8,59,381673,131,Unsuccessful,23.4,4.6,,,OpenPlay
Pass,9,41,80764,63,Successful,79.9,94.1,90.1,53.6,OpenPlay
