Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,52,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,127604,63,Successful,50.0,50.0,34.6,51.2,OpenPlay
Pass,0,3,238940,63,Successful,34.7,51.0,64.2,30.7,OpenPlay
Aerial,0,7,88526,52,Unsuccessful,32.6,69.4,,,OpenPlay
Aerial,0,7,112161,63,Successful,67.4,30.6,,,OpenPlay
BallTouch,0,7,112161,63,Successful,64.2,30.7,,,OpenPlay
BallRecovery,0,10,106883,52,Successful,30.6,43.0,,,OpenPlay
Foul,0,11,106883,52,Successful,30.2,40.2,,,OpenPlay
Foul,0,11,91213,63,Unsuccessful,69.8,59.8,,,OpenPlay
Pass,0,17,20874,52,Successful,34.0,26.4,33.9,34.8,OpenPlay
Pass,0,18,88526,52,Successful,33.9,34.8,33.7,30.4,OpenPlay
Pass,0,22,20874,52,Successful,33.7,30.4,27.8,62.7,OpenPlay
Pass,0,23,9909,52,Successful,27.8,62.7,31.6,82.3,OpenPlay
Pass,0,25,31772,52,Successful,31.6,82.3,41.5,92.3,OpenPlay
Pass,0,27,82989,52,Successful,41.6,92.3,36.8,80.9,OpenPlay
Pass,0,29,31772,52,Successful,33.6,75.0,35.2,29.9,OpenPlay
Pass,0,31,20874,52,Successful,38.3,25.9,45.3,3.4,OpenPlay
Pass,0,32,106883,52,Successful,45.3,3.4,31.4,25,OpenPlay
Pass,0,35,93206,52,Unsuccessful,31.2,26.1,34.9,100,OpenPlay
Pass,0,50,77059,63,Unsuccessful,58.2,0.0,81,5.9,ThrowIn
BallRecovery,0,53,296337,52,Successful,14.0,82.3,,,OpenPlay
Pass,0,54,296337,52,Successful,14.0,82.3,23.8,79.6,OpenPlay
Pass,0,55,31772,52,Successful,23.8,79.6,19.4,74.8,OpenPlay
Pass,0,57,88526,52,Successful,19.4,74.8,25.7,69.1,OpenPlay
Pass,0,58,20874,52,Successful,26.2,66.2,22.1,30.7,OpenPlay
Pass,1,2,106883,52,Successful,24.2,19.2,29.5,35.7,OpenPlay
Pass,1,3,88526,52,Successful,29.5,35.7,37.5,22.8,OpenPlay
Pass,1,4,344644,52,Successful,37.5,22.8,24.7,26.7,OpenPlay
Pass,1,6,93206,52,Successful,22.8,33.4,31,71.1,OpenPlay
Pass,1,10,9909,52,Successful,36.7,73.5,43.2,70.8,OpenPlay
Pass,1,12,82989,52,Unsuccessful,42.8,69.6,57.2,65.5,OpenPlay
BallRecovery,1,14,238940,63,Successful,41.8,30.1,,,OpenPlay
Pass,1,17,238940,63,Successful,44.4,25.8,41,4.9,OpenPlay
Pass,1,18,77059,63,Successful,41.0,4.9,33.5,26.7,OpenPlay
Pass,1,21,77564,63,Successful,31.6,35.7,30,70.9,OpenPlay
