Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
OffsideGiven,0,,24248,63,Unsuccessful,68.5,36.1,,,OpenPlay
Start,0,0,,58,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,323135,58,Successful,50.0,50.0,35.7,59.3,OpenPlay
Pass,0,4,106868,58,Successful,35.9,50.6,40.1,8.5,OpenPlay
Pass,0,7,135330,58,Successful,40.1,8.5,54.2,19.7,OpenPlay
Pass,0,9,365371,58,Successful,52.8,19.4,55.7,4.4,OpenPlay
Pass,0,11,141533,58,Unsuccessful,49.7,5.2,40.3,23.3,OpenPlay
BallRecovery,0,12,24248,63,Successful,60.2,75.0,,,OpenPlay
BallTouch,0,14,24248,63,Unsuccessful,65.2,72.4,,,OpenPlay
BallRecovery,0,15,106868,58,Successful,32.7,31.8,,,OpenPlay
Pass,0,18,106868,58,Successful,27.4,54.3,22.3,75.4,OpenPlay
Pass,0,22,362357,58,Unsuccessful,24.5,94.4,59.1,88.3,OpenPlay
Pass,0,25,77564,63,Successful,39.9,10.6,47.9,10,OpenPlay
BallRecovery,0,26,238940,63,Successful,47.9,10.0,,,OpenPlay
OffsidePass,0,27,238940,63,Successful,47.6,10.6,68.5,36.1,OpenPlay
OffsideProvoked,0,27,72286,58,Successful,29.9,53.0,,,OpenPlay
Pass,0,38,72286,58,Successful,25.7,50.4,34.2,57.2,OpenPlay
Pass,0,40,106868,58,Successful,33.9,56.6,26.1,34.5,OpenPlay
Pass,0,43,72286,58,Successful,26.0,30.6,11.2,63.6,OpenPlay
Pass,0,47,91254,58,Successful,11.2,63.6,26.2,93.5,OpenPlay
Pass,0,50,362357,58,Successful,27.3,94.7,9.4,72.4,OpenPlay
Pass,0,56,91254,58,Successful,10.3,65.5,22.8,95,OpenPlay
Pass,1,1,362357,58,Successful,26.4,94.4,29.4,73.3,OpenPlay
Pass,1,2,106868,58,Successful,34.1,70.3,40.7,44.5,OpenPlay
Pass,1,4,365371,58,Successful,40.7,44.5,32.3,7.9,OpenPlay
Pass,1,13,72286,58,Unsuccessful,57.5,8.0,62.2,56.9,OpenPlay
BallRecovery,1,14,80764,63,Successful,39.1,46.3,,,OpenPlay
Pass,1,16,80764,63,Successful,48.7,46.3,60.5,34.6,OpenPlay
Foul,1,19,91213,63,Successful,68.2,27.3,,,OpenPlay
Foul,1,19,121544,58,Unsuccessful,31.8,72.7,,,OpenPlay
Card,1,22,121544,58,Successful,0.0,0.0,,,OpenPlay
Pass,2,21,83078,63,Unsuccessful,69.1,26.1,88.9,51.6,OpenPlay
Foul,2,23,135914,63,Unsuccessful,86.9,52.6,,,OpenPlay
Foul,2,23,323135,58,Successful,13.1,47.4,,,OpenPlay
Pass,2,55,91254,58,Successful,9.5,46.3,15.3,16.1,OpenPlay
Pass,2,56,72286,58,Successful,15.3,16.1,8.8,38.9,OpenPlay
Pass,2,57,91254,58,Unsuccessful,8.8,38.9,58.5,11,OpenPlay
Pass,3,2,326646,63,Unsuccessful,43.2,85.3,46.5,74.4,OpenPlay
Aerial,3,4,112161,63,Unsuccessful,42.8,72.6,,,OpenPlay
Aerial,3,4,365371,58,Successful,57.2,27.4,,,OpenPlay
Pass,3,5,365371,58,Successful,59.5,30.1,71,32.8,OpenPlay
BallTouch,3,6,135242,58,Unsuccessful,67.3,32.7,,,OpenPlay
Dispossessed,3,7,238940,63,Successful,40.0,68.8,,,OpenPlay
Tackle,3,7,135242,58,Successful,60.0,31.2,,,OpenPlay
Pass,3,8,135242,58,Successful,59.2,40.9,62.9,86.5,OpenPlay
Pass,3,12,121544,58,Successful,73.6,93.5,74.9,74.8,OpenPlay
Pass,3,14,362355,58,Successful,74.9,74.2,73.2,65.1,OpenPlay
SavedShot,3,15,135242,58,Successful,73.8,64.5,,,OpenPlay
Save,3,15,76662,63,Successful,2.0,50.1,,,OpenPlay
KeeperPickup,3,16,76662,63,Successful,2.0,50.1,,,OpenPlay
Pass,3,40,76662,63,Successful,24.2,52.5,28.9,36.9,OpenPlay
Pass,3,43,77564,63,Successful,32.0,35.5,28.7,55.4,OpenPlay
Pass,3,44,135914,63,Successful,28.7,55.8,34.3,73.8,OpenPlay
Pass,3,49,112161,63,Successful,44.7,79.6,38.9,50.3,OpenPlay
Pass,3,53,135914,63,Successful,44.2,45.2,51.9,18.6,OpenPlay
Pass,3,55,77564,63,Successful,52.6,17.3,46.4,42.4,OpenPlay
Pass,3,58,135914,63,Successful,46.7,42.7,59.5,40.6,OpenPlay
Pass,3,59,238940,63,Successful,60.5,40.1,71,36.4,OpenPlay
BallTouch,4,0,80764,63,Unsuccessful,71.0,36.4,,,OpenPlay
BallRecovery,4,3,362357,58,Successful,10.1,68.5,,,OpenPlay
Pass,4,4,362357,58,Successful,12.2,67.6,21.8,51.5,OpenPlay
Pass,4,5,365371,58,Successful,21.8,51.5,20,90.3,OpenPlay
Pass,4,12,121544,58,Successful,34.0,91.4,36.5,81.1,OpenPlay
Pass,4,13,106868,58,Successful,36.5,81.1,26.5,96.6,OpenPlay
Pass,4,17,121544,58,Successful,26.7,74.8,45.5,9.1,OpenPlay
Pass,4,22,135330,58,Successful,64.0,13.4,74.3,4,OpenPlay
Pass,4,25,141533,58,Unsuccessful,70.6,16.2,78.6,26.1,OpenPlay
BallRecovery,4,26,112161,63,Successful,24.2,74.2,,,OpenPlay
Pass,4,27,112161,63,Successful,24.2,74.2,32.1,68.4,OpenPlay
Pass,4,30,362431,63,Successful,36.6,59.9,33.7,53.6,OpenPlay
Pass,4,31,80764,63,Successful,33.7,53.6,32.9,66.1,OpenPlay
Pass,4,32,112161,63,Successful,34.4,66.1,35.1,55.5,OpenPlay
Pass,4,33,238940,63,Successful,35.1,55.5,31.3,64,OpenPlay
Pass,4,36,112161,63,Successful,35.9,67.0,53.5,93.3,OpenPlay
Pass,4,39,326646,63,Successful,53.5,92.7,44,83.3,OpenPlay
Pass,4,41,112161,63,Successful,44.0,81.2,46.1,62.7,OpenPlay
Pass,4,43,238940,63,Successful,46.6,61.7,62,52.1,OpenPlay
Dispossessed,4,47,24248,63,Successful,55.6,46.6,,,OpenPlay
Tackle,4,47,362357,58,Unsuccessful,44.4,53.4,,,OpenPlay
Pass,4,50,135914,63,Successful,37.5,54.2,11.7,44.8,OpenPlay
Pass,4,52,76662,63,Successful,11.7,44.8,23,22.8,OpenPlay
Pass,4,57,77564,63,Successful,28.4,22.8,27.2,41.3,OpenPlay
Pass,5,0,135914,63,Successful,32.0,43.3,42.6,72.9,OpenPlay
Pass,5,3,112161,63,Successful,46.8,74.1,67.1,70,OpenPlay
Pass,5,5,362431,63,Successful,68.0,71.7,84.1,82.9,OpenPlay
Pass,5,8,326646,63,Unsuccessful,92.7,83.8,93.2,78.4,OpenPlay
Clearance,5,8,135330,58,Successful,5.8,11.6,5.8,11.6,OpenPlay
CornerAwarded,5,10,326646,63,Successful,93.8,84.4,,,OpenPlay
CornerAwarded,5,10,135330,58,Unsuccessful,6.2,15.6,,,OpenPlay
Pass,5,33,80764,63,Successful,99.5,99.5,96.1,75,CornerTaken
Pass,5,34,362431,63,Successful,96.1,75.0,94.7,90.9,OpenPlay
Pass,5,36,80764,63,Successful,94.7,90.9,83.1,93.3,OpenPlay
Pass,5,38,326646,63,Successful,83.1,93.3,88.5,96,OpenPlay
Pass,5,40,80764,63,Successful,87.2,97.1,77.5,78.5,OpenPlay
Pass,5,41,238940,63,Successful,77.5,78.5,86.1,71.7,OpenPlay
Pass,5,43,362431,63,Successful,86.1,71.7,86.9,67.3,OpenPlay
Pass,5,44,91213,63,Successful,86.6,67.2,81.5,67.8,OpenPlay
MissedShots,5,45,112161,63,Successful,80.5,64.8,,,OpenPlay
Pass,6,3,91254,58,Successful,5.5,44.8,31,8.5,OpenPlay
Pass,6,6,72286,58,Successful,36.4,2.9,44.6,24.6,OpenPlay
Pass,6,9,365371,58,Successful,46.4,32.4,47.1,87.8,OpenPlay
Pass,6,13,121544,58,Successful,56.3,85.1,59.2,97.5,OpenPlay
Pass,6,17,362355,58,Successful,55.9,90.2,41.5,89.1,OpenPlay
Pass,6,22,106868,58,Successful,41.4,70.9,46.1,10.6,OpenPlay
Pass,6,27,72286,58,Successful,62.0,15.0,98.1,12.9,OpenPlay
Pass,6,32,323135,58,Successful,93.2,5.8,85.9,7.1,OpenPlay
BallTouch,6,35,135330,58,Successful,81.2,7.3,,,OpenPlay
BallTouch,6,37,362355,58,Unsuccessful,71.6,2.2,,,OpenPlay
Pass,6,54,326646,63,Successful,19.6,100.0,11.4,85.6,ThrowIn
Pass,6,56,135914,63,Successful,9.8,80.6,16.2,43.9,OpenPlay
Pass,6,59,77564,63,Successful,21.4,36.4,30,37.6,OpenPlay
Pass,7,0,238940,63,Successful,30.0,37.6,22.9,30.4,OpenPlay
Pass,7,2,77564,63,Successful,23.5,33.1,26.4,74.1,OpenPlay
Pass,7,9,112161,63,Successful,44.0,79.7,35.1,55.8,OpenPlay
Pass,7,14,135914,63,Successful,40.9,44.2,47,17.7,OpenPlay
Pass,7,17,77564,63,Successful,51.7,18.0,42.9,41.8,OpenPlay
Pass,7,20,135914,63,Successful,42.9,41.8,47.8,73.6,OpenPlay
Pass,7,23,112161,63,Successful,54.1,74.8,47.1,48.4,OpenPlay
Pass,7,27,135914,63,Successful,54.7,44.5,55.8,17.7,OpenPlay
Pass,7,29,77564,63,Successful,56.2,14.7,64.1,3.1,OpenPlay
Pass,7,31,83078,63,Successful,64.1,3.1,54.4,5.6,OpenPlay
Pass,7,34,77564,63,Successful,54.3,8.3,45.3,35.7,OpenPlay
Pass,7,37,135914,63,Successful,46.9,43.3,55.9,52.7,OpenPlay
Pass,7,38,238940,63,Successful,55.9,52.7,53.2,27,OpenPlay
Pass,7,42,77564,63,Successful,61.0,18.8,68.5,3.8,OpenPlay
BallTouch,7,44,83078,63,Unsuccessful,68.9,6.9,,,OpenPlay
Foul,7,45,,58,Successful,33.2,95.4,,,OpenPlay
Foul,7,45,83078,63,Unsuccessful,66.8,4.6,,,OpenPlay
Pass,8,7,121544,58,Unsuccessful,36.1,95.0,69.4,40.4,OpenPlay
Pass,8,10,135914,63,Successful,27.7,57.6,37.2,65.1,OpenPlay
BallRecovery,8,11,362431,63,Successful,37.2,66.0,,,OpenPlay
Pass,8,12,362431,63,Unsuccessful,37.0,66.3,35.3,67.2,OpenPlay
BlockedPass,8,12,141533,58,Successful,66.1,19.2,,,OpenPlay
BallRecovery,8,16,135330,58,Successful,63.2,7.6,,,OpenPlay
Pass,8,18,135330,58,Successful,61.5,8.0,51.8,13.7,OpenPlay
Pass,8,22,72286,58,Successful,47.2,19.4,43.9,75.4,OpenPlay
Pass,8,26,362357,58,Unsuccessful,39.8,83.5,56.1,89.6,OpenPlay
Interception,8,28,83078,63,Successful,42.2,11.4,,,OpenPlay
BallRecovery,8,29,83078,63,Successful,56.9,16.2,,,OpenPlay
BallTouch,8,30,83078,63,Unsuccessful,57.6,17.6,,,OpenPlay
Challenge,8,31,83078,63,Unsuccessful,57.7,18.4,,,OpenPlay
TakeOn,8,31,106868,58,Successful,42.3,81.6,,,OpenPlay
BallRecovery,8,31,106868,58,Successful,42.8,87.8,,,OpenPlay
Pass,8,33,106868,58,Unsuccessful,42.1,85.9,41.1,77.6,OpenPlay
BallTouch,8,34,83078,63,Successful,58.8,22.2,,,OpenPlay
Pass,8,36,365371,58,Successful,37.5,50.3,29.1,50,OpenPlay
Pass,8,38,72286,58,Successful,27.6,49.9,35,47.6,OpenPlay
Pass,8,40,106868,58,Successful,37.7,35.8,47,5.9,OpenPlay
Pass,8,45,365371,58,Successful,55.3,6.1,43.3,8.5,OpenPlay
Pass,8,48,106868,58,Successful,42.2,11.3,34.5,41.8,OpenPlay
Pass,8,49,72286,58,Successful,34.5,41.8,43.8,42.7,OpenPlay
Pass,8,50,106868,58,Successful,43.8,42.7,56.7,95.9,OpenPlay
Pass,8,54,362357,58,Successful,56.7,95.9,68.2,96.6,OpenPlay
Pass,8,58,121544,58,Successful,69.0,90.3,64.2,61.5,OpenPlay
Pass,9,1,106868,58,Successful,67.7,59.0,88.6,2,OpenPlay
Pass,9,3,135330,58,Successful,88.6,2.0,74.9,12.5,OpenPlay
Pass,9,7,323135,58,Successful,69.9,8.8,60.1,26.2,OpenPlay
Pass,9,10,365371,58,Successful,57.7,30.3,54.4,75.6,OpenPlay
Pass,9,13,362357,58,Successful,57.5,81.8,70.4,96.9,OpenPlay
Challenge,9,18,80764,63,Unsuccessful,15.4,8.6,,,OpenPlay
TakeOn,9,18,362355,58,Successful,84.6,91.4,,,OpenPlay
BallTouch,9,21,362355,58,Successful,94.6,77.5,,,OpenPlay
Pass,9,22,121544,58,Unsuccessful,90.2,75.1,92.7,51.3,OpenPlay
Clearance,9,22,135914,63,Successful,7.6,47.2,27.7,24.1,OpenPlay
Foul,9,26,91213,63,Successful,28.5,25.6,,,OpenPlay
Foul,9,26,362355,58,Unsuccessful,71.5,74.4,,,OpenPlay
Card,9,27,362355,58,Successful,0.0,0.0,,,OpenPlay
Pass,10,38,135914,63,Successful,28.7,26.8,54.9,28.2,OpenPlay
Pass,10,40,80764,63,Successful,54.9,28.2,65.9,18,OpenPlay
Pass,10,47,91213,63,Unsuccessful,97.6,15.6,97.6,17.9,OpenPlay
Clearance,10,47,362357,58,Successful,1.9,79.9,1.9,79.9,OpenPlay
