Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,67,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,80764,63,Successful,49.9,49.9,33.6,69.6,OpenPlay
Pass,0,3,344156,63,Unsuccessful,30.3,72.1,67.5,80.6,OpenPlay
Pass,0,6,9446,67,Successful,28.4,20.0,28.5,54,OpenPlay
BallRecovery,0,9,362275,67,Successful,29.0,55.4,,,OpenPlay
Pass,0,11,362275,67,Successful,29.5,58.5,19.7,62.3,OpenPlay
Pass,0,14,134984,67,Unsuccessful,18.7,62.4,46.4,23.6,OpenPlay
BallRecovery,0,16,132962,63,Successful,62.2,76.3,,,OpenPlay
Pass,0,17,132962,63,Unsuccessful,62.2,76.3,61.8,74.8,OpenPlay
BlockedPass,0,17,102439,67,Successful,43.1,25.8,,,OpenPlay
BallRecovery,0,18,9446,67,Successful,43.4,2.9,,,OpenPlay
Pass,0,19,9446,67,Successful,43.4,2.9,38.9,11.9,OpenPlay
Challenge,0,20,91213,63,Unsuccessful,63.0,91.6,,,OpenPlay
TakeOn,0,20,102439,67,Successful,37.0,8.4,,,OpenPlay
Pass,0,23,102439,67,Successful,38.0,19.7,43.1,91.8,OpenPlay
Pass,0,28,362275,67,Successful,41.4,89.7,28.4,76,OpenPlay
Pass,0,32,134984,67,Successful,26.4,66.7,24.9,48.7,OpenPlay
Pass,0,35,77417,67,Successful,25.9,48.2,38.3,44.5,OpenPlay
Pass,0,36,113708,67,Successful,38.3,44.5,34.4,7.1,OpenPlay
Pass,0,40,301019,67,Successful,34.1,12.6,31.2,26.8,OpenPlay
Pass,0,41,77417,67,Successful,30.8,27.9,45.3,23.3,OpenPlay
Pass,0,44,113708,67,Unsuccessful,46.2,18.5,94.2,29.4,OpenPlay
KeeperPickup,0,47,76662,63,Successful,3.3,74.8,,,OpenPlay
Pass,1,1,76662,63,Successful,14.3,54.2,57.6,68.4,OpenPlay
Aerial,1,4,301019,67,Unsuccessful,43.6,27.4,,,OpenPlay
Aerial,1,4,91213,63,Successful,56.4,72.6,,,OpenPlay
Pass,1,5,91213,63,Successful,57.7,68.4,64.3,69.3,OpenPlay
Pass,1,6,127604,63,Unsuccessful,64.4,69.3,64.9,63.9,OpenPlay
BallRecovery,1,8,33724,67,Successful,34.4,37.1,,,OpenPlay
Pass,1,9,33724,67,Successful,34.4,37.1,40.8,36.3,OpenPlay
Pass,1,10,102439,67,Successful,41.8,36.0,52.8,31.8,OpenPlay
Pass,1,16,115587,67,Successful,65.0,10.1,70.4,2.2,OpenPlay
Pass,1,18,9446,67,Unsuccessful,72.8,3.8,93.4,10.1,OpenPlay
Clearance,1,20,344156,63,Successful,5.1,89.7,4.3,100,OpenPlay
Pass,1,30,9446,67,Successful,85.6,0.0,78.7,7.1,ThrowIn
Pass,1,33,102439,67,Unsuccessful,77.3,11.3,79.3,65.7,OpenPlay
Clearance,1,35,83078,63,Successful,19.2,33.6,45.8,18.5,OpenPlay
BallRecovery,1,39,83078,63,Successful,46.7,5.9,,,OpenPlay
Pass,1,40,83078,63,Successful,46.9,4.3,38,17.3,OpenPlay
Pass,1,43,132962,63,Successful,34.2,21.8,25.6,34.9,OpenPlay
Pass,1,46,102173,63,Successful,26.6,38.5,35,80.5,OpenPlay
Pass,1,52,326646,63,Successful,52.9,97.2,36.7,80.8,OpenPlay
Pass,1,54,344156,63,Successful,36.3,79.7,43.3,54.5,OpenPlay
Pass,1,57,238940,63,Successful,46.0,49.6,61.4,26.1,OpenPlay
Pass,1,59,132962,63,Successful,61.4,26.1,59.9,9.5,OpenPlay
Pass,2,1,83078,63,Unsuccessful,59.9,9.4,87.2,10.9,OpenPlay
BallRecovery,2,4,113708,67,Successful,13.2,91.2,,,OpenPlay
BallTouch,2,5,113708,67,Unsuccessful,11.6,96.3,,,OpenPlay
ShieldBallOpp,2,6,132962,63,Successful,0.0,0.0,,,OpenPlay
Pass,2,28,83078,63,Successful,86.7,0.0,92,44,ThrowIn
MissedShots,2,32,80764,63,Successful,92.0,44.0,,,OpenPlay
Pass,2,44,68732,67,Successful,5.0,42.4,36.1,4.1,OpenPlay
Pass,2,48,9446,67,Successful,43.1,8.5,32.8,34.6,OpenPlay
Pass,2,51,77417,67,Successful,31.4,43.4,36.1,74.4,OpenPlay
Pass,2,55,134984,67,Successful,41.8,77.8,47.8,94.1,OpenPlay
Pass,2,56,362275,67,Successful,46.0,90.3,32.9,90.6,OpenPlay
Pass,3,0,134984,67,Successful,29.9,94.2,38.5,80.3,OpenPlay
Pass,3,2,33724,67,Successful,38.5,80.3,19,68.7,OpenPlay
Pass,3,5,77417,67,Successful,21.5,59.4,35,37.1,OpenPlay
Pass,3,10,102439,67,Successful,37.6,40.7,43.4,43.9,OpenPlay
Pass,3,11,113708,67,Successful,43.4,43.9,37.4,46.6,OpenPlay
Pass,3,12,102439,67,Successful,39.7,49.9,39,67,OpenPlay
Pass,3,15,33724,67,Successful,43.4,71.2,61.7,96,OpenPlay
Challenge,3,17,83078,63,Unsuccessful,38.2,5.4,,,OpenPlay
TakeOn,3,17,362275,67,Successful,61.8,94.6,,,OpenPlay
BallTouch,3,20,362275,67,Unsuccessful,69.1,76.3,,,OpenPlay
BallRecovery,3,21,102173,63,Successful,21.5,18.5,,,OpenPlay
Pass,3,22,102173,63,Successful,21.5,18.5,23.6,4.1,OpenPlay
Pass,3,24,83078,63,Successful,24.1,3.5,36.8,16.2,OpenPlay
TakeOn,3,26,127604,63,Unsuccessful,36.6,20.6,,,OpenPlay
Tackle,3,26,113708,67,Successful,63.4,79.4,,,OpenPlay
BallRecovery,3,27,33724,67,Successful,70.0,85.1,,,OpenPlay
Dispossessed,3,28,33724,67,Successful,68.9,84.2,,,OpenPlay
Tackle,3,28,127604,63,Unsuccessful,31.1,15.8,,,OpenPlay
BallTouch,3,29,33724,67,Successful,70.0,85.1,,,OpenPlay
BallRecovery,3,30,127604,63,Successful,27.5,18.2,,,OpenPlay
Pass,3,31,127604,63,Successful,27.5,18.2,22.3,14.1,OpenPlay
Pass,3,32,83078,63,Successful,21.9,13.8,19.3,25,OpenPlay
Pass,3,33,102173,63,Unsuccessful,19.3,25.0,44.4,28.6,OpenPlay
Pass,3,36,77417,67,Successful,53.7,69.1,59.8,69.1,OpenPlay
BallRecovery,3,37,33724,67,Successful,59.9,69.1,,,OpenPlay
Pass,3,38,33724,67,Successful,59.9,69.1,54.9,75.1,OpenPlay
Pass,3,39,113708,67,Successful,54.9,75.1,48.7,26.1,OpenPlay
Challenge,3,45,80764,63,Unsuccessful,32.2,73.2,,,OpenPlay
TakeOn,3,45,9446,67,Successful,67.8,26.8,,,OpenPlay
