Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,55,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,247995,55,Successful,50.2,50.4,41.2,45.1,OpenPlay
Pass,0,2,28186,55,Successful,41.2,45.1,37,53.4,OpenPlay
Pass,0,3,91978,55,Successful,37.0,53.4,26.8,47,OpenPlay
Pass,0,4,76810,55,Successful,23.9,44.8,27.4,15.8,OpenPlay
Pass,0,7,27254,55,Successful,26.8,12.8,32.3,2.9,OpenPlay
Challenge,0,8,326646,63,Unsuccessful,62.1,97.0,,,OpenPlay
TakeOn,0,8,349760,55,Successful,37.9,3.0,,,OpenPlay
Pass,0,10,349760,55,Unsuccessful,43.4,3.4,64.4,37.3,OpenPlay
Pass,0,12,77564,63,Successful,35.0,57.3,51.6,97.4,OpenPlay
Pass,0,15,112161,63,Unsuccessful,52.1,97.5,60.4,92.5,OpenPlay
Pass,0,16,76810,55,Unsuccessful,40.2,6.6,55.3,5.6,OpenPlay
Pass,0,17,326646,63,Unsuccessful,44.4,93.8,52,93.6,OpenPlay
Pass,0,20,349760,55,Successful,44.4,7.7,39.5,12.8,OpenPlay
TakeOn,0,21,28186,55,Unsuccessful,45.3,13.1,,,OpenPlay
Tackle,0,21,112161,63,Successful,54.7,86.9,,,OpenPlay
BallTouch,0,22,91430,63,Successful,56.9,81.7,,,OpenPlay
BallTouch,0,23,28186,55,Successful,42.9,12.1,,,OpenPlay
BallRecovery,0,24,238940,63,Successful,44.3,78.2,,,OpenPlay
Pass,0,25,238940,63,Successful,46.7,71.4,53.4,58.2,OpenPlay
Pass,0,26,127604,63,Successful,53.1,57.9,50.2,64.6,OpenPlay
Pass,0,27,238940,63,Unsuccessful,48.6,64.3,53.7,0,OpenPlay
Pass,0,35,119817,55,Successful,44.1,100.0,24.2,95.9,ThrowIn
Pass,0,38,68852,55,Successful,23.8,95.9,9.7,59,OpenPlay
Pass,0,42,136810,55,Unsuccessful,9.7,55.8,44.4,82.4,OpenPlay
BallRecovery,0,46,88112,63,Successful,56.7,12.8,,,OpenPlay
Pass,0,48,88112,63,Successful,63.6,4.0,59.3,7.1,OpenPlay
Pass,0,50,254582,63,Successful,63.7,16.7,64.1,31.9,OpenPlay
Pass,0,52,80764,63,Unsuccessful,65.1,33.3,94,13.8,OpenPlay
BallRecovery,0,55,119817,55,Successful,7.3,84.3,,,OpenPlay
Clearance,0,56,119817,55,Successful,7.3,83.5,6.3,100,OpenPlay
Pass,1,17,88112,63,Unsuccessful,93.3,0.0,95.3,34.5,ThrowIn
Foul,1,22,119817,55,Successful,7.4,67.9,,,OpenPlay
