Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,839,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,63,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,97659,839,Successful,49.9,49.9,39.2,50,OpenPlay
Pass,0,2,34052,839,Successful,39.2,49.1,41.3,12.2,OpenPlay
Pass,0,4,79909,839,Successful,40.1,15.6,22.3,27.1,OpenPlay
Pass,0,6,12575,839,Successful,22.3,27.1,15.2,71.1,OpenPlay
Pass,0,10,344259,839,Successful,15.2,71.1,19.4,93.6,OpenPlay
Pass,0,12,369884,839,Successful,19.4,93.6,30.3,97.8,OpenPlay
Pass,0,14,101238,839,Successful,30.4,98.0,44.8,68.7,OpenPlay
Pass,0,16,97659,839,Successful,44.8,69.1,46.2,76.9,OpenPlay
Dispossessed,0,18,102234,839,Successful,48.4,71.7,,,OpenPlay
Tackle,0,18,103476,63,Unsuccessful,51.6,28.3,,,OpenPlay
Challenge,0,19,344156,63,Unsuccessful,37.5,38.8,,,OpenPlay
TakeOn,0,19,349561,839,Successful,62.5,61.2,,,OpenPlay
BallTouch,0,21,349561,839,Unsuccessful,66.4,66.6,,,OpenPlay
Clearance,0,22,326646,63,Successful,25.5,32.2,0,16.1,OpenPlay
CornerAwarded,0,23,326646,63,Unsuccessful,24.6,34.2,,,OpenPlay
CornerAwarded,0,23,349561,839,Successful,75.4,65.8,,,OpenPlay
Pass,0,46,102234,839,Successful,99.6,98.9,98.3,75.2,CornerTaken
Pass,0,47,97659,839,Successful,98.4,76.1,89.5,83.6,OpenPlay
TakeOn,0,49,102234,839,Unsuccessful,89.4,85.0,,,OpenPlay
Tackle,0,49,326646,63,Unsuccessful,10.6,15.0,,,OpenPlay
Pass,0,53,97659,839,Successful,74.3,98.3,70.9,84.8,OpenPlay
Pass,0,56,102234,839,Successful,63.9,89.3,66.8,96.9,OpenPlay
Pass,0,59,97659,839,Successful,70.3,96.5,91.3,49.6,OpenPlay
Pass,1,1,349561,839,Successful,91.7,50.5,84.8,47.6,OpenPlay
Pass,1,3,79909,839,Successful,84.5,46.1,87.6,26.4,OpenPlay
MissedShots,1,5,363665,839,Successful,87.9,28.5,,,OpenPlay
Pass,1,49,76662,63,Unsuccessful,4.9,45.5,56.7,36,OpenPlay
Pass,1,53,349561,839,Unsuccessful,45.8,66.4,62.9,45.7,OpenPlay
Aerial,1,55,363665,839,Unsuccessful,61.8,48.8,,,OpenPlay
Aerial,1,55,344156,63,Successful,38.2,51.2,,,OpenPlay
Pass,1,56,344156,63,Successful,39.4,48.2,39.6,62.4,OpenPlay
Pass,1,58,326646,63,Successful,38.2,73.3,12.7,60.6,OpenPlay
Pass,2,1,76662,63,Successful,12.3,60.6,17.9,69.7,OpenPlay
Pass,2,3,344156,63,Successful,18.4,70.0,25,65.7,OpenPlay
Pass,2,7,238940,63,Unsuccessful,27.0,59.6,48.9,33.6,OpenPlay
BallTouch,2,9,344259,839,Successful,53.5,69.3,,,OpenPlay
Pass,2,10,362431,63,Successful,42.9,27.9,39.8,7.1,OpenPlay
Pass,2,13,88112,63,Successful,39.8,6.8,37.8,10.6,OpenPlay
Pass,2,14,362431,63,Unsuccessful,37.8,10.6,44.7,6.2,OpenPlay
Interception,2,15,102234,839,Successful,54.1,91.7,,,OpenPlay
Dispossessed,2,16,101238,839,Successful,55.2,93.1,,,OpenPlay
Tackle,2,16,103476,63,Unsuccessful,44.8,6.9,,,OpenPlay
BallRecovery,2,17,101238,839,Successful,57.1,91.5,,,OpenPlay
Pass,2,18,101238,839,Successful,59.9,91.4,65.6,93.2,OpenPlay
Foul,2,20,102173,63,Unsuccessful,34.8,6.3,,,OpenPlay
Foul,2,20,97659,839,Successful,65.2,93.7,,,OpenPlay
Pass,2,24,97659,839,Successful,58.8,94.6,54.4,83.3,OpenPlay
Pass,2,27,34052,839,Successful,54.1,75.2,47.4,41.5,OpenPlay
Pass,2,31,12575,839,Successful,51.5,32.5,51.6,12.2,OpenPlay
Pass,2,32,79909,839,Successful,51.6,12.2,38.5,27.1,OpenPlay
Pass,2,33,12575,839,Successful,35.4,28.6,12.6,60.2,OpenPlay
Pass,2,40,32258,839,Successful,14.7,54.0,45.9,12.8,OpenPlay
Pass,2,43,79909,839,Unsuccessful,45.9,12.8,56.3,0,OpenPlay
Pass,2,56,326646,63,Successful,47.4,100.0,64,91.8,ThrowIn
