Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,51,32,33,16,2,22,54,40.7,32,267,74,27.7,159,71,37,57,13,1,44,46,97,67,3,Matches
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,64,36,40,17,7,21,45,46.7,24,485,132,27.2,281,142,62,100,30,2,70,35,99,86,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,61,37,43,16,2,14,28,50.0,14,299,111,37.1,189,97,13,43,19,0,24,49,110,166,1,Matches
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,1,1,1,0,0,1,3,33.3,2,25,9,36.0,9,11,5,3,1,0,2,1,2,2,0,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,60,41,24,34,2,24,62,38.7,38,417,114,27.3,121,233,63,18,3,0,15,22,82,22,0,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,10,8,3,5,2,3,11,27.3,8,181,53,29.3,5,86,90,1,0,0,1,3,13,5,0,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,30,22,18,10,2,16,34,47.1,18,200,75,37.5,109,78,13,31,14,1,17,23,53,87,1,Matches
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,14,10,4,5,5,4,16,25.0,12,430,130,30.2,19,169,242,23,5,0,18,5,19,26,0,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,23,13,11,11,1,7,17,41.2,10,164,41,25.0,68,82,14,19,3,0,16,7,30,15,1,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,52,33,36,10,6,13,26,50.0,13,320,114,35.6,213,81,26,61,30,0,31,42,94,166,2,Matches
11,Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,8,6,2,4,2,0,5,0.0,5,231,58,25.1,9,97,125,10,1,0,9,2,10,10,0,Matches
12,Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,23,12,13,8,2,9,30,30.0,21,194,60,30.9,79,88,27,22,1,0,21,13,36,16,0,Matches
13,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,10,4,2,5,3,4,24,16.7,20,209,45,21.5,33,93,83,5,1,0,4,2,12,5,0,Matches
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
