eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType_displayName,cardType_value,isGoal,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,Assist
2.0,0,212937084.0,False,0,[],[],0.0,167,0.0,0.0,Successful,1,FirstHalf,1,Start,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0,316941528.0,False,0,[],[],0.0,13,0.0,0.0,Successful,1,FirstHalf,1,Start,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0,1973763163.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '50.7'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '51.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '0.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.5'}]","[90, 118, 116, 29, 35, 36, 215, 217]",1.0,13,50.0,50.7,Successful,1,FirstHalf,1,Pass,1,50.7,51.3,24444.0,,,,,,,,,,,,,,,,,,,,,,,,
5.0,0,1532040773.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '57.7'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '18.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '33.6'}]","[90, 116, 29, 34, 36, 215, 217]",2.0,13,50.9,50.7,Successful,1,FirstHalf,1,Pass,1,33.6,57.7,13756.0,,,,,,,,,,,,,,,,,,,,,,,,
6.0,0,300153229.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '41.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '93.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.7'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '67.4'}]","[90, 119, 127, 35, 36, 216, 217]",4.0,13,36.4,56.3,Unsuccessful,0,FirstHalf,1,Pass,1,67.4,93.2,30051.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0,175458416.0,False,0,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Defensive', 'value': 285}}]","[196, 199]",6.0,167,29.3,7.8,Successful,1,FirstHalf,1,Aerial,44,,,19471.0,,,,,,,,,,,,,,,,,,,,,,,,
7.0,0,425199716.0,False,0,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'Offensive', 'value': 286}}]","[197, 198]",6.0,13,67.4,93.2,Unsuccessful,0,FirstHalf,1,Aerial,44,,,13796.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0,1452955421.0,True,0,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.7'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '25.9'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Head', 'value': 15}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '7.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '0.0'}]","[90, 94, 56, 214]",7.0,167,26.0,8.8,Unsuccessful,0,FirstHalf,1,Clearance,12,25.9,0.0,19471.0,,,,,,,,,,,,,,,,,,,,,,,,
9.0,0,1392053489.0,False,0,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '19.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.1'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'ThrowIn', 'value': 107}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '90.2'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '96.8'}]","[211, 35, 37, 216]",16.0,13,72.1,100.0,Successful,1,FirstHalf,1,Pass,1,90.2,96.8,23072.0,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0,1753900205.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '96.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '95.7'}, {'type': {'displayName': 'Cross', 'value': 2}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '1.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.7'}]","[90, 125, 37, 216, 217]",20.0,13,95.7,98.0,Unsuccessful,0,FirstHalf,1,Pass,1,95.7,96.2,24444.0,,,,,,,,,,,,,,,,,,,,,,,,
