eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,blockedX,blockedY,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,cardType_displayName,cardType_value,isGoal,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,Assist
2.0,0,2011927250.0,False,0,[],[],0.0,27,0.0,0.0,Successful,1,FirstHalf,1,Start,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0,1114407532.0,False,0,[],[],0.0,13,0.0,0.0,Successful,1,FirstHalf,1,Start,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0,77866055.0,True,0,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '50.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.8'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '0.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '50.1'}]","[90, 118, 116, 29, 35, 37, 215, 217]",1.0,13,50.0,50.7,Successful,1,FirstHalf,1,Pass,1,50.7,50.1,13796.0,,,,,,,,,,,,,,,,,,,,,,,,
5.0,0,1670451435.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '44.6'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.4'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '37.4'}]","[90, 116, 29, 34, 37, 215, 217]",2.0,13,50.4,50.3,Successful,1,FirstHalf,1,Pass,1,37.4,44.6,13756.0,,,,,,,,,,,,,,,,,,,,,,,,
6.0,0,2108563298.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '57.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.6'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '9.0'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '37.5'}]","[90, 116, 29, 35, 36, 215, 217]",4.0,13,37.4,44.6,Successful,1,FirstHalf,1,Pass,1,37.5,57.8,69738.0,,,,,,,,,,,,,,,,,,,,,,,,
7.0,0,401068815.0,True,0,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.4'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '40.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '74.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '11.9'}]","[90, 116, 29, 35, 36, 215, 217]",6.0,13,38.1,56.9,Successful,1,FirstHalf,1,Pass,1,40.1,74.2,4522.0,,,,,,,,,,,,,,,,,,,,,,,,
8.0,0,1877345712.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '59.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '38.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.0'}]","[90, 116, 29, 34, 37, 215, 217]",8.0,13,40.1,74.5,Successful,1,FirstHalf,1,Pass,1,38.8,59.9,23072.0,,,,,,,,,,,,,,,,,,,,,,,,
9.0,0,2114799138.0,True,0,"[{'type': {'displayName': 'Chipped', 'value': 155}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '8.0'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '64.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '92.1'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.7'}]","[90, 118, 116, 123, 126, 204, 35, 37, 216, 217]",10.0,13,39.5,58.2,Successful,1,FirstHalf,1,Pass,1,92.1,8.0,4522.0,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0,1412347492.0,True,0,"[{'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}]","[90, 69]",17.0,13,91.9,5.4,Successful,1,FirstHalf,1,Dispossessed,50,,,26820.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0,205835191.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '10'}]","[90, 142]",17.0,27,8.1,94.6,Successful,1,FirstHalf,1,Tackle,7,,,122945.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0,2134996963.0,False,0,[],[92],19.0,27,22.0,94.1,Successful,1,FirstHalf,1,BallRecovery,49,,,18600.0,,,,,,,,,,,,,,,,,,,,,,,,
5.0,0,1540110103.0,True,0,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '20.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '85.3'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '2.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]","[90, 116, 29, 34, 37, 214, 217]",19.0,27,21.1,94.1,Successful,1,FirstHalf,1,Pass,1,2.2,85.3,18600.0,,,,,,,,,,,,,,,,,,,,,,,,
6.0,0,2111121392.0,True,0,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.1'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '6.9'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '5.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '94.4'}]","[90, 116, 29, 35, 36, 214, 217]",21.0,27,2.2,85.3,Successful,1,FirstHalf,1,Pass,1,5.1,94.4,122945.0,,,,,,,,,,,,,,,,,,,,,,,,
7.0,0,961320347.0,True,0,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '3.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '94.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.2'}, {'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '8.5'}, {'type': {'displayName': 'Longball', 'value': 1}}]","[90, 117, 119, 127, 35, 37, 214, 217]",23.0,27,4.8,95.0,Unsuccessful,0,FirstHalf,1,Pass,1,8.5,94.4,18600.0,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0,1524973921.0,False,0,"[{'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}]",[59],24.0,13,91.7,6.8,Successful,1,FirstHalf,1,BlockedPass,74,,,125211.0,,,,,,,,,,,,,,,,,,,,,,,,
12.0,0,1305219219.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}]",[90],25.0,13,94.3,9.2,Successful,1,FirstHalf,1,BallTouch,61,,,26820.0,,,,,,,,,,,,,,,,,,,,,,,,
9.0,0,746518000.0,False,0,"[{'type': {'displayName': 'ThrowIn', 'value': 107}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.1'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '27.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '96.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '25.6'}, {'type': {'displayName': 'Longball', 'value': 1}}]","[211, 35, 37, 214]",33.0,27,3.4,100.0,Successful,1,FirstHalf,1,Pass,1,27.5,96.3,122945.0,,,,,,,,,,,,,,,,,,,,,,,,
14.0,0,1313327107.0,False,0,[],[92],38.0,13,67.2,5.6,Successful,1,FirstHalf,1,BallRecovery,49,,,125211.0,,,,,,,,,,,,,,,,,,,,,,,,
15.0,0,2135448476.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '26.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '72.1'}]","[90, 119, 28, 35, 36, 216, 217]",38.0,13,67.2,5.6,Unsuccessful,0,FirstHalf,1,Pass,1,72.1,26.2,125211.0,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0,1517227539.0,True,0,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '4.6'}, {'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '30.3'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '16'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '69.6'}]","[90, 117, 119, 28, 35, 37, 214, 217]",40.0,27,25.9,70.2,Unsuccessful,0,FirstHalf,1,Pass,1,30.3,69.6,10254.0,,,,,,,,,,,,,,,,,,,,,,,,
16.0,0,813687871.0,False,0,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '11'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Defensive', 'value': 285}}]",[59],41.0,13,69.9,26.5,Successful,1,FirstHalf,1,BlockedPass,74,,,69738.0,,,,,,,,,,,,,,,,,,,,,,,,
17.0,0,497787733.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '21.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '61.4'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '46.6'}, {'type': {'displayName': 'Chipped', 'value': 155}}]","[90, 116, 29, 123, 34, 36, 215, 217]",43.0,13,61.1,39.8,Successful,1,FirstHalf,1,Pass,1,46.6,61.4,4522.0,,,,,,,,,,,,,,,,,,,,,,,,
18.0,0,1369393281.0,True,0,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '58.5'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '27.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '23.4'}]","[90, 116, 29, 34, 37, 214, 217]",47.0,13,43.3,83.3,Successful,1,FirstHalf,1,Pass,1,27.8,58.5,23072.0,,,,,,,,,,,,,,,,,,,,,,,,
19.0,0,425693436.0,True,0,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '10.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '37.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '58.7'}]","[90, 116, 29, 35, 215, 217]",49.0,13,27.3,58.7,Successful,1,FirstHalf,1,Pass,1,37.4,58.7,30051.0,,,,,,,,,,,,,,,,,,,,,,,,
20.0,0,1255731175.0,True,0,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '43.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.9'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '9.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '40.8'}]","[90, 116, 29, 35, 37, 215, 217]",52.0,13,34.6,46.4,Successful,1,FirstHalf,1,Pass,1,43.0,40.8,4522.0,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0,563750415.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '46.1'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '36.4'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '8.6'}]","[90, 116, 29, 34, 36, 215, 217]",54.0,13,44.1,41.6,Successful,1,FirstHalf,1,Pass,1,36.4,46.1,69738.0,,,,,,,,,,,,,,,,,,,,,,,,
22.0,0,10183338.0,True,0,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '4.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '38.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '28.2'}]","[90, 116, 29, 35, 37, 215, 217]",56.0,13,36.4,46.1,Successful,1,FirstHalf,1,Pass,1,38.2,4.7,4522.0,,,,,,,,,,,,,,,,,,,,,,,,
