Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,24,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24444,13,Successful,50.0,50.1,50.4,49.7,OpenPlay
Pass,0,2,13756,13,Successful,50.9,49.9,39.6,49.9,OpenPlay
Pass,0,3,69738,13,Successful,40.2,50.3,54.4,54.6,OpenPlay
Pass,0,4,13756,13,Unsuccessful,54.5,54.5,66.3,63.1,OpenPlay
Interception,0,7,79967,24,Successful,28.3,35.5,,,OpenPlay
Pass,0,8,125211,13,Successful,37.3,28.0,40,36.1,OpenPlay
Pass,0,10,4522,13,Successful,40.8,35.9,42.1,88.2,OpenPlay
Pass,0,15,23072,13,Successful,44.1,88.0,43.6,66.1,OpenPlay
Pass,0,17,69738,13,Successful,42.7,63.6,39.9,30.5,OpenPlay
Pass,0,20,76810,13,Successful,45.2,25.6,59.1,5.3,OpenPlay
Pass,0,22,125211,13,Successful,60.8,6.4,58.6,16.3,OpenPlay
Pass,0,24,4522,13,Successful,58.6,16.3,60.1,5.1,OpenPlay
Pass,0,25,125211,13,Successful,60.1,5.1,35.2,18.6,OpenPlay
Pass,0,29,76810,13,Successful,37.9,31.2,44.4,37.1,OpenPlay
Pass,0,30,69738,13,Successful,44.4,37.1,35.9,28.8,OpenPlay
Pass,0,33,76810,13,Successful,38.2,32.8,37.3,62.3,OpenPlay
Pass,0,35,30051,13,Successful,39.2,65.5,49.5,87.1,OpenPlay
Pass,0,37,23072,13,Successful,51.2,91.0,57.8,98,OpenPlay
Pass,0,39,25244,13,Successful,57.8,98.0,46.7,95,OpenPlay
Pass,0,41,23072,13,Successful,47.3,88.8,35.8,67.4,OpenPlay
Pass,0,44,30051,13,Successful,35.4,65.8,31.3,36.1,OpenPlay
Pass,0,46,76810,13,Successful,31.1,32.5,36,4.5,OpenPlay
Pass,0,50,125211,13,Successful,36.1,3.9,65.8,11.5,OpenPlay
Pass,0,54,4522,13,Successful,63.3,30.2,67.6,94.7,OpenPlay
Pass,0,58,23072,13,Successful,71.1,95.6,74.5,95.6,OpenPlay
Pass,1,1,25244,13,Unsuccessful,75.2,85.0,85.4,80.1,OpenPlay
Interception,1,1,301101,24,Successful,18.4,17.7,,,OpenPlay
BallRecovery,1,3,301101,24,Successful,19.9,17.1,,,OpenPlay
Pass,1,3,301101,24,Unsuccessful,19.9,17.1,37.4,20.4,OpenPlay
Interception,1,5,69738,13,Successful,65.8,76.9,,,OpenPlay
BallRecovery,1,6,69738,13,Successful,69.5,90.9,,,OpenPlay
Pass,1,7,69738,13,Successful,69.4,92.8,74.4,93.9,OpenPlay
Pass,1,10,23072,13,Successful,69.8,87.4,51.4,74.7,OpenPlay
Pass,1,12,30051,13,Successful,47.4,73.3,51.4,62,OpenPlay
Pass,1,14,4522,13,Successful,51.4,62.0,62.6,58,OpenPlay
Pass,1,16,42686,13,Successful,62.6,58.0,68.1,67.9,OpenPlay
Pass,1,17,13756,13,Successful,68.1,67.9,65.9,64.5,OpenPlay
Pass,1,19,42686,13,Successful,66.1,78.3,65,95.5,OpenPlay
Pass,1,22,23072,13,Successful,64.8,96.1,68.7,98,OpenPlay
Pass,1,24,25244,13,Successful,69.5,93.6,70.8,80.9,OpenPlay
