Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,183,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24444,13,Successful,50.0,50.9,50.9,50.3,OpenPlay
Pass,0,2,13756,13,Successful,50.7,50.3,28.8,41.9,OpenPlay
Pass,0,4,6292,13,Successful,28.8,41.7,28.5,65.6,OpenPlay
Pass,0,6,76810,13,Successful,28.0,62.6,24.9,35.5,OpenPlay
Pass,0,11,6292,13,Successful,29.3,32.1,25.9,61,OpenPlay
Pass,0,18,76810,13,Successful,31.4,59.1,10,50.7,OpenPlay
Pass,0,23,6775,13,Unsuccessful,13.4,53.6,61.4,66.3,OpenPlay
Pass,0,27,9298,183,Unsuccessful,38.8,26.9,53.7,32.8,OpenPlay
Pass,0,29,124316,13,Successful,48.2,73.4,50.6,90.7,OpenPlay
Pass,0,30,27550,13,Successful,50.6,90.7,61.5,80.9,OpenPlay
BallTouch,0,31,124316,13,Unsuccessful,61.5,80.9,,,OpenPlay
BallRecovery,0,33,9298,183,Successful,29.1,12.4,,,OpenPlay
Pass,0,35,9298,183,Unsuccessful,30.1,7.7,80,25.3,OpenPlay
BallRecovery,0,39,76810,13,Successful,19.5,75.3,,,OpenPlay
Pass,0,39,76810,13,Successful,19.5,75.3,25.6,59,OpenPlay
Pass,0,40,6292,13,Successful,26.4,61.5,29.3,72.9,OpenPlay
Pass,0,42,26820,13,Successful,28.1,72.9,22.1,79.9,OpenPlay
Pass,0,43,76810,13,Successful,22.1,79.9,38.2,97.7,OpenPlay
Pass,0,45,27550,13,Successful,41.5,97.1,48.5,85.5,OpenPlay
Pass,0,47,13756,13,Unsuccessful,48.5,85.5,39.4,79.5,OpenPlay
Pass,0,50,68648,183,Successful,58.7,18.8,80.2,8.5,OpenPlay
BallRecovery,0,53,81026,183,Successful,80.5,8.0,,,OpenPlay
TakeOn,1,1,81026,183,Unsuccessful,95.0,12.8,,,OpenPlay
Tackle,1,1,26820,13,Successful,5.0,87.2,,,OpenPlay
CornerAwarded,1,2,81026,183,Successful,98.4,7.3,,,OpenPlay
CornerAwarded,1,2,26820,13,Unsuccessful,1.6,92.7,,,OpenPlay
Pass,1,17,69877,183,Successful,99.5,0.5,96.1,23.7,OpenPlay
Dispossessed,1,22,68648,183,Successful,86.6,2.8,,,OpenPlay
Tackle,1,22,13796,13,Successful,13.4,97.2,,,OpenPlay
BallRecovery,1,23,13796,13,Successful,14.7,97.7,,,OpenPlay
Pass,1,27,13796,13,Successful,34.8,85.2,50.8,85.8,OpenPlay
Dispossessed,1,31,84146,13,Successful,53.2,96.2,,,OpenPlay
Tackle,1,31,9298,183,Successful,46.8,3.8,,,OpenPlay
BallRecovery,1,32,9298,183,Successful,47.0,4.0,,,OpenPlay
Pass,1,32,9298,183,Successful,46.1,5.0,47.8,14.8,OpenPlay
Pass,1,36,13846,183,Successful,47.7,30.2,37.4,55.8,OpenPlay
Pass,1,40,24827,183,Successful,47.1,76.3,46.4,95.5,OpenPlay
Pass,1,47,14000,183,Successful,45.2,64.4,32.4,67.5,OpenPlay
Pass,1,49,68662,183,Successful,31.2,66.0,33,21.2,OpenPlay
Pass,1,53,9298,183,Successful,37.1,17.2,44.6,1.8,OpenPlay
Pass,1,56,69877,183,Successful,43.4,3.4,28.5,9,OpenPlay
Pass,1,58,9298,183,Successful,27.7,10.5,13.1,40.1,OpenPlay
Pass,2,1,14111,183,Successful,13.3,40.9,25,81.4,OpenPlay
Pass,2,6,68662,183,Successful,31.8,84.4,41,97.1,OpenPlay
Pass,2,8,24827,183,Successful,41.1,97.1,39.5,71.8,OpenPlay
Pass,2,10,13447,183,Unsuccessful,39.5,71.8,64,76.1,OpenPlay
Pass,2,11,6292,13,Unsuccessful,34.3,28.2,57.9,28.2,OpenPlay
Pass,2,14,13447,183,Unsuccessful,43.7,75.2,62.8,81.4,OpenPlay
BallRecovery,2,15,125211,13,Successful,40.5,20.4,,,OpenPlay
Pass,2,16,125211,13,Successful,39.5,20.9,43.2,11.8,OpenPlay
Pass,2,18,84146,13,Successful,43.2,11.8,65.9,40.9,OpenPlay
Pass,2,21,24444,13,Successful,65.1,35.2,63.8,9.4,OpenPlay
Pass,2,22,84146,13,Successful,63.8,9.4,60.4,27.1,OpenPlay
Pass,2,26,26820,13,Successful,63.6,29.3,72,31.5,OpenPlay
Pass,2,27,13756,13,Successful,72.1,31.5,67.1,28.8,OpenPlay
Pass,2,29,26820,13,Successful,67.0,28.8,55.7,63.3,OpenPlay
Pass,2,31,124316,13,Successful,55.7,63.3,56.1,92.9,OpenPlay
Pass,2,35,27550,13,Successful,55.3,82.2,42.9,73.6,OpenPlay
Pass,2,38,76810,13,Successful,42.4,65.2,52.7,55.3,OpenPlay
Pass,2,41,124316,13,Successful,53.0,50.2,71.9,4.8,OpenPlay
Pass,2,47,84146,13,Unsuccessful,78.1,20.1,88.5,0,OpenPlay
Pass,3,10,24827,183,Successful,11.3,100.0,17.2,86.9,OpenPlay
Pass,3,14,13447,183,Successful,17.2,86.9,12.7,97.4,OpenPlay
Pass,3,15,24827,183,Unsuccessful,12.7,97.4,14.2,97.2,OpenPlay
BlockedPass,3,15,13756,13,Successful,88.5,2.1,,,OpenPlay
Pass,3,29,24827,183,Unsuccessful,12.0,100.0,23.7,94.9,OpenPlay
Aerial,3,31,81026,183,Unsuccessful,27.9,93.2,,,OpenPlay
Aerial,3,31,125211,13,Successful,72.1,6.8,,,OpenPlay
Pass,3,32,125211,13,Successful,67.9,8.5,64,32.5,OpenPlay
BallRecovery,3,33,124316,13,Successful,64.0,32.5,,,OpenPlay
Pass,3,33,124316,13,Successful,64.0,32.5,54.8,43.4,OpenPlay
Pass,3,34,27550,13,Successful,54.8,43.4,43.7,24.5,OpenPlay
Pass,3,36,76810,13,Unsuccessful,43.3,21.2,62.8,21.2,OpenPlay
BallRecovery,3,38,13846,183,Successful,41.9,83.7,,,OpenPlay
Pass,3,41,13846,183,Unsuccessful,43.0,93.1,54.9,93.7,OpenPlay
Interception,3,42,124316,13,Successful,40.6,9.0,,,OpenPlay
Pass,3,52,24827,183,Successful,44.2,100.0,20.4,92.5,OpenPlay
Pass,3,56,68662,183,Successful,20.3,87.6,27.2,22.9,OpenPlay
Pass,4,1,9298,183,Unsuccessful,36.4,25.6,66.1,83.1,OpenPlay
Pass,4,4,125211,13,Successful,29.3,23.2,37.1,25.8,OpenPlay
BallRecovery,4,6,84146,13,Successful,38.3,23.4,,,OpenPlay
Pass,4,8,84146,13,Successful,43.4,6.7,29.3,6.4,OpenPlay
Pass,4,9,125211,13,Successful,29.3,6.4,34.5,24.5,OpenPlay
Pass,4,10,26820,13,Unsuccessful,34.4,24.7,31,28.3,OpenPlay
BallTouch,4,12,26820,13,Successful,38.4,29.8,,,OpenPlay
BlockedPass,4,12,81026,183,Successful,66.3,70.9,,,OpenPlay
BallRecovery,4,13,67807,183,Successful,61.7,66.4,,,OpenPlay
TakeOn,4,14,67807,183,Successful,66.2,58.6,,,OpenPlay
Challenge,4,14,26820,13,Unsuccessful,33.8,41.4,,,OpenPlay
Pass,4,15,67807,183,Successful,67.4,55.0,75,58,OpenPlay
SavedShot,4,18,81026,183,Successful,80.5,60.6,,,Assisted
Save,4,18,6775,13,Successful,2.9,51.2,,,OpenPlay
KeeperPickup,4,19,6775,13,Successful,2.9,51.2,,,OpenPlay
Pass,4,22,6775,13,Unsuccessful,14.6,54.5,63.5,70.9,OpenPlay
Pass,4,27,9298,183,Successful,35.7,22.9,41.1,33.7,OpenPlay
Pass,4,28,13447,183,Successful,41.1,33.7,25.5,35.3,OpenPlay
Pass,4,32,68662,183,Successful,25.6,36.1,11,39,OpenPlay
Pass,4,33,14111,183,Successful,11.0,39.0,21,2.4,OpenPlay
BallRecovery,4,35,9298,183,Successful,21.0,2.4,,,OpenPlay
Pass,4,39,9298,183,Unsuccessful,27.1,6.3,64.9,21.2,OpenPlay
