Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,31,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,78498,31,Successful,50.0,50.0,51.4,48.5,OpenPlay
Pass,0,3,92547,31,Unsuccessful,52.7,40.3,55.5,21.5,OpenPlay
Interception,0,4,25244,13,Successful,41.3,81.2,,,OpenPlay
BallRecovery,0,5,25244,13,Successful,40.7,80.4,,,OpenPlay
Pass,0,5,25244,13,Unsuccessful,41.9,79.6,43.3,75.2,OpenPlay
Pass,0,7,92547,31,Successful,55.4,23.7,41.8,10.7,OpenPlay
BallRecovery,0,7,92547,31,Successful,55.4,23.7,,,OpenPlay
Pass,0,10,31826,31,Successful,41.8,10.7,30.4,55.5,OpenPlay
Pass,0,12,6105,31,Successful,30.4,55.5,28,35.1,OpenPlay
Pass,0,13,101374,31,Successful,28.0,35.1,29.5,62.6,OpenPlay
Pass,0,18,6105,31,Unsuccessful,35.4,73.9,62.8,72.7,OpenPlay
BallRecovery,0,20,4522,13,Successful,40.2,25.2,,,OpenPlay
Pass,0,20,4522,13,Successful,40.2,25.2,57.8,18.2,OpenPlay
Interception,0,20,4522,13,Successful,40.4,25.8,,,OpenPlay
Pass,0,21,13756,13,Successful,57.9,17.4,66.4,9.2,OpenPlay
TakeOn,0,23,84146,13,Unsuccessful,67.9,4.2,,,OpenPlay
Tackle,0,23,6105,31,Successful,32.1,95.8,,,OpenPlay
Pass,0,28,125211,13,Successful,61.6,0.0,62.4,9.1,OpenPlay
Pass,0,30,13756,13,Successful,62.3,10.0,61.3,2.2,OpenPlay
Pass,0,32,125211,13,Successful,61.3,2.2,31.9,22.1,OpenPlay
Pass,0,34,76810,13,Successful,32.3,29.1,33,60.9,OpenPlay
Pass,0,42,30051,13,Successful,34.2,60.8,45.9,50.7,OpenPlay
Pass,0,43,69738,13,Successful,42.8,35.8,56.1,2.9,OpenPlay
Pass,0,45,125211,13,Successful,57.7,2.9,68.3,2.2,OpenPlay
Pass,0,47,84146,13,Unsuccessful,68.2,2.2,62.5,22.1,OpenPlay
BallRecovery,0,50,92547,31,Successful,39.9,88.9,,,OpenPlay
Pass,0,52,92547,31,Successful,48.6,77.3,47.2,43.1,OpenPlay
Pass,0,55,31281,31,Successful,47.2,43.1,55.1,11,OpenPlay
Pass,0,58,31826,31,Successful,54.4,10.7,66.1,3.7,OpenPlay
Pass,1,2,98317,31,Unsuccessful,66.3,3.7,78.3,36.1,OpenPlay
BallRecovery,1,2,30051,13,Successful,16.8,72.7,,,OpenPlay
Pass,1,4,30051,13,Successful,18.5,85.4,27.1,98.4,OpenPlay
Pass,1,6,23072,13,Successful,30.5,98.0,33.8,94.5,OpenPlay
Dispossessed,1,8,25244,13,Successful,33.2,88.1,,,OpenPlay
Tackle,1,8,31281,31,Successful,66.8,11.9,,,OpenPlay
Pass,1,9,31281,31,Successful,71.3,16.2,65.8,12.9,OpenPlay
Pass,1,10,98317,31,Successful,70.7,11.8,58.8,21.1,OpenPlay
Pass,1,12,188,31,Successful,57.6,21.3,50.6,48.9,OpenPlay
BallTouch,1,13,24444,13,Successful,44.4,75.9,,,OpenPlay
BallRecovery,1,15,6105,31,Successful,48.4,48.7,,,OpenPlay
Pass,1,16,6105,31,Successful,47.4,51.3,40.4,25.2,OpenPlay
Pass,1,17,101374,31,Successful,40.4,25.2,63.6,24.6,OpenPlay
TakeOn,1,17,31826,31,Successful,60.8,23.6,,,OpenPlay
Challenge,1,17,69738,13,Unsuccessful,39.2,76.4,,,OpenPlay
Pass,1,22,31826,31,Successful,69.7,27.3,77.3,12.3,OpenPlay
Pass,1,27,98317,31,Unsuccessful,98.9,25.0,100,33.7,OpenPlay
Pass,1,55,6775,13,Successful,4.9,59.7,59.8,69.7,OpenPlay
Pass,1,59,24444,13,Successful,59.5,65.4,53.1,67.8,OpenPlay
Pass,2,2,69738,13,Successful,53.5,65.4,56.6,17.7,OpenPlay
Pass,2,5,125211,13,Successful,66.3,23.0,68.1,32.7,OpenPlay
Pass,2,9,13756,13,Successful,59.8,20.7,54.5,28.2,OpenPlay
Pass,2,10,4522,13,Successful,54.5,26.2,53.8,14.3,OpenPlay
Pass,2,13,13756,13,Successful,57.1,5.3,68.8,24.9,OpenPlay
Pass,2,15,84146,13,Successful,66.4,33.9,60.7,50.9,OpenPlay
Pass,2,17,69738,13,Successful,63.6,51.2,72.9,70,OpenPlay
TakeOn,2,22,25244,13,Successful,73.9,80.4,,,OpenPlay
Challenge,2,22,31826,31,Unsuccessful,26.1,19.6,,,OpenPlay
TakeOn,2,25,25244,13,Unsuccessful,80.2,80.8,,,OpenPlay
Tackle,2,25,92547,31,Successful,19.8,19.2,,,OpenPlay
BallRecovery,2,27,92547,31,Successful,20.8,25.3,,,OpenPlay
Pass,2,28,92547,31,Successful,20.8,28.0,38.6,35.2,OpenPlay
Pass,2,29,78498,31,Successful,38.6,35.2,33,34.3,OpenPlay
Pass,2,30,92547,31,Unsuccessful,33.3,34.3,48.7,58.8,OpenPlay
BallRecovery,2,31,125211,13,Successful,49.3,39.4,,,OpenPlay
Pass,2,32,125211,13,Successful,49.3,39.4,8.5,36.3,OpenPlay
Pass,2,38,6775,13,Successful,10.7,46.0,23.9,75.9,OpenPlay
Pass,2,44,30051,13,Successful,31.4,70.5,33.8,58.2,OpenPlay
Pass,2,45,69738,13,Successful,34.0,58.2,36.6,79.9,OpenPlay
Pass,2,47,30051,13,Successful,42.9,83.6,43.8,98.6,OpenPlay
Pass,2,51,23072,13,Successful,33.9,90.9,42.4,65.7,OpenPlay
Pass,2,53,69738,13,Successful,37.8,62.9,34.1,33.6,OpenPlay
Pass,2,56,76810,13,Successful,37.0,31.0,59.3,3.5,OpenPlay
Pass,2,59,125211,13,Unsuccessful,60.5,5.6,63.9,28.5,OpenPlay
BallRecovery,3,2,92547,31,Successful,40.4,74.1,,,OpenPlay
Pass,3,3,92547,31,Unsuccessful,42.7,70.9,52,70.3,OpenPlay
Interception,3,4,4522,13,Successful,47.8,24.3,,,OpenPlay
BallRecovery,3,6,69738,13,Successful,47.4,43.1,,,OpenPlay
Pass,3,6,69738,13,Successful,52.9,44.3,50.8,58.4,OpenPlay
Pass,3,11,13756,13,Successful,59.1,70.5,67,96.6,OpenPlay
Pass,3,14,23072,13,Successful,66.8,95.4,61.9,84.1,OpenPlay
Pass,3,15,13756,13,Unsuccessful,61.9,84.5,66.7,84.4,OpenPlay
BlockedPass,3,16,31281,31,Successful,35.0,8.2,,,OpenPlay
Dispossessed,3,18,23072,13,Successful,64.4,95.7,,,OpenPlay
Tackle,3,18,31281,31,Successful,35.6,4.3,,,OpenPlay
Pass,3,24,23072,13,Successful,64.7,100.0,58.2,98,OpenPlay
Pass,3,26,13756,13,Successful,56.4,97.2,40.4,86.8,OpenPlay
Pass,3,30,30051,13,Successful,39.4,75.0,36.6,39.2,OpenPlay
Pass,3,35,76810,13,Successful,38.2,33.7,41,50.6,OpenPlay
Pass,3,40,4522,13,Successful,46.3,35.7,97.8,5.3,OpenPlay
Pass,3,48,125211,13,Successful,88.3,17.3,73.2,17.3,OpenPlay
