Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,14,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24444,13,Successful,50.0,51.1,50.6,50.7,OpenPlay
Pass,0,2,13756,13,Successful,50.9,50.1,36.8,58.7,OpenPlay
Pass,0,3,69738,13,Unsuccessful,36.7,58.7,96.3,18.8,OpenPlay
KeeperPickup,0,10,19545,14,Successful,4.9,76.7,,,OpenPlay
Pass,0,19,19545,14,Unsuccessful,15.8,48.1,83.4,100,OpenPlay
ShieldBallOpp,0,25,125211,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,34,125211,13,Successful,21.7,0.0,34.8,7.3,OpenPlay
Pass,0,36,84146,13,Successful,34.9,7.7,49.3,5.4,OpenPlay
Pass,0,39,13756,13,Successful,59.2,23.3,55.5,51.8,OpenPlay
Pass,0,41,25244,13,Successful,60.5,42.5,80.2,25.5,OpenPlay
Pass,0,44,84146,13,Unsuccessful,94.6,28.9,95.3,57.5,OpenPlay
Clearance,0,46,23683,14,Unsuccessful,6.8,42.7,0,34.2,OpenPlay
CornerAwarded,0,47,23683,14,Unsuccessful,2.0,38.3,,,OpenPlay
CornerAwarded,0,47,84146,13,Successful,98.0,61.7,,,OpenPlay
Pass,1,16,84146,13,Successful,99.5,99.5,94.7,40.4,OpenPlay
Aerial,1,18,23683,14,Unsuccessful,4.5,59.2,,,OpenPlay
Aerial,1,18,25244,13,Successful,95.5,40.8,,,OpenPlay
MissedShots,1,19,25244,13,Successful,94.7,40.4,,,Assisted
Pass,1,53,19545,14,Unsuccessful,4.9,49.9,60.1,15.8,OpenPlay
Aerial,1,56,104749,14,Unsuccessful,60.1,15.8,,,OpenPlay
Aerial,1,56,69738,13,Successful,39.2,87.6,,,OpenPlay
Pass,1,57,69738,13,Unsuccessful,38.6,91.1,43.7,80,OpenPlay
Pass,1,58,75138,14,Unsuccessful,59.1,27.1,69.8,28.3,OpenPlay
Pass,1,59,30051,13,Unsuccessful,27.8,79.1,35,79,OpenPlay
OffsideGiven,2,,106981,14,Unsuccessful,80.3,25.8,,,OpenPlay
OffsidePass,2,0,104749,14,Successful,63.7,26.4,80.3,25.8,OpenPlay
OffsideProvoked,2,0,6292,13,Successful,27.9,66.1,,,OpenPlay
Pass,2,17,6775,13,Successful,27.3,76.6,68.1,92,OpenPlay
Pass,2,22,24444,13,Successful,70.1,93.2,70.6,98,OpenPlay
Pass,2,25,25244,13,Successful,67.1,84.1,67.6,20.6,OpenPlay
Pass,2,29,125211,13,Successful,67.9,23.1,67.5,33.1,OpenPlay
Pass,2,30,26820,13,Successful,67.9,26.1,70.4,6.2,OpenPlay
Pass,2,32,125211,13,Successful,70.2,6.2,79.6,4.7,OpenPlay
Pass,2,34,84146,13,Successful,78.6,4.0,70.7,3.8,OpenPlay
Dispossessed,2,35,125211,13,Successful,70.0,4.4,,,OpenPlay
Tackle,2,35,26222,14,Successful,30.0,95.6,,,OpenPlay
Pass,2,42,125211,13,Successful,68.4,0.0,67.8,13.7,OpenPlay
Pass,2,43,26820,13,Successful,67.0,12.8,67.4,2.1,OpenPlay
Pass,2,44,125211,13,Successful,66.8,2.5,74.7,4.9,OpenPlay
Dispossessed,2,47,84146,13,Successful,72.7,3.4,,,OpenPlay
Tackle,2,47,12431,14,Unsuccessful,27.3,96.6,,,OpenPlay
BallTouch,2,48,84146,13,Successful,73.8,2.2,,,OpenPlay
Pass,3,5,12431,14,Unsuccessful,32.6,100.0,49.4,91.5,OpenPlay
Pass,3,8,125211,13,Unsuccessful,48.2,8.9,67.4,8.9,OpenPlay
Pass,3,9,114075,14,Unsuccessful,35.9,88.9,43.2,76.7,OpenPlay
Pass,3,11,69738,13,Unsuccessful,57.7,24.6,69.1,8.5,OpenPlay
Pass,3,13,12431,14,Unsuccessful,29.5,89.1,31.2,88.6,OpenPlay
BlockedPass,3,14,24444,13,Successful,67.7,8.6,,,OpenPlay
BallRecovery,3,17,24444,13,Successful,73.2,9.1,,,OpenPlay
Dispossessed,3,18,24444,13,Successful,72.3,8.8,,,OpenPlay
Tackle,3,18,12431,14,Successful,27.7,91.2,,,OpenPlay
Dispossessed,3,21,114075,14,Successful,31.6,92.0,,,OpenPlay
Tackle,3,21,26820,13,Unsuccessful,68.4,8.0,,,OpenPlay
BallTouch,3,22,114075,14,Successful,33.9,96.9,,,OpenPlay
Pass,3,27,125211,13,Successful,68.8,0.0,72.7,6.5,OpenPlay
Pass,3,28,13756,13,Successful,72.5,6.2,63.7,3.1,OpenPlay
Pass,3,30,125211,13,Unsuccessful,68.9,6.5,67.2,7.7,OpenPlay
Foul,3,32,26222,14,Unsuccessful,34.6,93.0,,,OpenPlay
Foul,3,32,,13,Successful,65.4,7.0,,,OpenPlay
Pass,3,37,26820,13,Successful,64.3,8.3,44.2,42.2,OpenPlay
Pass,3,41,30051,13,Successful,51.8,42.8,44.6,20.9,OpenPlay
Pass,3,44,6292,13,Successful,44.8,27.4,55.8,35.7,OpenPlay
Pass,3,45,69738,13,Successful,55.8,35.2,41.2,31.5,OpenPlay
Pass,3,48,6292,13,Successful,44.5,29.2,53.5,10.3,OpenPlay
Pass,3,50,69738,13,Successful,53.5,10.3,39.3,28.6,OpenPlay
Pass,3,52,6292,13,Successful,40.6,31.2,45.8,62.7,OpenPlay
Pass,3,55,30051,13,Successful,45.8,62.7,60.7,98,OpenPlay
Pass,3,58,23072,13,Successful,65.3,95.9,67.9,88.7,OpenPlay
Foul,4,2,75138,14,Unsuccessful,34.4,13.2,,,OpenPlay
Foul,4,2,25244,13,Successful,65.6,86.8,,,OpenPlay
Pass,4,51,13756,13,Successful,70.7,88.7,87.7,53.1,OpenPlay
Pass,4,53,24444,13,Successful,87.7,53.1,83,61.5,OpenPlay
TakeOn,4,55,25244,13,Unsuccessful,85.2,66.8,,,OpenPlay
Tackle,4,55,75138,14,Successful,14.8,33.2,,,OpenPlay
BallTouch,4,57,26222,14,Successful,14.2,33.1,,,OpenPlay
Pass,4,57,26820,13,Unsuccessful,77.7,66.3,69.4,100,OpenPlay
Pass,5,20,23683,14,Successful,34.8,0.0,52.5,4.1,OpenPlay
Pass,5,21,26222,14,Unsuccessful,52.5,4.1,57,4.1,OpenPlay
Clearance,5,22,69738,13,Unsuccessful,40.1,97.8,41.5,100,OpenPlay
Pass,5,29,23683,14,Unsuccessful,50.3,0.0,67,14.3,OpenPlay
Aerial,5,30,106981,14,Unsuccessful,67.0,14.3,,,OpenPlay
Aerial,5,30,30051,13,Successful,33.8,91.2,,,OpenPlay
Clearance,5,31,30051,13,Unsuccessful,34.7,96.6,41,100,OpenPlay
Pass,5,37,23683,14,Unsuccessful,61.7,0.0,74.4,3.4,OpenPlay
Pass,5,39,69738,13,Successful,26.2,96.2,37.6,99,OpenPlay
Pass,5,41,25244,13,Successful,37.7,99.0,35.4,97.2,OpenPlay
BallRecovery,5,43,69738,13,Successful,35.7,97.2,,,OpenPlay
Pass,5,44,69738,13,Successful,35.7,97.2,33.5,79.3,OpenPlay
Pass,5,46,26820,13,Successful,32.9,73.5,28.4,3.7,OpenPlay
Pass,5,51,125211,13,Successful,38.6,4.9,41,24.4,OpenPlay
Pass,5,53,26820,13,Unsuccessful,40.5,24.4,62.2,32.4,OpenPlay
BallRecovery,5,55,4145,14,Successful,37.8,67.0,,,OpenPlay
Pass,5,55,4145,14,Unsuccessful,37.8,67.0,53.9,59.6,OpenPlay
BallRecovery,5,57,69738,13,Successful,44.7,41.3,,,OpenPlay
Pass,5,58,69738,13,Successful,44.7,41.3,56.6,45.1,OpenPlay
Pass,5,59,13756,13,Successful,56.6,45.1,71.4,40.7,OpenPlay
Dispossessed,6,0,26820,13,Successful,73.4,44.1,,,OpenPlay
Tackle,6,0,114075,14,Successful,26.6,55.9,,,OpenPlay
BallRecovery,6,1,114075,14,Successful,31.7,50.3,,,OpenPlay
Pass,6,1,114075,14,Successful,31.9,50.3,35.7,60.8,OpenPlay
Pass,6,3,75138,14,Successful,37.1,62.1,39.4,85.1,OpenPlay
Pass,6,8,42147,14,Successful,43.9,86.8,32.2,86,OpenPlay
Pass,6,10,12431,14,Successful,32.2,86.0,40.1,75.7,OpenPlay
Pass,6,11,75138,14,Successful,40.1,75.7,34.1,85.6,OpenPlay
Pass,6,14,12431,14,Successful,39.4,93.0,29.6,81.4,OpenPlay
Pass,6,18,75138,14,Successful,29.4,73.3,27.4,39.7,OpenPlay
Pass,6,20,8157,14,Unsuccessful,27.5,39.7,70.7,57.9,OpenPlay
Pass,6,23,6292,13,Successful,25.6,40.6,25,59.4,OpenPlay
BallRecovery,6,24,30051,13,Successful,25.0,59.4,,,OpenPlay
Pass,6,27,30051,13,Unsuccessful,24.8,75.1,55,100,OpenPlay
Pass,6,40,23683,14,Successful,46.4,0.0,56,6.7,OpenPlay
Pass,6,41,104749,14,Successful,56.0,6.7,45.1,12.8,OpenPlay
Pass,6,42,114075,14,Successful,45.1,12.8,39.3,3.1,OpenPlay
Pass,6,43,23683,14,Successful,39.3,3.1,44,6.5,OpenPlay
