Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,167,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24444,13,Successful,50.0,50.7,50.7,51.3,OpenPlay
Pass,0,2,13756,13,Successful,50.9,50.7,33.6,57.7,OpenPlay
Pass,0,4,30051,13,Unsuccessful,36.4,56.3,67.4,93.2,OpenPlay
Aerial,0,6,19471,167,Successful,29.3,7.8,,,OpenPlay
Aerial,0,6,13796,13,Unsuccessful,67.4,93.2,,,OpenPlay
Clearance,0,7,19471,167,Unsuccessful,26.0,8.8,25.9,0,OpenPlay
Pass,0,16,23072,13,Successful,72.1,100.0,90.2,96.8,OpenPlay
Pass,0,20,24444,13,Unsuccessful,95.7,98.0,95.7,96.2,OpenPlay
Clearance,0,22,75691,167,Successful,3.8,1.7,3.8,1.7,OpenPlay
Pass,0,38,23072,13,Successful,90.2,100.0,85.6,88.3,OpenPlay
Pass,0,39,13756,13,Successful,85.6,88.3,89.1,98.1,OpenPlay
Pass,0,40,23072,13,Successful,89.1,98.1,85.9,95.6,OpenPlay
Pass,0,42,13756,13,Unsuccessful,86.5,96.4,77.6,100,OpenPlay
OffsideGiven,1,,24444,13,Unsuccessful,85.8,23.6,,,OpenPlay
Pass,1,3,19471,167,Unsuccessful,23.1,0.0,43.4,7.9,OpenPlay
Pass,1,6,23072,13,Unsuccessful,56.8,91.2,68.5,77.3,OpenPlay
Pass,1,8,19119,167,Successful,26.9,24.6,35.9,22.2,OpenPlay
Pass,1,9,14053,167,Unsuccessful,35.9,22.2,43.3,15,OpenPlay
Pass,1,11,23072,13,Unsuccessful,59.4,84.7,70.9,86.6,OpenPlay
Pass,1,12,19471,167,Successful,26.3,18.0,59.8,39.5,OpenPlay
BallRecovery,1,15,14260,167,Successful,60.9,43.0,,,OpenPlay
BallTouch,1,18,14260,167,Unsuccessful,59.8,63.1,,,OpenPlay
BallRecovery,1,19,30051,13,Successful,40.4,34.0,,,OpenPlay
Foul,1,24,12267,167,Unsuccessful,54.8,65.2,,,OpenPlay
Foul,1,24,30051,13,Successful,45.2,34.8,,,OpenPlay
Pass,1,38,6321,13,Successful,43.2,33.2,69.9,5.4,OpenPlay
OffsideProvoked,1,44,19119,167,Successful,15.0,70.3,,,OpenPlay
OffsidePass,1,44,95977,13,Successful,80.0,12.0,85.8,23.6,OpenPlay
Pass,2,14,8786,167,Successful,19.6,64.0,57.9,1.4,OpenPlay
Pass,2,18,19471,167,Successful,57.9,1.4,62,1.4,OpenPlay
Pass,2,20,73084,167,Unsuccessful,62.0,1.4,66,4,OpenPlay
Pass,2,21,6321,13,Unsuccessful,34.5,96.8,45.5,96.5,OpenPlay
Pass,2,22,19471,167,Unsuccessful,54.7,6.5,63.3,13.1,OpenPlay
Interception,2,24,6321,13,Successful,39.6,88.1,,,OpenPlay
BallRecovery,2,25,13756,13,Successful,44.1,76.0,,,OpenPlay
Pass,2,26,13756,13,Successful,44.2,76.0,46.9,80.8,OpenPlay
Pass,2,27,13796,13,Successful,46.9,80.8,45.7,65.4,OpenPlay
Pass,2,28,13756,13,Successful,45.7,65.1,39.3,33.9,OpenPlay
Pass,2,33,125211,13,Successful,67.3,21.3,73.5,29.4,OpenPlay
Pass,2,34,13756,13,Successful,73.5,29.4,65.2,30,OpenPlay
Pass,2,37,26820,13,Successful,66.2,24.4,53.3,24,OpenPlay
