Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,16,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,141512,16,Successful,48.6,50.7,51.7,48.5,OpenPlay
Pass,0,3,33886,16,Successful,51.7,48.5,32,37.5,OpenPlay
Pass,0,5,3841,16,Unsuccessful,30.9,35.3,68.9,15,OpenPlay
Aerial,0,9,30051,13,Successful,29.5,82.7,,,OpenPlay
Aerial,0,9,80882,16,Unsuccessful,70.5,17.3,,,OpenPlay
Clearance,0,10,30051,13,Successful,26.6,78.8,33.3,87.1,OpenPlay
BallRecovery,0,11,26820,13,Successful,33.3,87.1,,,OpenPlay
Pass,0,12,26820,13,Successful,33.3,87.1,38.5,96.4,OpenPlay
Pass,0,14,84146,13,Successful,37.5,94.2,24.2,31.5,OpenPlay
Pass,0,18,125211,13,Successful,22.6,40.2,20.5,66.8,OpenPlay
Pass,0,21,30051,13,Successful,26.7,79.1,29.6,96.4,OpenPlay
Pass,0,23,23072,13,Successful,29.6,96.4,42.5,97.6,OpenPlay
Pass,0,25,84146,13,Unsuccessful,42.5,97.6,46.3,91.5,OpenPlay
Interception,0,26,71268,16,Successful,53.4,11.2,,,OpenPlay
Pass,0,27,84146,13,Successful,40.2,97.4,37,75.8,OpenPlay
Pass,0,30,26820,13,Successful,36.3,71.4,37.3,39.9,OpenPlay
Pass,0,32,6321,13,Successful,37.3,39.9,52.9,7.4,OpenPlay
Pass,0,38,95977,13,Unsuccessful,53.9,9.4,62.1,14.5,OpenPlay
BallRecovery,0,39,14805,16,Successful,37.9,85.1,,,OpenPlay
Pass,0,40,14805,16,Successful,32.2,79.9,40.4,86.1,OpenPlay
BallTouch,0,41,78221,16,Unsuccessful,40.4,86.1,,,OpenPlay
BallRecovery,0,42,95977,13,Successful,57.6,12.8,,,OpenPlay
Pass,0,43,95977,13,Successful,53.3,16.3,43.6,26.4,OpenPlay
Pass,0,44,6321,13,Successful,43.6,26.4,46.2,42.9,OpenPlay
Pass,0,45,26820,13,Successful,46.1,42.5,43.7,23.4,OpenPlay
Pass,0,47,6321,13,Successful,43.7,23.4,50.3,18.8,OpenPlay
Pass,0,49,13756,13,Successful,47.4,21.3,58.6,5.5,OpenPlay
Pass,0,53,125211,13,Successful,73.3,16.1,83.8,3.2,OpenPlay
Pass,0,55,95977,13,Successful,80.3,3.9,72.3,17.4,OpenPlay
Pass,0,57,13756,13,Successful,71.5,21.2,72.2,36.6,OpenPlay
Pass,0,59,26820,13,Successful,72.4,32.3,70.1,25.9,OpenPlay
Pass,1,1,13756,13,Successful,69.5,26.7,66,52.6,OpenPlay
Pass,1,3,6321,13,Successful,66.1,61.8,68.1,94.5,OpenPlay
Pass,1,6,23072,13,Successful,68.1,94.5,69.9,82.3,OpenPlay
TakeOn,1,18,84146,13,Unsuccessful,95.4,94.4,,,OpenPlay
Pass,1,44,43948,16,Unsuccessful,5.3,40.7,48.3,25.8,OpenPlay
Pass,1,47,84146,13,Unsuccessful,51.9,78.8,60.6,94.4,OpenPlay
Pass,1,49,126958,16,Unsuccessful,35.9,5.1,49.1,11,OpenPlay
Pass,1,51,6321,13,Successful,51.5,86.9,51.1,83.6,OpenPlay
Pass,1,52,26820,13,Successful,51.1,83.9,48.3,90.4,OpenPlay
BallRecovery,1,53,6321,13,Successful,48.3,90.4,,,OpenPlay
Pass,1,54,6321,13,Successful,47.2,86.8,44.2,96.6,OpenPlay
BallTouch,2,17,80882,16,Successful,46.5,23.7,,,OpenPlay
BallRecovery,2,19,6775,13,Successful,16.3,48.2,,,OpenPlay
Pass,2,20,6775,13,Successful,16.3,48.2,27.7,72.8,OpenPlay
Pass,2,22,30051,13,Successful,27.7,72.8,38.4,62.9,OpenPlay
Pass,2,23,26820,13,Successful,37.2,63.3,26.6,71.2,OpenPlay
Pass,2,26,30051,13,Successful,27.2,66.4,26.9,33.9,OpenPlay
Pass,2,28,6292,13,Successful,36.9,29.0,45.7,26.7,OpenPlay
Pass,2,31,13756,13,Successful,46.5,20.9,60.5,17.5,OpenPlay
Foul,2,33,78221,16,Unsuccessful,39.6,79.6,,,OpenPlay
Foul,2,33,95977,13,Successful,60.4,20.4,,,OpenPlay
Pass,2,43,13756,13,Successful,61.1,25.9,62.6,38.2,OpenPlay
Pass,2,44,6321,13,Successful,62.6,38.2,60.5,28.8,OpenPlay
Pass,2,46,13756,13,Successful,60.4,28.8,45.4,28.3,OpenPlay
Pass,2,47,6292,13,Successful,45.4,28.3,45.5,59.9,OpenPlay
Pass,2,49,30051,13,Successful,46.2,61.5,52.7,89.6,OpenPlay
Pass,2,53,23072,13,Successful,53.5,88.7,52.4,70.2,OpenPlay
Pass,2,58,26820,13,Successful,48.4,72.5,55.4,68.8,OpenPlay
Pass,3,2,13756,13,Successful,54.8,80.7,62.3,94.1,OpenPlay
Pass,3,3,26820,13,Successful,62.8,94.1,59,97.4,OpenPlay
Pass,3,4,23072,13,Successful,59.0,95.5,59.1,80.6,OpenPlay
Pass,3,6,13756,13,Successful,59.1,77.1,71.1,72.6,OpenPlay
Pass,3,8,26820,13,Successful,75.6,80.9,81.3,97.6,OpenPlay
Pass,3,11,84146,13,Unsuccessful,82.0,93.7,89.4,45.2,OpenPlay
Clearance,3,15,78221,16,Successful,9.6,64.1,34.1,58.2,OpenPlay
Dispossessed,3,18,9766,16,Successful,36.7,59.3,,,OpenPlay
Tackle,3,18,6321,13,Unsuccessful,63.3,40.7,,,OpenPlay
BallRecovery,3,21,141512,16,Successful,44.7,58.8,,,OpenPlay
Pass,3,22,141512,16,Successful,48.5,52.8,77.2,32.3,BigChanceCreated
SavedShot,3,24,80882,16,Successful,83.3,32.0,,,Assisted
Save,3,24,6775,13,Successful,6.5,51.3,,,OpenPlay
KeeperPickup,3,26,6775,13,Successful,6.5,51.3,,,OpenPlay
Pass,3,30,6775,13,Successful,9.0,49.0,13.2,10.9,OpenPlay
Pass,3,36,125211,13,Successful,25.4,16.6,34.3,39.8,OpenPlay
Pass,3,38,6321,13,Successful,34.3,39.8,34.1,50.6,OpenPlay
Pass,3,39,26820,13,Successful,31.6,50.2,9.4,59.1,OpenPlay
Pass,3,42,6775,13,Successful,9.5,59.1,21.7,76.6,OpenPlay
Pass,3,50,30051,13,Successful,34.0,59.1,30.3,31.5,OpenPlay
Pass,3,53,6292,13,Successful,32.4,29.4,43.2,28.2,OpenPlay
Pass,3,55,26820,13,Successful,42.5,28.5,31.4,58,OpenPlay
Pass,3,59,30051,13,Successful,42.0,64.7,54.9,98.2,OpenPlay
Pass,4,1,84146,13,Successful,55.9,97.4,58.1,86.6,OpenPlay
Pass,4,3,13756,13,Successful,58.4,90.3,58.4,98,OpenPlay
Pass,4,4,84146,13,Successful,58.4,98.2,49.4,97.4,OpenPlay
Pass,4,7,23072,13,Successful,51.6,93.3,35.5,76.4,OpenPlay
Pass,4,9,30051,13,Successful,36.4,76.6,42,68,OpenPlay
Pass,4,11,6321,13,Successful,42.0,68.0,34.3,37.7,OpenPlay
Pass,4,16,6292,13,Successful,58.4,15.9,72.4,2,OpenPlay
Pass,4,20,95977,13,Successful,72.6,14.4,67.2,30.2,OpenPlay
Pass,4,22,26820,13,Successful,65.5,36.4,62.9,59.3,OpenPlay
Pass,4,24,6321,13,Successful,62.9,59.3,71.9,70.1,OpenPlay
Pass,4,26,13756,13,Successful,74.3,72.5,72.8,98,OpenPlay
Pass,4,29,84146,13,Successful,72.8,98.0,76.9,80.1,OpenPlay
Pass,4,30,13756,13,Unsuccessful,79.1,82.3,74.5,95.5,OpenPlay
Clearance,4,32,80882,16,Successful,24.1,6.1,31.9,2.9,OpenPlay
Pass,4,33,23072,13,Successful,64.0,96.8,62,86,OpenPlay
Pass,4,35,6321,13,Successful,62.5,82.6,62.9,62.8,OpenPlay
Pass,4,38,26820,13,Successful,61.5,55.6,59.2,35.9,OpenPlay
Pass,4,40,6292,13,Successful,58.6,38.0,59.8,49.9,OpenPlay
Pass,4,42,26820,13,Successful,55.6,56.0,41.5,67.1,OpenPlay
Pass,4,44,30051,13,Successful,41.5,67.1,53.5,93.1,OpenPlay
Pass,4,49,23072,13,Successful,55.6,69.5,53.7,57.5,OpenPlay
Pass,4,51,26820,13,Successful,54.2,52.0,69.5,46.1,OpenPlay
Pass,4,52,24444,13,Successful,69.5,46.1,66.8,53.1,OpenPlay
Pass,4,53,13756,13,Unsuccessful,66.8,53.1,63.2,47.9,OpenPlay
Interception,4,55,16032,16,Successful,37.0,52.3,,,OpenPlay
BallRecovery,4,56,33886,16,Successful,38.0,36.3,,,OpenPlay
Pass,4,57,33886,16,Successful,36.8,35.9,34.4,28.3,OpenPlay
Pass,5,1,80882,16,Successful,34.1,27.2,12.6,37.7,OpenPlay
Pass,5,2,43948,16,Unsuccessful,12.0,37.9,61.9,44.2,OpenPlay
BallRecovery,5,4,6292,13,Successful,37.2,51.8,,,OpenPlay
Pass,5,5,6292,13,Successful,37.2,51.8,47.3,50.4,OpenPlay
Pass,5,6,26820,13,Successful,47.3,50.4,28,70.1,OpenPlay
Pass,5,8,30051,13,Successful,30.0,70.9,41,93.7,OpenPlay
Pass,5,11,23072,13,Successful,41.9,94.1,43.4,77.7,OpenPlay
Pass,5,13,6321,13,Successful,42.0,71.4,40.8,30.4,OpenPlay
Pass,5,16,6292,13,Successful,45.2,25.6,64.1,9.3,OpenPlay
Pass,5,20,95977,13,Successful,63.7,5.8,69.7,11.2,OpenPlay
Pass,5,21,26820,13,Successful,69.7,11.2,67.1,3.9,OpenPlay
Pass,5,22,125211,13,Successful,66.8,4.0,63.7,24.2,OpenPlay
Pass,5,25,13756,13,Successful,64.0,29.0,70.2,24,OpenPlay
Pass,5,27,26820,13,Successful,70.9,26.1,73.6,34.7,OpenPlay
Pass,5,28,95977,13,Unsuccessful,73.4,34.7,76.5,28.3,OpenPlay
Clearance,5,32,14805,16,Unsuccessful,24.0,61.7,56.4,100,OpenPlay
Pass,5,48,125211,13,Successful,35.0,0.0,29.2,17.6,OpenPlay
Pass,5,53,6292,13,Successful,34.9,44.3,41.6,90.3,OpenPlay
Pass,5,58,84146,13,Successful,77.4,95.0,81.8,98.2,OpenPlay
Pass,6,1,23072,13,Successful,77.2,93.3,68.7,78.2,OpenPlay
Pass,6,3,6321,13,Successful,68.7,78.0,71,72.1,OpenPlay
Pass,6,4,26820,13,Successful,71.0,72.1,68.7,81.2,OpenPlay
Pass,6,5,6321,13,Successful,68.7,81.2,73.5,97.4,OpenPlay
Pass,6,7,23072,13,Successful,73.2,96.3,63.3,94.4,OpenPlay
Pass,6,9,6321,13,Successful,63.2,94.5,71.2,88.5,OpenPlay
Pass,6,10,84146,13,Successful,71.2,88.5,65.7,78.2,OpenPlay
Challenge,6,12,16032,16,Unsuccessful,26.6,30.4,,,OpenPlay
TakeOn,6,12,26820,13,Successful,73.4,69.6,,,OpenPlay
MissedShots,6,14,26820,13,Successful,78.0,62.0,,,Assisted
Pass,6,54,43948,16,Successful,5.4,40.4,51.2,20.2,OpenPlay
ShieldBallOpp,6,55,30051,13,Successful,0.0,0.0,,,OpenPlay
BallTouch,6,57,33886,16,Successful,51.2,20.2,,,OpenPlay
Pass,7,22,6775,13,Successful,5.2,59.3,59.2,91.7,OpenPlay
Aerial,7,25,126958,16,Unsuccessful,39.4,6.9,,,OpenPlay
Aerial,7,25,84146,13,Successful,60.6,93.1,,,OpenPlay
Pass,7,26,84146,13,Unsuccessful,59.2,91.7,75.4,76.6,OpenPlay
Pass,7,27,71268,16,Successful,24.5,21.8,8.5,34.2,OpenPlay
KeeperPickup,7,34,43948,16,Successful,8.1,41.5,,,OpenPlay
