Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,30,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,0,12187,30,Successful,50.2,51.0,52.6,47.3,OpenPlay
Pass,0,1,83532,30,Successful,52.6,47.3,29.3,66,OpenPlay
Pass,0,4,21778,30,Unsuccessful,32.6,66.6,76.7,0,OpenPlay
Pass,0,23,23072,13,Successful,26.0,100.0,40.7,97.1,OpenPlay
Pass,0,25,24444,13,Unsuccessful,40.5,97.1,42.8,100,OpenPlay
Pass,0,39,69778,30,Successful,58.3,0.0,64.3,5.2,OpenPlay
Dispossessed,0,41,12187,30,Successful,64.7,2.4,,,OpenPlay
Tackle,0,41,69738,13,Successful,35.3,97.6,,,OpenPlay
Pass,0,47,69778,30,Successful,57.7,0.0,45.6,50.1,OpenPlay
Pass,0,52,131519,30,Successful,45.7,58.5,53.5,88.4,OpenPlay
Pass,0,54,24711,30,Successful,52.0,91.4,34.2,65.5,OpenPlay
Pass,1,0,21778,30,Successful,33.8,64.9,39.6,76.9,OpenPlay
Pass,1,2,131519,30,Successful,38.5,72.4,29.4,66.1,OpenPlay
Pass,1,6,21778,30,Successful,30.3,73.5,36.4,95.4,OpenPlay
Pass,1,9,24711,30,Unsuccessful,36.7,95.7,76.1,76.4,OpenPlay
Clearance,1,12,6292,13,Unsuccessful,20.6,23.9,35.9,0,OpenPlay
Pass,1,22,24711,30,Unsuccessful,60.9,100.0,76.7,96,OpenPlay
Pass,1,23,11367,13,Successful,22.2,4.0,19.4,10.1,OpenPlay
BallRecovery,1,24,6292,13,Successful,19.4,10.1,,,OpenPlay
Pass,1,25,6292,13,Successful,21.2,12.5,20.5,37.6,OpenPlay
Pass,1,27,30051,13,Successful,20.5,37.6,31.3,74.1,OpenPlay
Pass,1,32,25244,13,Unsuccessful,37.4,67.0,87.4,30.6,OpenPlay
KeeperPickup,1,36,25604,30,Successful,11.6,63.9,,,OpenPlay
Pass,1,40,25604,30,Successful,13.5,66.1,25.3,23.3,OpenPlay
Pass,1,48,69933,30,Successful,32.4,24.3,51.8,9.1,OpenPlay
Pass,1,50,12187,30,Successful,47.4,8.6,37.7,4.4,OpenPlay
Pass,1,51,69778,30,Successful,37.7,5.0,29.9,18,OpenPlay
Pass,1,55,69933,30,Successful,29.5,24.9,15.2,48.1,OpenPlay
Pass,1,59,25604,30,Successful,15.1,50.4,19.7,69.9,OpenPlay
Pass,2,1,21778,30,Successful,19.8,70.8,9.4,50.1,OpenPlay
Pass,2,6,25604,30,Successful,13.6,50.7,40,6.7,OpenPlay
BallTouch,2,9,69778,30,Unsuccessful,40.4,5.2,,,OpenPlay
Pass,2,21,23072,13,Successful,50.4,100.0,54.6,95.6,OpenPlay
Pass,2,23,13756,13,Successful,54.6,95.6,51.8,99,OpenPlay
Pass,2,24,23072,13,Successful,51.8,99.0,56.2,98,OpenPlay
Pass,2,25,13756,13,Successful,56.2,98.0,51.2,92.1,OpenPlay
Pass,2,26,25244,13,Successful,49.5,92.1,44.1,98.3,OpenPlay
Pass,2,28,23072,13,Successful,43.1,92.4,39.4,67.6,OpenPlay
Pass,2,30,69738,13,Successful,39.3,65.5,45.8,54.2,OpenPlay
Pass,2,33,4522,13,Successful,52.3,56.3,82.7,85.7,OpenPlay
Pass,2,37,13756,13,Successful,82.7,85.7,79.1,73.6,OpenPlay
BallTouch,2,40,25244,13,Unsuccessful,78.6,64.6,,,OpenPlay
BallRecovery,2,42,69344,30,Successful,26.1,59.9,,,OpenPlay
Pass,2,43,69344,30,Successful,26.4,59.9,38.3,63.9,OpenPlay
TakeOn,2,45,131519,30,Unsuccessful,39.9,62.0,,,OpenPlay
Tackle,2,45,69738,13,Successful,60.1,38.0,,,OpenPlay
BallRecovery,2,46,11367,13,Successful,58.6,37.3,,,OpenPlay
Pass,2,47,11367,13,Successful,58.6,37.3,75.1,4.6,OpenPlay
TakeOn,2,53,95977,13,Unsuccessful,85.1,10.8,,,OpenPlay
Tackle,2,53,69344,30,Unsuccessful,14.9,89.2,,,OpenPlay
Pass,2,57,95977,13,Successful,92.5,4.6,81.5,11.9,OpenPlay
Pass,3,0,69738,13,Successful,81.3,12.3,75.2,25.9,OpenPlay
Dispossessed,3,3,4522,13,Successful,73.9,21.4,,,OpenPlay
Tackle,3,3,131519,30,Successful,26.1,78.6,,,OpenPlay
BallRecovery,3,4,12187,30,Successful,32.9,73.5,,,OpenPlay
Pass,3,8,12187,30,Successful,53.4,48.7,64.2,11.9,OpenPlay
Pass,3,15,69778,30,Successful,85.4,28.2,81.5,47,OpenPlay
Pass,3,17,12187,30,Successful,82.1,48.5,82.1,53.7,OpenPlay
Dispossessed,3,20,69344,30,Successful,80.6,52.4,,,OpenPlay
Tackle,3,20,4522,13,Successful,19.4,47.6,,,OpenPlay
BallRecovery,3,21,4522,13,Successful,25.7,48.4,,,OpenPlay
Pass,3,25,4522,13,Successful,53.4,48.8,80.4,78.2,OpenPlay
Pass,3,30,25244,13,Successful,85.4,72.3,80.6,54,OpenPlay
Pass,3,32,24444,13,Unsuccessful,80.6,54.0,74.8,51.9,OpenPlay
Pass,3,34,131519,30,Successful,24.5,49.6,31.2,17.3,OpenPlay
Interception,3,34,131519,30,Successful,24.5,49.6,,,OpenPlay
BallRecovery,3,36,75830,30,Successful,32.1,23.4,,,OpenPlay
Pass,3,41,75830,30,Successful,42.2,45.4,46.9,33.9,OpenPlay
Pass,3,45,12187,30,Successful,55.0,28.3,58.6,44.9,OpenPlay
Challenge,3,51,30051,13,Unsuccessful,24.2,44.7,,,OpenPlay
TakeOn,3,51,75830,30,Successful,75.8,55.3,,,OpenPlay
Pass,3,52,75830,30,Unsuccessful,80.1,55.5,86.5,47.6,OpenPlay
Interception,3,54,23072,13,Successful,12.8,53.1,,,OpenPlay
BallRecovery,3,55,30051,13,Successful,19.0,53.3,,,OpenPlay
Pass,3,58,30051,13,Successful,23.8,74.4,58.7,86.3,OpenPlay
Pass,4,1,25244,13,Unsuccessful,59.2,82.9,59.9,80.3,OpenPlay
BlockedPass,4,3,69933,30,Successful,40.0,17.6,,,OpenPlay
Pass,4,8,23072,13,Successful,21.4,73.3,23.1,53.7,OpenPlay
Pass,4,9,6292,13,Successful,23.6,53.7,23.6,67.2,OpenPlay
Pass,4,11,23072,13,Successful,23.6,67.2,28.1,65.7,OpenPlay
Pass,4,12,30051,13,Successful,28.1,65.7,23.9,68.8,OpenPlay
Pass,4,13,23072,13,Successful,23.9,68.8,22.3,45.5,OpenPlay
Pass,4,17,6292,13,Successful,25.5,38.3,31,34.9,OpenPlay
Pass,4,19,4522,13,Successful,30.1,30.6,30.4,6.5,OpenPlay
Pass,4,21,11367,13,Successful,30.1,6.5,18.5,24.9,OpenPlay
Pass,4,25,6292,13,Successful,9.0,24.4,7.6,64.8,OpenPlay
Pass,4,31,6775,13,Successful,12.1,69.9,59.5,75.3,OpenPlay
Aerial,4,35,117973,30,Unsuccessful,39.9,26.4,,,OpenPlay
Aerial,4,35,24444,13,Successful,60.1,73.6,,,OpenPlay
Pass,4,35,24444,13,Unsuccessful,59.5,75.3,69.9,100,OpenPlay
Pass,4,49,69778,30,Successful,35.7,0.0,44.9,32.7,OpenPlay
Pass,4,52,12187,30,Successful,44.4,32.8,37.6,23,OpenPlay
Pass,4,54,117973,30,Successful,34.1,23.4,32.9,4.3,OpenPlay
Pass,4,57,69778,30,Unsuccessful,33.4,4.3,57.7,13.4,OpenPlay
Pass,4,58,30051,13,Unsuccessful,42.8,79.0,77,42.2,OpenPlay
Pass,5,2,21778,30,Successful,24.2,63.3,27.7,89.6,OpenPlay
Pass,5,5,24711,30,Successful,28.0,90.0,34.6,75.6,OpenPlay
Pass,5,6,131519,30,Successful,34.8,74.5,23,72.9,OpenPlay
Pass,5,12,21778,30,Unsuccessful,30.1,71.4,81,58.7,OpenPlay
KeeperPickup,5,22,6775,13,Successful,13.5,50.1,,,OpenPlay
Pass,5,26,6775,13,Successful,13.5,50.1,24.2,15,OpenPlay
Pass,5,30,6292,13,Successful,31.7,13.1,45.6,3.7,OpenPlay
Pass,5,31,11367,13,Successful,45.6,3.7,65.9,25.9,OpenPlay
