Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,24,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24444,13,Successful,50.0,49.7,50.9,49.3,OpenPlay
Pass,0,2,13756,13,Successful,51.0,50.3,39.6,50.5,OpenPlay
Pass,0,4,26820,13,Successful,39.2,55.7,37.3,83.1,OpenPlay
Pass,0,6,23072,13,Successful,34.5,73.8,26.5,60.2,OpenPlay
Pass,0,8,30051,13,Successful,31.5,58.1,78,95.1,OpenPlay
Pass,0,13,13796,13,Unsuccessful,76.4,76.9,100,72.6,OpenPlay
Pass,0,41,28746,24,Successful,5.1,40.1,58.6,6.5,OpenPlay
Pass,0,45,33403,24,Unsuccessful,58.6,6.5,71.3,3.1,OpenPlay
Pass,0,46,23072,13,Unsuccessful,27.5,95.7,35.9,82.6,OpenPlay
Pass,0,48,6321,13,Successful,31.2,78.7,33.7,95.1,OpenPlay
Pass,0,48,33403,24,Unsuccessful,57.8,9.7,62.4,14,OpenPlay
Pass,0,49,13796,13,Unsuccessful,33.7,95.1,35.7,95.1,OpenPlay
BlockedPass,0,51,6434,24,Successful,56.5,2.8,,,OpenPlay
Pass,0,53,33403,24,Successful,76.7,4.1,81.2,15.8,OpenPlay
TakeOn,0,55,12779,24,Unsuccessful,81.6,18.8,,,OpenPlay
Tackle,0,55,30051,13,Unsuccessful,18.4,81.2,,,OpenPlay
Pass,0,57,33403,24,Unsuccessful,85.7,17.0,92.3,51,OpenPlay
Clearance,0,58,6292,13,Successful,9.3,53.4,18.7,4.1,OpenPlay
BallRecovery,1,2,125211,13,Successful,18.7,4.1,,,OpenPlay
Pass,1,3,125211,13,Unsuccessful,23.9,2.2,32.4,20.3,OpenPlay
BallRecovery,1,5,80464,24,Successful,68.4,81.1,,,OpenPlay
Pass,1,6,80464,24,Successful,68.4,81.1,73.5,96.6,OpenPlay
Pass,1,9,67491,24,Successful,68.7,95.6,61.4,97.1,OpenPlay
Pass,1,10,80464,24,Successful,61.4,97.1,55.5,97.5,OpenPlay
Pass,1,12,79967,24,Successful,54.0,97.5,32.6,62.4,OpenPlay
Pass,1,16,8137,24,Successful,31.4,56.3,30.6,21.8,OpenPlay
Pass,1,19,99901,24,Successful,32.1,32.5,32.4,58.8,OpenPlay
Pass,1,21,8137,24,Successful,32.4,59.6,38.3,75.6,OpenPlay
Pass,1,26,80464,24,Successful,42.5,73.3,48.8,67.6,OpenPlay
Pass,1,28,101017,24,Successful,43.6,66.3,37,46.7,OpenPlay
Pass,1,31,26720,24,Successful,39.3,35.4,45.6,9.1,OpenPlay
Pass,1,33,6434,24,Successful,44.7,12.5,37.7,26.5,OpenPlay
Pass,1,36,26720,24,Successful,36.9,27.9,40.4,41.5,OpenPlay
Pass,1,37,80464,24,Successful,39.5,41.2,32.5,32.7,OpenPlay
Pass,1,42,26720,24,Successful,32.8,42.7,45.5,3.1,OpenPlay
Pass,1,44,6434,24,Successful,45.5,3.1,28.7,5.5,OpenPlay
Pass,1,47,99901,24,Successful,28.7,5.5,7.6,34,OpenPlay
Pass,1,58,28746,24,Successful,15.0,52.2,61.8,54.8,OpenPlay
Pass,2,2,33403,24,Successful,61.8,54.8,66,54.8,OpenPlay
