Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,183,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24444,13,Successful,50.0,50.5,50.6,51.5,OpenPlay
Pass,0,2,13756,13,Successful,48.7,51.5,25.6,47,OpenPlay
Pass,0,4,76810,13,Successful,24.9,50.7,29.9,86.8,OpenPlay
Pass,0,8,30051,13,Unsuccessful,35.8,89.9,68.3,88.1,OpenPlay
Pass,0,10,9298,183,Unsuccessful,32.9,7.1,59.5,10,OpenPlay
Pass,0,13,30051,13,Unsuccessful,41.5,66.3,66.1,57.6,OpenPlay
BallRecovery,0,15,68662,183,Successful,33.6,46.0,,,OpenPlay
Pass,0,17,68662,183,Successful,39.9,56.7,33,79.6,OpenPlay
Pass,0,19,24827,183,Successful,33.2,79.1,9.6,60.3,OpenPlay
Pass,0,24,14111,183,Unsuccessful,10.4,62.0,63.9,63.9,OpenPlay
BallRecovery,0,28,76810,13,Successful,33.8,37.4,,,OpenPlay
Pass,0,30,76810,13,Successful,32.2,29.2,44,33.7,OpenPlay
Pass,0,31,6321,13,Successful,44.0,33.7,29.1,60.3,OpenPlay
Pass,0,33,30051,13,Successful,29.1,60.3,64.9,79.7,OpenPlay
Aerial,0,36,69877,183,Unsuccessful,35.7,15.2,,,OpenPlay
Aerial,0,36,25244,13,Successful,64.3,84.8,,,OpenPlay
Pass,0,37,25244,13,Unsuccessful,64.9,79.7,72.7,78.1,OpenPlay
BallRecovery,0,37,9298,183,Successful,30.4,16.5,,,OpenPlay
Pass,0,40,9298,183,Successful,31.4,15.2,65.9,2.3,OpenPlay
BallTouch,0,44,13846,183,Unsuccessful,66.4,2.2,,,OpenPlay
Pass,0,56,23072,13,Unsuccessful,35.1,100.0,44.6,93.8,OpenPlay
Pass,0,59,13447,183,Unsuccessful,53.6,2.8,52,1,OpenPlay
Pass,1,0,24444,13,Unsuccessful,47.2,96.9,44.5,83.2,OpenPlay
Pass,1,2,68648,183,Unsuccessful,53.0,7.1,46.3,6.9,OpenPlay
BallTouch,1,4,25244,13,Unsuccessful,55.1,77.3,,,OpenPlay
BallRecovery,1,6,68648,183,Successful,46.1,26.7,,,OpenPlay
Pass,1,6,68648,183,Successful,45.9,30.4,30.8,74.7,OpenPlay
Pass,1,10,24827,183,Successful,29.4,77.3,43.7,96,OpenPlay
Pass,1,13,14000,183,Unsuccessful,43.3,97.1,66.1,96.3,OpenPlay
Pass,1,15,6321,13,Unsuccessful,31.5,2.3,36.9,0,OpenPlay
Pass,1,22,67807,183,Successful,62.5,100.0,39.2,89.3,OpenPlay
Pass,1,23,24827,183,Successful,39.2,89.3,29.2,70.3,OpenPlay
Pass,1,29,68662,183,Successful,30.9,59.7,65.2,1.4,OpenPlay
Pass,1,31,68648,183,Successful,65.2,1.4,77.4,16.5,OpenPlay
Pass,1,35,69877,183,Unsuccessful,90.9,19.4,100,37.3,OpenPlay
Pass,2,5,6775,13,Successful,5.1,58.5,63.8,80.6,OpenPlay
Pass,2,9,24444,13,Unsuccessful,63.8,80.6,68.8,70.5,OpenPlay
Pass,2,12,13447,183,Unsuccessful,35.1,20.9,46.8,31.3,OpenPlay
Pass,2,13,6321,13,Unsuccessful,56.4,67.9,65.2,67.8,OpenPlay
Interception,2,15,13447,183,Successful,39.0,32.5,,,OpenPlay
Dispossessed,2,16,67807,183,Successful,44.2,33.9,,,OpenPlay
Tackle,2,16,6321,13,Successful,55.8,66.1,,,OpenPlay
Pass,2,16,24444,13,Successful,65.4,70.9,63,72.9,OpenPlay
Pass,2,17,26820,13,Successful,62.7,73.0,67,70.9,OpenPlay
Pass,2,19,24444,13,Successful,68.3,75.6,70.6,81.2,OpenPlay
Dispossessed,2,21,25244,13,Successful,71.4,84.2,,,OpenPlay
Tackle,2,21,68648,183,Successful,28.6,15.8,,,OpenPlay
BallRecovery,2,23,68648,183,Successful,25.5,2.1,,,OpenPlay
Pass,2,24,68648,183,Successful,23.5,1.7,12.9,18.3,OpenPlay
Pass,2,27,9298,183,Successful,14.2,12.9,47.3,1.6,OpenPlay
BallTouch,2,29,93647,183,Unsuccessful,47.3,1.6,,,OpenPlay
Pass,2,34,23072,13,Successful,56.9,100.0,64.7,69.1,OpenPlay
Pass,2,38,13756,13,Successful,64.9,79.6,70.6,82,OpenPlay
Pass,2,40,25244,13,Successful,70.6,82.0,60.1,86.8,OpenPlay
Pass,2,46,26820,13,Successful,54.9,95.7,42.3,52.2,OpenPlay
BallTouch,2,47,76810,13,Unsuccessful,37.4,46.4,,,OpenPlay
BallRecovery,2,48,67807,183,Successful,53.3,48.5,,,OpenPlay
Pass,2,50,67807,183,Unsuccessful,54.2,47.9,68.4,54.9,OpenPlay
Interception,2,51,6321,13,Successful,32.8,46.9,,,OpenPlay
BallTouch,2,52,14000,183,Successful,67.2,53.1,,,OpenPlay
BallRecovery,2,55,6775,13,Successful,11.8,25.2,,,OpenPlay
Pass,2,57,6775,13,Unsuccessful,24.6,4.4,58.7,0,OpenPlay
Pass,3,20,24827,183,Successful,37.8,100.0,35.6,67.2,OpenPlay
Pass,3,23,9298,183,Successful,35.4,52.5,56.5,3.2,OpenPlay
Pass,3,24,68648,183,Successful,56.9,3.2,64.1,8.5,OpenPlay
Dispossessed,3,25,93647,183,Successful,63.7,12.3,,,OpenPlay
Tackle,3,25,26820,13,Successful,36.3,87.7,,,OpenPlay
BallRecovery,3,26,30051,13,Successful,33.0,80.3,,,OpenPlay
Pass,3,27,30051,13,Successful,35.9,71.9,37.2,69.5,OpenPlay
Pass,3,29,26820,13,Successful,39.0,66.0,46,52,OpenPlay
Pass,3,31,84146,13,Unsuccessful,57.4,51.3,80,46.1,OpenPlay
Interception,3,34,68662,183,Successful,19.7,59.3,,,OpenPlay
BallRecovery,3,37,9298,183,Successful,2.7,18.2,,,OpenPlay
Pass,3,40,9298,183,Unsuccessful,6.3,3.8,42.9,14.4,OpenPlay
Interception,3,41,84146,13,Successful,62.4,83.5,,,OpenPlay
BallTouch,3,42,26820,13,Unsuccessful,63.7,95.4,,,OpenPlay
Interception,3,44,68648,183,Successful,40.8,2.2,,,OpenPlay
Pass,3,46,25244,13,Unsuccessful,68.6,98.0,67.6,97.8,OpenPlay
BlockedPass,3,47,69877,183,Successful,37.0,2.0,,,OpenPlay
Aerial,3,49,26820,13,Successful,63.7,86.1,,,OpenPlay
Aerial,3,49,13846,183,Unsuccessful,36.3,13.9,,,OpenPlay
BallRecovery,3,50,26820,13,Successful,64.3,76.9,,,OpenPlay
Pass,3,51,26820,13,Successful,60.5,78.8,63.6,96.6,OpenPlay
Pass,3,53,23072,13,Successful,62.5,96.5,56.4,85.6,OpenPlay
Foul,3,55,13846,183,Unsuccessful,43.2,12.1,,,OpenPlay
Foul,3,55,26820,13,Successful,56.8,87.9,,,OpenPlay
Pass,4,21,26820,13,Successful,58.8,89.6,66.2,96.5,OpenPlay
Pass,4,22,25244,13,Successful,71.2,89.6,56.7,98.1,OpenPlay
Pass,4,22,26820,13,Successful,59.4,97.1,65.8,86.9,OpenPlay
Pass,4,24,13756,13,Successful,69.8,83.2,77.8,76.6,OpenPlay
Pass,4,26,24444,13,Unsuccessful,77.9,77.5,80,89.7,OpenPlay
BlockedPass,4,27,68648,183,Successful,19.5,5.4,,,OpenPlay
Pass,4,37,23072,13,Successful,79.3,100.0,79.6,88.3,OpenPlay
Pass,4,39,24444,13,Successful,79.6,88.3,79.1,98.1,OpenPlay
Pass,4,40,23072,13,Successful,79.1,97.5,75,90.6,OpenPlay
Pass,4,44,13756,13,Successful,77.5,94.4,81.2,89.7,OpenPlay
Pass,4,46,25244,13,Successful,81.2,89.7,87.4,86.3,OpenPlay
Pass,4,47,13756,13,Successful,87.3,86.3,83.6,75.6,OpenPlay
Pass,4,48,26820,13,Unsuccessful,85.3,71.1,90.3,40.4,OpenPlay
BallRecovery,4,50,24827,183,Successful,10.3,66.3,,,OpenPlay
