Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,14,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,26222,14,Successful,50.2,49.1,50.9,51.8,OpenPlay
Pass,0,2,114075,14,Successful,49.8,52.6,45.7,47.4,OpenPlay
Pass,0,3,75138,14,Unsuccessful,45.7,47.4,74.4,79.9,OpenPlay
Clearance,0,6,6292,13,Successful,25.7,18.6,41.5,10.4,OpenPlay
Pass,0,8,114075,14,Successful,61.0,80.1,60.8,88.3,OpenPlay
TakeOn,0,9,91822,14,Unsuccessful,60.4,88.5,,,OpenPlay
Tackle,0,9,26820,13,Unsuccessful,39.6,11.5,,,OpenPlay
Pass,0,11,114075,14,Unsuccessful,60.1,89.9,72,92.8,OpenPlay
Interception,0,12,125211,13,Successful,29.1,3.6,,,OpenPlay
Interception,0,13,91822,14,Successful,59.4,92.8,,,OpenPlay
Pass,0,20,125211,13,Successful,39.2,0.0,25.4,13.9,OpenPlay
Pass,0,23,6292,13,Successful,30.0,29.0,28.6,61.5,OpenPlay
Pass,0,28,30051,13,Successful,31.9,53.6,35.4,32.6,OpenPlay
Pass,0,31,6292,13,Successful,35.7,29.1,45.4,2.4,OpenPlay
Pass,0,33,125211,13,Successful,45.2,2.3,32.8,31.8,OpenPlay
Pass,0,36,6292,13,Successful,32.8,31.8,33.2,60.9,OpenPlay
Pass,0,41,30051,13,Successful,45.1,59.9,73.9,98.2,OpenPlay
Challenge,0,45,104749,14,Unsuccessful,25.4,11.9,,,OpenPlay
TakeOn,0,45,25244,13,Successful,74.6,88.1,,,OpenPlay
Pass,0,48,25244,13,Successful,70.5,82.9,64.9,88.5,OpenPlay
Pass,0,50,4522,13,Successful,64.9,88.5,66.3,97.1,OpenPlay
Pass,0,51,23072,13,Successful,66.3,97.1,53,78,OpenPlay
Pass,0,57,4522,13,Successful,53.1,63.3,45.7,41,OpenPlay
Pass,1,0,6292,13,Successful,46.2,41.7,40.5,64.4,OpenPlay
Pass,1,3,30051,13,Successful,43.4,61.2,44,34.7,OpenPlay
Pass,1,5,6292,13,Successful,44.5,29.4,55,3.2,OpenPlay
Pass,1,7,125211,13,Successful,56.1,3.7,65,4.2,OpenPlay
Pass,1,8,26820,13,Successful,65.0,4.2,61.4,12.3,OpenPlay
Dispossessed,1,10,125211,13,Successful,65.7,17.8,,,OpenPlay
Tackle,1,10,114075,14,Unsuccessful,34.3,82.2,,,OpenPlay
BallTouch,1,11,26820,13,Unsuccessful,66.0,2.9,,,OpenPlay
Pass,1,35,91822,14,Unsuccessful,21.9,100.0,38.4,100,OpenPlay
Pass,1,38,125211,13,Successful,54.0,0.0,53.6,19.6,OpenPlay
Pass,1,40,4522,13,Successful,54.2,17.1,62.2,3.7,OpenPlay
Dispossessed,1,42,26820,13,Successful,65.0,3.6,,,OpenPlay
Tackle,1,42,91822,14,Unsuccessful,35.0,96.4,,,OpenPlay
Pass,1,45,125211,13,Successful,45.4,2.8,36.3,5.6,OpenPlay
Pass,1,48,6292,13,Successful,36.0,14.8,34.1,58.3,OpenPlay
Pass,1,51,30051,13,Successful,42.9,64.5,54.8,95.5,OpenPlay
Pass,1,55,23072,13,Unsuccessful,56.6,95.2,100,90.5,OpenPlay
OffsideGiven,2,,13796,13,Unsuccessful,66.5,70.9,,,OpenPlay
Pass,2,24,19545,14,Successful,4.5,42.3,65,33.9,OpenPlay
Pass,2,29,26222,14,Successful,65.0,33.9,56.4,27.4,OpenPlay
Pass,2,31,114075,14,Successful,56.4,27.4,61.9,6.7,OpenPlay
TakeOn,2,35,104749,14,Successful,62.4,6.0,,,OpenPlay
Challenge,2,35,23072,13,Unsuccessful,37.6,94.0,,,OpenPlay
BallTouch,2,37,104749,14,Unsuccessful,64.0,4.7,,,OpenPlay
BallRecovery,2,38,4522,13,Successful,35.9,98.0,,,OpenPlay
Pass,2,38,4522,13,Successful,36.1,98.2,42.5,85.3,OpenPlay
Pass,2,39,13756,13,Successful,42.5,85.3,43,95.2,OpenPlay
Pass,2,41,25244,13,Successful,46.8,96.8,52.7,97.6,OpenPlay
OffsideProvoked,2,44,8157,14,Successful,29.9,48.2,,,OpenPlay
OffsidePass,2,44,4522,13,Successful,51.4,78.1,66.5,70.9,OpenPlay
Pass,3,12,19545,14,Unsuccessful,31.4,45.8,54.6,100,OpenPlay
Pass,3,21,26820,13,Successful,46.1,0.0,31.2,4.8,OpenPlay
Pass,3,24,6292,13,Successful,30.5,19.6,29.3,58.3,OpenPlay
Pass,3,30,30051,13,Successful,36.7,57.1,38.1,29.3,OpenPlay
Pass,3,33,13756,13,Successful,36.5,37.1,36.3,67.9,OpenPlay
Pass,3,39,30051,13,Successful,40.1,60.9,47,21.8,OpenPlay
Pass,3,41,13756,13,Successful,47.0,21.8,60.6,2,OpenPlay
TakeOn,3,46,125211,13,Unsuccessful,70.9,2.3,,,OpenPlay
Interception,3,49,8157,14,Successful,17.4,87.7,,,OpenPlay
Foul,3,50,8157,14,Successful,16.9,90.9,,,OpenPlay
Foul,3,50,125211,13,Unsuccessful,83.1,9.1,,,OpenPlay
Pass,4,28,19545,14,Successful,17.2,93.6,72.2,8.6,OpenPlay
Pass,4,33,104749,14,Successful,74.9,9.7,95.7,23.9,OpenPlay
Pass,4,35,75138,14,Unsuccessful,96.7,21.7,95.2,39.6,OpenPlay
Clearance,4,36,6321,13,Unsuccessful,4.5,60.9,0,67.4,OpenPlay
CornerAwarded,4,38,75138,14,Successful,98.1,36.7,,,OpenPlay
CornerAwarded,4,38,6321,13,Unsuccessful,4.6,59.2,,,OpenPlay
Pass,5,4,42147,14,Unsuccessful,99.5,0.5,88.5,43.9,OpenPlay
Clearance,5,6,26820,13,Successful,7.6,59.6,21,56,OpenPlay
Clearance,5,7,13756,13,Successful,21.0,56.0,39.8,66.9,OpenPlay
Pass,5,10,114075,14,Successful,59.2,28.3,42.2,42.3,OpenPlay
Pass,5,13,91822,14,Successful,42.2,42.3,18.8,50.2,OpenPlay
Pass,5,19,19545,14,Unsuccessful,23.7,42.9,100,30.4,OpenPlay
Pass,5,38,6775,13,Successful,3.8,60.4,15.1,20.1,OpenPlay
Pass,5,42,6292,13,Successful,27.0,23.2,8.7,51.7,OpenPlay
Pass,5,46,6775,13,Successful,9.6,50.9,23.6,19.8,OpenPlay
Pass,5,50,6292,13,Successful,27.2,25.8,24.9,61.8,OpenPlay
Pass,5,57,30051,13,Successful,35.8,59.0,36.2,27.2,OpenPlay
Pass,6,0,6292,13,Successful,39.1,25.2,64.1,1.8,OpenPlay
Pass,6,3,125211,13,Unsuccessful,69.1,2.8,71.2,33.2,OpenPlay
BallRecovery,6,6,114075,14,Successful,29.8,66.9,,,OpenPlay
BallTouch,6,9,114075,14,Unsuccessful,34.8,63.4,,,OpenPlay
BallRecovery,6,10,4522,13,Successful,57.4,48.3,,,OpenPlay
Pass,6,10,4522,13,Successful,57.4,48.3,66.7,52.5,OpenPlay
Pass,6,12,13756,13,Successful,74.0,59.8,98.5,82.6,OpenPlay
Pass,6,17,25244,13,Successful,97.2,72.5,91.6,58.5,OpenPlay
SavedShot,6,19,26820,13,Successful,91.0,57.9,,,OpenPlay
Save,6,19,4145,14,Successful,10.5,39.3,,,OpenPlay
SavedShot,6,20,4522,13,Successful,86.2,45.4,,,OpenPlay
Save,6,20,31856,14,Successful,1.8,48.7,,,OpenPlay
Aerial,6,24,42147,14,Unsuccessful,29.8,91.4,,,OpenPlay
Aerial,6,24,125211,13,Successful,69.7,10.2,,,OpenPlay
Pass,6,25,125211,13,Successful,69.2,11.7,70.7,27.2,OpenPlay
Pass,6,26,4522,13,Unsuccessful,75.1,27.7,73.9,47.8,OpenPlay
BallRecovery,6,28,114075,14,Successful,32.0,55.8,,,OpenPlay
Pass,6,28,114075,14,Successful,32.0,56.1,39.9,75.2,OpenPlay
Pass,6,31,75138,14,Successful,39.9,75.0,46.4,95.5,OpenPlay
Pass,6,34,42147,14,Unsuccessful,46.2,93.7,65.7,55.8,OpenPlay
BallRecovery,6,35,30051,13,Successful,37.1,47.1,,,OpenPlay
Pass,6,40,30051,13,Successful,47.6,39.3,57,61,OpenPlay
Challenge,6,45,114075,14,Unsuccessful,29.2,35.4,,,OpenPlay
TakeOn,6,45,25244,13,Successful,70.8,64.6,,,OpenPlay
Pass,6,47,25244,13,Successful,80.2,69.5,84.3,57.4,OpenPlay
Pass,6,49,26820,13,Unsuccessful,84.4,58.3,85.7,58.8,OpenPlay
BlockedPass,6,52,31856,14,Successful,12.8,34.8,,,OpenPlay
Clearance,6,53,4145,14,Successful,13.4,28.6,65.8,9.3,OpenPlay
Pass,6,58,30051,13,Successful,40.9,88.2,57.8,96.3,OpenPlay
Pass,7,0,23072,13,Successful,59.9,96.1,60.8,82.3,OpenPlay
Pass,7,5,26820,13,Successful,52.9,83.6,45.2,57.7,OpenPlay
Pass,7,8,6321,13,Successful,45.2,57.7,55.8,26.7,OpenPlay
Pass,7,12,4522,13,Successful,61.4,21.7,67.9,3.1,OpenPlay
Pass,7,14,125211,13,Successful,66.3,4.8,44.6,17.4,OpenPlay
