Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,32,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,13756,13,Successful,50.0,48.9,50.7,49.5,OpenPlay
Pass,0,2,25244,13,Successful,51.1,50.3,40.2,40.1,OpenPlay
Pass,0,4,69738,13,Successful,40.2,40.1,36.2,48.7,OpenPlay
Pass,0,6,26820,13,Successful,36.2,48.7,28.3,30.9,OpenPlay
Pass,0,8,76810,13,Successful,37.0,12.3,39.6,1.9,OpenPlay
Pass,0,9,125211,13,Successful,39.6,1.9,61.8,1.9,OpenPlay
Pass,0,11,39308,13,Unsuccessful,62.0,1.9,69.2,5.9,OpenPlay
Pass,0,13,70033,32,Successful,28.9,93.6,40.7,95,OpenPlay
BallRecovery,0,15,29544,32,Successful,40.2,95.0,,,OpenPlay
Pass,0,15,29544,32,Unsuccessful,40.2,95.0,47.3,90,OpenPlay
Aerial,0,17,300299,32,Unsuccessful,47.8,87.6,,,OpenPlay
Aerial,0,17,76810,13,Successful,52.2,12.4,,,OpenPlay
Pass,0,17,76810,13,Successful,51.8,14.9,79.6,15.2,OpenPlay
BallRecovery,0,19,13796,13,Successful,82.2,14.7,,,OpenPlay
Pass,0,21,13796,13,Unsuccessful,85.7,19.4,84.4,42.1,OpenPlay
BallTouch,0,22,71174,32,Unsuccessful,14.0,61.4,,,OpenPlay
MissedShots,0,23,39308,13,Successful,84.5,41.0,,,OpenPlay
KeeperPickup,0,25,79554,32,Successful,2.4,56.3,,,OpenPlay
Pass,0,42,79554,32,Successful,10.5,41.6,54.9,81.4,OpenPlay
Pass,0,46,110154,32,Successful,54.3,81.8,43.9,94.8,OpenPlay
Pass,0,48,70050,32,Successful,43.9,94.8,43.2,84.4,OpenPlay
Pass,0,49,29544,32,Successful,43.0,85.4,41.5,96.3,OpenPlay
Pass,0,50,70050,32,Successful,41.5,96.3,30.4,94.2,OpenPlay
Pass,0,54,70033,32,Successful,29.3,77.2,23.9,49.6,OpenPlay
Pass,0,57,2115,32,Successful,24.6,47.3,27.8,3.4,OpenPlay
Pass,1,2,145385,32,Successful,23.9,3.8,37.6,29.2,OpenPlay
Pass,1,4,29544,32,Unsuccessful,38.4,30.0,53,40.9,OpenPlay
Pass,1,6,30051,13,Successful,46.9,58.1,54.6,56.7,OpenPlay
BallRecovery,1,7,69738,13,Successful,54.7,56.7,,,OpenPlay
Dispossessed,1,8,69738,13,Successful,53.4,51.0,,,OpenPlay
Tackle,1,8,25363,32,Successful,46.6,49.0,,,OpenPlay
BallRecovery,1,9,25363,32,Successful,47.1,56.4,,,OpenPlay
Pass,1,9,25363,32,Successful,47.1,56.4,57.4,94.7,OpenPlay
Pass,1,21,110154,32,Successful,94.7,77.2,88.6,88.1,OpenPlay
Pass,1,23,25363,32,Unsuccessful,88.6,88.1,90.6,50.7,OpenPlay
Clearance,1,24,30051,13,Successful,12.6,48.4,22.5,1.7,OpenPlay
Pass,1,30,25363,32,Unsuccessful,79.3,92.0,86,70.3,OpenPlay
Interception,1,31,125211,13,Successful,14.2,23.4,,,OpenPlay
BallRecovery,1,32,13756,13,Successful,26.7,26.5,,,OpenPlay
Pass,1,33,13756,13,Successful,26.5,26.1,29,20.7,OpenPlay
Pass,1,34,13796,13,Successful,28.4,25.2,39.6,56.4,OpenPlay
Pass,1,38,13756,13,Successful,44.6,56.7,53.5,58.5,OpenPlay
Pass,1,40,25244,13,Successful,53.8,58.7,46.6,57.2,OpenPlay
Foul,1,44,71174,32,Unsuccessful,53.4,42.3,,,OpenPlay
Foul,1,44,26820,13,Successful,46.6,57.7,,,OpenPlay
Pass,1,54,26820,13,Successful,46.3,56.9,38.9,38.2,OpenPlay
Pass,1,55,76810,13,Successful,40.5,39.8,45.3,44,OpenPlay
Pass,1,57,26820,13,Successful,45.3,44.0,55.2,3.4,OpenPlay
Pass,1,59,125211,13,Unsuccessful,53.4,2.8,55.5,2.8,OpenPlay
BlockedPass,2,0,70050,32,Successful,41.1,96.6,,,OpenPlay
Pass,2,6,125211,13,Successful,51.7,0.0,37.1,6.2,OpenPlay
Pass,2,10,76810,13,Successful,37.0,7.1,22.4,50.6,OpenPlay
Pass,2,18,30051,13,Successful,35.8,76.6,46.7,96,OpenPlay
Pass,2,20,23072,13,Successful,36.7,94.2,20.8,79.4,OpenPlay
Pass,2,23,30051,13,Successful,20.8,79.4,8.6,53,OpenPlay
Pass,2,26,6775,13,Successful,9.0,52.5,19,27,OpenPlay
Pass,2,29,76810,13,Successful,24.3,27.4,37.8,25.6,OpenPlay
Pass,2,31,69738,13,Successful,37.8,25.6,42.6,2.5,OpenPlay
Pass,2,33,125211,13,Unsuccessful,42.6,2.5,46.1,14.4,OpenPlay
Interception,2,34,25363,32,Successful,56.3,95.0,,,OpenPlay
BallRecovery,2,35,25363,32,Successful,52.1,94.8,,,OpenPlay
BlockedPass,2,37,39308,13,Successful,57.7,2.6,,,OpenPlay
Pass,2,37,25363,32,Unsuccessful,44.6,96.3,42.3,96.3,OpenPlay
BallRecovery,2,38,39308,13,Successful,62.6,1.9,,,OpenPlay
TakeOn,2,39,39308,13,Unsuccessful,66.8,2.9,,,OpenPlay
Tackle,2,39,70033,32,Successful,33.2,97.1,,,OpenPlay
Pass,2,44,125211,13,Successful,63.6,0.0,66.5,13.4,OpenPlay
Pass,2,46,13756,13,Successful,66.3,13.4,71.1,11.4,OpenPlay
Pass,2,48,13796,13,Unsuccessful,71.1,11.3,72.5,31.3,OpenPlay
BallRecovery,2,50,2115,32,Successful,26.1,68.4,,,OpenPlay
Pass,2,50,2115,32,Successful,26.1,68.4,35.6,64.6,OpenPlay
Foul,2,53,71174,32,Successful,37.2,63.2,,,OpenPlay
Foul,2,53,69738,13,Unsuccessful,62.8,36.8,,,OpenPlay
Pass,3,1,29544,32,Successful,36.7,61.2,29.7,44,OpenPlay
Pass,3,2,2115,32,Successful,29.8,43.9,30.1,61.8,OpenPlay
Pass,3,3,70033,32,Successful,31.1,61.8,21.4,43,OpenPlay
Pass,3,5,2115,32,Successful,21.2,42.7,4.3,52.8,OpenPlay
Pass,3,7,79554,32,Successful,4.3,52.8,18.9,76.7,OpenPlay
Pass,3,13,70033,32,Successful,36.3,79.9,47.7,20.1,OpenPlay
Pass,3,17,71174,32,Successful,54.3,15.5,64.6,3.8,OpenPlay
Pass,3,20,109000,32,Successful,71.0,7.7,78.2,2.5,OpenPlay
Pass,3,23,145385,32,Successful,79.7,3.4,79.8,19.5,OpenPlay
Pass,3,25,300299,32,Successful,79.4,19.7,78.8,15,OpenPlay
Pass,3,27,145385,32,Successful,77.4,13.8,69.2,7.6,OpenPlay
Pass,3,28,71174,32,Unsuccessful,69.2,7.4,72.8,4,OpenPlay
Interception,3,29,25244,13,Successful,26.9,96.2,,,OpenPlay
BallTouch,3,31,145385,32,Successful,72.8,4.0,,,OpenPlay
