Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,168,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24444,13,Successful,50.0,49.9,50.7,49.3,OpenPlay
Pass,0,2,13756,13,Successful,50.9,49.5,34,52.6,OpenPlay
Pass,0,4,4522,13,Successful,37.2,47.3,38.3,6.5,OpenPlay
Pass,0,7,125211,13,Successful,38.3,6.5,26.6,24.3,OpenPlay
Pass,0,9,6292,13,Successful,28.7,31.8,26.9,64.2,OpenPlay
Pass,0,14,30051,13,Successful,29.3,63.1,34.9,41.3,OpenPlay
Pass,0,16,6292,13,Successful,35.0,43.6,43.1,80.8,OpenPlay
Pass,0,20,4522,13,Successful,56.6,82.4,72.1,96.2,OpenPlay
Pass,0,23,23072,13,Successful,72.1,96.2,61.5,90,OpenPlay
Pass,0,24,4522,13,Successful,61.5,90.0,65.6,69.7,OpenPlay
Pass,0,29,25244,13,Unsuccessful,68.8,70.0,100,37.4,OpenPlay
Pass,0,52,8643,168,Unsuccessful,5.0,63.0,60.4,61.4,OpenPlay
Aerial,0,53,6007,168,Unsuccessful,56.2,66.2,,,OpenPlay
Aerial,0,53,6321,13,Successful,43.8,33.8,,,OpenPlay
Pass,0,55,6321,13,Unsuccessful,44.0,36.9,34.9,33.6,OpenPlay
Pass,0,55,19541,168,Successful,65.6,64.5,58.4,80.6,OpenPlay
Pass,0,58,15782,168,Successful,58.4,80.6,65.4,96.3,OpenPlay
Pass,1,0,93473,168,Successful,62.6,96.5,52.8,96.6,OpenPlay
Pass,1,6,15782,168,Unsuccessful,45.3,93.9,82.4,100,OpenPlay
Pass,1,26,125211,13,Successful,21.8,0.0,31.2,3.7,OpenPlay
Pass,1,28,24444,13,Unsuccessful,31.2,3.7,31.1,29.4,OpenPlay
Pass,1,32,6007,168,Unsuccessful,60.9,63.6,66.1,46.7,OpenPlay
Pass,1,33,23072,13,Unsuccessful,32.6,47.2,47.4,0,OpenPlay
Pass,1,39,33748,168,Successful,49.4,100.0,29.3,89.3,OpenPlay
Pass,1,43,19247,168,Successful,29.7,88.4,13.6,58.8,OpenPlay
Pass,1,46,8643,168,Unsuccessful,13.3,62.1,43.8,63.4,OpenPlay
BallRecovery,1,48,6321,13,Successful,58.3,39.5,,,OpenPlay
Pass,1,49,6321,13,Successful,58.3,39.5,72.1,47.2,OpenPlay
Pass,1,50,13756,13,Unsuccessful,72.1,47.2,85.6,71.7,OpenPlay
Pass,1,53,101763,168,Successful,14.5,26.1,5.1,35.1,OpenPlay
Pass,1,54,8643,168,Unsuccessful,5.1,35.1,52,54.5,OpenPlay
Pass,1,57,6292,13,Successful,48.8,41.8,60.3,29.5,OpenPlay
BallRecovery,1,59,26820,13,Successful,60.3,29.5,,,OpenPlay
Pass,2,0,26820,13,Successful,60.3,29.5,45.7,19.2,OpenPlay
Pass,2,1,125211,13,Successful,48.7,12.2,56,7.9,OpenPlay
Pass,2,2,26820,13,Successful,52.9,6.7,48,6.7,OpenPlay
Pass,2,3,125211,13,Successful,48.1,6.7,53.7,6.7,OpenPlay
Challenge,2,6,19541,168,Unsuccessful,42.2,83.8,,,OpenPlay
TakeOn,2,6,26820,13,Successful,57.8,16.2,,,OpenPlay
Pass,2,8,26820,13,Successful,62.3,32.1,65,50.9,OpenPlay
Dispossessed,2,11,13756,13,Successful,65.2,49.1,,,OpenPlay
Tackle,2,11,6007,168,Successful,34.8,50.9,,,OpenPlay
BallRecovery,2,12,6007,168,Successful,34.8,45.2,,,OpenPlay
Pass,2,15,6007,168,Successful,32.6,47.5,19.7,32.2,OpenPlay
Pass,2,18,25834,168,Unsuccessful,19.8,31.5,48.8,0,OpenPlay
